mol_id,RMSD,Number of clusters,Cluster Sizes,Cluster Centroids,Number of Rotatable Bonds
1,0.06,67,"[103, 98, 97, 91, 85, 81, 70, 69, 25, 23]","[487, 64, 618, 172, 986, 555, 791, 494, 313, 710]",4
1,0.065,49,"[116, 111, 106, 105, 92, 87, 76, 75, 22, 20]","[618, 487, 64, 172, 986, 555, 494, 746, 600, 710]",4
1,0.07,45,"[136, 125, 123, 103, 83, 83, 70, 61, 26, 24]","[699, 169, 608, 986, 125, 494, 746, 488, 710, 888]",4
1,0.075,34,"[176, 165, 155, 135, 60, 50, 48, 42, 25, 21]","[281, 169, 487, 986, 255, 430, 221, 557, 592, 993]",4
1,0.08,30,"[207, 199, 183, 149, 38, 37, 35, 33, 17, 14]","[169, 281, 608, 986, 332, 966, 235, 553, 341, 330]",4
1,0.085,22,"[235, 233, 156, 151, 77, 30, 20, 14, 13, 12]","[169, 707, 986, 608, 555, 991, 786, 512, 670, 644]",4
1,0.09,18,"[288, 266, 131, 118, 63, 63, 11, 11, 10, 7]","[707, 172, 591, 777, 160, 952, 766, 416, 512, 323]",4
1,0.095,17,"[322, 312, 116, 101, 54, 49, 12, 9, 6, 4]","[355, 172, 697, 873, 519, 160, 512, 18, 804, 715]",4
1,0.1,14,"[370, 350, 96, 83, 39, 36, 11, 4, 3, 3]","[707, 783, 634, 873, 444, 991, 383, 804, 715, 1000]",4
1,0.105,12,"[395, 377, 71, 66, 41, 31, 9, 3, 3, 2]","[321, 783, 481, 873, 680, 251, 383, 458, 631, 13]",4
1,0.11,9,"[424, 402, 64, 47, 30, 27, 3, 3, 1]","[707, 783, 519, 873, 251, 444, 610, 438, 132]",4
1,0.115,8,"[445, 426, 40, 34, 31, 22, 2, 1]","[707, 783, 444, 425, 973, 766, 7, 958]",4
1,0.12,8,"[464, 441, 35, 27, 13, 10, 10, 1]","[707, 783, 959, 219, 766, 419, 441, 13]",4
1,0.125,7,"[476, 447, 32, 25, 12, 7, 2]","[707, 783, 456, 230, 36, 718, 660]",4
1,0.13,6,"[484, 449, 29, 25, 9, 5]","[707, 783, 915, 131, 972, 633]",4
1,0.135,5,"[493, 454, 27, 23, 4]","[707, 783, 915, 760, 251]",4
1,0.14,5,"[523, 423, 29, 19, 7]","[538, 783, 915, 131, 483]",4
1,0.145,6,"[580, 344, 43, 26, 7, 1]","[817, 624, 842, 915, 760, 478]",4
2,0.095,60,"[94, 94, 81, 74, 64, 62, 54, 45, 42, 41]","[215, 761, 390, 780, 44, 540, 979, 877, 455, 939]",4
2,0.1,48,"[117, 108, 89, 85, 73, 73, 63, 53, 47, 43]","[215, 967, 390, 607, 17, 540, 979, 692, 939, 524]",4
2,0.105,40,"[134, 130, 94, 90, 86, 76, 70, 49, 46, 45]","[5, 967, 607, 19, 150, 540, 979, 939, 861, 524]",4
2,0.11,33,"[155, 140, 106, 99, 82, 78, 78, 47, 43, 42]","[347, 967, 19, 780, 540, 243, 660, 524, 692, 939]",4
2,0.115,26,"[176, 152, 102, 94, 90, 87, 72, 49, 45, 34]","[5, 732, 607, 13, 979, 540, 232, 524, 794, 877]",4
2,0.12,22,"[203, 164, 105, 100, 96, 89, 54, 51, 43, 28]","[215, 732, 607, 193, 660, 257, 250, 524, 794, 49]",4
2,0.125,18,"[241, 175, 102, 101, 96, 75, 55, 40, 36, 30]","[215, 732, 660, 780, 456, 329, 524, 813, 103, 689]",4
2,0.13,18,"[270, 194, 113, 105, 88, 75, 51, 25, 20, 15]","[215, 732, 805, 928, 456, 533, 414, 741, 85, 794]",4
2,0.135,15,"[290, 204, 122, 115, 78, 63, 57, 22, 21, 9]","[215, 732, 805, 257, 456, 473, 582, 421, 945, 791]",4
2,0.14,14,"[310, 218, 127, 120, 73, 63, 43, 19, 12, 7]","[215, 700, 805, 257, 456, 473, 582, 847, 103, 802]",4
2,0.145,13,"[331, 238, 132, 126, 58, 40, 32, 27, 6, 6]","[215, 542, 805, 483, 37, 608, 421, 862, 534, 196]",4
2,0.15,11,"[346, 266, 133, 114, 55, 50, 19, 8, 7, 2]","[215, 542, 635, 483, 456, 881, 611, 681, 412, 328]",4
2,0.155,11,"[374, 276, 114, 104, 61, 34, 15, 12, 9, 1]","[352, 542, 483, 629, 100, 734, 392, 915, 282, 442]",4
2,0.16,10,"[412, 288, 114, 93, 42, 28, 10, 8, 4, 2]","[352, 542, 483, 629, 100, 734, 938, 681, 161, 239]",4
2,0.165,9,"[445, 292, 113, 89, 30, 14, 11, 6, 1]","[352, 542, 817, 476, 100, 597, 681, 855, 239]",4
2,0.17,8,"[483, 298, 109, 77, 16, 15, 2, 1]","[352, 542, 517, 629, 10, 876, 239, 686]",4
2,0.175,8,"[533, 246, 130, 70, 13, 5, 3, 1]","[54, 542, 799, 318, 627, 239, 976, 998]",4
2,0.18,6,"[597, 232, 113, 44, 12, 3]","[54, 973, 817, 318, 68, 686]",4
3,0.055,120,"[90, 70, 57, 55, 51, 50, 46, 39, 37, 32]","[221, 377, 399, 862, 626, 890, 240, 429, 920, 65]",4
