mol_id,RMSD,Number of clusters,Cluster Sizes,Cluster Centroids,Number of Rotatable Bonds
1,0.035,98,"[151, 113, 74, 69, 48, 37, 34, 30, 28, 25]","[854, 209, 173, 858, 288, 364, 134, 382, 905, 817]",3
1,0.04,53,"[228, 181, 111, 85, 41, 39, 37, 36, 32, 28]","[854, 999, 495, 882, 364, 286, 818, 817, 46, 296]",3
1,0.045,32,"[313, 231, 145, 53, 52, 37, 25, 23, 20, 18]","[733, 999, 495, 862, 364, 818, 721, 792, 829, 312]",3
1,0.05,21,"[371, 260, 174, 42, 33, 33, 22, 13, 12, 8]","[854, 999, 495, 386, 316, 189, 721, 217, 250, 502]",3
1,0.055,16,"[420, 285, 186, 25, 21, 15, 13, 11, 6, 6]","[854, 999, 77, 502, 293, 578, 424, 912, 778, 711]",3
1,0.06,14,"[459, 299, 184, 18, 9, 7, 7, 6, 5, 2]","[733, 999, 77, 293, 0, 778, 79, 912, 723, 207]",3
1,0.065,11,"[535, 324, 66, 30, 20, 7, 7, 6, 3, 2]","[522, 657, 113, 286, 579, 778, 293, 235, 414, 496]",3
2,0.03,134,"[167, 81, 76, 65, 54, 33, 28, 25, 23, 22]","[616, 306, 830, 760, 526, 129, 500, 406, 590, 216]",2
2,0.035,68,"[226, 112, 103, 87, 45, 40, 38, 31, 28, 27]","[446, 306, 830, 437, 545, 277, 91, 846, 213, 59]",2
2,0.04,41,"[273, 145, 129, 109, 54, 44, 38, 37, 21, 19]","[616, 306, 830, 437, 262, 795, 31, 316, 213, 466]",2
2,0.045,30,"[361, 153, 130, 90, 50, 42, 34, 22, 21, 17]","[446, 830, 526, 169, 338, 31, 795, 238, 8, 408]",2
2,0.05,22,"[427, 178, 163, 76, 42, 27, 26, 13, 12, 8]","[446, 830, 526, 309, 296, 8, 791, 117, 131, 105]",2
2,0.055,18,"[481, 199, 183, 46, 27, 16, 14, 8, 7, 6]","[446, 830, 526, 309, 187, 12, 117, 248, 575, 284]",2
2,0.06,13,"[530, 213, 190, 26, 15, 10, 5, 4, 2, 2]","[446, 830, 437, 33, 117, 225, 106, 346, 44, 55]",2
2,0.065,9,"[587, 190, 165, 20, 15, 12, 6, 4, 2]","[446, 830, 437, 319, 280, 758, 284, 323, 85]",2
2,0.07,8,"[650, 179, 143, 14, 5, 4, 3, 3]","[446, 830, 437, 280, 282, 319, 925, 859]",2
3,0.04,123,"[168, 109, 101, 63, 42, 39, 29, 29, 27, 21]","[881, 419, 328, 152, 586, 867, 687, 235, 613, 52]",4
3,0.045,82,"[246, 142, 131, 53, 46, 43, 42, 22, 22, 22]","[802, 419, 328, 867, 586, 767, 51, 679, 575, 786]",4
3,0.05,60,"[303, 159, 158, 61, 37, 34, 31, 26, 18, 17]","[802, 218, 328, 257, 414, 616, 895, 269, 228, 11]",4
3,0.055,42,"[341, 184, 172, 77, 27, 26, 23, 22, 20, 10]","[802, 218, 328, 257, 616, 261, 414, 578, 66, 190]",4
3,0.06,35,"[368, 197, 182, 86, 22, 17, 16, 16, 15, 12]","[802, 218, 328, 538, 414, 570, 904, 64, 861, 851]",4
3,0.065,28,"[390, 209, 187, 98, 16, 15, 14, 10, 9, 8]","[802, 218, 328, 867, 414, 64, 851, 305, 630, 288]",4
3,0.07,23,"[399, 221, 192, 104, 14, 13, 9, 9, 6, 5]","[802, 218, 328, 867, 847, 404, 42, 288, 544, 2]",4
3,0.075,19,"[406, 228, 194, 109, 15, 10, 9, 5, 5, 4]","[802, 218, 328, 538, 851, 288, 957, 2, 276, 279]",4
3,0.08,16,"[410, 234, 208, 73, 31, 16, 5, 5, 4, 3]","[802, 218, 359, 371, 445, 851, 957, 2, 279, 361]",4
3,0.085,16,"[452, 225, 105, 93, 64, 24, 16, 5, 4, 3]","[597, 359, 837, 694, 263, 143, 851, 2, 279, 671]",4
3,0.09,15,"[523, 239, 72, 55, 49, 19, 15, 9, 5, 5]","[764, 359, 834, 296, 14, 475, 241, 847, 441, 2]",4
3,0.095,13,"[585, 260, 50, 41, 26, 16, 9, 6, 3, 2]","[764, 359, 259, 12, 408, 478, 847, 2, 284, 48]",4
3,0.1,10,"[623, 269, 44, 30, 13, 9, 6, 5, 1, 1]","[764, 359, 261, 190, 478, 812, 2, 653, 284, 706]",4
4,0.03,146,"[113, 92, 70, 49, 40, 35, 34, 26, 24, 24]","[793, 68, 337, 818, 283, 253, 760, 36, 888, 449]",3
4,0.035,72,"[183, 146, 105, 50, 45, 39, 38, 37, 35, 30]","[793, 297, 337, 691, 81, 253, 36, 0, 591, 641]",3
4,0.04,44,"[241, 195, 133, 53, 44, 39, 36, 35, 30, 26]","[793, 297, 620, 998, 96, 763, 649, 293, 250, 559]",3
4,0.045,28,"[284, 237, 160, 62, 36, 31, 30, 26, 25, 19]","[793, 297, 840, 998, 786, 465, 293, 213, 495, 993]",3
4,0.05,23,"[310, 268, 176, 73, 28, 25, 21, 19, 18, 17]","[772, 297, 840, 998, 786, 1, 659, 955, 699, 266]",3
4,0.055,17,"[327, 292, 191, 77, 32, 15, 13, 13, 12, 11]","[772, 297, 840, 998, 222, 266, 444, 621, 744, 707]",3
4,0.06,12,"[345, 306, 206, 84, 20, 12, 8, 7, 5, 4]","[772, 297, 840, 998, 659, 266, 155, 744, 281, 948]",3
4,0.065,11,"[354, 315, 211, 86, 11, 10, 10, 1, 1, 1]","[772, 297, 840, 998, 948, 744, 65, 508, 595, 225]",3
4,0.07,8,"[372, 311, 215, 88, 8, 4, 2, 1]","[772, 297, 840, 998, 707, 342, 4, 436]",3
4,0.075,6,"[414, 223, 157, 122, 82, 3]","[175, 506, 592, 769, 998, 570]",3
4,0.08,7,"[485, 234, 122, 93, 39, 23, 5]","[175, 527, 592, 197, 953, 48, 817]",3
4,0.085,6,"[545, 253, 92, 69, 25, 17]","[175, 527, 592, 789, 48, 245]",3
