mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,7.0,0.1567852,5.723,4.476,1.063,0.444868,4.29511284,41.200203,98.184319,75.527756
2,7.698970004336019,4.0,0.210957,6.936,3.042,1.04,0.5064,5.00160424,58.618103,142.522919,92.905304
3,8.0,5.0,0.2122127,6.556,3.007,1.038,0.472729,5.16477899,51.630821,146.497452,96.306702
4,8.0,4.0,0.2375244,7.65,4.447,1.034,0.503423,4.51789808,81.366379,177.281433,96.631195
5,7.301029995663981,3.0,0.1357103,7.443,3.178,1.045,0.531803,7.30391956,70.688866,172.720245,67.265625
6,4.721246399047171,5.0,0.100155,6.063,3.007,1.011,0.407824,2.46570972,56.91795,1012.062073,75.246109
8,7.096910013008056,6.0,0.3345951,5.989,2.836,1.064,0.388264,6.48370638,81.492165,1005.550049,69.642159
9,7.522878745280337,3.0,0.1564448,6.331,5.044,1.029,0.488625,4.09264747,66.063133,172.261307,42.843796
10,7.0,3.0,0.3764844,6.474,2.871,1.059,0.441993,8.08657776,61.610069,152.86676,93.495033
11,7.522878745280337,4.0,0.1505621,7.644,3.042,1.015,0.509562,2.64507624,68.213264,174.180267,86.404961
12,6.102372908709558,4.0,0.2200942,7.255,4.413,1.043,0.472203,4.96245578,88.459457,182.782928,121.409714
13,5.801342913045577,5.0,0.2265593,7.537,3.042,1.047,0.490141,4.85298563,80.779282,166.219513,90.557625
14,6.200659450546418,8.0,0.2700747,7.949,3.11,1.062,0.53696,8.30676422,96.589264,173.473297,67.956863
15,6.823908740944319,8.0,0.2696843,7.432,3.007,1.042,0.512464,6.12995853,106.679947,177.763916,114.910194
16,7.698970004336019,2.0,0.1330315,7.18,4.241,1.036,0.459644,5.38796262,79.886719,169.971771,90.884125
17,7.838631997765025,4.0,0.096519,5.362,2.871,1.014,0.424811,2.64829213,63.070999,167.256836,69.73735
18,4.701146923590294,7.0,0.1007082,5.439,3.076,1.02,0.416335,3.00175844,46.5485,110.092194,37.299427
19,5.221848749616356,4.0,0.1602362,5.469,3.042,1.014,0.424158,2.85866452,51.239319,113.012886,63.760994
20,8.0,8.0,0.1739562,5.991,2.939,1.019,0.449991,2.98987376,60.801601,114.188362,33.525261
21,7.522878745280337,4.0,0.1564033,6.384,3.808,1.014,0.479662,2.84744835,66.084229,138.100616,54.460476
22,6.920818753952375,5.0,0.1645623,6.072,3.007,1.05,0.429262,5.51765653,47.137596,136.13269,66.487579
23,7.301029995663981,6.0,0.1757978,6.435,3.007,1.012,0.475833,2.74388456,44.586586,118.574326,46.264397
24,7.958212681028248,6.0,0.0872843,6.234,3.042,1.029,0.483335,2.50069615,60.896824,119.849274,61.274189
25,8.0,9.0,0.2105703,5.543,4.414,1.016,0.458533,3.88988049,75.570282,131.930832,94.730042
26,8.0,5.0,0.1649233,6.312,2.973,1.016,0.473054,3.28655131,61.050163,119.624947,49.657829
