mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
clustering_target10.0%_cluster1,0.18219624740446133,0.07702132664071021,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.24630566013932464,0.16020783983021647,0.19999870466636482,0.14167576346137645,0.22088341583532511,0.19501148099978116,0.3400350702697382,0.14884208557790535,0.09011653382567908,0.07888591943890233
clustering_target10.0%_cluster10,0.19870479592577453,0.05897726951360299,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.21085140326568597,0.2702130779957025,0.2152494488125707,0.24313130717803466,0.13227515521601874,0.16065594419503038,0.10174509731565196,0.14814964134890807,0.24202110956926348,0.2627557743608787
clustering_target10.0%_cluster2,0.1984303341060642,0.06691985962140182,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.16007647616298915,0.3288618940492498,0.1562189577264279,0.20227611005221335,0.12046133752618415,0.1830643720851376,0.12846431221988663,0.18265763442488359,0.2799173163211982,0.2423049304924717
clustering_target10.0%_cluster3,0.192802629887507,0.07028210448939261,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.19541224125059853,0.2708568346053978,0.08794064114599576,0.18476464199639797,0.08606043379170525,0.1318624269917108,0.21814202271836436,0.22814645343774276,0.24504018086934254,0.2798004220678141
clustering_target10.0%_cluster4,0.20829633312907497,0.054744270473567246,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.21205607846023244,0.2909307971723434,0.17478561582756258,0.15837322275708188,0.12773144081628207,0.16235553833798855,0.21117701504901032,0.20484052693415888,0.2606071650313967,0.28010593090469305
clustering_target10.0%_cluster5,0.19113820408898868,0.051431692573270786,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.17807689890559053,0.2585916640599234,0.14553933356859028,0.21252681142312235,0.11538372780725081,0.14844829297924045,0.15007575301306153,0.2104097970763641,0.22524699615568733,0.26708276590105606
clustering_target10.0%_cluster6,0.21246534947230922,0.07272205758037453,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.19458592476414271,0.28811131684581126,0.15028307795070261,0.23380475461815553,0.1265198706181082,0.22853492272208276,0.08173355663127979,0.25546585003673883,0.2634181989349935,0.30219602160107695
clustering_target10.0%_cluster7,0.21772343502951985,0.07149181200800318,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.1750362754379744,0.2698273199552027,0.22370311965788792,0.2836181847657202,0.04009861755666966,0.19870855878718885,0.2135641707365883,0.27359432957055796,0.251663698714247,0.24742007511316144
clustering_target10.0%_cluster8,0.2256828519987936,0.04266240484905759,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.19093437849261474,0.3160855797532912,0.25539902402118664,0.24049078102012644,0.16936584638585117,0.20567626925480598,0.1909226612866245,0.22812286677943383,0.2067167712917285,0.25311434170227287
clustering_target10.0%_cluster9,0.20641828211359137,0.04785879410915221,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.19065884298989022,0.27500544564326856,0.17799474738502397,0.24281538573940342,0.12345063265350775,0.2001077103663933,0.15642747314035366,0.23271949720537444,0.20045462354850307,0.26454846246419517
clustering_target20.0%_cluster1,0.19773979399094244,0.06331238169398117,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.2756760105358077,0.21090567368165214,0.08626789064736828,0.17872158690173667,0.26736467978243483,0.18650260433408283,0.27424411206850186,0.1981355482893037,0.12136721894091296,0.17821261472762362
clustering_target20.0%_cluster10,0.18848707073596463,0.07015520256557548,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.15481756955837278,0.30897235230543385,0.14612094702233436,0.2047991252035012,0.11907450649148321,0.1815742137970332,0.06510522486829129,0.23616003996921187,0.22876444678045948,0.23948228136352478
clustering_target20.0%_cluster2,0.20089064561251813,0.06769646561558307,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.17439009204298084,0.2903128952614512,0.20331472619692081,0.2543993207183797,0.11214713511223895,0.14954026014772293,0.09256800623218064,0.21574975685085596,0.24046033634863295,0.2760239272138172
clustering_target20.0%_cluster3,0.19544724397125923,0.036976011752235916,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.15245877537009855,0.25248479236918975,0.19483309168653729,0.1947276049342348,0.15942916041199218,0.15008133859736317,0.20143743398026703,0.1787130274099149,0.22139917395381326,0.2489080409991815
