mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,1.6,17.075,2.368,1.251,0.825,0.163,0.55,0.456,0.294,0.548,0.149,0.097,0.25,0.171,0.255,0.297,0.433,0.265,0.335,8.0,0.1296047,5.595,4.408,1.064,0.440917,7.11735438,67.431915,71.951653,70.206352
2,7.698970004336019,4.56,354.81,12.302,5.034,0.953,0.151,0.74,0.374,0.347,0.697,0.433,0.132,0.343,0.213,0.567,0.139,0.487,0.421,0.42,5.0,0.2162249,7.338,2.734,1.044,0.517528,2.55775393,84.582329,174.158371,89.733131
3,8.0,3.15,16.136,7.159,1.39,0.654,0.153,0.438,0.388,0.325,0.503,0.303,0.099,0.306,0.167,0.414,0.163,0.383,0.302,0.398,3.0,0.2226575,7.175,2.939,1.04,0.486891,6.39924272,68.887383,151.579636,79.059128
4,8.0,1.46,276.366,99.517,1.49,0.732,0.149,0.525,0.193,0.241,0.524,0.237,0.095,0.2,0.138,0.259,0.158,0.32,0.285,0.287,7.0,0.233857,7.666,4.379,1.028,0.507607,4.59822119,106.554474,175.146606,81.93821
5,7.301029995663981,4.0,298.479,159.974,111.031,0.524,0.151,0.586,0.562,0.14,0.811,0.494,0.198,0.338,0.175,0.194,0.181,0.43,0.501,0.327,6.0,0.2373801,8.048,2.973,1.05,0.528325,3.96626934,125.476135,190.205933,85.126541
6,4.721246399047171,8.74,14.834,4.699,1.098,0.719,0.157,0.536,0.389,0.321,0.438,0.182,0.106,0.256,0.165,0.237,0.199,0.415,0.242,0.317,6.0,0.1774511,5.783,3.076,1.011,0.412511,2.34433271,55.064503,1004.936035,64.395508
7,4.638272163982407,4.92,15.673,3.927,0.944,0.763,0.157,0.481,0.371,0.281,0.628,0.122,0.099,0.209,0.129,0.149,0.193,0.378,0.283,0.386,,,,,,,,,,
8,7.096910013008056,8.4,232.355,7.556,1.715,0.962,0.151,0.805,0.515,0.402,0.857,0.488,0.134,0.496,0.23,0.541,0.173,0.574,0.493,0.505,7.0,0.4116977,5.836,3.11,1.07,0.392857,6.63255499,76.769806,160.896332,65.392059
9,7.522878745280337,5.23,59.5,9.022,2.773,0.835,0.153,0.102,0.54,0.421,0.045,0.495,0.162,0.514,0.254,0.326,0.234,0.355,0.234,0.199,5.0,0.2001229,6.465,5.182,1.025,0.481812,4.90073935,86.949799,148.630844,77.381668
10,7.0,0.61,13.722,6.709,1.887,0.615,0.151,0.472,0.346,0.386,0.634,0.16,0.393,0.219,0.293,0.204,0.582,0.401,0.396,0.487,5.0,0.216295,7.282,2.871,1.06,0.460466,7.74417348,67.146599,162.507584,71.245071
