mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,7.83,184.189,112.784,2.03,0.616,0.163,0.211,0.204,0.376,0.188,0.221,0.172,0.142,0.22,0.085,0.322,0.264,0.193,6.0,0.1194043,5.84,4.373,1.065,0.448345,6.47023034,58.310905,87.815216,54.634869
2,7.698970004336019,5.42,91.469,14.981,4.582,0.824,0.151,0.1,0.402,0.338,0.309,0.228,0.252,0.321,0.267,0.205,0.341,0.28,0.263,5.0,0.2326929,7.36,3.178,1.045,0.50697,6.4251091,72.832932,161.125229,88.219139
3,8.0,2.61,17.128,6.306,0.907,0.704,0.153,0.44,0.393,0.354,0.468,0.321,0.087,0.317,0.154,0.442,0.164,0.396,0.292,5.0,0.1752076,6.991,3.144,1.037,0.480864,4.48378308,54.701118,136.335464,83.214127
4,8.0,4.85,23.338,5.507,1.209,0.777,0.149,0.474,0.347,0.4,0.335,0.323,0.11,0.295,0.191,0.501,0.204,0.407,0.256,7.0,0.2305348,7.105,4.65,1.036,0.502123,4.34142607,95.501923,155.50856,94.931274
5,7.301029995663981,6.56,413.156,268.857,12.353,0.595,0.151,0.73,0.526,0.322,0.834,0.501,0.319,0.466,0.264,0.323,0.415,0.526,0.551,6.0,0.2329891,7.865,3.042,1.045,0.5298,7.22457331,83.167267,162.551331,85.00415
6,4.721246399047171,9.47,219.572,5.85,3.069,0.961,0.157,0.922,0.527,0.535,0.93,0.252,0.187,0.343,0.303,0.309,0.271,0.661,0.457,4.0,0.2074276,5.599,3.042,1.011,0.418847,2.89399986,46.837173,996.835876,61.604687
7,4.638272163982407,4.49,16.002,4.194,1.275,0.745,0.159,0.517,0.382,0.349,0.682,0.124,0.124,0.217,0.181,0.145,0.215,0.416,0.31,,,,,,,,,,
8,7.096910013008056,7.13,299.25,7.849,1.254,0.97,0.151,0.372,0.552,0.311,0.223,0.478,0.142,0.505,0.189,0.58,0.191,0.411,0.281,8.0,0.3992221,6.171,3.144,1.07,0.412768,4.2293346,95.993179,152.930908,58.084492
9,7.522878745280337,7.15,223.93,7.981,1.681,0.959,0.154,0.93,0.421,0.294,0.895,0.193,0.23,0.288,0.233,0.211,0.303,0.548,0.439,3.0,0.1539062,6.675,4.674,1.024,0.487038,5.62408776,63.99577,148.562012,82.640892
10,7.0,4.13,14.822,4.703,1.689,0.699,0.151,0.474,0.417,0.278,0.471,0.278,0.226,0.317,0.181,0.351,0.346,0.39,0.325,6.0,0.3340583,6.418,2.939,1.078,0.435374,8.6901675,106.989273,148.927429,81.748337
11,7.522878745280337,2.99,27.953,15.104,1.144,0.632,0.149,0.134,0.182,0.391,0.235,0.008,0.085,0.027,0.194,0.033,0.27,0.236,0.109,7.0,0.1573591,7.398,3.144,1.015,0.508007,2.81451098,93.696991,157.747986,77.646164
12,6.102372908709558,6.93,363.889,139.115,2.44,0.72,0.151,0.919,0.217,0.32,0.919,0.1,0.118,0.155,0.169,0.061,0.171,0.485,0.379,7.0,0.1895787,7.214,4.414,1.048,0.450818,5.33607313,83.884659,153.628006,80.639427
13,5.801342913045577,2.81,181.13,8.408,3.026,0.941,0.151,0.277,0.39,0.356,0.32,0.215,0.207,0.258,0.24,0.295,0.221,0.341,0.247,3.0,0.2705408,7.46,3.007,1.048,0.531292,5.84961558,78.754013,172.498276,104.700943
14,6.200659450546418,0.02,18.92,8.822,1.477,0.648,0.149,0.519,0.342,0.298,0.798,0.229,0.208,0.235,0.194,0.297,0.241,0.387,0.411,8.0,0.1753828,7.957,2.973,1.006,0.558263,5.57238466,94.170876,166.391739,102.059387
15,6.823908740944319,9.23,23.982,8.228,1.214,0.717,0.147,0.528,0.36,0.334,0.515,0.212,0.133,0.249,0.186,0.246,0.208,0.407,0.287,4.0,0.1606104,7.429,2.939,1.041,0.553977,6.25478329,107.141624,152.345322,103.010643
16,7.698970004336019,2.91,123.248,7.969,1.019,0.932,0.153,0.19,0.373,0.304,0.131,0.259,0.069,0.264,0.134,0.413,0.103,0.289,0.153,3.0,0.1347839,6.764,4.481,1.036,0.464433,4.6616652,81.684258,171.777985,107.615517
17,7.838631997765025,2.34,14.725,3.297,0.726,0.785,0.166,0.571,0.379,0.196,0.496,0.164,0.038,0.233,0.08,0.25,0.081,0.382,0.233,4.0,0.1728831,5.295,3.076,1.014,0.399846,3.0784647,70.827118,143.093826,53.339638
18,4.701146923590294,2.9,379.331,3.905,2.061,0.985,0.161,0.961,0.428,0.426,1.007,0.238,0.178,0.291,0.266,0.226,0.337,0.605,0.474,4.0,0.0376187,5.631,3.007,1.02,0.418388,3.05751522,35.151661,136.422958,44.866436
