mol_id,PKI,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,7.698970004336019,142.647,25.259,1.616,0.841,0.149,0.163,0.163,0.163,0.263,0.057,0.279,163.761,7.951,0.931,0.949,0.046,0.163,0.163,0.163,0.35,0.005,0.094,148.464,13.979,1.197,0.907,0.085,0.163,0.165,0.163,0.286,0.016,0.154,151.231,23.589,1.548,0.857,0.134,0.163,0.163,0.163,0.295,0.049,0.254,133.862,17.016,1.295,0.88,0.112,0.163,0.163,0.163,0.232,0.024,0.181,144.271,26.321,1.662,0.838,0.153,0.163,0.163,0.163,0.269,0.063,0.294,120.423,16.188,1.43,0.872,0.117,0.163,0.163,0.163,0.188,0.021,0.231,169.522,172.642,163.641,176.368,152.173,172.253,138.042,3874.511,1461.821,2269.913,3838.104,2473.201,4080.788,2144.796,0.163,0.163,0.762,0.923,0.861,0.786,0.82,0.756,0.809,0.2,0.149,0.152,0.199,0.146,0.209,0.147,9867.792,2846.359,4918.31,9538.148,5575.242,10562.43,5070.451
2,7.698970004336019,293.476,210.937,8.954,0.572,0.411,0.151,0.151,0.151,0.975,0.396,0.549,307.637,210.031,7.694,0.586,0.4,0.151,0.151,0.151,1.083,0.398,0.385,299.058,212.304,7.779,0.576,0.409,0.151,0.151,0.151,1.015,0.402,0.407,296.356,210.32,8.947,0.575,0.408,0.151,0.151,0.151,1.001,0.396,0.547,295.3,212.825,7.871,0.572,0.412,0.151,0.151,0.151,0.978,0.4,0.414,294.7,210.067,9.191,0.573,0.409,0.151,0.151,0.151,0.99,0.395,0.579,309.849,215.972,8.672,0.58,0.404,0.151,0.151,0.151,1.082,0.42,0.464,513.367,525.361,519.141,515.622,515.996,513.959,534.494,66421.572,68595.889,67469.157,66862.599,66846.633,66546.426,71478.84,0.151,0.151,0.474,0.478,0.478,0.474,0.477,0.473,0.476,0.64,0.622,0.608,0.648,0.597,0.655,0.655,621249.415,566233.18,561896.749,625032.008,562042.476,636071.588,652340.793
3,8.0,339.103,8.512,2.088,0.97,0.024,0.153,0.153,0.153,0.925,0.478,0.37,342.472,7.119,2.006,0.974,0.02,0.153,0.153,0.153,0.945,0.327,0.349,342.637,7.387,1.774,0.974,0.021,0.154,0.153,0.153,0.944,0.361,0.27,338.876,8.485,2.184,0.969,0.024,0.153,0.154,0.153,0.924,0.476,0.411,342.427,7.569,1.696,0.974,0.022,0.153,0.153,0.154,0.943,0.378,0.241,338.288,8.695,2.229,0.969,0.025,0.153,0.153,0.154,0.921,0.5,0.426,339.747,8.123,2.5,0.97,0.023,0.153,0.153,0.153,0.931,0.415,0.535,349.703,351.598,351.798,349.544,351.692,349.213,350.37,3612.195,3139.576,3151.939,3633.831,3185.386,3714.989,3629.473,0.153,0.153,0.955,0.961,0.961,0.954,0.96,0.953,0.955,0.591,0.54,0.525,0.603,0.521,0.615,0.627,9987.585,8383.224,7993.154,10262.231,7933.503,10620.982,10880.095
4,8.0,66.494,8.865,6.502,0.812,0.108,0.149,0.149,0.149,0.105,0.449,0.352,46.699,6.315,6.138,0.789,0.107,0.149,0.149,0.149,0.056,0.137,0.231,54.716,7.13,6.03,0.806,0.105,0.149,0.149,0.149,0.073,0.279,0.299,64.067,8.652,6.666,0.807,0.109,0.149,0.149,0.149,0.098,0.427,0.376,59.069,7.586,5.969,0.813,0.104,0.149,0.152,0.149,0.084,0.33,0.294,67.1,9.037,6.7,0.81,0.109,0.149,0.149,0.149,0.107,0.464,0.378,56.264,7.577,6.885,0.796,0.107,0.149,0.149,0.149,0.078,0.455,0.271,81.862,59.153,67.876,79.386,72.624,82.837,70.726,1079.509,620.332,763.078,1039.089,845.939,1116.521,865.877,0.149,0.149,0.718,0.684,0.709,0.711,0.72,0.715,0.693,0.302,0.141,0.217,0.3,0.236,0.316,0.268,4994.503,2489.751,3183.533,4813.752,3593.093,5262.315,3871.884
5,7.301029995663981,332.784,101.345,2.107,0.763,0.232,0.151,0.151,0.151,0.827,0.259,0.353,326.032,164.962,1.544,0.662,0.335,0.151,0.151,0.151,0.79,0.7,0.194,331.181,116.291,1.765,0.737,0.259,0.151,0.151,0.151,0.818,0.343,0.239,330.593,112.945,2.015,0.742,0.253,0.151,0.151,0.151,0.809,0.336,0.329,335.398,107.226,1.928,0.754,0.241,0.151,0.151,0.151,0.854,0.267,0.276,331.023,106.765,2.09,0.753,0.243,0.151,0.151,0.151,0.813,0.298,0.354,332.684,140.166,1.581,0.701,0.295,0.151,0.151,0.151,0.796,0.579,0.218,436.235,492.539,449.237,445.554,444.551,439.879,474.432,34640.478,54541.282,39303.203,38232.734,36816.465,36257.038,47378.81,0.151,0.151,0.644,0.495,0.606,0.613,0.632,0.629,0.552,0.48,0.562,0.467,0.491,0.466,0.488,0.531,106125.098,138094.034,107730.903,113923.164,106588.846,110578.701,121586.021
6,4.721246399047171,14.654,5.009,0.586,0.724,0.247,0.157,0.157,0.159,0.531,0.406,0.342,12.844,3.529,0.298,0.77,0.212,0.159,0.157,0.157,0.421,0.214,0.089,13.56,4.088,0.388,0.752,0.227,0.157,0.157,0.157,0.46,0.281,0.151,14.464,4.901,0.566,0.726,0.246,0.157,0.157,0.157,0.518,0.393,0.32,13.935,4.358,0.438,0.744,0.233,0.157,0.157,0.159,0.482,0.314,0.192,14.698,5.096,0.609,0.72,0.25,0.157,0.157,0.157,0.534,0.421,0.37,13.67,4.122,0.407,0.751,0.226,0.157,0.157,0.157,0.484,0.292,0.168,20.249,16.671,18.036,19.931,18.732,20.404,18.199,84.926,50.21,62.283,81.844,68.749,86.963,63.588,0.158,0.158,0.586,0.656,0.628,0.589,0.616,0.581,0.627,0.426,0.241,0.297,0.41,0.329,0.442,0.315,148.167,80.394,101.822,141.898,114.106,152.984,104.722
8,7.096910013008056,12.971,7.608,2.008,0.574,0.337,0.151,0.151,0.151,0.455,0.541,0.438,10.112,7.333,1.429,0.536,0.389,0.151,0.151,0.152,0.291,0.517,0.165,10.835,7.354,1.583,0.548,0.372,0.151,0.151,0.152,0.321,0.511,0.233,12.803,7.592,1.98,0.572,0.339,0.151,0.151,0.152,0.446,0.54,0.421,11.306,7.393,1.679,0.555,0.363,0.151,0.152,0.152,0.345,0.512,0.278,13.204,7.677,2.073,0.575,0.334,0.151,0.151,0.151,0.472,0.552,0.464,10.913,7.835,1.724,0.533,0.383,0.151,0.152,0.151,0.325,0.586,0.231,22.586,18.875,19.772,22.374,20.378,22.954,20.472,139.997,99.09,108.477,137.569,114.985,144.66,117.829,0.151,0.151,0.367,0.386,0.38,0.367,0.376,0.365,0.374,0.478,0.324,0.355,0.469,0.378,0.496,0.381,360.73,223.964,254.406,352.348,275.711,377.774,285.717
9,7.522878745280337,191.33,7.894,3.379,0.944,0.039,0.153,0.153,0.153,0.496,0.392,0.471,199.937,5.301,2.991,0.96,0.025,0.153,0.153,0.153,0.541,0.182,0.325,189.813,6.313,3.069,0.953,0.032,0.153,0.153,0.153,0.488,0.25,0.389,194.927,7.572,3.368,0.947,0.037,0.153,0.153,0.154,0.515,0.362,0.466,186.007,6.875,3.105,0.949,0.035,0.153,0.153,0.154,0.468,0.295,0.398,194.506,7.945,3.446,0.945,0.039,0.153,0.153,0.154,0.512,0.399,0.488,203.719,5.93,3.372,0.956,0.028,0.153,0.153,0.153,0.562,0.229,0.418,202.603,208.23,199.195,205.867,195.988,205.897,213.021,2183.534,1673.863,1800.251,2157.985,1877.786,2242.946,1915.068,0.153,0.153,0.917,0.94,0.929,0.92,0.924,0.917,0.934,0.453,0.35,0.376,0.448,0.387,0.466,0.403,7490.022,5052.605,5677.118,7335.195,6044.846,7773.958,6202.055
10,7.0,12.977,5.044,2.519,0.632,0.246,0.151,0.151,0.151,0.449,0.489,0.362,12.979,3.838,2.122,0.685,0.203,0.151,0.158,0.151,0.482,0.285,0.267,11.783,4.354,2.123,0.645,0.238,0.151,0.151,0.151,0.377,0.363,0.28,13.231,4.901,2.458,0.643,0.238,0.151,0.151,0.151,0.47,0.464,0.348,11.776,4.534,2.337,0.632,0.243,0.151,0.151,0.151,0.376,0.392,0.343,13.412,5.087,2.528,0.638,0.242,0.151,0.151,0.151,0.48,0.498,0.357,13.547,4.377,2.053,0.678,0.219,0.151,0.151,0.151,0.51,0.377,0.243,20.539,18.938,18.26,20.591,18.647,21.027,19.977,110.838,85.49,85.558,109.428,91.51,114.987,96.096,0.151,0.153,0.448,0.528,0.468,0.464,0.447,0.457,0.517,0.433,0.345,0.34,0.427,0.37,0.445,0.377,296.222,210.11,212.725,289.445,234.942,308.473,237.814
11,7.522878745280337,116.924,6.158,1.589,0.938,0.049,0.149,0.149,0.151,0.124,0.361,0.359,69.799,4.818,1.041,0.923,0.064,0.149,0.149,0.149,0.044,0.227,0.148,87.027,5.502,1.218,0.928,0.059,0.149,0.149,0.149,0.069,0.294,0.208,112.36,5.974,1.547,0.937,0.05,0.149,0.149,0.149,0.114,0.34,0.34,96.381,5.821,1.318,0.931,0.056,0.149,0.149,0.149,0.084,0.328,0.245,119.836,6.14,1.637,0.939,0.048,0.149,0.149,0.149,0.13,0.357,0.381,81.792,5.52,1.369,0.922,0.062,0.149,0.149,0.149,0.061,0.298,0.26,124.671,75.658,93.747,119.88,103.52,127.613,88.681,915.587,413.979,591.498,854.254,695.682,942.046,571.027,0.149,0.149,0.907,0.884,0.892,0.906,0.897,0.909,0.883,0.281,0.14,0.19,0.265,0.219,0.289,0.206,2184.456,839.746,1268.328,2012.287,1538.365,2274.15,1277.775
