mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.276152180351134,0.077796201885538,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.16941699171459956,0.3082023515109178,0.3393447712332569,0.4071449585272364,0.25941715356181205,0.35721572453289063,0.14719390760378404,0.21932474263343893,0.2662311259253727,0.2880300762680307
1ns,0.15890109709190353,0.0677166094713779,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.14488871715305673,0.2207177822846338,0.16073124511064196,0.14944370913803517,0.19746640128951964,0.20556543920013226,0.01724372991515377,0.12149651824636287,0.09862316567558371,0.2728342629059153
2ns,0.15202130491361285,0.06794824121269044,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.09858360864321392,0.1368324706706695,0.10273281939260515,0.1844578051216592,0.18922765964790367,0.17834058758192262,0.04575110170526642,0.09074177236438619,0.19922952440479347,0.2943156996037084
3ns,0.13326062596922905,0.07200568407332979,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.011158571893229552,0.14919819799261813,0.15417212538695624,0.179557282078882,0.1287737962915494,0.16589582191176155,0.00860791177180209,0.09825014383579411,0.189126422883918,0.24786598564577933
4ns,0.13729328235339736,0.06076165118698943,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.12443025802819374,0.1324852356622922,0.08498801049689653,0.08271577984265754,0.1439283126016997,0.14062887515299904,0.0769895757552711,0.11006814212108684,0.18285551885743356,0.29384311501544336
5ns,0.12001163052583923,0.05252174747175284,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.04281897250003497,0.13754054687163375,0.0495288556654635,0.100003072837058,0.13006209487650744,0.16910881600157512,0.08743901414478195,0.0921042191359609,0.18782951930733494,0.20368119391804185
6ns,0.12691286278877412,0.0658300863581,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.015382380091872538,0.16150443043086826,0.11213556920774714,0.11939285902601415,0.1304422282014408,0.20869474370615437,0.016550240667974947,0.14958706661823462,0.12838367336809142,0.2270554365693429
7ns,0.12726480308430235,0.05897608652031387,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.1190737496989106,0.16533041705516982,0.15285067274921016,0.10425770880273755,0.18678040934001505,0.1814042698162046,0.02518787068147632,0.12882367185476862,0.09535842449531917,0.1639565777121642
8ns,0.13502534936438565,0.05074752215536998,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.1320559190056717,0.06881517238389367,0.13406047589928338,0.11676575226601393,0.10902448425605415,0.16246614775356782,0.05901893112719081,0.13707759343810177,0.19464489806360308,0.23632411945047593
9ns,0.14221192292433402,0.052719290436367534,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.14371714377352685,0.1411585402140909,0.17457027871496789,0.11364178640431111,0.0587705784373479,0.2188197817505363,0.09371980238961852,0.14057668429621706,0.10019314520423384,0.23695148805848998
10ns,0.12658776726042434,0.0533505723041492,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.09627258970478547,0.13522529970003272,0.16718381839073126,0.04745411680931222,0.12364351643069371,0.12465817468953744,0.09277444507650023,0.08424042905467177,0.13961807020597028,0.2548072125420082
conformations_10,0.18129164943492385,0.05427440220015849,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.10588439113683878,0.21115296967958563,0.19231616474076285,0.18611464418226564,0.17989775955006782,0.2688655048472762,0.11334653026214792,0.2246398317330779,0.10186977764323235,0.2288289205739833
conformations_20,0.1841203115329119,0.05448191812327742,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.10556281902914433,0.2188908025323868,0.197857984373636,0.19861496169498916,0.17047959825206438,0.2849372384243605,0.11659830726609322,0.2272418585481235,0.11567684367998876,0.20534270152833234
conformations_50,0.18875584281971197,0.054017029578871174,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.11700512939790453,0.2100491493637685,0.20207176835693308,0.20207369828820332,0.1801944258331083,0.28192323247658213,0.13153888314205497,0.24691596637629643,0.10354565984838748,0.2122405151138811
