mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.2625914508880716,0.07972868937610912,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.16740297938978244,0.2642190015462055,0.38189364873534826,0.3914070008175481,0.20552198019053391,0.33738796956723227,0.2668717464335104,0.1496972056103082,0.23493260063624155,0.22658037595400493
1ns,0.10967607449998162,0.0917812185794086,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.08504091397775038,0.2067145826401292,0.10459756479842253,0.15025422551466894,0.24732369688747513,0.08204255465263666,0.06773391327197031,0.01742914309577759,0.05968626361548135,0.2114057130894449
2ns,0.0911364470426976,0.12057661085127387,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.07814891052927198,0.07458965782392935,0.004838288995314133,0.06600254435696307,0.2641514824646741,0.0016183840223932267,0.0663141651769461,0.027892763345817473,0.21229484161886902,0.3039272891383247
3ns,0.07161919839416625,0.09827439769538195,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.04598127248469441,0.11670201380717293,0.04961498220475624,0.048761855051013825,0.1616663101491066,0.08986904418929498,0.1567402376916014,0.1568831003574579,0.13606650076338,0.15934968759577584
4ns,0.045845757529150065,0.08951650219950803,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.08654898576765802,0.07226200246626246,0.018211078952584003,0.06601251321227042,0.02099263451565936,0.00794469636244921,0.0626522824383402,0.04258111804716436,0.12753416722644217,0.2474698455090597
5ns,0.03841764826519384,0.07359535906525745,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.029193549234652783,0.1460112157635024,0.05495289822077942,0.08237878350256911,0.10758869405447158,0.05752404023760915,0.07146227959135887,0.06632412395931253,0.07866011415574348,0.07979222785385442
6ns,0.10321014482035432,0.07251219608892752,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.1046180767839654,0.06928709259114774,0.1480984578152258,0.1394332618929821,0.08628154479022565,0.1568658194696796,0.06190511064950832,0.03930604136345539,0.13466136410642726,0.2154549000399424
7ns,0.09116666939797348,0.09874228722774393,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.06473566590662383,0.1539238444902652,0.1967119063373699,0.03949423704463939,0.2310868180997362,0.16995697381814545,0.10075640976097366,0.06757648122835835,0.1101443673787531,0.057781283526095795
8ns,0.09377602962742079,0.09337178906444393,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.16463745163204213,0.06264622396091568,0.1336184380418557,0.021387640829944266,0.14123739238270772,0.02074612094843986,0.06453756653858678,0.11333882914477367,0.10994734114556481,0.27623066662343054
9ns,0.05261087660631516,0.0649063238190166,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.09759263970445398,0.07877568623070386,0.13595048896898698,0.03971971685060416,0.10461969620443523,0.10871910162798715,0.005763855977394483,0.022920615640925845,0.05176712578813658,0.0895192314783938
10ns,0.03533870234544809,0.10031896340704566,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.009257870777027666,0.013579998864399201,0.17523894031469966,0.20153967391927408,0.0790818605312732,0.020125673498014862,0.009514723780220447,0.10335287060200671,0.06153414506182109,0.14252140850076278
conformations_10,0.16173957255365862,0.062039955219589334,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.10868037041615886,0.24288526909963581,0.17921375403805917,0.1596683895555806,0.11061789667936728,0.23580444994284,0.10851909771469426,0.23407992496675456,0.05204609147410422,0.18588048164939175
conformations_20,0.17862729881993564,0.059247673560303964,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.14864153151821835,0.22068485969765728,0.19056952792115867,0.22840669798311175,0.10372830869882355,0.26545237257579035,0.12384219928779316,0.24472946167255316,0.08221916644654648,0.17799886239770368
conformations_50,0.20441390751187835,0.041484954526107,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.18052815241194686,0.22755836233332805,0.22797264678732998,0.2332823343901418,0.13782978538735713,0.27527956871484294,0.1568167998645158,0.2416914763846023,0.1648110252545809,0.1983689235901378
