mol_id,PKI,conformations (ns),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,7.698970004336019,2.81,17.087,1.885,1.481,0.835,0.092,0.163,0.163,0.163,0.543,0.416,0.383,17.331,1.158,0.981,0.89,0.059,0.163,0.163,0.163,0.554,0.129,0.144,16.114,1.401,1.131,0.864,0.075,0.163,0.163,0.163,0.481,0.213,0.222,17.455,1.823,1.463,0.842,0.088,0.163,0.165,0.163,0.564,0.4,0.358,15.804,1.564,1.139,0.854,0.085,0.163,0.163,0.163,0.465,0.25,0.222,17.421,1.925,1.525,0.835,0.092,0.163,0.163,0.163,0.563,0.443,0.401,15.76,1.452,1.085,0.861,0.079,0.163,0.165,0.165,0.463,0.196,0.172,20.454,19.471,18.646,20.741,18.506,20.872,18.298,60.316,38.213,42.381,60.033,44.491,63.045,41.571,0.163,0.163,0.753,0.835,0.796,0.762,0.781,0.752,0.792,0.447,0.276,0.305,0.441,0.313,0.469,0.277,128.484,77.376,86.554,127.341,91.14,135.069,84.712
2,7.698970004336019,7.32,90.548,6.522,2.85,0.906,0.065,0.151,0.151,0.151,0.158,0.417,0.507,123.678,6.051,1.965,0.939,0.046,0.151,0.151,0.151,0.294,0.367,0.253,83.945,6.218,2.279,0.908,0.067,0.151,0.151,0.151,0.136,0.378,0.329,104.897,6.464,2.751,0.919,0.057,0.151,0.151,0.151,0.211,0.412,0.485,68.065,6.31,2.441,0.886,0.082,0.151,0.151,0.151,0.09,0.385,0.362,103.6,6.512,2.879,0.917,0.058,0.151,0.151,0.151,0.206,0.417,0.527,161.537,6.365,2.179,0.95,0.037,0.151,0.151,0.151,0.5,0.424,0.283,99.919,131.694,92.443,114.112,76.816,112.99,170.081,867.171,1003.286,727.463,984.462,611.046,991.594,1394.092,0.151,0.151,0.859,0.909,0.862,0.879,0.829,0.875,0.925,0.36,0.305,0.281,0.37,0.279,0.384,0.402,2649.974,2605.64,2009.611,2964.222,1736.332,3046.631,3804.621
3,8.0,4.81,38.59,13.748,4.19,0.683,0.243,0.153,0.153,0.153,0.034,0.509,0.42,18.292,9.446,1.879,0.618,0.319,0.153,0.154,0.153,0.147,0.005,0.003,19.843,12.804,2.911,0.558,0.36,0.153,0.153,0.154,0.015,0.068,0.06,36.282,14.347,4.043,0.664,0.262,0.153,0.153,0.153,0.03,0.546,0.379,23.766,12.861,3.315,0.595,0.322,0.153,0.153,0.153,0.015,0.33,0.158,40.82,14.226,4.29,0.688,0.24,0.153,0.153,0.157,0.037,0.544,0.444,24.116,14.711,3.038,0.576,0.351,0.153,0.153,0.153,0.033,0.038,0.07,56.528,29.617,35.558,54.672,39.942,59.336,41.865,749.821,224.911,349.115,725.233,427.09,816.874,472.737,0.153,0.153,0.524,0.426,0.377,0.495,0.393,0.532,0.391,0.321,0.051,0.048,0.319,0.167,0.342,0.047,3029.103,579.245,1124.304,2884.367,1480.387,3367.56,1592.482
4,8.0,7.46,22.685,7.297,1.111,0.73,0.235,0.149,0.149,0.149,0.555,0.376,0.36,20.686,6.006,0.624,0.757,0.22,0.149,0.149,0.149,0.464,0.237,0.117,20.765,6.212,0.787,0.748,0.224,0.149,0.152,0.149,0.465,0.265,0.185,22.735,7.285,1.066,0.731,0.234,0.149,0.149,0.149,0.557,0.371,0.332,20.92,6.39,0.879,0.742,0.227,0.149,0.149,0.149,0.472,0.286,0.229,22.92,7.533,1.137,0.726,0.238,0.149,0.149,0.149,0.566,0.4,0.376,20.64,7.289,0.816,0.718,0.254,0.149,0.149,0.149,0.465,0.329,0.199,31.092,27.316,27.764,31.085,28.189,31.59,28.744,198.824,140.889,150.227,197.61,157.679,207.299,173.214,0.149,0.149,0.594,0.636,0.622,0.597,0.613,0.588,0.577,0.43,0.272,0.305,0.42,0.329,0.447,0.331,413.766,245.716,279.521,405.204,303.341,435.287,324.643
5,7.301029995663981,4.35,18.744,7.935,1.272,0.671,0.284,0.151,0.151,0.151,0.545,0.378,0.343,23.974,5.83,0.958,0.779,0.19,0.151,0.151,0.151,0.89,0.195,0.185,19.369,6.507,0.936,0.722,0.243,0.151,0.151,0.154,0.581,0.248,0.185,19.893,7.773,1.287,0.687,0.268,0.151,0.151,0.151,0.613,0.356,0.345,18.578,6.776,0.937,0.707,0.258,0.151,0.151,0.151,0.537,0.276,0.183,19.465,8.096,1.355,0.673,0.28,0.151,0.151,0.151,0.587,0.389,0.385,23.977,6.803,1.197,0.75,0.213,0.151,0.151,0.151,0.9,0.249,0.235,27.951,30.762,26.812,28.953,26.291,28.917,31.978,182.675,168.316,150.257,190.234,149.654,194.956,199.977,0.151,0.151,0.506,0.669,0.584,0.531,0.56,0.51,0.625,0.422,0.423,0.338,0.438,0.332,0.454,0.461,399.88,332.978,295.021,418.233,293.932,437.475,427.277
6,4.721246399047171,1.1,233.002,151.216,3.461,0.601,0.39,0.157,0.159,0.157,0.413,0.909,0.473,236.486,153.351,2.338,0.603,0.391,0.157,0.157,0.157,0.503,0.689,0.216,241.848,154.55,2.736,0.606,0.387,0.157,0.157,0.159,0.453,0.929,0.298,231.146,151.218,3.383,0.599,0.392,0.157,0.157,0.159,0.422,0.867,0.455,243.499,153.983,2.936,0.608,0.385,0.157,0.157,0.157,0.439,0.967,0.341,228.918,150.461,3.539,0.598,0.393,0.157,0.157,0.157,0.414,0.858,0.497,222.774,143.718,2.588,0.604,0.389,0.157,0.157,0.157,0.525,0.403,0.26,387.679,392.175,399.134,385.746,400.417,382.918,369.081,36563.521,37176.636,38462.186,36246.839,38661.617,35785.692,32965.307,0.158,0.157,0.487,0.491,0.49,0.487,0.489,0.486,0.489,0.598,0.469,0.56,0.581,0.582,0.59,0.396,158909.75,122347.298,141133.535,154873.218,149153.536,158047.745,116208.772
7,4.638272163982407,9.07,14.948,4.834,1.099,0.716,0.232,0.157,0.157,0.159,0.529,0.395,0.345,17.129,3.01,0.765,0.819,0.144,0.157,0.157,0.157,0.705,0.16,0.175,14.925,3.788,0.821,0.764,0.194,0.157,0.157,0.157,0.53,0.25,0.201,15.682,4.622,1.095,0.733,0.216,0.157,0.157,0.159,0.583,0.367,0.348,14.077,4.175,0.86,0.737,0.218,0.157,0.157,0.157,0.47,0.298,0.215,15.538,4.861,1.15,0.721,0.226,0.157,0.157,0.157,0.572,0.403,0.38,19.209,3.367,1.025,0.814,0.143,0.157,0.157,0.157,0.895,0.2,0.311,20.88,20.904,19.533,21.399,19.112,21.549,23.601,93.988,66.96,71.891,94.712,74.463,98.988,87.819,0.158,0.157,0.574,0.729,0.646,0.599,0.605,0.582,0.721,0.423,0.347,0.327,0.433,0.328,0.452,0.469,194.254,127.286,137.824,195.474,144.118,207.403,177.7
8,7.096910013008056,1.92,186.584,6.718,0.931,0.961,0.035,0.151,0.151,0.151,0.53,0.637,0.328,217.325,6.475,0.557,0.969,0.029,0.151,0.151,0.151,0.719,0.587,0.097,205.195,6.439,0.685,0.966,0.03,0.151,0.151,0.151,0.641,0.582,0.168,188.904,6.715,0.904,0.961,0.034,0.151,0.152,0.151,0.543,0.638,0.299,199.516,6.471,0.751,0.965,0.031,0.151,0.152,0.151,0.606,0.589,0.212,187.175,6.823,0.957,0.96,0.035,0.151,0.151,0.151,0.533,0.658,0.342,214.343,6.421,0.781,0.967,0.029,0.151,0.151,0.151,0.699,0.581,0.217,194.233,224.357,212.319,196.522,206.738,194.955,221.545,1433.469,1531.762,1466.342,1445.248,1445.74,1462.767,1548.748,0.151,0.151,0.941,0.953,0.95,0.942,0.948,0.94,0.951,0.498,0.468,0.464,0.493,0.469,0.511,0.499,2794.551,2540.061,2583.963,2788.484,2622.117,2879.49,2845.714
9,7.522878745280337,5.81,205.933,7.775,5.218,0.941,0.036,0.153,0.153,0.153,0.292,0.432,0.354,252.576,5.448,4.312,0.963,0.021,0.153,0.153,0.153,0.439,0.23,0.203,220.914,6.412,4.57,0.953,0.028,0.153,0.154,0.154,0.336,0.3,0.274,217.324,7.416,5.219,0.945,0.032,0.153,0.153,0.153,0.325,0.394,0.35,207.091,6.972,4.643,0.947,0.032,0.153,0.153,0.153,0.295,0.35,0.288,211.183,7.748,5.365,0.942,0.035,0.153,0.153,0.153,0.307,0.429,0.368,263.119,5.733,4.381,0.963,0.021,0.153,0.153,0.153,0.477,0.237,0.214,218.925,262.336,231.896,229.959,218.706,224.297,273.234,2716.149,2488.552,2455.329,2784.564,2437.713,2811.009,2686.399,0.153,0.153,0.911,0.944,0.929,0.918,0.92,0.912,0.944,0.359,0.291,0.303,0.356,0.311,0.368,0.309,11289.22,8683.997,9160.459,11425.66,9359.963,11815.004,9568.569
10,7.0,4.14,117.774,13.748,3.985,0.869,0.101,0.151,0.151,0.151,0.159,0.468,0.396,85.004,13.736,3.302,0.833,0.135,0.151,0.151,0.151,0.083,0.472,0.274,106.85,12.662,3.436,0.869,0.103,0.151,0.151,0.151,0.131,0.396,0.297,111.336,13.891,3.93,0.862,0.108,0.151,0.151,0.151,0.142,0.479,0.387,114.702,12.856,3.57,0.875,0.098,0.151,0.151,0.151,0.15,0.408,0.32,114.332,14.048,4.065,0.863,0.106,0.151,0.151,0.151,0.149,0.49,0.413,70.459,14.283,3.592,0.798,0.162,0.151,0.151,0.154,0.057,0.512,0.328,135.506,102.042,122.948,129.157,131.127,132.445,88.334,2143.191,1493.629,1763.563,2038.709,1929.955,2128.017,1310.76,0.151,0.151,0.804,0.75,0.804,0.793,0.812,0.795,0.696,0.341,0.276,0.274,0.336,0.293,0.351,0.299,8730.325,5450.648,6534.696,8245.654,7325.381,8789.442,5013.721
