mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.26444721259021375,0.06054196131110369,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.17523201796004528,0.30894762811642773,0.36138656938287694,0.33630715335048067,0.189796494089856,0.32357653668086717,0.22968221164444347,0.24369296264366846,0.2422487998542704,0.23360175217920143
1ns,0.1422936385515567,0.05280512582766532,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.14972172707509113,0.1676533952876823,0.16334084325613918,0.12744446028419287,0.1707661526492601,0.16203722356844374,0.028213232828491086,0.14158620252923482,0.07886541864897068,0.2333077293880611
2ns,0.11970013014871492,0.06478578007121526,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.07246227185814691,0.1279209069456143,0.08961980185805418,0.18374029894775412,0.1465910792768098,0.07312112964697448,0.0010359998909086343,0.0906610474680517,0.183242288348061,0.23067847702859146
3ns,0.10704921814991178,0.054450656652718143,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.0498979924194094,0.1180193727550698,0.08656311060455746,0.1108450038401948,0.12273140103055502,0.13895962067753354,0.017665690443027016,0.12094748844778458,0.14927821289259757,0.1909156692744426
4ns,0.11457949634323036,0.061531948999036294,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.11021216042908122,0.08183041006837721,0.018268911619979344,0.0804215239252144,0.18712336061804014,0.11688704098968083,0.0683141287576361,0.0825631638636134,0.1596448440909285,0.24052941906975256
5ns,0.13037669270819352,0.04527454978593544,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.05231634321588341,0.15273454261439978,0.05342939798326185,0.15933671901225754,0.1342667659023461,0.13261509747942513,0.12156251705283128,0.11912126166140757,0.18820315204880889,0.19018113011131377
6ns,0.11475253052003306,0.058712984099201414,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.0377629095946983,0.10686299358980911,0.07370328850042496,0.19482740422646305,0.09721939583637207,0.14385162331288992,0.028506633170864437,0.08811434482522229,0.1770775918548273,0.19959912028875915
7ns,0.1216241857157057,0.03076889347812346,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.08627629443374274,0.09508319754329919,0.12924248726960885,0.128871744718136,0.18559102132199523,0.1375611695399891,0.0861493679902714,0.09834681901519893,0.11308805076025841,0.15603170456455728
8ns,0.1098653787886688,0.03714869131591207,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.05720857562464965,0.07379070349186545,0.07811805041797248,0.13576749405679578,0.08954450126529767,0.1403501592023545,0.07561514447802664,0.13028623746364376,0.14696132539278306,0.171011596493299
9ns,0.12776101707703943,0.024499821309394924,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.12282041759721884,0.14407529739622982,0.1414128486758338,0.10991984876189587,0.06730147082028981,0.15256535060277876,0.13898309387520336,0.11184094387795906,0.14246327703720807,0.146227622125777
10ns,0.11107747181362795,0.04122784257876786,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.05741291762825407,0.14123637216449902,0.13774623923286988,0.039369190858312475,0.1126787146590088,0.12053376789068226,0.09647205411356141,0.09060356545590498,0.12311331495511224,0.19160858117807433
conformations_10,0.17291012323610486,0.0363897495825427,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.12608028141334038,0.2187689395247442,0.1958447141571804,0.16650342165505694,0.16723300990554857,0.21921898090286085,0.104155398067026,0.16302744701202865,0.16041281304500365,0.20785622667825898
conformations_20,0.17788291307722362,0.03709817770141999,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.14342057525096397,0.22625076009363143,0.20452239842382247,0.18404982423693628,0.15660598573141837,0.2324443672382941,0.10969940461720906,0.16560391379808526,0.15303188820395197,0.20320001317792313
conformations_50,0.1882508462853374,0.03693465158639982,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.15052972762497174,0.22626574414259437,0.21622398020593048,0.1929160154284708,0.1680394188373635,0.25141526937267855,0.12566594926467056,0.16805358016469896,0.16697511265938936,0.2164236651526058
