mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.25070699924718287,0.06423966747217864,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.21143140349250233,0.18204252320305303,0.24975808473463712,0.34410683122885977,0.3515249305042215,0.2121236231914818,0.28225690233816647,0.18562666516470505,0.2950293974434207,0.1931696311707809
1ns,0.14292265307187074,0.06443608930467024,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.18662218477896642,-0.0015633698057639922,0.21558471208983998,0.16539862763550395,0.18650420913185373,0.182060342953259,0.07478434424920855,0.11846890673133037,0.15224882365606773,0.14911774929844157
2ns,0.1335210985129534,0.043377219840665934,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.2260078091402773,0.15002090467817475,0.13808222761578692,0.10914162480700518,0.09161444796121987,0.08157090392510002,0.12204980376463948,0.16944073349179656,0.1502967318824886,0.09698579786304529
3ns,0.11040215315992925,0.046252722300832085,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.1997775832557691,0.13541740368081356,0.024389133612708114,0.07686257929773899,0.10280958438548726,0.10158691468286574,0.08205635271242873,0.1130397077291384,0.12886636973933863,0.13921590250300397
4ns,0.12102677014493998,0.054632688799246494,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.11208721216382367,0.20163504633010731,0.06971841640019805,0.16822632348382938,0.107318247718309,0.09646112758582437,0.18651819064636332,0.0766413957407337,0.1554310912545207,0.03623065012569038
5ns,0.132649666882168,0.04027218786842299,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.21814774874277343,0.165859352521479,0.13049111520320023,0.15553221335369305,0.08669494262100452,0.09479123272337342,0.13378361692861163,0.11453325046537344,0.1360758597699705,0.09058733649220074
6ns,0.12112184935545489,0.05548379484494322,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.11035207804443292,0.2117139462531087,0.19169113829131645,0.048781990846935575,0.1420759829628424,0.06137201226945721,0.09515892941024406,0.16363119831973227,0.11691525530388724,0.06952596185259197
7ns,0.12450161586394519,0.04535152340672437,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.14590245038904204,0.16634595365014826,0.16932784565034664,0.07062726739157843,0.08851379832834494,0.08893651684325321,0.077327355914933,0.13211626147940425,0.2025929457899882,0.10332576320241305
8ns,0.11069949724143044,0.051958320838092716,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.15282006921182323,0.16792227519108116,0.08195297407729918,0.15645854562414996,0.08356048316490583,0.048256057298978194,0.1480455201064056,0.024251702551592924,0.15774701417793757,0.0859803310101307
9ns,0.11721099914390085,0.0665948610321661,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.12363604002634077,0.18626006884425483,0.06686514167119528,0.12967432621550457,0.042732212853808904,0.17728135627123398,0.13094220434754034,0.024119288833710506,0.22538302990821246,0.06521632246720688
10ns,0.12307732417583059,0.040762737823744455,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.15219706789178755,0.19270729676477816,0.040123144752287065,0.126791620851067,0.11465382739796537,0.13001653936851654,0.15801728794623582,0.09912325241366005,0.10480436547148841,0.1123388389005201
conformations_10,0.16809185289669665,0.040192431504487994,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.11831205517092191,0.09596794596190872,0.16661242553778743,0.22981416950798117,0.178832778086514,0.18124695227377918,0.20573383796281464,0.15303325327354955,0.19804125138786632,0.15332385980384367
conformations_20,0.16955446055052018,0.044904687075297274,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.12020246536378909,0.08665813414467605,0.17429007206884728,0.24087635993277345,0.18051985885819544,0.178858730898233,0.21907993792276848,0.1518551561659246,0.19096668760336932,0.15223720254662498
minimized_conformations_10,0.2575428936570032,0.0760864961957813,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.2068859407472037,0.1850072523825109,0.2292217938978389,0.3721540554449337,0.368970464546832,0.2549675078216215,0.327452623223888,0.228497164888132,0.3006158136097046,0.2416563200073666

