mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.2739803530283878,0.05797112763134422,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.22037192948702,0.2747623249172323,0.40582097816472973,0.34454071052292046,0.23577883378541442,0.25604016681887876,0.3077976187552308,0.2286690028523769,0.23727809119730237,0.22874387378277194
1ns,0.08412735677450225,0.09248764165824637,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.07046869909281528,0.1461654141784816,0.12452421645899225,0.09422540009157443,0.14281315495368274,0.05501674487854258,0.05923657789107939,0.1678908607294638,0.10673843865551924,0.19770442788299492
2ns,0.02072730102002903,0.12899919228570883,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.02978321674855733,0.019951267641732162,0.05538104798654708,0.06851663653518969,0.1605856625243458,0.1046630590992379,0.23695538576474195,0.0038924034671952157,0.2017426029132715,0.1674880554383803
3ns,0.019097930496235628,0.11148611474311612,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.12499917584258435,0.08215868716741703,0.0268755856667251,0.06266611271588163,0.17505641136782946,0.07989998361170547,0.19444111603366876,0.08738600984953371,0.04868457466312104,0.1267756285616094
4ns,0.03363205466508923,0.1431634086832298,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.1232777668749645,0.017465233516830603,0.09977426753445195,0.012756715594326673,0.12031863197378401,0.005854035606600583,0.13263783720365319,0.12649517994856252,0.13519195202502887,0.3525154651815404
5ns,0.06382239992136599,0.07906922140090507,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.04479331138229792,0.15697219428508224,0.09204428422136668,0.05409464861911739,0.1458018984966215,0.01793354151112725,0.11511954628788956,0.02698457758466799,0.06184562749220057,0.16069209294535802
6ns,0.03877923942924828,0.07970133625125941,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.02352515908906494,0.08248580872575195,0.08400576102294322,0.08273993562284221,0.06191932308875492,0.03175283420613151,0.11989775011782244,0.08138040395553847,0.10239382950125486,0.14483140378779602
7ns,0.03245800336658618,0.059204030257380275,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.001713472491445489,0.08727870764569423,0.11537959792391028,0.008751697883814358,0.12822440688187509,0.06285552278455664,0.0035016863270700416,0.05006367784665011,0.04018827709515649,0.0071268966693022184
8ns,0.04366884195981573,0.05387865431047849,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.009850716626537692,0.06058735035031193,0.14040070001529104,0.051354659584815554,0.06904298589856317,0.08271361716244019,0.07196126863331409,0.00510668939587966,0.020520141413136184,0.06889989251377127
9ns,0.059429292878833175,0.07278516415878346,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.029448115504480676,0.017648049251336895,0.1472366927351738,0.015654359066131773,0.06777603334526527,0.12984419693707105,0.10026613573931231,0.017093352617830737,0.1686154451754054,0.07044932034251583
10ns,0.0330059544593241,0.10782095255988122,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.067498155092105,0.03165070404802517,0.08367161888576535,0.20247506169507212,0.007830433024606731,0.016398484646571898,0.0029772501347611335,0.17526367423549727,0.10433492509436926,0.17790567131082125
conformations_10,0.14163962718309295,0.051587662362310556,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.09067301764156177,0.19576643756203715,0.1513796500606941,0.08969950912974489,0.13243101300879967,0.2222000116971079,0.10252123505169441,0.18668765176932178,0.06157888384093524,0.18345886206903272
conformations_20,0.16272764624761504,0.04627741984271185,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.13494681389156338,0.22293579899391736,0.17069302530905428,0.17483459364520715,0.11844388866323663,0.239318502027842,0.10728127445400615,0.1994568357679407,0.09522480996833582,0.16414091975504685
conformations_50,0.18630303631939565,0.046909092626525185,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.16648147026357252,0.2043291040759332,0.20441081645070192,0.20094528902818753,0.12986227006368634,0.2819655420476638,0.12411090455511298,0.22375796107255175,0.1311447397354396,0.19602226590110705
