mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,74,75,76,84,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,18.173,2.853,0.601,0.84,0.163,0.55,0.436,0.248,0.555,0.186,0.068,0.485,0.257,0.114,0.453,0.276,0.106,64.475,0.411,0.27,0.285,0.278,7.0,0.0004515,5.922,4.401,1.0,0.451845,6.2275747,62.387714,114.752846,66.805428
2,7.698970004336019,19.022,7.983,1.026,0.679,0.151,0.541,0.408,0.322,0.636,0.269,0.138,0.5,0.289,0.18,0.798,0.356,0.222,179.558,0.424,0.348,0.323,0.458,2.0,0.000471,7.195,3.144,1.0,0.523495,6.20816003,97.821854,173.04776,93.448349
3,8.0,16.0,8.497,0.911,0.63,0.153,0.483,0.421,0.314,0.614,0.237,0.132,0.47,0.281,0.186,0.77,0.306,0.202,158.262,0.406,0.328,0.312,0.426,5.0,0.0004885,6.621,2.973,1.0,0.501128,3.14442772,72.823967,151.822311,85.260452
4,8.0,22.55,7.296,1.527,0.719,0.149,0.545,0.357,0.393,0.455,0.231,0.157,0.459,0.253,0.22,0.457,0.319,0.228,210.107,0.431,0.281,0.311,0.335,7.0,0.000464,7.321,4.446,1.0,0.525403,4.54344011,70.880699,175.263,80.82608
5,7.301029995663981,18.48,8.001,1.078,0.671,0.151,0.529,0.408,0.383,0.84,0.235,0.233,0.554,0.278,0.22,0.822,0.344,0.261,176.414,0.44,0.436,0.351,0.476,3.0,0.0004915,7.44,2.973,1.0,0.539691,6.71810841,86.557281,177.232147,71.08239
6,4.721246399047171,14.596,4.858,1.033,0.712,0.157,0.527,0.409,0.425,0.432,0.208,0.136,0.466,0.277,0.22,0.503,0.295,0.206,90.994,0.454,0.259,0.321,0.335,5.0,0.000451,5.497,2.973,1.0,0.41174,2.51688289,48.225845,1022.620605,51.019001
8,7.096910013008056,27.002,3.042,2.525,0.829,0.151,0.54,0.341,0.323,0.337,0.274,0.18,0.392,0.261,0.23,0.354,0.426,0.294,158.02,0.401,0.264,0.294,0.358,6.0,0.0004659,6.797,2.871,1.0,0.507147,3.0621926,52.105461,1009.723572,71.340614
9,7.522878745280337,16.341,8.067,0.986,0.643,0.153,0.484,0.398,0.35,0.61,0.166,0.137,0.468,0.252,0.176,0.768,0.208,0.251,155.896,0.411,0.304,0.299,0.409,5.0,0.0004603,6.726,5.246,1.0,0.487691,3.83041225,82.637581,142.331451,79.228333
10,7.0,14.933,7.763,1.487,0.617,0.151,0.436,0.354,0.447,0.71,0.155,0.295,0.448,0.223,0.329,0.828,0.196,0.355,149.67,0.412,0.387,0.333,0.46,0.0,0.0005057,7.216,3.212,1.0,0.491039,3.42711642,75.26783,149.0466,103.852921
11,7.522878745280337,22.664,7.735,0.913,0.724,0.149,0.541,0.376,0.345,0.438,0.172,0.139,0.452,0.245,0.194,0.428,0.247,0.236,203.069,0.421,0.25,0.297,0.304,7.0,0.0004993,7.349,3.042,1.0,0.512187,3.44790226,70.468727,149.582947,76.16143
12,6.102372908709558,16.807,6.808,1.423,0.671,0.151,0.426,0.444,0.336,0.247,0.461,0.159,0.321,0.371,0.196,0.279,0.635,0.264,148.039,0.402,0.289,0.296,0.393,3.0,0.0005001,6.681,4.107,1.0,0.449834,4.79380118,88.899689,154.902435,97.259048
13,5.801342913045577,15.995,6.745,1.745,0.653,0.151,0.428,0.443,0.377,0.404,0.392,0.182,0.368,0.352,0.231,0.472,0.538,0.271,147.582,0.416,0.326,0.317,0.427,5.0,0.0004901,6.982,3.11,1.0,0.475538,7.02528585,70.260834,155.917023,98.939026
14,6.200659450546418,17.557,8.703,1.296,0.637,0.149,0.491,0.428,0.35,0.7,0.263,0.219,0.503,0.289,0.214,0.642,0.381,0.259,186.84,0.423,0.394,0.335,0.427,2.0,0.0004836,7.831,3.144,1.0,0.527824,6.71055274,61.991646,143.714966,84.947235
15,6.823908740944319,24.946,7.466,1.428,0.737,0.147,0.514,0.33,0.406,0.54,0.167,0.188,0.45,0.22,0.241,0.619,0.199,0.276,232.533,0.416,0.298,0.304,0.364,8.0,0.0005094,8.106,3.212,1.0,0.56272,5.88699464,94.027023,178.160645,95.255653
16,7.698970004336019,16.078,8.366,0.728,0.639,0.153,0.494,0.429,0.227,0.38,0.271,0.09,0.419,0.3,0.13,0.448,0.349,0.147,152.319,0.383,0.247,0.283,0.314,6.0,0.0004968,6.724,4.446,1.0,0.461473,4.90325557,91.1278,181.217697,117.998291
17,7.838631997765025,18.905,2.436,0.274,0.875,0.166,0.56,0.487,0.412,0.427,0.198,0.195,0.479,0.268,0.269,0.49,0.339,0.284,51.886,0.486,0.274,0.339,0.371,4.0,0.0005057,5.312,3.076,1.0,0.425071,2.6216635,68.68573,166.485001,69.6306
18,4.701146923590294,16.235,2.295,1.135,0.826,0.161,0.547,0.441,0.352,0.468,0.144,0.107,0.493,0.221,0.178,0.535,0.238,0.193,58.292,0.446,0.24,0.298,0.322,4.0,0.0005377,5.36,3.042,1.0,0.41013,3.5183416,27.617224,108.412064,59.915039
19,5.221848749616356,17.557,2.544,0.823,0.839,0.162,0.554,0.434,0.374,0.458,0.167,0.15,0.494,0.236,0.209,0.517,0.275,0.249,61.221,0.454,0.258,0.313,0.347,3.0,0.0004686,5.48,3.11,1.0,0.422579,2.16718175,63.274605,113.071602,59.371864
20,8.0,22.277,2.337,0.699,0.88,0.16,0.563,0.506,0.375,0.427,0.272,0.144,0.461,0.315,0.221,0.478,0.411,0.241,69.264,0.481,0.281,0.332,0.377,7.0,0.0005058,5.737,3.007,1.0,0.459216,5.15063643,67.800507,124.524612,43.269867
21,7.522878745280337,25.672,1.815,1.151,0.896,0.156,0.599,0.443,0.446,0.469,0.189,0.156,0.505,0.251,0.248,0.514,0.352,0.265,78.236,0.496,0.271,0.335,0.377,5.0,0.0004566,5.816,3.637,1.0,0.484102,2.35617039,45.504036,117.244087,61.23291
22,6.920818753952375,22.661,3.699,0.775,0.835,0.154,0.586,0.438,0.351,0.411,0.346,0.089,0.473,0.347,0.161,0.461,0.479,0.175,104.244,0.458,0.282,0.327,0.371,5.0,0.000479,6.443,3.076,1.0,0.46605,5.05843629,49.26889,135.582382,46.399574
23,7.301029995663981,27.661,1.833,1.15,0.903,0.153,0.604,0.443,0.429,0.499,0.198,0.134,0.524,0.255,0.22,0.55,0.349,0.259,84.637,0.492,0.277,0.333,0.386,6.0,0.0005089,6.292,2.836,1.0,0.505199,2.37367331,61.873108,153.777206,62.68364
24,7.958212681028248,24.163,2.947,0.746,0.867,0.156,0.592,0.464,0.344,0.486,0.157,0.164,0.503,0.237,0.221,0.531,0.258,0.28,91.424,0.467,0.269,0.32,0.356,7.0,0.0004686,6.214,3.247,1.0,0.488456,4.65765868,52.283062,172.224503,52.403004
25,8.0,15.028,4.101,0.133,0.78,0.164,0.565,0.485,0.34,0.719,0.21,0.152,0.562,0.292,0.202,0.864,0.317,0.218,64.17,0.463,0.361,0.352,0.466,4.0,0.0005278,5.164,4.31,1.0,0.443019,1.2458419,52.8568,153.564331,62.188572
26,8.0,18.08,2.232,0.796,0.857,0.164,0.552,0.462,0.38,0.882,0.202,0.103,0.604,0.259,0.2,0.621,0.322,0.243,56.527,0.465,0.396,0.355,0.395,4.0,0.0005151,5.621,2.973,1.0,0.486367,2.35798806,49.402729,142.843979,34.63607
27,8.0,18.783,5.066,0.4,0.775,0.156,0.581,0.453,0.418,0.531,0.205,0.145,0.521,0.276,0.208,0.576,0.286,0.278,104.689,0.484,0.294,0.335,0.38,7.0,0.0004957,6.022,3.042,1.0,0.459889,2.65789489,63.38414,136.698944,42.259434
28,8.0,17.25,4.885,0.276,0.77,0.16,0.609,0.498,0.212,0.709,0.335,0.196,0.569,0.347,0.129,0.858,0.458,0.349,90.386,0.44,0.414,0.348,0.555,6.0,0.0004738,5.298,4.543,1.0,0.475998,3.81819045,56.808304,146.81694,43.608326
