mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,231.491,150.315,1.539,0.604,0.165,0.495,0.315,0.537,0.658,0.192,0.548,0.28,0.476,0.297,0.358,0.449,0.466,89333.454,5.0,0.1450321,5.758,4.292,1.062,0.434056,5.85304808,66.799347,75.553741,71.686035
2,7.698970004336019,18.414,7.593,1.39,0.672,0.151,0.534,0.356,0.327,0.64,0.212,0.243,0.243,0.215,0.272,0.342,0.406,0.365,397.705,5.0,0.1765677,7.298,3.076,1.043,0.52071,5.97824171,71.156151,163.728119,77.81472
3,8.0,49.778,7.556,1.569,0.845,0.153,0.084,0.437,0.329,0.092,0.57,0.136,0.431,0.176,0.644,0.217,0.283,0.266,1114.888,3.0,0.2093012,6.919,3.007,1.039,0.485393,4.76797868,67.05838,161.042755,89.376518
4,8.0,394.13,22.495,2.853,0.94,0.149,0.628,0.462,0.213,0.55,0.27,0.049,0.322,0.076,0.29,0.108,0.435,0.289,35767.11,4.0,0.2336413,7.066,4.617,1.032,0.491337,4.32747643,58.615662,159.637085,102.320839
5,7.301029995663981,72.602,10.224,2.749,0.848,0.151,0.122,0.389,0.327,0.449,0.235,0.21,0.307,0.238,0.235,0.283,0.279,0.298,3095.663,4.0,0.1352734,7.651,2.905,1.049,0.533352,4.92165346,79.222198,146.01651,100.186813
6,4.721246399047171,61.892,40.46,3.238,0.586,0.157,0.101,0.044,0.404,0.053,0.004,0.198,0.012,0.277,0.015,0.259,0.183,0.085,11048.495,5.0,0.1131452,5.942,3.042,1.011,0.416905,3.15447918,55.758949,1010.78717,64.979691
8,7.096910013008056,8.993,7.393,1.939,0.491,0.152,0.592,0.521,0.414,0.541,0.337,0.209,0.394,0.253,0.412,0.27,0.509,0.362,245.51,6.0,0.2862425,6.14,2.939,1.062,0.398904,2.61873762,61.920074,982.369934,37.953503
9,7.522878745280337,15.929,6.931,1.019,0.667,0.154,0.459,0.386,0.33,0.541,0.189,0.132,0.277,0.173,0.24,0.239,0.392,0.287,270.106,4.0,0.1901,6.526,5.01,1.025,0.468257,2.09090718,63.320732,158.712311,65.261993
10,7.0,27.365,10.912,4.857,0.634,0.151,0.052,0.385,0.399,0.217,0.007,0.005,0.025,0.07,0.016,0.101,0.279,0.076,1978.234,6.0,0.1414097,7.796,3.007,1.052,0.488291,3.98647652,85.115868,158.156021,92.193924
11,7.522878745280337,204.48,8.317,2.815,0.948,0.149,0.875,0.455,0.416,0.914,0.214,0.204,0.301,0.253,0.307,0.243,0.582,0.444,7301.775,6.0,0.1124604,7.15,2.905,1.014,0.507346,3.81131504,82.567955,159.672714,77.044968
12,6.102372908709558,205.153,14.892,1.305,0.927,0.151,0.272,0.44,0.34,0.341,0.244,0.261,0.323,0.219,0.273,0.402,0.351,0.282,7551.705,4.0,0.2108601,7.035,4.379,1.043,0.435283,4.53471127,61.419964,184.193863,93.974213
13,5.801342913045577,17.333,9.062,1.155,0.629,0.151,0.473,0.375,0.267,0.655,0.234,0.123,0.252,0.153,0.299,0.189,0.371,0.337,396.504,3.0,0.2506904,7.372,3.076,1.048,0.530682,6.44179325,77.302963,160.555878,92.201935
14,6.200659450546418,21.783,7.552,1.372,0.709,0.149,0.504,0.33,0.303,0.893,0.148,0.192,0.208,0.19,0.187,0.196,0.379,0.411,461.13,4.0,0.2487847,8.08,3.076,1.063,0.590874,3.82109484,87.475967,175.409576,85.344254
15,6.823908740944319,67.515,15.726,6.841,0.749,0.147,0.05,0.486,0.366,0.017,0.028,0.003,0.078,0.305,0.167,0.381,0.3,0.016,8984.524,6.0,0.2934097,7.636,3.144,1.04,0.510078,4.52171879,119.348045,174.260056,106.405151
16,7.698970004336019,390.826,14.162,1.981,0.96,0.157,0.982,0.481,0.4,1.008,0.337,0.345,0.379,0.315,0.412,0.461,0.621,0.563,17710.15,6.0,0.1077375,6.466,4.481,1.035,0.475745,5.18084053,70.735191,181.113602,109.914345
17,7.838631997765025,202.04,4.451,1.644,0.971,0.164,0.798,0.497,0.405,0.738,0.442,0.148,0.407,0.22,0.548,0.255,0.567,0.443,2925.978,4.0,0.0702565,5.268,3.076,1.014,0.419359,2.83417612,85.156807,142.431839,99.004166
18,4.701146923590294,17.124,2.194,1.139,0.837,0.161,0.545,0.477,0.407,0.465,0.162,0.143,0.244,0.225,0.281,0.243,0.476,0.257,122.824,3.0,0.1290517,5.469,2.973,1.019,0.418992,2.68499831,48.645809,101.765396,55.164978
19,5.221848749616356,353.957,129.671,6.422,0.722,0.161,0.452,0.49,0.312,0.452,0.589,0.335,0.556,0.274,0.48,0.445,0.418,0.459,344228.647,2.0,0.0839169,5.488,2.905,1.014,0.422934,2.6198722,36.18166,109.325485,63.629002
20,8.0,18.776,2.901,1.232,0.82,0.16,0.612,0.399,0.281,0.539,0.13,0.134,0.197,0.172,0.203,0.224,0.431,0.268,171.195,5.0,0.1523128,6.068,3.144,1.019,0.447621,2.14690194,46.02969,123.512817,55.605034
21,7.522878745280337,92.594,13.498,1.255,0.863,0.156,0.178,0.538,0.43,0.05,0.5,0.145,0.509,0.224,0.577,0.238,0.382,0.232,3059.332,5.0,0.1013956,5.952,4.047,1.013,0.486095,2.53850173,68.188332,115.611153,65.486069
22,6.920818753952375,306.138,9.775,1.117,0.966,0.153,0.516,0.444,0.38,0.664,0.301,0.117,0.355,0.196,0.366,0.229,0.447,0.361,7003.335,4.0,0.124193,6.017,3.076,1.047,0.46162,5.64509082,50.733658,120.732246,53.685905
23,7.301029995663981,330.684,175.255,1.819,0.651,0.153,0.418,0.421,0.493,0.592,0.402,0.139,0.407,0.236,0.381,0.287,0.444,0.378,164800.837,5.0,0.1472008,6.035,3.178,1.012,0.481968,2.4817783,58.706619,154.068481,93.666267
24,7.958212681028248,23.159,2.527,1.394,0.855,0.156,0.572,0.341,0.366,0.513,0.128,0.164,0.174,0.225,0.22,0.271,0.426,0.268,202.961,4.0,0.1141632,6.234,3.076,1.029,0.488674,4.41660734,65.717255,157.790924,49.161217
25,8.0,13.557,3.719,0.494,0.763,0.164,0.558,0.509,0.352,0.761,0.195,0.12,0.299,0.175,0.287,0.165,0.473,0.359,101.624,4.0,0.1637921,5.424,4.346,1.013,0.427832,2.78988572,58.127041,155.677505,57.391026
26,8.0,18.237,1.7,1.027,0.87,0.164,0.551,0.376,0.303,0.877,0.209,0.176,0.199,0.183,0.278,0.186,0.41,0.421,104.3,3.0,0.082598,6.161,3.007,1.014,0.486864,3.33851012,54.856979,124.189362,56.00312
27,8.0,83.971,18.903,3.332,0.791,0.156,0.085,0.599,0.447,0.032,0.554,0.177,0.545,0.255,0.605,0.259,0.377,0.254,7325.6,7.0,0.1924047,6.196,2.802,1.019,0.463171,1.94746796,61.117477,109.838707,70.027344
28,8.0,21.995,2.291,0.725,0.879,0.16,0.563,0.515,0.317,0.628,0.354,0.164,0.326,0.193,0.494,0.248,0.465,0.382,129.598,4.0,0.2136821,6.161,4.746,1.017,0.504923,3.66325988,79.883324,169.311584,55.472866
29,7.301029995663981,292.411,48.907,4.012,0.847,0.157,0.936,0.054,0.504,1.005,0.009,0.013,0.016,0.142,0.018,0.103,0.498,0.342,73385.479,2.0,0.1633697,6.272,3.539,1.083,0.455234,6.36718442,61.476795,123.832787,69.175285
30,6.721246399047171,40.598,2.949,2.492,0.882,0.155,0.179,0.394,0.188,0.111,0.303,0.003,0.323,0.014,0.399,0.018,0.254,0.139,572.619,5.0,0.1613642,6.823,3.164,1.021,0.540474,2.3192209,93.510345,149.848907,72.989716
31,6.102372908709558,18.472,6.256,1.258,0.711,0.154,0.527,0.426,0.413,0.385,0.426,0.145,0.398,0.236,0.482,0.241,0.455,0.319,318.09,3.0,0.2740712,6.82,3.437,1.075,0.462704,5.94497008,61.954029,147.350876,54.082993
32,7.0,27.727,1.863,1.19,0.901,0.156,0.551,0.46,0.334,0.374,0.235,0.117,0.28,0.17,0.358,0.164,0.448,0.242,179.123,7.0,0.1433066,6.265,3.504,1.016,0.496852,2.84119845,63.516613,131.807251,76.691093
33,7.301029995663981,22.013,3.181,1.764,0.817,0.156,0.543,0.371,0.282,0.558,0.217,0.213,0.254,0.206,0.295,0.293,0.399,0.33,264.961,4.0,0.1138773,6.115,4.441,1.01,0.505078,1.2351139,69.008728,161.60939,52.996769
34,7.301029995663981,261.415,128.092,2.646,0.667,0.159,0.397,0.173,0.326,0.356,0.039,0.328,0.075,0.311,0.086,0.21,0.299,0.241,123509.797,5.0,0.2025476,6.029,4.338,1.01,0.499101,2.99365671,100.855522,159.614471,58.091412
35,7.154901959985743,179.789,1.987,1.694,0.98,0.158,0.881,0.397,0.458,0.879,0.236,0.157,0.235,0.235,0.285,0.274,0.579,0.424,1453.66,5.0,0.0587747,6.074,4.531,1.012,0.532756,2.57858015,51.571918,120.428398,46.28759
36,6.920818753952375,25.782,2.736,1.901,0.848,0.153,0.557,0.382,0.325,0.377,0.231,0.151,0.268,0.179,0.307,0.186,0.421,0.253,289.221,10.0,0.2361523,6.641,4.917,1.012,0.493786,2.79594098,50.700829,127.207497,57.85854
37,6.721246399047171,22.968,3.348,2.189,0.806,0.154,0.565,0.372,0.317,0.514,0.32,0.184,0.273,0.203,0.39,0.22,0.418,0.339,331.308,5.0,0.2515501,6.859,5.074,1.012,0.507243,0.510293302,47.47818,141.933685,61.502686
38,5.5003129173815966,131.324,21.199,2.972,0.845,0.152,0.104,0.531,0.351,0.026,0.537,0.238,0.491,0.229,0.573,0.307,0.329,0.267,11667.055,4.0,0.1638907,6.928,4.202,1.011,0.548871,4.23400472,72.64093,161.283875,66.294312
39,6.200659450546418,23.636,2.534,1.642,0.85,0.155,0.549,0.339,0.385,0.55,0.574,0.188,0.312,0.232,0.884,0.242,0.424,0.437,229.028,2.0,0.2409909,7.305,4.373,1.005,0.518853,2.10487973,76.794884,178.464523,52.969048
40,7.522878745280337,31.006,2.058,0.597,0.921,0.155,0.546,0.444,0.304,0.406,0.2,0.079,0.259,0.143,0.338,0.158,0.431,0.228,155.289,10.0,0.203934,6.183,3.539,1.009,0.532972,2.14979935,59.596306,168.192307,77.925377
41,7.301029995663981,229.011,6.622,1.323,0.966,0.158,0.834,0.468,0.33,0.87,0.345,0.172,0.352,0.209,0.405,0.262,0.544,0.463,4071.107,3.0,0.2093655,6.264,4.703,1.014,0.524155,3.97156437,55.768311,162.020676,55.801632
42,8.0,27.67,2.084,1.503,0.885,0.155,0.58,0.289,0.325,0.462,0.215,0.156,0.193,0.195,0.249,0.252,0.398,0.278,220.368,6.0,0.1973984,6.654,3.042,1.024,0.521381,2.4996541,21.226147,139.042389,46.096756
