mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,528.706,225.133,104.059,0.616,0.163,0.695,0.301,0.228,0.961,0.149,0.147,0.198,0.179,0.299,0.237,0.408,0.419,7.0,0.0639415,5.9,4.294,1.065,0.440024,6.13118768,63.181168,103.583748,64.080994
2,7.698970004336019,296.745,9.403,6.649,0.949,0.151,0.9,0.223,0.388,0.903,0.129,0.105,0.12,0.177,0.144,0.35,0.503,0.379,4.0,0.1691445,7.512,3.144,1.045,0.511279,1.43984472,91.610939,157.347733,138.775726
3,8.0,16.139,6.798,1.37,0.664,0.153,0.436,0.376,0.317,0.5,0.3,0.108,0.304,0.165,0.404,0.176,0.376,0.302,4.0,0.1948338,7.211,3.281,1.041,0.483173,4.68224327,61.68956,140.667526,81.691422
4,8.0,22.57,5.939,1.173,0.76,0.149,0.486,0.36,0.415,0.349,0.308,0.137,0.29,0.205,0.475,0.23,0.42,0.265,6.0,0.1812721,7.121,4.479,1.036,0.501065,4.68820135,136.502625,180.65477,101.024849
5,7.301029995663981,18.138,6.431,2.413,0.672,0.151,0.489,0.35,0.382,0.749,0.231,0.206,0.268,0.23,0.326,0.32,0.407,0.395,7.0,0.2388922,7.6,2.973,1.046,0.526851,5.39327902,74.166527,147.96402,74.609077
6,4.721246399047171,310.893,5.11,1.218,0.98,0.157,0.863,0.455,0.351,0.881,0.221,0.146,0.301,0.194,0.293,0.237,0.557,0.416,3.0,0.1718768,5.705,3.178,1.011,0.415368,2.03809392,58.567623,1026.38916,100.439621
8,7.096910013008056,211.677,5.93,3.623,0.957,0.151,0.58,0.545,0.359,0.489,0.567,0.247,0.52,0.292,0.647,0.323,0.494,0.434,8.0,0.3741297,5.85,3.007,1.069,0.39482,8.94686858,52.637363,1020.274963,56.851505
9,7.522878745280337,15.172,8.665,0.702,0.618,0.154,0.476,0.428,0.273,0.62,0.178,0.076,0.263,0.135,0.227,0.132,0.392,0.291,4.0,0.1552296,7.046,4.608,1.025,0.48017,1.69113465,58.760586,152.001938,59.872982
10,7.0,13.24,6.387,1.597,0.624,0.151,0.467,0.4,0.328,0.516,0.193,0.306,0.256,0.253,0.245,0.244,0.398,0.338,7.0,0.2797875,7.091,3.042,1.08,0.43763,6.20975889,55.217411,155.311859,90.119186
11,7.522878745280337,219.876,137.999,28.167,0.57,0.149,0.221,0.399,0.029,0.115,0.461,0.001,0.36,0.005,0.298,0.007,0.216,0.192,4.0,0.1138957,7.254,3.076,1.017,0.50923,3.58440626,92.804825,168.225479,88.478371
