mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.2780358256206849,0.04921305868220254,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.22403923446984453,0.2686292600704795,0.37491171219196606,0.34616619453590214,0.23446267100510132,0.3200415834856115,0.2592535696725977,0.24476625249458706,0.23266066690751885,0.27542711137324105
1ns,0.22989546167025918,0.03872816812057404,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.23851268329899677,0.17770571952232295,0.23226584429322694,0.2724493412172154,0.22717809506614373,0.28806297234696454,0.15594388064979325,0.21262045242515815,0.22930897708935782,0.26490665079341236
2ns,0.18466066950036805,0.058801176489507424,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.13466041689744113,0.24671649983895783,0.13564668431509308,0.15185139668181546,0.13291616182002441,0.19311381076939105,0.13964070450574084,0.15959298244100328,0.24038349156272365,0.31208454617148984
3ns,0.1823118879505799,0.060272794713411196,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.13018986356657647,0.26101773124813177,0.16287239571044743,0.09193943195600651,0.15210967898840244,0.2218298550604394,0.13163432760801808,0.14793433982359905,0.2592952188730443,0.26429603667113355
4ns,0.20650561287273783,0.06821374622774748,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.1364758219776836,0.28481703263975544,0.14913494710643715,0.10962165798656498,0.1729660041898361,0.20343515971411108,0.17249690660044026,0.23459037861693677,0.26938009596977963,0.332138123925833
5ns,0.20283272465452634,0.06335481311491423,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.1142467192352965,0.2465432064392713,0.17424043280416623,0.14468374497771375,0.13473535401279468,0.2352676325448313,0.1764622503519534,0.19867008991818236,0.2913817115281909,0.31209610473286253
6ns,0.20209796717338815,0.05635559235755629,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.11598220430102646,0.20036472832932128,0.19392137070799798,0.17250799351481672,0.187139932829958,0.25719832238653795,0.15323594888036884,0.17889926348308127,0.23185357252869865,0.3298763347720739
7ns,0.19977004038396176,0.05350313882867163,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.1354379303194766,0.19669227142569556,0.17394036690762504,0.10020151107554831,0.1945263220014819,0.2644577651151463,0.22457986809828046,0.17760923386546756,0.26095254524397715,0.2693025897869188
8ns,0.21677038437077117,0.05680566259885366,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.17889419803618212,0.226387583891001,0.1385541495638447,0.1558613004039946,0.23132185591700738,0.23794127339753934,0.2100118365618071,0.17246365867889957,0.28028882215863626,0.33597916509879955
9ns,0.23159179471508,0.05066481515496741,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.21314114179702726,0.26505905173264954,0.1868592507491198,0.2477786490388042,0.1618180780743793,0.2171472400645449,0.25059401901567746,0.17184100798450697,0.25993181650888686,0.34174769218520384
10ns,0.2150705990188447,0.058919045944745,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.12477924566372256,0.25257653123981993,0.20295553313840808,0.134955476328674,0.18202668786022413,0.21353589914556403,0.23653840313273478,0.23087774282707063,0.22853390487320346,0.3439265659790256
conformations_10,0.2690877963134262,0.047349390617627975,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.2430615348688806,0.22878624285048998,0.31349632142881523,0.3255456260364906,0.18885701542014188,0.32020173071432956,0.22235912314681727,0.24960558051656634,0.2721139677865754,0.3268508203651551
conformations_20,0.26954495928592903,0.04705534082276636,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.23781313438006424,0.23223549353843942,0.31253453890179217,0.32158764403846263,0.18616380935694254,0.3224684863676004,0.23210094112465995,0.24506184573726075,0.27796544190805605,0.3275182575060125
conformations_50,0.27577837039164355,0.04951031982247943,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.24261510317341273,0.2358735095505342,0.31931465553472027,0.347232371215484,0.1902271726243019,0.3322479678633964,0.23558952118697274,0.2477098260992222,0.28982822667465413,0.3171453499937368
