mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.2745677699488351,0.05963673075113611,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.22422554482884183,0.2081827070028296,0.2672024578202008,0.40175283260616046,0.321563392401334,0.24671092883369372,0.3034085062236541,0.2099228442105826,0.30071649533148104,0.26199199022957254
1ns,0.21810848955258993,0.0712863800778342,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.18867108597452653,0.04317685154773743,0.2690429991184743,0.276690970791277,0.22857900187680846,0.23491889793390286,0.17003945063811654,0.24174876412217983,0.24476735411933226,0.28344951940354424
2ns,0.1972794718840427,0.04703575455853543,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.26059234889481286,0.23163548097748987,0.19737071704709952,0.1831979929034836,0.13116467088615036,0.11760912896010234,0.21015280171307393,0.1868372235362754,0.25669957728007375,0.1975347766418657
3ns,0.18077206326048828,0.032565229721381934,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.2131627936784687,0.22271102474001392,0.14651271108148645,0.1755920613727152,0.1282246689386577,0.19525252871905496,0.1490223522382662,0.21911183029921777,0.1726952501216017,0.18543541141540032
4ns,0.21534001141510978,0.05142920959495114,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.17529353279895699,0.28218582360444966,0.1948185313931462,0.26999462983989586,0.14604439525789503,0.1832111151033613,0.2631398146660383,0.19310652267306283,0.2757162216100505,0.169889527204241
5ns,0.2170294499905539,0.04531850888986805,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.2634730772039442,0.27761214838859816,0.19719619114668352,0.23104253479577797,0.137847847388057,0.16675345070533476,0.24817033779397624,0.19504555993321315,0.25516127882985495,0.19799207372009897
6ns,0.22237930436396627,0.04362627506459245,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.22080954289554233,0.30786099131622835,0.26854012791211823,0.19121624645070834,0.16789945786894223,0.18392590071998371,0.1898882544035858,0.2491131163486412,0.23809087756574399,0.2064485281581684
7ns,0.21756590819652155,0.03891766789941433,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.2554421437371902,0.2615657448666011,0.23622634229369033,0.20823081306133728,0.1459654081336651,0.20098907506735508,0.1987260603070352,0.2124428587095385,0.2717588106398684,0.1843118251489344
8ns,0.23233700332152138,0.06482409722800134,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.24413021418857694,0.3217662514832209,0.20496810232491147,0.2789186006947517,0.10967077329073682,0.17274809155941862,0.29292466776758763,0.18793746770269115,0.2823810478512674,0.2279248163520512
9ns,0.22646146999778374,0.04644171604707892,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.2705081032277249,0.26871305496437803,0.22424712545673475,0.18466479495253962,0.14093623350101414,0.19393136761500884,0.2551246403623011,0.22417606586233785,0.2930795066152504,0.20923380742054787
10ns,0.2172512106549389,0.05017603455538967,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.28973351864303887,0.2905044915967002,0.1693409366702926,0.16230393999128057,0.1743672573319176,0.20902788549886764,0.2719355439971878,0.21224823186326747,0.2182413099761079,0.17480899098072888
conformations_10,0.24701842304824737,0.06093184980907182,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.20708792157478595,0.11691776746069937,0.25119880647299353,0.33031993601577836,0.2049409077475174,0.25506949871347673,0.2798667556876332,0.23441845240505266,0.30577412473867394,0.2845900596658628
conformations_20,0.24818943708708305,0.06172490266791607,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.21014265138918542,0.11486887103782661,0.2532354230353866,0.34122050007569715,0.21166732757367268,0.24909852018285894,0.27916373078020273,0.23793792928954471,0.29936509114133625,0.28519432636511977
