mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.2734238723111818,0.09542008339997358,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.3110290110049153,0.2599764296926642,0.38113373583093857,0.3449979520490868,0.14825346023165986,0.42903630886975963,0.29184921133029906,0.2507275006558509,0.10555053152031246,0.21168458192633155
1ns,0.2248448043287433,0.07097584540715302,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.22243548562953697,0.20827396516231855,0.2612513579247169,0.25124224807050544,0.2777539877950219,0.2896035248403025,0.07111114686783004,0.3155559954191235,0.1288698398514032,0.2223504917266741
2ns,0.14363718047566718,0.0983124116353357,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.06309926824855738,0.2302156795718442,0.03896974777007656,0.1861235315509746,0.1721035018397038,0.08822898651027766,0.0770378737892885,0.03741597519651929,0.17786350032047438,0.36531373995895544
3ns,0.16468844165001142,0.07443638166089388,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.2019830493450313,0.22318507085847217,0.23265213353073222,0.10794213159274268,0.05436531480223117,0.1016963380890965,0.06489181828576962,0.1536174547817698,0.27376110809766263,0.23278999711660586
4ns,0.1768214954796501,0.11591130254435461,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.07178947588397888,0.24920857879465463,0.0780783796820802,0.05881608301013497,0.16297089008214638,0.16510869486485913,0.25954453440858993,0.1920955148687694,0.2924175504163993,0.3558174188051578
5ns,0.21168991584503188,0.05310838971277323,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.1381873321574375,0.26327969600717616,0.16038591874974384,0.23063778698837833,0.16420756856446683,0.23197282530103902,0.16747950487257546,0.18575606961705615,0.3009770463584234,0.27401540983402195
6ns,0.18520881892351898,0.06699983918682717,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.08945162305983445,0.20414594581290213,0.1432514551572569,0.12513907782819245,0.15601826900726634,0.20613748574125845,0.15209109527052977,0.19174582281048558,0.24341390189512113,0.3406935126523427
7ns,0.1696800679466303,0.060573470252884024,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.10491144344520809,0.18092433612089753,0.22829901199437241,0.08702398844075954,0.07763872976502662,0.2271282203938384,0.19897507760906108,0.12865085114814556,0.23917819715370725,0.22407082339528628
8ns,0.17420987409251493,0.11026669543981023,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.1674707888995559,0.2293055600253231,0.05670446990159905,0.1021897773639745,0.2514741526124653,0.11376764811714823,0.20892685932192,0.014618031563832234,0.22900406656670125,0.39787344968029414
9ns,0.229077119259457,0.07903992279724913,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.24510531064110508,0.3218186418331864,0.13495928557357428,0.29317358089686174,0.13833909255013466,0.24749884394585908,0.15894176139457816,0.13484940540587675,0.2541585341034208,0.36192673624997307
10ns,0.16321433434673352,0.0865236228801783,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.08776571118895982,0.2518458852911123,0.1964558229575465,0.030464247708445802,0.07278483610611719,0.2509266409165408,0.2040226640673285,0.18208157781205625,0.18925676844713601,0.22746768438898346
conformations_10,0.26609255923368996,0.07525800078666224,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.30727714692240415,0.24121308443387046,0.333755307361728,0.30816914401372886,0.09417806079170754,0.3603884018566157,0.20541747101813312,0.24990198692593957,0.2294228735940882,0.33120211541868416
conformations_20,0.2649331694617459,0.0632584878506486,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.3158163948395779,0.24773366747522885,0.31604855701383694,0.31204187699584196,0.12101848354954925,0.3490724505041011,0.23328575456928502,0.2282075832404542,0.23025731550973183,0.29584961091985207
conformations_50,0.2816804223431665,0.06296489477075533,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.3460330710086673,0.2680660362930447,0.33097082030738545,0.3387674092860099,0.1466667753341574,0.3522946529125415,0.235830190115637,0.2839662659636929,0.21773305012796895,0.2964759520825593
