mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,1.69,17.382,2.114,1.369,0.833,0.163,0.536,0.387,0.369,0.547,0.14,0.133,0.213,0.22,0.203,0.175,0.431,0.274,0.278,8.0,0.1172368,5.628,4.573,1.063,0.445107,5.85575406,64.210045,101.419983,59.440968
2,7.698970004336019,2.15,19.041,7.767,1.125,0.682,0.151,0.54,0.382,0.335,0.654,0.244,0.154,0.268,0.182,0.318,0.241,0.419,0.35,0.46,2.0,0.1534938,7.606,3.042,1.042,0.525733,6.09913327,64.11644,166.414795,92.191734
3,8.0,2.21,249.296,9.721,1.313,0.958,0.153,0.946,0.492,0.405,0.899,0.32,0.201,0.356,0.246,0.391,0.214,0.614,0.473,0.478,7.0,0.1533912,7.167,3.076,1.037,0.487442,4.62847873,53.743164,138.237854,76.595024
4,8.0,4.3,23.332,7.391,1.289,0.729,0.149,0.562,0.351,0.316,0.484,0.215,0.096,0.242,0.151,0.3,0.162,0.41,0.265,0.316,2.0,0.1073236,7.42,4.446,1.035,0.53047,4.99347073,69.91684,177.867401,93.700027
5,7.301029995663981,5.29,18.926,7.854,1.207,0.676,0.151,0.535,0.394,0.378,0.855,0.22,0.237,0.265,0.215,0.323,0.313,0.436,0.437,0.494,3.0,0.1308686,7.697,2.939,1.046,0.544763,6.99740933,65.470917,157.951004,77.181328
6,4.721246399047171,6.14,15.489,4.143,1.098,0.747,0.157,0.503,0.408,0.345,0.421,0.155,0.132,0.24,0.185,0.191,0.233,0.419,0.236,0.312,6.0,0.1760822,5.72,3.212,1.011,0.416172,2.5256018,92.158508,997.704224,56.333527
7,4.638272163982407,5.99,218.495,7.67,2.145,0.957,0.157,0.55,0.383,0.339,0.481,0.296,0.2,0.334,0.241,0.308,0.262,0.424,0.325,0.319,,,,,,,,,,
8,7.096910013008056,7.63,186.233,6.376,2.584,0.954,0.151,0.472,0.549,0.328,0.689,0.533,0.185,0.506,0.228,0.498,0.235,0.45,0.469,0.42,7.0,0.3556625,6.532,3.178,1.07,0.399282,6.63124871,45.714703,131.410553,79.289162
9,7.522878745280337,4.48,17.219,5.892,1.315,0.705,0.153,0.44,0.385,0.346,0.503,0.19,0.121,0.28,0.174,0.246,0.219,0.39,0.271,0.363,3.0,0.1935114,6.716,4.44,1.026,0.476163,3.34792443,83.342133,193.343002,70.156464
10,7.0,5.29,361.071,10.401,1.484,0.968,0.151,0.845,0.526,0.379,0.986,0.402,0.34,0.385,0.265,0.356,0.189,0.584,0.576,0.506,5.0,0.1878051,7.13,3.042,1.082,0.454668,5.92678925,82.796989,152.849014,64.686607
11,7.522878745280337,3.1,98.724,16.819,4.411,0.823,0.149,0.157,0.496,0.293,0.114,0.408,0.155,0.408,0.218,0.436,0.168,0.315,0.226,0.23,4.0,0.1234624,7.726,3.042,1.015,0.509933,3.79996904,100.765442,177.732224,82.258095
12,6.102372908709558,5.52,30.294,17.484,7.176,0.551,0.151,0.024,0.484,0.365,0.539,0.01,0.001,0.005,0.089,0.006,0.12,0.291,0.183,0.28,3.0,0.2926413,7.291,4.446,1.047,0.496592,5.68893784,94.027405,172.015945,91.082489
13,5.801342913045577,3.07,227.527,12.477,1.47,0.942,0.151,0.956,0.507,0.357,0.897,0.366,0.174,0.373,0.213,0.441,0.237,0.606,0.479,0.496,4.0,0.1619698,7.416,3.178,1.046,0.504639,6.56833368,48.30265,153.650909,112.017944
14,6.200659450546418,4.19,107.352,7.534,2.682,0.913,0.149,0.239,0.472,0.312,0.466,0.336,0.232,0.338,0.274,0.522,0.2,0.341,0.345,0.38,5.0,0.2306121,7.957,2.939,1.069,0.509997,9.08258652,67.144241,155.211624,90.649551
15,6.823908740944319,5.86,183.749,116.407,6.136,0.6,0.147,0.401,0.088,0.374,0.348,0.02,0.411,0.041,0.347,0.022,0.518,0.288,0.26,0.27,8.0,0.3292468,7.642,2.939,1.04,0.496391,6.18528899,69.039291,167.594269,128.471115
16,7.698970004336019,0.19,16.219,7.836,1.093,0.645,0.153,0.508,0.388,0.357,0.415,0.249,0.078,0.272,0.153,0.319,0.161,0.418,0.247,0.324,7.0,0.07987,6.881,4.378,1.011,0.463066,4.55811744,79.93882,165.232376,87.094025
17,7.838631997765025,1.18,18.307,1.862,0.746,0.875,0.164,0.56,0.43,0.312,0.436,0.201,0.073,0.244,0.14,0.324,0.14,0.434,0.237,0.321,3.0,0.0620361,5.316,3.212,1.014,0.419332,2.41932804,69.047928,150.733337,113.634529
18,4.701146923590294,0.73,198.304,3.202,1.672,0.976,0.161,0.943,0.316,0.443,0.962,0.165,0.222,0.191,0.287,0.177,0.326,0.567,0.45,0.456,3.0,0.0990044,5.465,3.178,1.016,0.415469,3.14866489,41.317799,133.180313,44.91526
19,5.221848749616356,6.04,325.935,3.349,1.315,0.986,0.161,0.784,0.427,0.396,0.816,0.213,0.107,0.285,0.184,0.279,0.193,0.536,0.379,0.424,5.0,0.1694175,5.521,3.076,1.014,0.405545,2.4550307,53.494541,140.491547,96.822235
20,8.0,8.54,352.746,160.732,3.214,0.683,0.16,0.827,0.334,0.296,0.893,0.242,0.145,0.282,0.161,0.203,0.18,0.486,0.427,0.397,3.0,0.2213418,5.583,3.144,1.019,0.4408,3.35219961,33.684639,115.526459,52.61121
21,7.522878745280337,6.47,110.611,3.366,0.968,0.962,0.156,0.117,0.429,0.334,0.07,0.289,0.094,0.33,0.171,0.301,0.184,0.293,0.151,0.178,2.0,0.1175595,6.356,3.81,1.014,0.489162,2.58611877,85.602898,122.094353,38.289604
22,6.920818753952375,8.88,11.685,5.532,0.719,0.651,0.153,0.543,0.479,0.228,0.432,0.427,0.042,0.421,0.092,0.543,0.105,0.417,0.301,0.375,1.0,0.249968,5.622,3.144,1.041,0.390727,4.55252957,45.787117,150.131943,43.556629
23,7.301029995663981,1.62,206.386,15.598,2.585,0.919,0.153,0.458,0.424,0.412,0.342,0.306,0.19,0.341,0.266,0.304,0.357,0.431,0.279,0.306,5.0,0.1903739,6.058,2.905,1.012,0.48295,2.79135619,56.048695,142.042557,55.186142
24,7.958212681028248,1.37,183.453,72.724,1.32,0.712,0.156,0.338,0.229,0.35,0.371,0.231,0.111,0.233,0.183,0.118,0.23,0.306,0.238,0.218,7.0,0.096412,6.032,2.939,1.029,0.483453,4.2152563,54.295956,147.473816,47.206234
25,8.0,4.47,17.944,1.83,0.886,0.869,0.164,0.554,0.409,0.319,0.641,0.181,0.116,0.225,0.162,0.291,0.188,0.427,0.313,0.419,5.0,0.2081593,5.348,4.108,1.02,0.456252,3.54404673,51.234039,151.444122,34.029324
26,8.0,6.46,14.967,3.28,0.794,0.786,0.164,0.553,0.388,0.177,0.98,0.109,0.192,0.208,0.129,0.23,0.141,0.373,0.427,0.35,4.0,0.1974969,5.997,3.11,1.015,0.464538,2.01342356,44.852058,112.835922,47.253098
27,8.0,4.21,349.272,10.223,1.431,0.968,0.156,0.785,0.266,0.333,0.76,0.208,0.141,0.186,0.191,0.156,0.309,0.461,0.37,0.366,10.0,0.1709305,5.733,3.042,1.019,0.477662,3.63110838,53.949375,105.945648,61.038929
28,8.0,0.17,17.666,3.218,1.159,0.801,0.16,0.572,0.402,0.268,0.705,0.185,0.206,0.251,0.178,0.253,0.294,0.414,0.365,0.472,9.0,0.1766217,5.797,4.612,1.013,0.47741,5.10361879,48.846561,149.702957,49.902145
29,7.301029995663981,2.31,17.685,4.439,1.187,0.759,0.157,0.572,0.443,0.25,0.531,0.316,0.123,0.313,0.154,0.373,0.191,0.421,0.323,0.398,6.0,0.1454223,5.999,3.471,1.083,0.458905,5.87022272,56.424934,120.569809,80.238617
30,6.721246399047171,3.4,182.207,5.199,1.77,0.963,0.155,0.764,0.403,0.411,0.766,0.281,0.141,0.312,0.254,0.368,0.201,0.526,0.396,0.387,8.0,0.1713144,6.771,3.572,1.021,0.519006,3.39798149,72.275497,136.437012,71.75489
31,6.102372908709558,7.66,16.174,6.538,0.89,0.685,0.153,0.507,0.451,0.297,0.289,0.462,0.134,0.412,0.168,0.589,0.225,0.418,0.295,0.376,2.0,0.3307967,6.384,3.471,1.075,0.432561,7.05827502,86.482727,156.092438,128.989883
32,7.0,5.38,27.893,1.661,1.13,0.909,0.156,0.543,0.459,0.329,0.374,0.21,0.115,0.263,0.18,0.348,0.179,0.444,0.233,0.309,7.0,0.1475285,5.971,3.538,1.014,0.49774,3.1593855,53.545441,158.057297,58.330227
33,7.301029995663981,8.52,362.234,22.48,1.415,0.938,0.156,0.527,0.543,0.406,0.423,0.61,0.221,0.478,0.284,0.86,0.176,0.492,0.418,0.449,8.0,0.2122191,6.547,4.304,1.011,0.520946,2.02816118,66.177452,140.454407,78.115257
34,7.301029995663981,2.09,47.906,18.8,1.314,0.704,0.159,0.043,0.406,0.437,0.149,0.001,0.107,0.009,0.224,0.027,0.334,0.295,0.086,0.129,5.0,0.1906174,6.295,4.543,1.01,0.510083,2.39542807,43.359604,157.054581,52.519054
35,7.154901959985743,8.32,185.808,6.651,1.074,0.96,0.158,0.692,0.387,0.412,0.715,0.241,0.223,0.272,0.238,0.321,0.225,0.497,0.393,0.383,6.0,0.2006714,6.164,4.598,1.011,0.504478,1.85910929,57.638847,120.345268,48.038235
36,6.920818753952375,8.37,24.503,3.27,2.159,0.819,0.153,0.58,0.403,0.305,0.434,0.209,0.106,0.268,0.145,0.296,0.14,0.429,0.25,0.301,8.0,0.2300384,6.588,5.052,1.012,0.498082,3.19502755,60.078049,203.841721,55.732254
37,6.721246399047171,2.69,21.914,3.35,2.385,0.793,0.154,0.561,0.453,0.342,0.561,0.19,0.303,0.283,0.202,0.182,0.246,0.452,0.351,0.361,7.0,0.2410421,6.768,4.903,1.012,0.508502,3.66964775,62.713524,140.667389,90.107841
38,5.5003129173815966,6.63,32.21,2.642,1.401,0.888,0.152,0.561,0.244,0.31,0.475,0.142,0.135,0.145,0.178,0.182,0.23,0.372,0.25,0.318,7.0,0.1747345,7.372,4.27,1.013,0.564762,3.68279114,91.659508,144.643433,98.003792
39,6.200659450546418,1.84,80.369,26.55,1.867,0.739,0.155,0.053,0.579,0.249,0.052,0.553,0.446,0.494,0.218,0.027,0.828,0.293,0.35,0.295,6.0,0.2174449,7.085,4.169,1.005,0.554433,1.97998017,53.615017,165.871201,68.767006
40,7.522878745280337,9.46,113.115,2.433,1.197,0.969,0.155,0.504,0.399,0.302,0.604,0.193,0.133,0.248,0.167,0.259,0.191,0.401,0.31,0.335,10.0,0.1983621,6.762,3.403,1.009,0.527191,1.93116531,65.304161,133.231766,61.790718
41,7.301029995663981,2.03,108.941,11.795,1.383,0.892,0.158,0.187,0.513,0.411,0.369,0.332,0.193,0.454,0.24,0.256,0.327,0.37,0.298,0.403,4.0,0.2125174,6.193,4.841,1.014,0.536329,3.07784052,65.9991,132.523102,69.242096
