mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,3.3,27.574,14.145,2.213,0.628,0.163,0.049,0.387,0.425,0.1,0.467,0.171,0.372,0.248,0.016,0.278,0.246,5.0,0.069662,5.906,4.407,1.063,0.441651,6.50955262,65.884979,69.755188,86.720589
2,7.698970004336019,0.49,18.332,8.261,0.826,0.669,0.151,0.53,0.393,0.348,0.667,0.189,0.148,0.256,0.189,0.223,0.24,0.335,5.0,0.2261285,7.685,2.836,1.029,0.521454,2.62307737,66.927841,173.006561,69.941666
3,8.0,6.43,16.644,7.052,1.104,0.671,0.153,0.461,0.379,0.281,0.529,0.294,0.099,0.304,0.149,0.393,0.161,0.308,3.0,0.2012039,7.529,3.144,1.04,0.487189,3.39999844,63.486485,137.876587,90.816254
4,8.0,8.77,196.762,41.913,3.45,0.813,0.149,0.575,0.051,0.461,0.599,0.072,0.181,0.026,0.27,0.016,0.299,0.284,4.0,0.2388264,7.866,4.446,1.036,0.508754,4.40812321,87.471436,178.790161,80.566948
5,7.301029995663981,4.54,18.57,8.014,1.073,0.671,0.151,0.515,0.395,0.267,0.833,0.226,0.109,0.27,0.148,0.27,0.17,0.39,3.0,0.1464411,7.913,3.076,1.047,0.543066,3.38180181,84.374962,174.983047,101.627098
6,4.721246399047171,2.64,68.448,10.617,3.856,0.825,0.157,0.061,0.546,0.382,0.009,0.007,0.159,0.289,0.239,0.52,0.182,0.058,4.0,0.153358,5.852,2.939,1.011,0.415846,2.57451952,79.823242,1004.860596,73.486816
7,4.638272163982407,9.25,14.905,5.287,0.508,0.72,0.157,0.524,0.416,0.294,0.631,0.206,0.081,0.277,0.134,0.287,0.133,0.306,,,,,,,,,,
8,7.096910013008056,1.2,10.276,6.224,1.707,0.564,0.151,0.501,0.595,0.332,0.384,0.609,0.13,0.598,0.21,0.697,0.207,0.374,4.0,0.4098824,6.212,2.905,1.065,0.395713,8.02852231,57.988338,1014.909302,73.831009
9,7.522878745280337,5.99,16.05,7.962,0.975,0.642,0.153,0.484,0.413,0.287,0.606,0.17,0.107,0.261,0.154,0.216,0.174,0.294,5.0,0.1699715,7.241,4.606,1.025,0.482713,2.50508085,80.321175,141.600388,60.591457
10,7.0,3.13,247.115,5.283,3.464,0.966,0.151,0.365,0.473,0.363,0.628,0.195,0.186,0.325,0.228,0.251,0.264,0.336,5.0,0.3768275,6.947,3.042,1.064,0.438441,9.10335902,48.885719,152.094788,75.085411
11,7.522878745280337,6.11,382.898,75.824,1.687,0.832,0.149,0.734,0.212,0.426,0.828,0.104,0.196,0.131,0.279,0.082,0.255,0.376,3.0,0.1772566,7.304,3.076,1.017,0.509257,2.74496893,69.757126,165.070984,88.892113
12,6.102372908709558,3.81,157.9,4.457,1.45,0.964,0.151,0.379,0.397,0.352,0.309,0.395,0.199,0.337,0.208,0.476,0.327,0.301,8.0,0.2117682,6.488,4.174,1.046,0.443043,5.22631941,92.106827,168.746872,84.459335
13,5.801342913045577,4.71,264.256,8.427,2.431,0.961,0.151,0.521,0.34,0.283,0.556,0.144,0.293,0.21,0.241,0.095,0.388,0.331,3.0,0.2513521,7.158,3.076,1.055,0.526044,5.57952982,110.679062,163.159653,93.451454
14,6.200659450546418,3.55,18.925,8.033,1.596,0.663,0.149,0.452,0.394,0.378,0.681,0.377,0.148,0.325,0.22,0.566,0.216,0.402,2.0,0.2398594,8.389,2.939,1.067,0.549472,7.9501551,54.567577,169.756241,86.784698
15,6.823908740944319,1.72,342.688,13.588,4.295,0.95,0.147,0.428,0.454,0.315,0.369,0.491,0.257,0.414,0.242,0.625,0.264,0.372,6.0,0.264858,7.235,3.178,1.04,0.519642,5.15855143,97.727531,170.241776,114.710114
16,7.698970004336019,9.85,262.763,8.171,2.513,0.961,0.153,0.615,0.421,0.277,0.582,0.313,0.118,0.315,0.168,0.503,0.149,0.338,4.0,0.2163359,7.081,4.379,1.037,0.441742,4.54548914,67.044456,141.279984,76.367729
17,7.838631997765025,2.38,14.429,3.365,0.577,0.785,0.164,0.567,0.463,0.353,0.484,0.188,0.095,0.274,0.166,0.292,0.174,0.256,3.0,0.1898339,5.014,3.042,1.014,0.395017,3.26641315,106.734558,158.392776,76.682259
18,4.701146923590294,4.34,347.819,15.153,1.189,0.955,0.161,0.482,0.451,0.365,0.472,0.455,0.12,0.437,0.188,0.597,0.293,0.349,5.0,0.113617,5.616,2.905,1.02,0.416007,3.28687213,51.162407,114.54393,37.361736
19,5.221848749616356,9.97,13.981,3.004,1.365,0.762,0.162,0.554,0.375,0.357,0.514,0.173,0.086,0.238,0.159,0.265,0.151,0.258,6.0,0.143637,5.257,3.007,1.014,0.399535,2.20685582,53.427284,123.266861,51.262329
20,8.0,5.78,19.817,2.576,0.861,0.852,0.16,0.578,0.498,0.358,0.492,0.181,0.133,0.267,0.192,0.302,0.2,0.268,5.0,0.1326233,6.17,2.973,1.019,0.449472,2.25995688,63.181259,107.411156,45.051121
21,7.522878745280337,2.32,26.063,1.752,1.036,0.903,0.156,0.585,0.469,0.395,0.467,0.205,0.111,0.268,0.191,0.347,0.219,0.261,5.0,0.145998,6.304,3.808,1.013,0.487409,3.43259299,48.045753,129.05777,45.385387
22,6.920818753952375,4.96,403.237,11.608,1.263,0.969,0.153,0.827,0.568,0.434,0.736,0.515,0.199,0.536,0.261,0.468,0.303,0.483,8.0,0.2023169,6.119,2.973,1.047,0.403577,4.86719087,55.844421,138.194748,53.122837
23,7.301029995663981,6.91,27.186,1.8,1.004,0.906,0.153,0.583,0.441,0.324,0.487,0.196,0.072,0.255,0.141,0.349,0.147,0.252,6.0,0.1118451,5.857,3.076,1.012,0.501357,1.98512877,61.748402,159.585281,41.399231
24,7.958212681028248,2.68,22.757,2.247,1.344,0.864,0.156,0.584,0.43,0.421,0.507,0.161,0.187,0.228,0.247,0.281,0.277,0.285,6.0,0.1303937,5.81,3.11,1.029,0.480417,4.8890043,77.818024,131.927643,51.178513
25,8.0,5.02,367.588,31.642,6.054,0.907,0.164,0.724,0.039,0.383,0.834,0.162,0.237,0.031,0.257,0.008,0.321,0.411,3.0,0.1924969,5.569,4.448,1.021,0.455407,5.11584153,67.658707,161.550964,94.24778
26,8.0,1.12,403.795,210.275,37.836,0.619,0.164,0.948,0.327,0.174,0.973,0.261,0.002,0.29,0.017,0.199,0.048,0.412,4.0,0.1619377,5.968,3.042,1.012,0.466524,0.637881766,58.656532,109.643463,38.761253
27,8.0,6.93,57.973,6.257,1.3,0.885,0.156,0.14,0.392,0.325,0.168,0.199,0.119,0.262,0.174,0.196,0.217,0.162,3.0,0.2372686,6.198,2.836,1.019,0.470641,3.11855493,33.106251,118.335442,41.917225
28,8.0,3.7,17.438,3.968,0.71,0.789,0.16,0.589,0.528,0.29,0.694,0.372,0.127,0.377,0.162,0.51,0.191,0.398,5.0,0.0893267,5.737,4.61,1.018,0.474418,3.56627427,59.7006,146.406647,68.596657
29,7.301029995663981,7.37,309.307,9.005,1.104,0.968,0.157,0.478,0.395,0.315,0.558,0.22,0.158,0.265,0.197,0.254,0.169,0.312,6.0,0.2488388,6.059,3.471,1.08,0.429355,4.86034975,102.24012,168.860031,51.831718
