mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,7.07,17.245,2.275,1.153,0.834,0.163,0.53,0.315,0.261,0.546,0.109,0.191,0.171,0.174,0.199,0.112,0.369,0.282,7.0,0.1656399,5.186,4.483,1.064,0.443804,6.81214026,84.044617,129.936127,55.019924
2,7.698970004336019,2.15,19.041,7.767,1.125,0.682,0.151,0.54,0.382,0.335,0.654,0.244,0.154,0.268,0.182,0.318,0.241,0.419,0.35,2.0,0.1534938,7.606,3.042,1.042,0.525733,6.09913327,64.11644,166.414795,92.191734
3,8.0,4.81,38.59,13.748,4.19,0.683,0.153,0.034,0.509,0.42,0.147,0.005,0.003,0.068,0.06,0.038,0.07,0.321,0.051,4.0,0.1615424,6.899,3.212,1.042,0.494733,5.41673846,57.048779,167.253418,82.277611
4,8.0,2.85,23.084,7.279,1.292,0.729,0.149,0.559,0.348,0.312,0.48,0.217,0.094,0.244,0.15,0.299,0.16,0.406,0.264,5.0,0.1279767,7.956,4.617,1.034,0.527651,4.90978369,84.485794,188.970688,80.59269
5,7.301029995663981,0.05,18.945,7.551,1.407,0.679,0.151,0.549,0.377,0.314,0.885,0.199,0.187,0.249,0.172,0.283,0.237,0.413,0.424,4.0,0.1299226,7.546,3.076,1.009,0.544897,6.04630054,73.885139,159.129242,78.499481
6,4.721246399047171,6.82,15.263,3.968,1.191,0.747,0.157,0.501,0.399,0.32,0.419,0.152,0.127,0.235,0.176,0.186,0.228,0.407,0.232,4.0,0.1681283,6.053,2.836,1.011,0.413102,2.96993386,66.441544,990.629944,64.360413
7,4.638272163982407,9.29,14.728,4.784,1.062,0.716,0.157,0.527,0.412,0.297,0.708,0.167,0.096,0.253,0.153,0.217,0.162,0.412,0.324,,,,,,,,,,
8,7.096910013008056,8.96,209.041,9.605,1.382,0.95,0.151,0.58,0.401,0.237,0.806,0.294,0.091,0.318,0.125,0.323,0.166,0.406,0.397,8.0,0.3702577,6.078,3.007,1.072,0.397909,8.66819981,61.148163,180.565903,54.358444
9,7.522878745280337,4.48,17.219,5.892,1.315,0.705,0.153,0.44,0.385,0.346,0.503,0.19,0.121,0.28,0.174,0.246,0.219,0.39,0.271,3.0,0.1935114,6.716,4.44,1.026,0.476163,3.34792443,83.342133,193.343002,70.156464
10,7.0,5.29,361.071,10.401,1.484,0.968,0.151,0.845,0.526,0.379,0.986,0.402,0.34,0.385,0.265,0.356,0.189,0.584,0.576,5.0,0.1878051,7.13,3.042,1.082,0.454668,5.92678925,82.796989,152.849014,64.686607
11,7.522878745280337,3.1,98.724,16.819,4.411,0.823,0.149,0.157,0.496,0.293,0.114,0.408,0.155,0.408,0.218,0.436,0.168,0.315,0.226,4.0,0.1234624,7.726,3.042,1.015,0.509933,3.79996904,100.765442,177.732224,82.258095
12,6.102372908709558,3.48,75.589,12.203,7.508,0.793,0.151,0.102,0.432,0.343,0.026,0.513,0.209,0.433,0.246,0.702,0.227,0.292,0.249,3.0,0.2879478,7.446,4.412,1.046,0.49059,5.77468162,86.768753,193.428833,87.897736
13,5.801342913045577,8.05,15.981,7.621,1.616,0.634,0.151,0.411,0.399,0.355,0.418,0.415,0.169,0.335,0.208,0.576,0.25,0.388,0.334,6.0,0.1361779,7.668,3.11,1.062,0.491476,7.91985662,72.661682,159.894897,101.408409
14,6.200659450546418,3.69,19.207,6.56,1.615,0.701,0.149,0.436,0.372,0.378,0.573,0.373,0.203,0.306,0.226,0.574,0.279,0.395,0.383,7.0,0.2478864,7.464,3.144,1.068,0.531864,8.7882106,64.70948,169.66304,82.141685
15,6.823908740944319,5.58,255.465,22.486,6.529,0.898,0.147,0.353,0.023,0.429,0.322,0.088,0.307,0.019,0.332,0.006,0.516,0.268,0.239,9.0,0.3162368,7.451,3.212,1.041,0.499228,4.50325098,100.310165,183.616257,64.266266
16,7.698970004336019,5.16,286.349,12.617,0.887,0.955,0.153,0.625,0.552,0.308,0.675,0.443,0.068,0.46,0.131,0.514,0.164,0.495,0.395,2.0,0.0900864,6.979,4.378,1.036,0.464722,5.0846258,65.894516,184.39856,122.206154
17,7.838631997765025,7.56,18.074,1.849,0.748,0.874,0.164,0.562,0.431,0.315,0.442,0.197,0.071,0.242,0.14,0.319,0.137,0.436,0.237,3.0,0.0648558,5.532,3.007,1.015,0.417633,2.93352321,76.788391,105.557426,51.562439
18,4.701146923590294,0.73,198.304,3.202,1.672,0.976,0.161,0.943,0.316,0.443,0.962,0.165,0.222,0.191,0.287,0.177,0.326,0.567,0.45,3.0,0.0990044,5.465,3.178,1.016,0.415469,3.14866489,41.317799,133.180313,44.91526
19,5.221848749616356,6.04,325.935,3.349,1.315,0.986,0.161,0.784,0.427,0.396,0.816,0.213,0.107,0.285,0.184,0.279,0.193,0.536,0.379,5.0,0.1694175,5.521,3.076,1.014,0.405545,2.4550307,53.494541,140.491547,96.822235
20,8.0,8.54,352.746,160.732,3.214,0.683,0.16,0.827,0.334,0.296,0.893,0.242,0.145,0.282,0.161,0.203,0.18,0.486,0.427,3.0,0.2213418,5.583,3.144,1.019,0.4408,3.35219961,33.684639,115.526459,52.61121
21,7.522878745280337,6.47,110.611,3.366,0.968,0.962,0.156,0.117,0.429,0.334,0.07,0.289,0.094,0.33,0.171,0.301,0.184,0.293,0.151,2.0,0.1175595,6.356,3.81,1.014,0.489162,2.58611877,85.602898,122.094353,38.289604
22,6.920818753952375,8.88,11.685,5.532,0.719,0.651,0.153,0.543,0.479,0.228,0.432,0.427,0.042,0.421,0.092,0.543,0.105,0.417,0.301,1.0,0.249968,5.622,3.144,1.041,0.390727,4.55252957,45.787117,150.131943,43.556629
23,7.301029995663981,4.12,32.543,9.912,1.795,0.735,0.153,0.126,0.107,0.492,0.173,0.003,0.009,0.012,0.175,0.018,0.232,0.242,0.061,2.0,0.1738262,5.845,3.247,1.012,0.484582,2.88095676,55.21191,120.86657,68.674492
24,7.958212681028248,0.76,80.298,3.805,1.498,0.938,0.156,0.17,0.283,0.358,0.153,0.155,0.164,0.187,0.213,0.149,0.284,0.27,0.157,5.0,0.0814762,6.127,3.007,1.027,0.484273,3.72470145,56.053509,145.550278,46.956852
25,8.0,6.03,147.18,4.024,0.817,0.968,0.164,0.345,0.576,0.24,0.351,0.349,0.122,0.427,0.128,0.394,0.236,0.387,0.274,2.0,0.1836379,5.419,4.31,1.022,0.46265,3.6579717,50.86422,144.012894,89.330978
26,8.0,6.91,15.439,3.099,0.801,0.798,0.164,0.554,0.381,0.18,0.974,0.103,0.177,0.2,0.125,0.222,0.137,0.372,0.418,1.0,0.1968508,6.084,3.178,1.014,0.468364,2.74031063,58.769455,110.38166,41.192993
27,8.0,4.21,349.272,10.223,1.431,0.968,0.156,0.785,0.266,0.333,0.76,0.208,0.141,0.186,0.191,0.156,0.309,0.461,0.37,10.0,0.1709305,5.733,3.042,1.019,0.477662,3.63110838,53.949375,105.945648,61.038929
28,8.0,0.17,17.666,3.218,1.159,0.801,0.16,0.572,0.402,0.268,0.705,0.185,0.206,0.251,0.178,0.253,0.294,0.414,0.365,9.0,0.1766217,5.797,4.612,1.013,0.47741,5.10361879,48.846561,149.702957,49.902145
29,7.301029995663981,2.39,143.807,109.554,3.065,0.561,0.157,0.136,0.181,0.411,0.376,0.094,0.191,0.109,0.251,0.043,0.293,0.243,0.22,5.0,0.1324579,6.252,3.266,1.083,0.473234,6.55983628,43.831997,111.274757,66.669693
30,6.721246399047171,4.95,25.487,3.72,1.132,0.84,0.155,0.545,0.404,0.229,0.516,0.21,0.121,0.287,0.141,0.254,0.181,0.392,0.282,4.0,0.1689107,6.366,3.47,1.02,0.523958,3.58654241,63.381741,128.726532,48.108032
31,6.102372908709558,7.66,16.174,6.538,0.89,0.685,0.153,0.507,0.451,0.297,0.289,0.462,0.134,0.412,0.168,0.589,0.225,0.418,0.295,2.0,0.3307967,6.384,3.471,1.075,0.432561,7.05827502,86.482727,156.092438,128.989883
32,7.0,0.34,29.522,1.586,1.068,0.918,0.156,0.546,0.343,0.215,0.369,0.157,0.078,0.198,0.117,0.273,0.12,0.368,0.201,5.0,0.1308895,6.303,3.641,1.02,0.508304,2.86157686,65.483078,158.887512,66.97271
