mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,6,0.0790646,5.672,3.751,1.183,0.381362,12.3303435,74.452545,91.169472,113.353195
2,9.30102999566398,10,0.068753,5.52,4.191,1.185,0.353247,6.98758115,51.777603,251.72699,99.891212
3,6.214670164989233,4,0.1327333,6.019,3.11,1.067,0.426208,5.82184565,65.19117,103.610176,158.537872
4,7.920818753952375,7,0.061101,6.182,3.178,1.156,0.41896,10.8670947,58.458099,313.438995,131.108078
6,7.823908740944319,4,0.1019881,5.523,3.178,1.162,0.415189,10.7180812,62.977341,247.13295,104.834488
7,7.207608310501746,4,0.1446912,5.639,3.007,1.153,0.371901,9.5226999,40.830231,323.302307,136.316803
8,8.619788758288394,7,0.1661861,5.97,3.452,1.162,0.423578,9.85088598,29.43018,254.40712,118.672607
9,7.341988603342887,5,0.0871905,4.789,3.178,1.19,0.303287,8.65285359,37.419067,271.110626,45.976845
10,8.698970004336019,7,0.1568799,5.714,4.579,1.133,0.423189,6.74291795,79.911842,231.68396,125.300774
12,7.744727494896693,7,0.2035406,6.156,3.71,1.151,0.44375,11.8954781,60.51384,238.24025,133.203964
13,7.552841968657781,6,0.1476995,5.433,3.572,1.173,0.395547,8.78814677,56.166943,243.822144,96.764786
14,8.017728766960431,9,0.1276456,5.79,4.156,1.245,0.425606,11.4840327,55.712734,272.211365,102.520096
15,8.920818753952375,6,0.0298153,5.3,4.019,1.348,0.371004,14.9664854,39.374466,242.911835,98.136917
16,7.301029995663981,6,0.0931351,4.793,3.417,1.156,0.337332,8.5326352,25.559,236.212524,126.419106
17,8.537602002101044,7,0.1329689,4.671,3.212,1.195,0.341787,9.85370258,30.815361,252.28154,83.490906
19,7.494850021680094,7,0.0968639,5.962,4.157,1.133,0.411761,7.28867721,59.249683,270.593658,126.497658
20,7.657577319177793,10,0.0698965,6.245,4.329,1.139,0.447675,9.24531067,68.731041,351.095154,195.950989
21,7.958607314841775,9,0.1907032,5.904,4.122,1.207,0.433131,9.47325286,58.981796,222.755219,198.48114
22,7.017728766960431,5,0.0351217,4.309,3.383,1.199,0.297312,9.3245732,45.948982,300.877197,108.552704
23,8.080921907623926,8,0.1542055,5.506,4.101,1.38,0.339146,14.9108131,57.818615,281.489655,160.304031
24,8.769551078621726,4,0.1322211,5.264,4.014,1.108,0.3804,9.49929456,37.286697,298.501648,101.112228
25,7.481486060122112,5,0.0890034,5.343,3.178,1.205,0.399714,10.649589,26.807325,304.738403,131.746277
27,7.958607314841775,9,0.118096,5.804,3.984,1.272,0.432087,13.5232442,41.203022,260.736664,84.742302
28,8.031517051446064,7,0.050497,5.763,3.588,1.169,0.429952,9.55293802,26.330614,1128.409912,101.099945
30,8.229147988357855,10,0.1611417,6.576,4.545,1.147,0.530598,9.70800366,43.384697,258.907227,90.439301
31,8.568636235841012,11,0.1556077,5.428,4.22,1.22,0.394848,11.9739333,59.012486,254.811615,79.782082
32,8.022276394711152,8,0.0647321,5.211,4.352,1.242,0.420533,11.3696102,31.352978,271.631378,68.955643
33,7.886056647693163,8,0.0764183,5.35,4.384,1.149,0.401621,8.7553819,41.143917,271.052307,98.31192
34,8.494850021680094,7,0.1367485,5.217,3.94,1.216,0.374558,8.86748379,30.811169,238.588364,117.327484
35,7.045757490560675,5,0.0548016,4.919,3.093,1.214,0.314102,11.2428997,20.031675,267.569153,69.937294
36,8.585026652029182,9,0.0759103,5.878,4.315,1.163,0.4217,9.9208026,28.258381,234.365753,75.182091
37,8.214670164989233,9,0.08654,5.528,3.948,1.163,0.393065,11.3552584,47.240528,242.520935,47.336899
38,8.346787486224656,9,0.0973591,5.439,4.265,1.111,0.400857,7.5012228,52.386303,286.060974,83.241776
39,8.823908740944319,8,0.1679327,5.674,4.579,1.119,0.422291,5.40621749,31.688599,247.62413,75.452194
40,8.698970004336019,8,0.0425853,4.572,3.349,1.26,0.300067,9.967832,38.300068,251.000397,67.127655
41,6.823908740944319,7,0.02435,4.551,3.212,1.153,0.306762,8.70502925,56.529144,245.969391,61.309875
42,8.55284196865778,6,0.0273141,4.375,3.296,1.129,0.307762,8.34074465,32.607338,255.523193,96.45314
43,7.744727494896693,6,0.0428127,4.448,3.125,1.138,0.299812,7.96389909,27.604568,252.123154,54.51823
44,8.886056647693163,6,0.0802887,4.649,2.461,1.171,0.308825,9.38049224,29.894077,254.583755,50.699253
45,9.045757490560677,8,0.0782157,5.744,4.34,1.086,0.392764,6.64618572,54.656971,242.473663,106.799355
46,8.886056647693163,4,0.1394843,5.967,3.212,1.162,0.444099,9.68781226,52.355244,243.562424,145.538651
47,8.0,6,0.0148714,4.713,3.11,1.143,0.309258,7.40485597,37.844223,249.921432,80.936905
49,9.221848749616356,7,0.0365771,5.779,3.605,1.133,0.392536,12.0338804,36.280006,329.413757,97.367393
50,8.522878745280337,8,0.1693634,5.371,3.505,1.074,0.346664,7.42239154,65.089325,245.019623,185.082825
51,8.481486060122112,11,0.0593074,5.638,3.836,1.126,0.378608,7.59981053,31.837559,298.456116,89.255188
52,8.275724130399212,6,0.1340072,5.1,3.668,1.123,0.349483,6.48192694,45.978745,245.587357,91.84803
53,8.67778070526608,7,0.1224815,5.767,4.122,1.168,0.415509,7.81918593,33.431694,289.730316,66.488663
54,8.585026652029182,6,0.1514263,5.396,3.764,1.104,0.343393,7.64965024,55.358765,248.173523,81.531555
55,8.585026652029182,8,0.0959488,6.078,3.642,1.28,0.397456,12.236315,45.17466,256.608673,50.20739
56,8.0,9,0.0873723,5.402,3.403,1.13,0.355563,7.70691443,40.562271,219.653458,70.841232
57,7.552841968657781,8,0.1840102,5.336,3.996,1.162,0.347487,7.14366055,38.459984,296.84671,107.751968
58,7.997833938243493,8,0.1442461,5.728,4.323,1.181,0.372765,6.05769765,40.074493,266.478149,55.565968
59,8.3767507096021,10,0.1598612,5.575,4.368,1.164,0.368675,11.9450705,77.026779,239.370697,153.233994
60,8.301029995663981,9,0.0907253,6.123,4.185,1.068,0.411911,4.20584526,59.910465,341.682648,128.411148
61,7.920818753952375,7,0.1034626,6.153,4.052,1.09,0.418061,6.21610911,55.477802,262.283905,131.800949
62,8.769551078621726,8,0.1195858,6.82,6.07,1.096,0.47988,10.379684,82.863968,293.549591,116.741638
63,8.431798275933005,9,0.1804064,6.417,5.043,1.185,0.416136,10.0744562,67.345871,328.845123,127.211952
64,8.267606240177031,11,0.2060531,7.105,5.179,1.087,0.435369,6.68654263,36.955948,317.226044,117.42926
65,8.136677139879543,10,0.1649541,6.314,5.294,1.082,0.397543,6.4930703,87.077553,261.413696,125.529648
66,8.075720713938118,9,0.1118035,6.462,5.343,1.051,0.424603,5.16782954,59.532711,267.717468,139.843155
67,7.795880017344075,10,0.1630082,6.014,5.214,1.095,0.413637,7.41395374,48.108917,286.970032,95.593208
68,7.886056647693163,13,0.0942334,7.366,5.297,1.092,0.452812,5.84687957,46.209213,295.632507,139.669281
70,8.031517051446064,11,0.1258053,7.029,5.605,1.038,0.446154,6.58406492,51.084816,285.914948,127.381981
76,8.040958607678906,6,0.1016502,5.919,4.169,1.139,0.409839,10.5034148,40.866043,277.828857,131.437805
78,8.337242168318426,8,0.162548,6.041,4.272,1.08,0.392917,7.44735737,44.416321,244.171051,92.10144
79,7.0762380391713,9,0.2071611,6.12,2.979,1.117,0.43973,11.7131877,46.765434,961.974487,91.424423
80,9.522878745280336,9,0.0998117,5.259,4.12,1.108,0.370995,9.10659364,32.406364,289.022217,107.48616
81,10.0,10,0.1021211,5.56,4.051,1.175,0.366535,9.51257815,57.213764,226.28656,69.04023
82,8.958607314841775,9,0.1694886,5.745,4.12,1.104,0.435107,6.94364677,30.581142,257.048553,111.411392
83,8.309803919971486,10,0.0906095,5.38,4.268,1.164,0.361012,8.91577082,70.884468,260.964783,79.909058
85,7.508638306165727,8,0.0634629,4.769,3.628,1.159,0.323665,8.82999238,32.896774,246.397644,98.534981
86,7.366531544420414,11,0.1009389,5.985,4.108,1.279,0.410587,11.3096908,53.423,262.361206,134.302277
87,8.2839966563652,10,0.1310488,5.583,4.589,1.241,0.382956,10.6471733,35.826599,263.545288,105.91037
88,8.698970004336019,6,0.040528,5.265,3.642,1.198,0.341527,10.5350132,71.259743,282.512604,166.173096
89,8.468521082957745,11,0.1182713,5.508,4.498,1.126,0.376156,7.31652623,43.890648,308.782532,147.907867
90,8.585026652029182,7,0.110561,5.733,3.78,1.118,0.399314,8.27911973,53.874752,254.085754,153.823425
91,7.886056647693163,7,0.0291983,5.113,3.026,1.147,0.326211,9.38532223,50.185333,276.277466,96.611504
92,8.455931955649724,7,0.0907181,5.123,3.296,1.142,0.336082,7.51381326,46.81065,234.47908,58.055405
93,8.958607314841775,7,0.0709364,4.997,2.89,1.153,0.313431,8.7149177,81.152916,240.008484,80.133568
94,7.602059991327962,7,0.2782359,5.29,3.212,1.171,0.330602,10.489823,57.202171,262.953827,102.686905
95,6.127843727251707,9,0.1330962,4.619,3.588,1.246,0.345185,11.0394961,26.734537,207.291779,80.100212
96,6.6777807052660805,7,0.0888384,4.6,3.383,1.258,0.301437,9.53151077,23.998039,272.258636,56.13887
97,6.806875401645538,9,0.0385584,5.321,4.306,1.233,0.396131,11.015211,44.411285,306.171173,99.799438
98,6.91721462968355,11,0.1290348,6.481,4.296,1.306,0.427907,15.8831593,63.817657,288.219086,141.432556
99,6.920818753952375,11,0.1782912,6.097,4.145,1.266,0.425936,9.78499303,44.33474,301.033203,117.524445
