mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0ns,0.6917714297334718,0.04091514978468015,"[1, 2]",0.6363827201996608,0.7361072003545649,0.6648403428105029,0.7003723003890668,0.7211545849135643
1ns,0.679945613863116,0.079592927241798,"[1, 2]",0.5571819508768621,0.6712244775224914,0.7491656450198569,0.6694649128197205,0.7526910830766491
2ns,0.6233986849783876,0.1307064922101393,"[1, 2]",0.5553395509872592,0.7474250086645735,0.4882642801305914,0.5469496626920847,0.7790149224174292
3ns,0.6940241395680712,0.09613584336524339,"[1, 2]",0.5562959062518182,0.7824306482601288,0.7350542829967006,0.6331092790105048,0.7632305813212038
4ns,0.6544411566661095,0.11712507624639831,"[1, 2]",0.5088757217867591,0.775688579039536,0.6554173909825964,0.569392015929565,0.7628320755920912
5ns,0.6960273018166874,0.09325245648566685,"[1, 2]",0.5686910457930036,0.7733888376368728,0.6598197204547863,0.6776364644230755,0.8006004407756993
6ns,0.6513162047245136,0.10425208509814418,"[1, 2]",0.5316875364498842,0.7617048733602348,0.5481678392941998,0.7108386721404478,0.7041821023778013
7ns,0.6459916678058708,0.0714037614370134,"[1, 2]",0.607214725022259,0.7133352312222565,0.6207057743713547,0.561555097252863,0.7271475111606204
8ns,0.6401845824313936,0.07095837655933217,"[1, 2]",0.5543461454697727,0.6780917066163079,0.7032752700844636,0.5724391269024574,0.6927706630839667
9ns,0.6523891948417283,0.10939446137717354,"[1, 2]",0.48274252739252155,0.7140487696204538,0.7412257731142959,0.6019170164523844,0.722011887628986
10ns,0.6970434907053726,0.07457275999114694,"[1, 2]",0.6361230095407076,0.7689463176645068,0.6699632575836945,0.6260350040837246,0.7841498646542296
clustering_target10.0%_cluster1,0.6094631385656677,0.08419536490835136,"[1, 2]",0.5052036981803809,0.696561388232797,0.695662243326304,0.5683905781666099,0.5814977849222465
clustering_target10.0%_cluster2,0.5568197637664466,0.13348661126342548,"[1, 2]",0.4750574957064745,0.4844431820720667,0.4422166285192306,0.6201053933909166,0.7622761191435442
clustering_target10.0%_cluster3,0.5286838618505839,0.13542287374254208,"[1, 2]",0.4988078090916428,0.6984067080351268,0.5385583256759146,0.5810106213834554,0.32663584506678023
