mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized_conformation,0.7257987232298079,0.05556232121178253,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7731131417326426,0.6723581213318293,0.7619900980160085,0.7397379743116693,0.6555486473558301,0.6949681984015175,0.8124183967499218,0.6501164898431766,0.7264502320186115,0.7712859325368718
1ns,0.7349537173185452,0.07241191704183762,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8207675615401242,0.7003482778901375,0.7607961862906532,0.7667605290318348,0.6993594042151452,0.6146348805716897,0.8199835528141984,0.6472185989863461,0.7096287859288402,0.8100393959164822
2ns,0.7249092139821325,0.059039937435871576,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7695493791459049,0.7278524956262203,0.7342795858072871,0.7429081330862175,0.6744619638534581,0.6904667161071798,0.8232648519303009,0.6042711548104357,0.7255168931342644,0.7565209663200562
3ns,0.7364298224098373,0.05791654947931583,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7499969703323088,0.738235029829406,0.7588295102831883,0.7276779937657721,0.681173489537017,0.6616746139202356,0.8241553458610903,0.6584264437338445,0.7444057910794936,0.8197230357560162
4ns,0.7146334841761492,0.05758572680214182,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7477609623491734,0.7625317095141226,0.7311698681132623,0.7286854668325552,0.6351145853953168,0.6320462742285593,0.7812825658627234,0.6464433094949299,0.7060607636739373,0.775239336296912
5ns,0.7230482688972362,0.04706040717319644,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7666279230867478,0.7429593480469245,0.7556534641721914,0.7465052070222,0.6996680692583839,0.6609730597734732,0.7562864534541573,0.6361621735413185,0.6955533506352118,0.770093639981754
6ns,0.7337391337007508,0.0646301926710158,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7720977213080025,0.7280273060184872,0.778388465214594,0.7326593326020612,0.6850055596036024,0.6767409171187869,0.8548235729758021,0.6252821337824754,0.7113278749937995,0.7730384533898975
7ns,0.7250555554477506,0.060497004730603224,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7663055658240115,0.7442224496335701,0.7832540187528649,0.7129342241271278,0.6702978593918887,0.6849261547601408,0.8279348923215825,0.619889887588395,0.6975930511848161,0.743197450893109
8ns,0.7228531887609912,0.05726697103189096,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7698460775828563,0.6906250895344621,0.766625359301132,0.7043408805782595,0.6786399255943152,0.6599573871462912,0.8072947274627702,0.6473722967384776,0.709593421479461,0.7942367221918881
9ns,0.7176866475995429,0.06955965596559717,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7251639719695786,0.7814513656547377,0.7437542017302319,0.7699841115573667,0.5997069637421737,0.6617308848706209,0.7859204876081824,0.6131133366048807,0.7203751609674504,0.7756659912902062
10ns,0.7257045906507542,0.06650956834864562,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7719498531166602,0.7558993457104357,0.7011960483935542,0.7601578159339826,0.6762545971783267,0.7024976916750529,0.8216740736654814,0.5834139418257158,0.7103637339118873,0.7736388050964459
conformations_10,0.7396478937371143,0.06080289336097688,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7772325478224215,0.767023105766394,0.7969024707315797,0.752606478722722,0.6704262129295682,0.6936426002725271,0.8204133571582306,0.627493103261541,0.7171778017644486,0.7735612589417096
conformations_20,0.736197288157828,0.06392402063113209,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7711353711724009,0.7569473366929371,0.7963697501855269,0.7526607503388111,0.6643211838706236,0.6914707656999405,0.822881108266731,0.6156604941509809,0.7147728755098166,0.7757532456905119
10.0%_cluster1,0.7398776216560157,0.06367676339689823,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8059111597220542,0.7565524894441202,0.7857856644524862,0.7284901596708155,0.6719228414936227,0.6391868354328598,0.8224845961449052,0.6812333677868204,0.7076672830668933,0.7995418193455794
10.0%_cluster2,0.7367143948782597,0.054338231063493225,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7913850365211125,0.7427491731656715,0.759941533063231,0.7539565739903403,0.6464676583633527,0.6612598145358255,0.7944503734064149,0.7083998472226053,0.7088660320743261,0.7996679064397176
10.0%_cluster3,0.7370906216212741,0.06118356984921218,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8085179370779902,0.701933842650591,0.7749936109071258,0.7458749126012363,0.6883425497581669,0.6629052413728217,0.8232230710350256,0.6633711242141183,0.7022605291495607,0.7994833974461061
10.0%_cluster4,0.7365309968503254,0.04771239917033238,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7772426236074055,0.7398334899494763,0.7259953695470633,0.7220428316026716,0.6684334104955478,0.7064149029020825,0.8078070062875196,0.6833789796016947,0.7271884779176228,0.80697287659217
10.0%_cluster5,0.7369263633141083,0.06173338352597453,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7843002255326327,0.7374782221394164,0.8058043241205181,0.7338729090912186,0.6397674765301697,0.6861229385831398,0.7913167981961922,0.6512688536345086,0.7319771803449961,0.8073547049682899
10.0%_cluster6,0.7418724758154585,0.056474358539740456,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7991154246497061,0.7115963810593777,0.7852121863324919,0.745250907045396,0.6615386201642215,0.6832298649808493,0.8084405261088927,0.6956201211822184,0.7136328699055767,0.8150878567258548
10.0%_cluster7,0.7359515812828326,0.059700606752866925,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8160650396175233,0.7367496791727125,0.7453674226707914,0.7396287392521997,0.6453360313968646,0.6636436151842873,0.8154220672407237,0.6869958684639051,0.718635195377204,0.7916721544521131
10.0%_cluster8,0.7251193982879427,0.05995467677785803,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7904017908526312,0.7278115629612931,0.7727688738387091,0.7492871980432707,0.6747247906770053,0.6223327453237357,0.7940717537433539,0.6552925544621411,0.6976766676828018,0.7668260452944853
10.0%_cluster9,0.741764139754052,0.053233280679320774,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8205101513630157,0.7202812536306846,0.7553835016699664,0.7689391927509919,0.6884351061565996,0.6841903874659265,0.8062333269506528,0.6830006573571575,0.699924725876552,0.7907430943189719
10.0%_cluster10,0.7383231847625646,0.043620669495557186,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7867729056477383,0.75392769606446,0.7662660396071999,0.7559705183006894,0.6558442026778356,0.7037641714409739,0.7941850460776442,0.6901217183060706,0.7387750603102741,0.7376044891927601
