mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,2.88,9.524,2.332,1.773,0.699,0.156,0.498,0.444,0.412,0.272,0.246,0.333,0.281,0.379,0.211,0.361,5,0.0712745,5.467,4.123,1.182,0.362969,8.15053705,61.239208,120.679611,96.658691
2,9.30102999566398,5.26,7.715,2.871,2.427,0.593,0.156,0.516,0.433,0.39,0.281,0.22,0.28,0.245,0.452,0.151,0.383,9,0.0779597,5.335,4.292,1.207,0.355258,7.97741714,52.489803,288.877991,68.603584
3,6.214670164989233,5.86,176.131,95.914,3.633,0.639,0.151,0.407,0.192,0.415,0.18,0.215,0.21,0.271,0.133,0.335,0.368,4,0.1371378,6.228,3.042,1.066,0.419812,5.94012336,52.937057,94.826897,153.998962
4,7.920818753952375,2.83,8.925,4.289,2.477,0.569,0.151,0.565,0.497,0.403,0.241,0.239,0.343,0.271,0.363,0.396,0.37,4,0.1413669,5.898,3.247,1.152,0.376011,10.3881183,67.198593,252.275482,120.080597
6,7.823908740944319,1.35,69.022,6.47,1.719,0.894,0.156,0.136,0.439,0.528,0.358,0.214,0.397,0.3,0.46,0.423,0.208,6,0.11572,5.538,3.247,1.123,0.41044,10.6975101,48.897396,252.972702,90.898735
7,7.207608310501746,0.53,9.838,2.816,2.349,0.656,0.158,0.561,0.48,0.443,0.267,0.199,0.308,0.27,0.422,0.277,0.338,7,0.1447244,5.147,3.212,1.113,0.363496,8.81285282,52.178078,338.350769,147.800293
8,8.619788758288394,4.92,233.561,3.059,1.234,0.982,0.154,0.889,0.406,0.386,0.247,0.117,0.282,0.197,0.397,0.189,0.424,6,0.1603858,5.989,3.247,1.176,0.41686,9.63386542,35.498306,275.957153,137.629868
9,7.341988603342887,4.14,101.888,5.27,1.663,0.936,0.165,0.161,0.455,0.489,0.464,0.255,0.437,0.337,0.672,0.405,0.293,8,0.0392669,4.225,3.383,1.194,0.303366,9.12306732,32.717033,248.314636,46.82312
10,8.698970004336019,7.29,85.363,10.042,1.015,0.885,0.155,0.12,0.458,0.396,0.662,0.118,0.564,0.194,0.832,0.251,0.298,5,0.1811972,5.653,4.374,1.13,0.43783,8.83568759,41.096214,248.335815,103.259018
12,7.744727494896693,1.45,13.134,2.536,1.839,0.75,0.158,0.494,0.362,0.348,0.224,0.138,0.241,0.203,0.319,0.215,0.294,8,0.2006914,5.621,3.745,1.156,0.407202,5.12592678,48.392319,228.385056,148.65921
13,7.552841968657781,3.65,164.372,4.976,1.577,0.962,0.153,0.347,0.435,0.438,0.511,0.176,0.464,0.249,0.571,0.269,0.412,8,0.14041,5.534,3.54,1.175,0.403813,8.50960658,32.68454,247.696396,72.090332
14,8.017728766960431,2.39,269.611,102.14,2.308,0.721,0.153,0.897,0.179,0.381,0.114,0.492,0.161,0.357,0.073,0.35,0.532,5,0.093853,6.29,3.912,1.259,0.417984,12.0365648,46.879276,276.584229,136.329559
15,8.920818753952375,1.73,77.165,10.091,2.724,0.858,0.159,0.092,0.47,0.367,0.522,0.217,0.444,0.268,0.467,0.376,0.265,9,0.0294674,5.023,3.916,1.321,0.378758,14.4356164,48.865395,233.640442,95.373634
16,7.301029995663981,4.29,264.933,110.906,1.334,0.702,0.159,0.544,0.286,0.442,0.468,0.156,0.414,0.245,0.191,0.325,0.411,6,0.1092995,5.339,3.212,1.165,0.343069,9.6074465,41.757881,217.892242,78.746422
17,8.537602002101044,8.85,25.279,5.748,1.01,0.789,0.159,0.043,0.428,0.28,0.007,0.068,0.145,0.131,0.107,0.137,0.035,5,0.1124958,5.157,3.315,1.149,0.368121,7.83915926,35.196091,258.26178,79.126984
19,7.494850021680094,2.39,98.085,7.756,1.443,0.914,0.153,0.192,0.453,0.397,0.444,0.142,0.447,0.22,0.544,0.281,0.297,8,0.1762053,5.505,4.431,1.137,0.423459,10.8662621,32.6656,264.121826,89.942474
20,7.657577319177793,3.64,16.682,2.951,1.363,0.795,0.147,0.555,0.506,0.451,0.273,0.141,0.352,0.235,0.514,0.229,0.333,8,0.0749266,6.294,4.092,1.156,0.440176,8.92366406,43.883804,300.859894,183.710312
