mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,8.54,10.265,2.317,1.912,0.708,0.156,0.475,0.381,0.364,0.615,0.298,0.161,0.307,0.221,0.415,0.198,0.407,0.358,0.39,7,0.0710979,5.691,3.886,1.2,0.383346,11.9545981,54.753311,109.881577,106.566208
2,9.30102999566398,4.46,8.115,3.067,2.315,0.601,0.158,0.493,0.385,0.342,0.72,0.271,0.197,0.308,0.233,0.417,0.151,0.407,0.396,0.394,10,0.0475148,5.605,4.33,1.198,0.373115,10.16868,52.518166,291.521362,72.706169
3,6.214670164989233,8.02,13.702,2.678,1.9,0.75,0.151,0.484,0.466,0.408,0.558,0.205,0.177,0.293,0.245,0.313,0.313,0.452,0.313,0.433,2,0.1461228,5.498,3.007,1.065,0.418777,6.16953512,48.255413,119.265541,166.521545
4,7.920818753952375,1.75,22.656,9.955,2.482,0.646,0.151,0.039,0.387,0.418,0.241,0.002,0.236,0.014,0.277,0.033,0.433,0.281,0.16,0.174,7,0.0514041,5.788,3.144,1.14,0.41765,10.3974358,32.853645,286.355347,99.805916
6,7.823908740944319,3.25,209.04,3.776,1.107,0.977,0.156,0.759,0.509,0.38,0.966,0.3,0.087,0.366,0.168,0.434,0.178,0.549,0.451,0.513,6,0.1710192,5.549,3.315,1.156,0.406198,7.55694581,57.084003,239.422653,78.876579
7,7.207608310501746,8.02,10.384,2.878,2.171,0.673,0.158,0.55,0.484,0.423,0.542,0.264,0.214,0.308,0.272,0.424,0.29,0.485,0.34,0.458,5,0.2012445,5.194,2.973,1.158,0.37037,9.06039137,37.102249,340.369751,122.350754
8,8.619788758288394,0.95,117.316,6.732,2.624,0.926,0.153,0.115,0.466,0.438,0.131,0.554,0.21,0.549,0.275,0.622,0.378,0.34,0.298,0.351,5,0.1671738,5.433,3.417,1.125,0.419505,9.35071295,55.860428,236.250519,113.970558
9,7.341988603342887,5.13,7.656,2.838,0.726,0.682,0.165,0.576,0.453,0.306,0.524,0.294,0.048,0.333,0.116,0.489,0.109,0.445,0.289,0.405,8,0.0440717,4.733,3.281,1.197,0.307847,9.43093631,40.98357,210.514374,44.800625
10,8.698970004336019,4.29,231.515,67.507,2.795,0.767,0.155,0.738,0.096,0.471,0.885,0.005,0.11,0.019,0.308,0.026,0.377,0.435,0.333,0.396,8,0.1266445,5.4,4.614,1.134,0.436508,7.75336231,47.416168,250.200333,94.961693
12,7.744727494896693,4.48,13.115,3.313,1.389,0.736,0.154,0.515,0.445,0.39,0.568,0.234,0.196,0.286,0.234,0.369,0.208,0.45,0.333,0.43,7,0.2001172,6.042,3.676,1.209,0.412377,6.37652972,34.776737,232.255325,138.166534
13,7.552841968657781,8.49,314.242,8.057,1.693,0.97,0.153,0.446,0.365,0.522,0.286,0.333,0.272,0.312,0.341,0.338,0.353,0.444,0.297,0.324,6,0.1485986,5.471,3.608,1.174,0.405666,10.3175362,34.136795,300.346008,72.971237
14,8.017728766960431,3.69,76.365,3.851,2.712,0.921,0.153,0.128,0.486,0.392,0.094,0.492,0.196,0.458,0.27,0.537,0.388,0.335,0.261,0.327,7,0.1077996,5.659,4.006,1.257,0.412289,12.872283,45.036839,283.01474,102.519554
15,8.920818753952375,7.99,10.389,2.799,0.949,0.735,0.159,0.508,0.376,0.303,0.665,0.212,0.075,0.27,0.135,0.42,0.126,0.395,0.317,0.377,6,0.0365873,5.395,3.912,1.389,0.377869,14.0181284,49.99202,251.109924,88.593224
16,7.301029995663981,9.54,10.323,2.546,0.879,0.751,0.159,0.51,0.404,0.312,0.468,0.288,0.057,0.314,0.127,0.493,0.134,0.409,0.271,0.402,8,0.1095386,4.676,3.486,1.173,0.340541,8.99504045,29.522697,239.815475,83.446404
17,8.537602002101044,8.26,7.98,3.336,0.956,0.65,0.159,0.483,0.43,0.302,0.8,0.244,0.078,0.304,0.132,0.287,0.149,0.405,0.374,0.524,6,0.1089834,4.834,3.383,1.151,0.36719,7.19007065,67.380821,279.352325,102.927429
19,7.494850021680094,9.96,101.182,14.791,1.48,0.861,0.153,0.142,0.491,0.314,0.04,0.358,0.096,0.399,0.16,0.596,0.17,0.316,0.165,0.278,9,0.0892553,5.762,4.055,1.187,0.417425,9.88258477,59.717049,299.756348,92.518227
20,7.657577319177793,3.59,16.223,3.289,1.359,0.777,0.147,0.558,0.48,0.3,0.598,0.258,0.123,0.335,0.169,0.484,0.162,0.446,0.327,0.462,10,0.0816473,6.279,4.261,1.155,0.440066,9.65506367,52.330933,281.26236,193.033524
21,7.958607314841775,5.17,118.485,11.112,1.598,0.903,0.149,0.257,0.413,0.491,0.145,0.385,0.243,0.38,0.32,0.524,0.472,0.387,0.257,0.375,10,0.1187093,6.317,4.227,1.226,0.46095,10.8106248,53.937374,279.428955,138.100922
22,7.017728766960431,0.46,6.421,3.229,0.903,0.608,0.162,0.543,0.489,0.301,0.527,0.293,0.053,0.343,0.123,0.474,0.116,0.444,0.291,0.412,8,0.0271244,4.528,3.349,1.188,0.297894,9.36574266,27.793365,278.500641,84.363525
23,8.080921907623926,5.02,320.898,207.39,5.065,0.602,0.153,0.826,0.484,0.411,0.764,0.352,0.336,0.391,0.349,0.263,0.338,0.574,0.484,0.435,9,0.1364753,5.65,3.964,1.404,0.350808,15.713509,54.33651,257.16629,163.139984
24,8.769551078621726,0.75,9.687,2.451,1.619,0.704,0.156,0.511,0.436,0.396,0.716,0.221,0.113,0.317,0.192,0.55,0.195,0.447,0.35,0.438,8,0.0973376,5.327,4.047,1.118,0.373457,5.40657156,28.021049,270.098083,91.884369
25,7.481486060122112,7.96,10.823,2.71,0.927,0.748,0.156,0.503,0.416,0.294,0.782,0.21,0.056,0.287,0.116,0.282,0.116,0.404,0.349,0.488,7,0.0261817,5.185,3.247,1.214,0.399671,10.6097106,44.513187,277.87854,103.413521
27,7.958607314841775,5.66,96.044,8.245,1.1,0.911,0.153,0.153,0.389,0.354,0.335,0.411,0.076,0.384,0.16,0.489,0.243,0.299,0.274,0.297,8,0.0922832,6.128,3.916,1.312,0.43459,13.1553865,29.941807,271.029572,64.02195
28,8.031517051446064,1.97,16.383,2.28,1.018,0.832,0.153,0.531,0.363,0.325,0.555,0.25,0.073,0.268,0.146,0.444,0.151,0.406,0.293,0.409,7,0.1056853,5.854,3.657,1.168,0.425763,9.46015511,49.008698,1143.39978,90.2621
30,8.229147988357855,6.62,236.118,6.085,2.097,0.967,0.151,0.872,0.457,0.418,0.877,0.388,0.252,0.426,0.286,0.345,0.215,0.582,0.505,0.49,10,0.199555,6.811,4.648,1.151,0.503098,9.34163998,59.411442,237.059555,88.351646
31,8.568636235841012,6.5,26.422,9.06,2.331,0.699,0.156,0.043,0.378,0.371,0.125,0.613,0.187,0.438,0.258,0.056,0.424,0.264,0.308,0.171,11,0.0627308,5.706,4.423,1.223,0.424029,9.3652615,36.622543,273.438263,49.411369
32,8.022276394711152,6.97,405.631,45.504,9.372,0.881,0.156,0.92,0.065,0.418,0.995,0.051,0.342,0.066,0.346,0.029,0.342,0.468,0.463,0.46,12,0.0445165,5.534,4.315,1.275,0.422176,12.3266529,28.06192,256.3396,67.79155
33,7.886056647693163,3.64,245.72,3.957,2.296,0.975,0.154,0.971,0.447,0.391,0.942,0.232,0.173,0.299,0.243,0.37,0.239,0.603,0.449,0.516,8,0.1528437,5.614,4.146,1.135,0.388567,7.9374109,33.2672,267.66217,95.502884
34,8.494850021680094,6.88,323.145,147.973,3.469,0.681,0.159,0.651,0.3,0.392,0.589,0.277,0.212,0.317,0.276,0.164,0.304,0.448,0.36,0.372,9,0.1454241,5.3,4.076,1.216,0.37836,11.0340387,31.233038,264.50058,80.664345
35,7.045757490560675,7.87,7.063,3.786,1.031,0.595,0.16,0.521,0.454,0.286,0.465,0.25,0.115,0.304,0.135,0.395,0.267,0.42,0.276,0.409,6,0.04116,4.539,3.06,1.243,0.310135,11.6633067,45.260048,223.770874,64.911629
36,8.585026652029182,0.99,13.905,3.602,0.794,0.76,0.154,0.426,0.34,0.285,0.471,0.183,0.058,0.234,0.12,0.309,0.117,0.35,0.237,0.319,13,0.0549222,5.493,4.351,1.134,0.416664,9.8637,25.105206,248.054474,72.74836
37,8.214670164989233,1.59,12.273,3.63,0.837,0.733,0.155,0.456,0.344,0.258,0.515,0.186,0.047,0.234,0.108,0.324,0.113,0.353,0.25,0.331,7,0.0682794,5.507,4.085,1.171,0.395038,10.8474035,31.371773,251.757965,64.310921
38,8.346787486224656,5.46,297.743,4.7,2.326,0.977,0.154,0.596,0.455,0.473,0.671,0.292,0.224,0.375,0.339,0.459,0.37,0.508,0.396,0.43,9,0.126873,5.733,4.327,1.118,0.424666,7.13207141,48.626244,263.468994,55.440784
39,8.823908740944319,1.72,239.868,5.673,1.471,0.971,0.153,0.58,0.518,0.412,0.481,0.354,0.162,0.422,0.231,0.507,0.234,0.504,0.332,0.383,11,0.1477497,5.703,4.34,1.11,0.424562,6.42576471,38.375656,274.421509,62.855968
40,8.698970004336019,8.16,296.706,81.175,3.614,0.778,0.164,0.91,0.151,0.434,0.97,0.196,0.27,0.175,0.345,0.039,0.278,0.498,0.479,0.43,5,0.0457462,4.623,3.452,1.23,0.300946,9.57512731,24.089348,235.78685,57.060753
41,6.823908740944319,7.62,176.373,6.721,0.652,0.96,0.162,0.505,0.514,0.291,0.629,0.431,0.075,0.442,0.122,0.443,0.173,0.437,0.378,0.389,7,0.0280856,4.361,3.212,1.166,0.309232,9.03466011,28.267347,215.311142,65.762756
42,8.55284196865778,2.48,7.082,3.915,0.609,0.61,0.163,0.54,0.48,0.25,0.492,0.234,0.073,0.308,0.111,0.39,0.13,0.424,0.266,0.373,6,0.0230491,4.474,3.432,1.136,0.310102,8.33798466,26.235842,219.449493,76.649429
43,7.744727494896693,3.34,6.037,4.121,0.974,0.542,0.165,0.526,0.423,0.301,0.484,0.214,0.051,0.269,0.121,0.337,0.113,0.417,0.249,0.352,4,0.0434174,4.552,3.398,1.141,0.301798,8.19214162,21.594896,231.338898,55.242165
44,8.886056647693163,9.76,7.68,3.137,0.869,0.657,0.161,0.532,0.467,0.279,0.469,0.277,0.056,0.328,0.118,0.467,0.117,0.426,0.267,0.39,6,0.0761021,4.608,2.392,1.176,0.307344,9.18524904,29.047077,250.636307,47.503613
45,9.045757490560677,7.02,273.081,90.069,3.482,0.745,0.156,0.325,0.19,0.381,0.439,0.471,0.246,0.338,0.289,0.177,0.306,0.299,0.385,0.319,7,0.0875545,5.298,4.272,1.087,0.394031,6.47791574,38.876541,258.256317,96.107452
46,8.886056647693163,5.04,15.189,3.572,0.728,0.779,0.151,0.474,0.409,0.246,0.55,0.199,0.054,0.253,0.107,0.332,0.106,0.376,0.268,0.372,4,0.0975877,6.345,3.383,1.171,0.434483,10.4813778,39.510109,243.845673,127.313118
47,8.0,5.45,7.314,3.215,0.891,0.64,0.162,0.541,0.482,0.281,0.508,0.262,0.055,0.332,0.12,0.454,0.114,0.435,0.275,0.393,5,0.0776366,4.313,3.144,1.143,0.307431,8.17727577,25.531475,258.37326,67.661674
49,9.221848749616356,2.17,227.852,114.354,24.355,0.622,0.151,0.754,0.174,0.048,0.707,0.041,0.002,0.079,0.009,0.086,0.024,0.326,0.25,0.247,6,0.1464308,6.177,4.053,1.137,0.414122,4.35542882,49.804268,329.559326,90.842361
50,8.522878745280337,0.87,188.351,6.782,0.844,0.961,0.154,0.311,0.444,0.268,0.302,0.276,0.049,0.345,0.111,0.445,0.137,0.341,0.209,0.271,8,0.0246094,5.446,3.47,1.056,0.364857,4.85068585,46.029701,292.652374,69.776299
51,8.481486060122112,6.64,7.064,6.246,1.434,0.479,0.153,0.392,0.451,0.418,0.394,0.323,0.21,0.382,0.271,0.35,0.223,0.42,0.309,0.39,9,0.1133818,5.717,3.498,1.133,0.352843,9.01588492,27.462318,281.671326,91.055527
52,8.275724130399212,4.28,105.8,8.196,0.772,0.922,0.156,0.166,0.488,0.338,0.013,0.282,0.114,0.44,0.163,0.476,0.192,0.331,0.136,0.248,8,0.0668151,5.472,3.734,1.14,0.371178,4.80595075,28.112116,213.246643,155.859711
53,8.67778070526608,5.29,11.601,5.721,0.961,0.635,0.152,0.431,0.431,0.313,0.492,0.256,0.09,0.356,0.15,0.443,0.153,0.392,0.279,0.329,9,0.1409019,5.601,3.873,1.162,0.411639,6.29296491,41.817635,265.173218,46.537628
54,8.585026652029182,0.38,42.987,8.276,1.016,0.822,0.154,0.062,0.416,0.361,0.01,0.017,0.116,0.351,0.176,0.331,0.167,0.28,0.048,0.175,9,0.0403312,5.546,3.836,1.046,0.368084,3.16279213,64.027756,248.351624,69.747368
55,8.585026652029182,4.85,11.318,5.598,0.791,0.639,0.153,0.377,0.438,0.285,0.338,0.369,0.051,0.383,0.118,0.439,0.131,0.367,0.253,0.322,8,0.1052183,5.73,3.744,1.255,0.395001,13.3457869,28.402515,235.823669,58.766033
56,8.0,5.39,256.059,8.233,1.288,0.964,0.155,0.554,0.444,0.459,0.344,0.414,0.119,0.399,0.221,0.415,0.252,0.485,0.292,0.342,7,0.0824476,5.318,3.47,1.134,0.348318,9.17173652,30.288778,229.096939,58.479633
57,7.552841968657781,2.91,313.666,102.9,5.175,0.744,0.155,0.905,0.132,0.482,0.903,0.105,0.242,0.113,0.337,0.073,0.392,0.506,0.416,0.468,9,0.1678726,5.276,3.827,1.168,0.348323,5.80053224,33.009377,316.849548,101.877472
58,7.997833938243493,5.89,7.557,5.495,1.291,0.527,0.156,0.427,0.449,0.468,0.364,0.332,0.288,0.365,0.317,0.398,0.234,0.448,0.328,0.396,7,0.1643464,5.573,4.455,1.106,0.349407,8.24820161,54.528976,230.291183,49.25309
59,8.3767507096021,3.49,44.793,5.615,2.793,0.842,0.153,0.062,0.456,0.546,0.005,0.181,0.053,0.442,0.273,0.607,0.424,0.355,0.08,0.353,11,0.1187015,5.755,4.367,1.146,0.357627,9.05836308,51.472931,277.180847,109.049362
60,8.301029995663981,2.44,27.878,8.198,1.597,0.74,0.151,0.034,0.405,0.405,0.128,0.422,0.169,0.381,0.229,0.289,0.166,0.281,0.239,0.159,8,0.1117329,6.318,4.445,1.069,0.418641,6.33040443,61.950089,261.462219,169.371582
61,7.920818753952375,2.48,41.815,8.416,1.491,0.808,0.151,0.063,0.406,0.419,0.011,0.086,0.014,0.33,0.156,0.217,0.238,0.296,0.037,0.162,7,0.1154802,6.31,4.052,1.092,0.426601,7.48067978,77.055954,273.163422,128.07962
62,8.769551078621726,4.99,53.341,10.378,1.546,0.817,0.148,0.053,0.373,0.451,0.122,0.415,0.137,0.324,0.246,0.338,0.299,0.292,0.225,0.221,10,0.1035123,6.739,5.648,1.125,0.464294,6.87416739,29.236507,235.745804,153.97908
63,8.431798275933005,6.31,192.875,7.396,0.929,0.959,0.149,0.674,0.434,0.357,0.749,0.441,0.081,0.432,0.158,0.386,0.2,0.489,0.424,0.446,10,0.2278519,6.501,5.589,1.158,0.45532,10.1809534,28.799229,265.273438,108.481415
64,8.267606240177031,3.24,15.822,6.065,1.158,0.687,0.145,0.494,0.398,0.4,0.357,0.434,0.114,0.428,0.194,0.455,0.235,0.431,0.301,0.371,7,0.211089,7.203,5.252,1.1,0.448724,9.99886767,67.901581,309.023224,150.406082
65,8.136677139879543,3.35,174.549,9.054,1.27,0.944,0.15,0.264,0.43,0.419,0.409,0.452,0.143,0.377,0.228,0.331,0.294,0.371,0.335,0.349,14,0.1356429,6.44,5.272,1.071,0.409579,2.44909952,42.689106,265.528107,111.631355
66,8.075720713938118,8.79,181.305,105.387,5.865,0.62,0.148,0.22,0.169,0.282,0.275,0.073,0.294,0.114,0.23,0.115,0.236,0.224,0.214,0.216,8,0.1176907,6.929,5.444,1.053,0.457907,3.81638786,37.671841,250.916,165.051773
67,7.795880017344075,8.73,9.507,7.109,0.864,0.544,0.151,0.426,0.45,0.333,0.544,0.248,0.057,0.29,0.133,0.338,0.163,0.403,0.283,0.338,8,0.1754849,6.207,5.248,1.11,0.408246,7.88962954,43.645042,270.045502,105.004646
68,7.886056647693163,6.79,236.707,8.868,1.784,0.957,0.147,0.441,0.393,0.372,0.434,0.501,0.149,0.415,0.221,0.277,0.27,0.402,0.361,0.3,8,0.0909052,7.268,5.673,1.092,0.462864,5.86727641,48.1059,257.419769,119.096062
70,8.031517051446064,5.39,70.219,10.995,1.188,0.852,0.147,0.125,0.437,0.36,0.142,0.317,0.141,0.357,0.203,0.454,0.237,0.307,0.2,0.248,7,0.1015093,6.737,5.263,1.041,0.448579,1.89806735,54.882164,258.951752,133.956696
76,8.040958607678906,7.72,9.566,4.678,1.158,0.621,0.152,0.4,0.481,0.355,0.593,0.237,0.067,0.317,0.149,0.41,0.18,0.412,0.299,0.361,7,0.1190716,5.859,4.238,1.137,0.391059,9.50512511,67.873787,303.631775,87.74276
78,8.337242168318426,3.54,79.77,71.474,4.529,0.512,0.151,0.161,0.159,0.37,0.163,0.111,0.202,0.104,0.263,0.081,0.361,0.23,0.159,0.176,7,0.1502867,6.294,4.135,1.089,0.396845,8.2604826,52.340462,278.01474,82.905869
79,7.0762380391713,6.94,258.669,144.877,1.548,0.639,0.162,0.555,0.925,0.39,0.61,0.551,0.306,0.751,0.271,0.537,0.238,0.623,0.489,0.446,8,0.2421081,6.278,3.047,1.17,0.436772,12.3603546,38.809605,926.932312,90.269348
80,9.522878745280336,8.57,10.362,4.827,0.959,0.642,0.152,0.416,0.367,0.35,0.569,0.254,0.074,0.271,0.143,0.396,0.208,0.378,0.299,0.352,8,0.0938307,5.732,3.916,1.095,0.403962,4.49635377,50.891525,242.141891,105.316208
81,10.0,5.11,249.913,6.361,0.903,0.972,0.154,0.776,0.447,0.297,0.985,0.312,0.073,0.334,0.131,0.375,0.161,0.506,0.457,0.519,6,0.1068733,5.684,4.12,1.165,0.366916,10.9761627,30.168564,228.710632,69.836464
