mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,13,20,21,31,32,75,76,100,101,107,108,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,6.57,258.062,9.535,1.947,0.957,0.156,0.641,0.417,0.371,1.264,0.588,0.148,0.478,0.214,0.342,0.309,0.476,0.4,8042.005,6144.093,6,0.0911972,5.428,4.089,1.202,0.380038,11.3998344,31.614382,120.917618,120.899391
2,9.30102999566398,8.3,7.471,3.003,2.172,0.591,0.156,0.512,0.505,0.522,1.429,0.382,0.199,0.399,0.313,0.436,0.204,0.513,0.398,106.546,78.455,8,0.1105573,5.155,4.155,1.218,0.345628,12.7622281,41.840195,289.254669,72.512642
3,6.214670164989233,3.59,357.526,6.253,1.978,0.977,0.151,0.797,0.466,0.41,1.291,0.32,0.182,0.391,0.247,0.379,0.352,0.558,0.472,7742.085,5405.197,5,0.1354136,6.073,2.768,1.066,0.415811,6.3609577,29.808952,112.095428,169.341461
4,7.920818753952375,5.27,155.494,6.148,2.083,0.95,0.151,0.277,0.433,0.377,1.49,0.447,0.209,0.41,0.27,0.501,0.235,0.362,0.318,3447.643,2899.472,5,0.1470391,5.436,3.247,1.185,0.390364,10.0036313,72.522049,256.841858,127.343338
6,7.823908740944319,7.45,88.611,8.724,2.14,0.891,0.156,0.121,0.509,0.454,1.416,0.655,0.194,0.612,0.275,0.779,0.333,0.361,0.322,2735.076,2266.015,5,0.1698217,5.277,3.247,1.128,0.403433,7.40110133,48.717831,228.856537,82.431938
7,7.207608310501746,2.41,29.786,5.156,1.988,0.807,0.158,0.059,0.342,0.472,1.086,0.006,0.012,0.028,0.2,0.049,0.243,0.291,0.017,565.223,124.524,5,0.0470618,5.606,3.144,1.153,0.392635,9.29208499,49.620461,330.732056,143.856903
8,8.619788758288394,1.41,14.967,2.694,0.811,0.81,0.153,0.479,0.424,0.249,0.353,0.255,0.047,0.287,0.101,0.428,0.095,0.384,0.278,105.845,69.501,5,0.1595591,6.091,3.281,1.16,0.423125,9.61088251,57.25798,249.206497,118.416183
9,7.341988603342887,9.34,7.458,2.875,0.789,0.671,0.165,0.578,0.445,0.315,0.322,0.289,0.051,0.328,0.121,0.478,0.113,0.446,0.29,57.644,35.334,7,0.0840064,4.525,3.144,1.198,0.306266,9.39701976,26.14974,219.221924,37.221409
10,8.698970004336019,5.56,14.251,2.494,1.26,0.792,0.156,0.493,0.431,0.316,0.798,0.233,0.122,0.28,0.174,0.382,0.185,0.413,0.331,119.421,88.539,8,0.1887858,5.763,4.477,1.131,0.433667,7.56052854,35.005615,232.006332,84.130859
12,7.744727494896693,7.49,262.742,8.143,0.753,0.967,0.154,0.475,0.387,0.403,0.448,0.251,0.136,0.315,0.191,0.317,0.231,0.421,0.346,4227.195,3392.881,8,0.1618421,5.774,3.676,1.182,0.430066,8.54882941,50.916443,280.266174,111.221588
13,7.552841968657781,9.3,259.883,13.619,2.091,0.943,0.153,0.292,0.538,0.415,1.508,0.396,0.208,0.464,0.276,0.543,0.462,0.415,0.287,11789.485,8039.369,6,0.1451589,5.692,3.607,1.175,0.40982,10.6097594,55.057133,289.467407,82.839928
14,8.017728766960431,4.76,23.484,12.853,3.105,0.595,0.153,0.028,0.557,0.416,2.399,0.002,0.006,0.006,0.324,0.014,0.355,0.333,0.201,1391.261,272.083,9,0.1371716,5.611,4.048,1.248,0.417173,12.378812,60.346855,236.888718,119.904022
15,8.920818753952375,6.75,319.701,5.008,1.003,0.982,0.159,0.804,0.395,0.31,0.567,0.313,0.1,0.346,0.154,0.27,0.158,0.503,0.443,3858.544,3089.975,7,0.0584972,5.129,3.979,1.391,0.371168,13.5605959,25.667429,229.776764,79.688988
16,7.301029995663981,5.91,10.325,2.526,1.051,0.743,0.159,0.529,0.41,0.301,0.479,0.28,0.061,0.308,0.13,0.482,0.134,0.413,0.284,80.914,50.541,7,0.0874224,4.601,3.11,1.175,0.345053,9.1670535,58.721218,212.87558,80.292343
17,8.537602002101044,7.56,8.498,3.351,0.947,0.664,0.159,0.503,0.433,0.294,0.468,0.245,0.072,0.307,0.125,0.287,0.139,0.41,0.377,79.483,63.798,7,0.1044848,4.84,3.417,1.154,0.37459,7.86693259,38.145004,257.385956,83.786812
19,7.494850021680094,6.28,15.659,2.515,0.997,0.817,0.153,0.54,0.466,0.402,0.548,0.29,0.106,0.346,0.18,0.509,0.173,0.469,0.308,115.942,77.049,9,0.1803435,5.535,4.158,1.18,0.416925,9.69181699,37.898331,262.229889,115.138313
20,7.657577319177793,6.7,338.8,3.734,2.255,0.983,0.147,0.946,0.495,0.421,1.799,0.244,0.232,0.33,0.315,0.396,0.299,0.621,0.485,5234.616,3488.439,9,0.0522021,6.033,4.262,1.159,0.455703,8.095339,53.347618,283.81604,200.762024
