mol_id,PKI,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,9.154901959985745,9.793,2.417,1.708,0.704,0.174,0.156,0.156,0.156,0.493,0.487,0.443,10.425,1.867,1.293,0.767,0.137,0.156,0.156,0.156,0.564,0.264,0.238,9.932,2.056,1.373,0.743,0.154,0.156,0.156,0.156,0.509,0.346,0.282,9.895,2.385,1.704,0.708,0.171,0.156,0.156,0.156,0.504,0.474,0.439,9.756,2.155,1.426,0.731,0.162,0.156,0.156,0.156,0.49,0.386,0.307,9.874,2.466,1.745,0.701,0.175,0.156,0.157,0.156,0.502,0.504,0.458,10.704,2.169,1.399,0.75,0.152,0.156,0.157,0.157,0.595,0.36,0.219,13.918,13.585,13.361,13.983,13.337,14.084,14.272,44.523,35.36,36.876,44.515,38.011,45.878,41.222,0.156,0.156,0.555,0.651,0.615,0.561,0.597,0.552,0.625,0.475,0.355,0.379,0.472,0.394,0.488,0.391,98.866,74.116,78.269,98.696,81.329,102.446,87.969
2,9.30102999566398,7.286,3.114,2.133,0.581,0.248,0.158,0.158,0.156,0.499,0.531,0.447,7.998,2.712,1.28,0.667,0.226,0.156,0.156,0.156,0.602,0.398,0.146,7.38,2.772,1.59,0.628,0.236,0.158,0.156,0.156,0.513,0.419,0.238,7.469,3.088,2.068,0.592,0.245,0.156,0.158,0.156,0.525,0.522,0.416,7.123,2.84,1.753,0.608,0.242,0.156,0.158,0.156,0.477,0.441,0.296,7.364,3.181,2.186,0.578,0.25,0.156,0.156,0.156,0.51,0.554,0.47,8.071,3.022,1.693,0.631,0.236,0.158,0.158,0.158,0.618,0.464,0.203,12.533,11.989,11.743,12.625,11.715,12.731,12.787,44.868,35.396,36.605,44.893,37.69,46.474,43.178,0.157,0.156,0.372,0.501,0.443,0.387,0.412,0.368,0.447,0.493,0.382,0.39,0.488,0.405,0.512,0.428,105.786,75.148,80.884,105.208,84.86,110.41,97.272
3,6.214670164989233,290.953,114.019,1.764,0.715,0.28,0.151,0.151,0.151,0.39,0.428,0.378,278.934,115.239,1.091,0.706,0.292,0.151,0.151,0.151,0.355,0.435,0.147,293.226,116.745,1.306,0.713,0.284,0.151,0.151,0.151,0.383,0.443,0.21,287.822,113.582,1.731,0.714,0.282,0.151,0.151,0.151,0.384,0.425,0.365,297.478,116.921,1.422,0.715,0.281,0.151,0.151,0.151,0.394,0.444,0.247,287.147,112.946,1.821,0.714,0.281,0.151,0.151,0.154,0.385,0.421,0.403,310.869,103.984,1.608,0.746,0.25,0.151,0.151,0.156,0.401,0.332,0.319,406.735,395.264,411.277,403.135,415.82,401.914,416.461,33888.384,32573.862,34768.269,33386.274,35370.637,33160.725,32992.262,0.151,0.151,0.573,0.559,0.569,0.571,0.573,0.572,0.62,0.398,0.313,0.345,0.391,0.362,0.403,0.351,92808.39,68022.705,79904.061,90389.714,85247.685,92632.465,85374.858
4,7.920818753952375,167.145,6.414,2.451,0.95,0.036,0.151,0.151,0.151,0.319,0.383,0.391,183.964,5.457,1.913,0.961,0.029,0.151,0.151,0.151,0.387,0.289,0.233,186.583,5.536,2.037,0.961,0.029,0.151,0.152,0.151,0.397,0.292,0.276,166.041,6.416,2.447,0.949,0.037,0.151,0.151,0.151,0.315,0.384,0.393,185.406,5.651,2.115,0.96,0.029,0.151,0.152,0.151,0.392,0.302,0.299,161.82,6.606,2.527,0.947,0.039,0.151,0.151,0.151,0.299,0.406,0.414,194.239,6.061,2.536,0.958,0.03,0.151,0.152,0.151,0.431,0.35,0.421,176.01,191.334,194.157,174.904,193.172,170.953,202.836,1497.379,1366.289,1424.316,1487.3,1451.844,1494.578,1685.198,0.151,0.151,0.924,0.942,0.941,0.924,0.94,0.92,0.936,0.364,0.303,0.322,0.364,0.331,0.373,0.401,4300.545,3478.26,3722.503,4268.666,3860.807,4366.669,4873.376
6,7.823908740944319,12.536,2.439,1.849,0.745,0.145,0.156,0.157,0.156,0.542,0.417,0.356,12.732,1.971,1.12,0.805,0.125,0.156,0.156,0.156,0.572,0.272,0.126,12.586,2.065,1.377,0.785,0.129,0.157,0.156,0.156,0.553,0.303,0.198,12.564,2.43,1.798,0.748,0.145,0.156,0.157,0.157,0.545,0.415,0.332,12.536,2.131,1.51,0.775,0.132,0.156,0.156,0.156,0.547,0.322,0.241,12.559,2.509,1.895,0.74,0.148,0.156,0.157,0.156,0.544,0.44,0.369,13.977,2.522,1.419,0.78,0.141,0.156,0.156,0.156,0.685,0.45,0.205,16.824,15.822,16.027,16.792,16.177,16.963,17.918,58.254,41.556,46.158,57.489,48.855,60.063,58.666,0.156,0.156,0.618,0.707,0.678,0.622,0.662,0.611,0.67,0.438,0.324,0.351,0.431,0.37,0.451,0.447,131.592,85.473,97.967,129.172,105.358,136.737,126.608
7,7.207608310501746,345.173,243.004,2.62,0.584,0.411,0.158,0.158,0.158,0.558,0.572,0.538,398.387,248.442,1.984,0.614,0.383,0.158,0.158,0.158,0.781,0.695,0.308,370.977,253.141,2.248,0.592,0.404,0.158,0.158,0.158,0.692,0.763,0.396,351.533,241.48,2.564,0.59,0.405,0.158,0.158,0.158,0.577,0.56,0.516,359.061,253.788,2.373,0.584,0.413,0.158,0.158,0.161,0.65,0.773,0.442,346.971,238.547,2.641,0.59,0.406,0.158,0.158,0.158,0.554,0.521,0.547,383.864,261.735,2.369,0.592,0.404,0.158,0.158,0.158,0.806,0.963,0.439,590.798,648.813,626.367,595.577,615.222,588.16,647.968,85419.891,100259.257,95312.673,86408.844,92579.607,84315.491,102000.06,0.158,0.158,0.493,0.495,0.495,0.494,0.494,0.493,0.495,0.556,0.595,0.617,0.551,0.621,0.541,0.736,305810.506,297257.382,307041.104,304684.707,309457.482,303522.314,340666.625
8,8.619788758288394,13.823,2.765,1.311,0.772,0.155,0.154,0.153,0.153,0.503,0.427,0.313,14.741,2.146,0.769,0.835,0.122,0.153,0.154,0.153,0.578,0.251,0.106,14.349,2.272,0.959,0.816,0.129,0.153,0.153,0.153,0.544,0.286,0.168,13.896,2.751,1.277,0.775,0.154,0.153,0.153,0.153,0.509,0.423,0.296,14.17,2.362,1.055,0.806,0.134,0.153,0.153,0.154,0.529,0.311,0.204,13.791,2.855,1.349,0.766,0.159,0.153,0.153,0.153,0.501,0.455,0.331,16.309,2.787,0.972,0.813,0.139,0.153,0.154,0.157,0.705,0.423,0.17,17.899,17.656,17.579,17.924,17.587,17.995,20.068,59.969,44.619,48.531,59.494,50.913,61.835,64.01,0.154,0.154,0.658,0.752,0.724,0.663,0.709,0.65,0.719,0.414,0.312,0.333,0.409,0.348,0.429,0.433,127.973,86.607,97.359,126.249,103.809,132.962,128.255
9,7.341988603342887,7.556,2.985,0.572,0.68,0.269,0.165,0.165,0.165,0.587,0.478,0.281,7.205,2.431,0.212,0.732,0.247,0.167,0.165,0.165,0.538,0.303,0.035,7.052,2.582,0.342,0.707,0.259,0.165,0.165,0.167,0.513,0.35,0.096,7.595,2.96,0.547,0.684,0.267,0.165,0.165,0.165,0.593,0.469,0.255,7.055,2.674,0.409,0.696,0.264,0.165,0.167,0.167,0.513,0.379,0.14,7.707,3.04,0.592,0.68,0.268,0.167,0.167,0.165,0.61,0.496,0.301,7.811,3.142,0.358,0.691,0.278,0.165,0.165,0.165,0.634,0.501,0.101,11.113,9.849,9.975,11.102,10.138,11.34,11.311,28.58,19.564,21.496,28.25,22.842,29.797,28.464,0.165,0.166,0.52,0.597,0.56,0.526,0.544,0.519,0.536,0.448,0.292,0.32,0.439,0.344,0.469,0.412,52.585,33.13,37.689,51.639,40.69,55.013,48.567
10,8.698970004336019,14.574,2.46,0.805,0.817,0.138,0.155,0.155,0.155,0.465,0.422,0.304,16.381,1.982,0.352,0.875,0.106,0.155,0.155,0.155,0.591,0.275,0.058,15.246,2.091,0.512,0.854,0.117,0.155,0.155,0.155,0.51,0.307,0.122,14.836,2.442,0.771,0.822,0.135,0.155,0.156,0.156,0.482,0.416,0.278,14.787,2.166,0.597,0.843,0.123,0.155,0.155,0.155,0.48,0.329,0.167,14.717,2.518,0.831,0.815,0.139,0.155,0.156,0.155,0.474,0.442,0.323,18.494,2.519,0.502,0.86,0.117,0.155,0.155,0.155,0.752,0.446,0.117,17.839,18.714,17.849,18.048,17.55,18.066,21.516,49.57,38.924,40.746,49.542,42.145,51.377,57.142,0.155,0.155,0.725,0.813,0.781,0.733,0.764,0.722,0.789,0.397,0.308,0.313,0.392,0.325,0.413,0.438,96.274,69.064,74.903,95.508,78.812,100.224,102.055
12,7.744727494896693,14.246,2.95,1.456,0.764,0.158,0.154,0.154,0.154,0.521,0.411,0.348,14.825,2.162,1.069,0.821,0.12,0.154,0.155,0.154,0.573,0.21,0.157,14.608,2.373,1.137,0.806,0.131,0.154,0.154,0.154,0.551,0.258,0.203,14.275,2.9,1.465,0.766,0.156,0.154,0.154,0.154,0.524,0.395,0.346,14.512,2.511,1.174,0.798,0.138,0.154,0.154,0.154,0.542,0.292,0.224,14.23,3.038,1.502,0.758,0.162,0.154,0.154,0.154,0.52,0.437,0.369,16.683,2.803,1.104,0.81,0.136,0.154,0.154,0.154,0.718,0.351,0.183,18.651,18.056,18.118,18.64,18.196,18.77,20.59,67.05,50.206,53.973,66.561,56.412,69.172,68.276,0.154,0.154,0.646,0.732,0.709,0.649,0.696,0.637,0.715,0.427,0.313,0.337,0.422,0.352,0.442,0.417,146.865,102.516,111.511,145.857,117.369,152.891,140.503
