mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0ns,0.6144249599130742,0.05138234271899334,"[1, 2]",0.5730095488505466,0.585990476983618,0.5780759197269465,0.6907242647977753,0.6443245892064848
1ns,0.5164668829504837,0.08968461410500475,"[1, 2]",0.404064772947629,0.5642564412405731,0.45747914406957035,0.6336618590453995,0.522872197449247
2ns,0.45191597103595493,0.10404506863639476,"[1, 2]",0.42336223612988555,0.3902281756346987,0.32787675132864236,0.5460764112853835,0.5720362808011644
3ns,0.5917488504527693,0.09617576929638323,"[1, 2]",0.48075202150585217,0.5961528561110323,0.6626252688162477,0.5121439172525053,0.7070701885782091
4ns,0.5256146255947941,0.09477012116525513,"[1, 2]",0.5852717812101761,0.6072608783389949,0.4529958478884404,0.5863200365425907,0.3962245839937688
5ns,0.48226748497312605,0.20386167346259249,"[1, 2]",0.6210063128639911,0.6034143751449951,0.5887316415023939,0.13496978214358835,0.4632153132106619
6ns,0.5487716211936313,0.06315693779971321,"[1, 2]",0.5377847749139647,0.46920186270952113,0.5432036301638481,0.5475786329263382,0.6460892052544838
7ns,0.5448463496285255,0.10704457496863354,"[1, 2]",0.46170236123482844,0.5373431801853169,0.4413676371295404,0.5736646034803577,0.7101539661125842
8ns,0.5389501067833083,0.06856237220455269,"[1, 2]",0.4824997198654323,0.5432320268474459,0.5154369015787643,0.49874773059995414,0.654834155024945
9ns,0.5657968885231822,0.09617465108328449,"[1, 2]",0.6105278110637138,0.6506821885643916,0.42518438805635694,0.6343804857677647,0.5082095691636841
10ns,0.5125852704788356,0.06806651437480418,"[1, 2]",0.6112515057279455,0.4987570225883011,0.46459869968356216,0.44113018038607854,0.5471889440082907
10.0%_cluster1,0.5373004474231611,0.06694615184273546,"[1, 2]",0.5628095312323471,0.5645908328792939,0.5750322923745357,0.4178390392884296,0.5662305413411994
10.0%_cluster2,0.47992600889067044,0.15236578068437226,"[1, 2]",0.3808730720022052,0.2845668421795545,0.530870547990292,0.5221265822776311,0.6811930000036692
10.0%_cluster3,0.5620638791821767,0.14812848823054156,"[1, 2]",0.5573503906303383,0.6881849368065966,0.64908615979869,0.3119978667399982,0.6037000419352598
