mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.6936833374547445,0.04565137822722917,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.673457591389952,0.6882711916918134,0.7472452191733182,0.7100475369311435,0.7522899865607082,0.6774789642037862,0.7551123919660668,0.6551668300441114,0.6283789884697957,0.64938467411675
1ns,0.6140075643955418,0.05635893986525652,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.6202010435222645,0.6053636882612894,0.6616072881364492,0.5985020699190229,0.6539182516325301,0.5875229339161032,0.7120184739739881,0.627619025524258,0.5057002927564408,0.5676225763130722
2ns,0.6214618297935984,0.059411451671586075,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.623710536741539,0.6040846348941316,0.6538006732007988,0.5882673079426621,0.6702914023599081,0.609534806280321,0.7413266833984804,0.6299741678669106,0.522303062290818,0.5713250229604145
3ns,0.6175372927250085,0.05261406295111375,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6130004058231231,0.6023888934112285,0.6495938316045329,0.5993153426553361,0.6579122264969743,0.5806442475865266,0.7315467801131526,0.6150060018620587,0.5369421866428898,0.5890230110542625
4ns,0.6174611616191316,0.05842165290327308,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6291357920583274,0.59773582786451,0.6542923290678457,0.6000095635128182,0.6694918494514706,0.5926262102768087,0.7278717278179465,0.621088243579252,0.5150449019806731,0.5673151705816637
5ns,0.6192752436287563,0.048667561276514594,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6197225481747117,0.6014645040318725,0.644830640976147,0.5977356123207807,0.6756755088968309,0.5879575956404943,0.7069683556069815,0.6399385082640552,0.5452201814676084,0.5732389809080808
6ns,0.61535296990847,0.054393900295607776,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6154324113725346,0.5995388045179331,0.652117762964072,0.5949923220290856,0.6624509014013893,0.584469003285061,0.7215333887669519,0.6291122985266884,0.5293907989317341,0.5644920072892493
7ns,0.6150159706879161,0.0500438380203353,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.6023026676888151,0.6038143054789065,0.6532988266067778,0.5990234983343479,0.6459098141097052,0.5855280504917891,0.7157356357715777,0.6355099545111669,0.5342365255679188,0.5748004283181569
8ns,0.6211657246428716,0.055074631275012165,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6274090348857373,0.5996887058885356,0.665135258879229,0.5993725178852475,0.6743555314013093,0.5726109447717931,0.7124030892807105,0.6480239691852809,0.5267443941638938,0.5859138000869782
9ns,0.6196697363632542,0.05799131915570662,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6318891862947169,0.6084648983663882,0.6458681192767266,0.6049731286917761,0.6586595641966214,0.5837557751954816,0.7334165353056394,0.6309733075900663,0.5085842804102225,0.590112568304904
10ns,0.6224401748176455,0.05736209629647132,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6236632910966933,0.5801976448532853,0.6702784928939375,0.6028676068913807,0.6656153067168078,0.5998585568353423,0.7365268949685371,0.6341459643479311,0.5369084551945593,0.5743395343779798
conformations_10,0.62022407728191,0.053761058810379916,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6203670220247479,0.6006455670921682,0.651105591323488,0.5993771050845789,0.6667756361274311,0.5890167969428703,0.7294117769734316,0.6308830604831203,0.5333228960978036,0.5813353206694591
conformations_20,0.6210127323472838,0.05338125666324886,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6190398534275394,0.6038093956204144,0.6532397355822924,0.6009159362812491,0.667256802752764,0.5881893933440197,0.7286942164647826,0.6321637132517615,0.5346418595381927,0.5821764172098226
minimized_conformations_10,0.6889129569334116,0.04756709142225366,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6802457787680898,0.6693488915753382,0.7194167355138102,0.6725898143707594,0.747653860690198,0.6789456344788016,0.769895905548896,0.6628518266352994,0.5999119494827876,0.6882691722701348
