mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.7051815341173763,0.09463300194352116,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.5008283540866263,0.6816065552896804,0.7737699215340019,0.7687982690624791,0.682655328569053,0.839008793937499,0.7740707760400191,0.7284883543506897,0.584313654288481,0.7182753340152337
1ns,0.6152476983171307,0.11841374814778796,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4589960306546311,0.5966563097909073,0.6755964068003655,0.7710190333457161,0.5222578784086496,0.7509399968728783,0.640345541266182,0.7580093011134976,0.4270002530703685,0.5516562318481099
2ns,0.5992884745196749,0.121675808499852,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.38499115044105536,0.4657575114302952,0.6406547009286477,0.7327179234669682,0.6661455385424846,0.717617983229552,0.5836753018664068,0.738821624432243,0.4381426687265826,0.6243603421325139
3ns,0.6320558792233893,0.10417555946113567,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4777993572978757,0.6055186539146953,0.6875160354111229,0.7587545603241412,0.6331228192730656,0.7136532279502961,0.6348474414570535,0.676558398711618,0.4120773807344853,0.7207109171595387
4ns,0.6324931463271508,0.12234982838312104,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4582481254003,0.5446616613672035,0.6190911188023984,0.7592907448774547,0.6597227440768696,0.7817074890133582,0.6376626427497913,0.7620872902992724,0.40575358745015777,0.6967060592347032
5ns,0.6269404929132069,0.1002020924095577,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5085314577007236,0.6161429901011248,0.5540692095092701,0.8046690338269492,0.6214622412047155,0.7419632022138843,0.6182529217655158,0.7339040184200185,0.47290758884048567,0.597502265549381
6ns,0.6362542066492257,0.12580819717879044,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.4937243947077177,0.5613209210351439,0.7428629822439989,0.80249633126404,0.6549968056985493,0.6937069422503028,0.6576935744080452,0.7316647983967137,0.3550806991621659,0.6689946173255805
7ns,0.6255241639587884,0.08923492197620375,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.5189629845754521,0.5758242672726568,0.6285833935902527,0.7272103326507109,0.6160651902725168,0.8257874977377656,0.6309429522381269,0.6004127844367037,0.5047036621363,0.6267485746773979
8ns,0.6228861322826329,0.10924116127031908,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.509508964940198,0.5300762180738527,0.6636101157122409,0.7246849275887951,0.6831091316992142,0.7300924202109504,0.5093227512054371,0.746598296828202,0.431695681176573,0.7001628153908654
9ns,0.6474066557022784,0.11630806814538527,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.47910354532874877,0.579019565754777,0.712476083778415,0.7999522889026025,0.5377294543188746,0.7989478198751107,0.6430681028165741,0.7403975578035338,0.48010823971888783,0.7032638987252604
10ns,0.6100869218916637,0.1399606273135012,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.2527199201699937,0.5955830062322086,0.6510201687565317,0.7610102342992355,0.6218856231703741,0.7319096236436353,0.6209149925516166,0.6818014334036726,0.4856606591190904,0.6983635575702782
conformations_10,0.6511603489684915,0.10988315714088986,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.44797256400114016,0.5846956356556817,0.6964826381191455,0.8147269753003908,0.6387590413668319,0.7625167608134171,0.6784389951924636,0.7337538349394419,0.49009168254911273,0.6641653617472887
conformations_11,0.7103205628817164,0.10312086395458266,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4803721219992134,0.7229566801120781,0.7576527732284366,0.8357502932651696,0.6363528232421851,0.7567243766588685,0.7537259842445816,0.7860238488882265,0.5893902629545402,0.7842564642238646
