mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.7257253494669624,0.052984966803969795,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7386296244372155,0.7389379595328052,0.6981037960662004,0.7263804923331956,0.7411350406616968,0.7267719459191504,0.8226282244990782,0.6066698714611998,0.7160014324242527,0.7419951073348289
1ns,0.6414486121464344,0.08300845557426802,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7240814978710146,0.6446676842127591,0.6503983188557442,0.6872261852533939,0.6593450665655431,0.6281716019170616,0.6727461605986628,0.6888338955167461,0.4194704439198117,0.6395452667536072
2ns,0.6295269438955368,0.07501205596039863,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5970596156047148,0.6078907830909426,0.6027743413714692,0.48938435344493847,0.7189991359095029,0.6681597240304521,0.7162371164216316,0.6861822083813486,0.5440273137985725,0.6645548469017941
3ns,0.6581093942673825,0.060976702638266406,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7211034293701881,0.6030896468949511,0.6534800527083902,0.6492251136329084,0.7226606365050787,0.6265753991962902,0.7684460695525013,0.6105390585303405,0.6497109326489068,0.576263603634269
4ns,0.655740766261896,0.06951025404878527,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6194101479133197,0.652195103045129,0.6237021013531101,0.6576690343405864,0.7771802312526401,0.7334863246222523,0.6722721653739486,0.6447466087571148,0.5146861843541426,0.6620597616067164
5ns,0.6683903639329041,0.06403615309905014,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6804391261349854,0.600974776205373,0.6372704838142442,0.6554209938874036,0.7123253038704428,0.6736963831055637,0.7034017160608415,0.7816136641489548,0.5477170888655443,0.6910441032356869
6ns,0.6607020262723993,0.058729921148493416,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.713963822671903,0.6685953763028616,0.6237220186295301,0.638738813183098,0.7017896071973755,0.7166614807811305,0.702434274010366,0.6762876867433476,0.5222824684498955,0.642544714754485
7ns,0.6377941211023477,0.042366609352561445,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5894601330645892,0.6288833672240504,0.6079921869376381,0.6828502203619221,0.6832034685099146,0.6306120629443313,0.6977365899599153,0.6227617644554347,0.5722685659077267,0.6621728516579537
8ns,0.64534191949665,0.056446642221090366,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6979432450288185,0.6305903917397068,0.6731370016626499,0.5423991835999159,0.6876261132240441,0.6172180785068708,0.6321500095459622,0.7077589569058781,0.5717479971809245,0.6928482175717297
9ns,0.6694619947459248,0.08442767768925431,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6859414104183841,0.6812702874559808,0.6088131985289238,0.6704664937301474,0.7131120580510195,0.7095846154733334,0.7846171769402706,0.6731460436808778,0.46423423103999994,0.703434432140312
10ns,0.6455356842102881,0.07520968097409861,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7039138586775755,0.628870007920058,0.6281891257099577,0.5249313301779439,0.7364694634721611,0.6659145477193982,0.7353958624420389,0.6622391812500867,0.521707220602023,0.6477262441316384
conformations_10,0.6838540209588256,0.0520392340500347,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7279415091803605,0.6672291632104088,0.633300040028842,0.6424923668163429,0.7259912151117762,0.6991242479591333,0.7707434795652608,0.6881304159358774,0.5929510024173008,0.6906367693629534
conformations_20,0.6916068178572122,0.05060317268485213,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7305968878992475,0.6729523206445587,0.6262610813509782,0.6599109363397762,0.734880886442388,0.7048591100561254,0.7781761170395962,0.6898842602611287,0.6130844021254012,0.7054621764129221
minimized_conformations_10,0.7381111298180615,0.04948473042918761,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.731187233626023,0.711638264121943,0.6958769015466681,0.7915130563189563,0.7436029426765298,0.7656050979867727,0.8150742243195621,0.6489878494501486,0.7071817244441359,0.7704440036898754
