mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.7082455985181083,0.09657532050156084,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5068380018674574,0.6713405743338967,0.8142993782707127,0.804453886490275,0.7162048046568796,0.8174785394914027,0.7168584368686606,0.7186950524757358,0.5755648451800159,0.7407224655460474
1ns,0.6185019994079037,0.12752128370408636,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.3405740286060227,0.6929072706952614,0.7009793212822969,0.7561125306889886,0.5590079955247338,0.6848768172723759,0.6423836426855785,0.7704127737190761,0.5553325902731139,0.48243302333158955
2ns,0.6213523375139346,0.10312249208469777,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.4542818337262915,0.5019804497253444,0.654354801578584,0.8224019308403344,0.651081437156996,0.6747915919024572,0.6339277251191411,0.7073869790419696,0.5179292896977914,0.5953873363504358
3ns,0.6226491468767996,0.10240300567899885,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.43269538308917266,0.5470826328877123,0.726386606544335,0.7347751622901988,0.5795304601608827,0.7450879118846983,0.6298330677138231,0.7289629118437686,0.5257201618687615,0.5764171704846424
4ns,0.6489991754694693,0.1312155878271104,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.47950358320504227,0.6267387596837821,0.6327338180966369,0.7393454169127001,0.6725833766114229,0.7973788469899593,0.6420162524952981,0.7866983521480237,0.3617814637794543,0.7512118847723734
5ns,0.6139086823807373,0.11103930950858848,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.4510352592910225,0.4929736948433827,0.6511926057084414,0.8244032160243502,0.6266740244725171,0.6807224769237519,0.6310011564928484,0.7300615467586526,0.5602057344662376,0.49081710882616714
6ns,0.6574933727703454,0.12647432522164204,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5032714198006321,0.6576365242935612,0.8276751725991199,0.7994608134902397,0.6453120705486965,0.7535244174235317,0.6664616863772447,0.7645592450557488,0.44629060126466846,0.5107417768500104
7ns,0.6498987593060047,0.10541057193869677,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.48822827978708017,0.5776861274819911,0.7113923769127907,0.7649358882814016,0.6603696545712827,0.8103172221565522,0.6900790175267121,0.7270317683764447,0.4977770757238712,0.5711701822419204
8ns,0.6295322028519303,0.11604725370432274,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.40769433185013715,0.573046159988641,0.6457682887014007,0.7761164196100203,0.7111548022974148,0.7397432296992332,0.5898688904237557,0.7710193908764895,0.4943766968627564,0.5865338182094544
9ns,0.6199314623845447,0.14497364879313537,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.353609190461724,0.5136441057186758,0.7198887339521463,0.7929603551656561,0.4774255582833764,0.7917902335892071,0.61217598320204,0.7562830820780055,0.49636963413556445,0.6851677472590509
10ns,0.6178216013175933,0.1399807953209644,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.36787864769816503,0.4666837211779816,0.7274356032238147,0.8526355183303471,0.6748074762939069,0.7299699186171968,0.6055888773230258,0.6929538106622816,0.4732060178694376,0.587056421979776
conformations_10,0.6637034801127725,0.09713825888751458,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5162412649320562,0.610279737366259,0.7346609442486534,0.840614448577542,0.6365514072954428,0.7487178712311218,0.6638581697548755,0.7455517450551772,0.5447171809808772,0.59584203168572
conformations_20,0.6665763037330807,0.10289134116809673,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5222096936406675,0.6057206117495587,0.7266567170610171,0.8375509632772999,0.6503117742047878,0.7596102457446982,0.6937971714885247,0.7686608293320245,0.5231769338028456,0.5780680970293839
conformations_50,0.664736758344562,0.11048846808602915,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.49180775413369215,0.5880503393411508,0.745536701034706,0.8444496526882871,0.6374825702987321,0.764595770978066,0.6842770192377958,0.7770154579262096,0.5400194502351029,0.5741328675718775
