mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.732446092539552,0.04881973360978002,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7155952983431284,0.7926573858646654,0.7284746634137971,0.698769372721746,0.7612001173257199,0.6989520340133386,0.8184554739434359,0.6591654850835763,0.697480713748377,0.7537103809377353
1ns,0.6514556976820175,0.06900228494534684,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.7282235037400888,0.6582481191976153,0.6551100398482954,0.6519893929667682,0.6837947283721956,0.6147970165656604,0.7574356577802579,0.6249043459415622,0.5017953842559864,0.6382587881517441
2ns,0.6462821094749164,0.060617504378061675,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.6199516985034277,0.7039051676861532,0.693536195119607,0.6512886617180722,0.6886618068327476,0.7066876176457166,0.6880540194256108,0.6077744938256637,0.5427797441507185,0.5601816898414473
3ns,0.6370567554317834,0.0554838273122535,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7159042518498093,0.6106679584241654,0.5778184539276522,0.6754262867055257,0.6726249202558833,0.6234074684251645,0.6973503432183317,0.5428935112535731,0.6560913259266568,0.5983830343310718
4ns,0.658897213586321,0.07730196724474224,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.5029112313048252,0.614429253423526,0.6244820385943222,0.6901717952865396,0.7047451165284981,0.7121164041883365,0.7230547871883503,0.7393541341315162,0.571840596552988,0.7058667786643074
5ns,0.6522870918844993,0.07443786170634129,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.6647662212076408,0.5436899323081483,0.6118296950819089,0.6404814687987643,0.7732717104777751,0.6508422005815508,0.7740824774900249,0.6649386086336813,0.5778752741526968,0.6210933301128014
6ns,0.6739096025342192,0.04567130693292522,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7415171404519757,0.6699413666909632,0.6604383807303886,0.6648366779001695,0.6745344556662339,0.6678812906645825,0.7359077162163725,0.6928862587138709,0.5776530660488896,0.6534996722587447
7ns,0.6564054734389884,0.06583460914476445,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.6804888868564531,0.5627591935534967,0.6595313238392339,0.6696473886174721,0.7133084302228628,0.5631213901257084,0.7627684119575109,0.694733569223889,0.5886473188933223,0.6690488210999349
8ns,0.6511816579105615,0.04882725833784333,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.7075577443812419,0.6419026013678901,0.7231356250677567,0.6094092880508717,0.6437819488575645,0.5859739183764072,0.6029558686900214,0.7000921879079285,0.615103642024063,0.68190375438187
9ns,0.6367425102925128,0.06908871160403478,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7110518269056789,0.6496964668320218,0.6013782807012559,0.6154570229146858,0.737969131825374,0.6323929955529224,0.6833467810587541,0.6371642293215538,0.4866353323914957,0.6123330354213863
10ns,0.6670713096929838,0.06437537036854203,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7665125984891076,0.6295149383516634,0.6507717590473823,0.6981798162421853,0.7249509987625409,0.6532321259431632,0.6803608580827267,0.5806265604794543,0.5644069717812308,0.7221564697503831
conformations_10,0.7012968620649573,0.04160925639515869,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7287120330900403,0.6871112287229855,0.6617910965723348,0.6910552003052399,0.7348083728484203,0.6898895405513578,0.7772626712860662,0.6941027057995293,0.6271580671743875,0.7210777042992116
conformations_20,0.7008517929362565,0.04269064906096278,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7291714477590242,0.7043524584237362,0.6805483065777096,0.6935358641286623,0.733475233860139,0.6746532118421514,0.783551617021013,0.6854863879758015,0.6215138918545073,0.7022295099198221
minimized_conformations_10,0.7438034924582435,0.04968551994570367,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.741333803538235,0.7205556671543547,0.652128206459898,0.768346737609401,0.7945749865451412,0.746343788003462,0.821227619271932,0.6988343054949491,0.7154187073197171,0.7792711031853442
