mol_id,PKI,conformations (ns),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,9.154901959985743,8.18,227.242,9.485,2.493,0.95,0.04,0.156,0.156,0.156,0.508,0.476,0.38,206.018,9.315,1.881,0.948,0.043,0.156,0.156,0.156,0.418,0.421,0.216,210.782,9.364,2.035,0.949,0.042,0.156,0.156,0.156,0.437,0.453,0.252,226.07,9.5,2.477,0.95,0.04,0.156,0.156,0.156,0.503,0.474,0.376,214.444,9.369,2.124,0.949,0.041,0.156,0.156,0.156,0.452,0.461,0.273,230.147,9.545,2.53,0.95,0.039,0.156,0.156,0.156,0.521,0.481,0.391,198.025,9.781,1.898,0.944,0.047,0.156,0.156,0.157,0.386,0.501,0.219,239.22,217.214,222.181,238.047,225.937,242.222,209.705,2745.545,2324.162,2421.753,2730.984,2484.51,2803.066,2331.405,0.156,0.156,0.925,0.923,0.923,0.925,0.924,0.925,0.916,0.454,0.352,0.381,0.451,0.396,0.464,0.369,8357.631,6151.187,6661.145,8287.6,6978.123,8602.845,6218.184
2,9.301029995663981,0.91,7.805,3.21,2.211,0.59,0.243,0.156,0.156,0.156,0.485,0.478,0.391,9.508,2.522,1.699,0.693,0.184,0.156,0.156,0.156,0.707,0.321,0.246,8.373,2.733,1.847,0.646,0.211,0.156,0.158,0.158,0.551,0.366,0.275,8.1,3.164,2.175,0.603,0.235,0.156,0.156,0.158,0.52,0.475,0.384,7.889,2.86,1.94,0.622,0.225,0.158,0.156,0.158,0.491,0.392,0.297,7.912,3.279,2.264,0.588,0.244,0.156,0.156,0.156,0.498,0.5,0.415,8.428,2.788,2.104,0.633,0.209,0.156,0.156,0.156,0.588,0.443,0.227,13.226,13.729,12.952,13.439,12.688,13.454,13.319,49.412,44.417,43.392,50.131,43.41,51.276,47.086,0.156,0.156,0.385,0.539,0.47,0.404,0.433,0.382,0.449,0.451,0.424,0.397,0.46,0.394,0.471,0.419,118.04,98.882,98.604,119.32,99.86,123.458,109.826
3,6.214670164989233,6.87,42.046,12.478,2.445,0.738,0.219,0.151,0.151,0.151,0.051,0.469,0.456,16.178,7.206,1.573,0.648,0.289,0.151,0.151,0.151,0.116,0.002,0.185,21.485,12.152,1.907,0.604,0.342,0.151,0.151,0.151,0.018,0.125,0.275,40.301,12.578,2.388,0.729,0.228,0.154,0.151,0.151,0.047,0.476,0.435,26.602,12.492,2.069,0.646,0.303,0.151,0.151,0.151,0.022,0.357,0.325,44.515,12.485,2.493,0.748,0.21,0.151,0.151,0.151,0.056,0.47,0.475,26.87,14.325,1.934,0.623,0.332,0.151,0.151,0.151,0.024,0.384,0.269,56.97,24.957,35.543,55.267,41.162,59.494,43.129,657.999,153.365,325.209,633.207,413.179,697.897,464.574,0.151,0.151,0.607,0.472,0.42,0.594,0.469,0.622,0.435,0.325,0.101,0.139,0.319,0.235,0.334,0.226,1997.951,361.733,858.517,1899.128,1141.797,2143.013,1252.022
4,7.920818753952375,0.36,13.713,2.553,1.928,0.754,0.14,0.151,0.152,0.151,0.47,0.409,0.351,14.497,1.963,1.277,0.817,0.111,0.151,0.151,0.151,0.528,0.236,0.152,14.185,2.087,1.512,0.798,0.117,0.151,0.151,0.151,0.504,0.271,0.216,13.767,2.539,1.888,0.757,0.14,0.151,0.151,0.151,0.474,0.404,0.336,14.04,2.174,1.628,0.787,0.122,0.152,0.151,0.155,0.493,0.296,0.251,13.673,2.635,1.973,0.748,0.144,0.151,0.152,0.153,0.468,0.436,0.367,16.157,2.59,1.538,0.796,0.128,0.151,0.151,0.151,0.656,0.416,0.223,18.194,17.737,17.784,18.193,17.842,18.28,20.285,66.37,49.47,54.211,65.736,56.923,68.198,70.677,0.151,0.151,0.631,0.726,0.696,0.635,0.68,0.622,0.695,0.41,0.305,0.33,0.405,0.347,0.424,0.432,152.066,103.534,116.764,149.917,124.462,157.551,155.313
6,7.823908740944319,1.6,114.56,5.587,1.627,0.941,0.046,0.156,0.156,0.157,0.203,0.384,0.369,102.253,4.93,1.144,0.944,0.046,0.156,0.156,0.156,0.161,0.304,0.188,112.307,5.035,1.329,0.946,0.042,0.156,0.156,0.156,0.195,0.316,0.254,112.223,5.574,1.59,0.94,0.047,0.156,0.156,0.156,0.194,0.382,0.353,115.859,5.125,1.422,0.947,0.042,0.156,0.157,0.156,0.207,0.327,0.29,112.492,5.696,1.648,0.939,0.048,0.156,0.156,0.156,0.195,0.398,0.376,90.671,5.61,1.266,0.93,0.058,0.156,0.156,0.156,0.127,0.387,0.22,121.774,108.327,118.671,119.387,122.407,119.836,97.547,835.565,626.737,721.446,812.897,765.853,835.525,630.544,0.156,0.156,0.911,0.916,0.92,0.91,0.92,0.908,0.894,0.319,0.218,0.255,0.31,0.275,0.323,0.245,1998.765,1311.934,1591.743,1927.181,1732.602,2011.326,1371.999
7,7.2076083105017466,9.91,13.169,2.481,0.878,0.797,0.15,0.158,0.158,0.158,0.501,0.454,0.43,12.604,1.883,0.53,0.839,0.125,0.158,0.158,0.159,0.466,0.268,0.136,12.832,2.03,0.638,0.828,0.131,0.158,0.158,0.158,0.479,0.309,0.213,13.114,2.456,0.86,0.798,0.15,0.158,0.159,0.159,0.498,0.447,0.409,12.946,2.123,0.697,0.821,0.135,0.158,0.158,0.159,0.486,0.335,0.26,13.185,2.554,0.909,0.792,0.153,0.158,0.158,0.158,0.503,0.482,0.462,14.073,2.45,0.667,0.819,0.143,0.158,0.158,0.158,0.579,0.452,0.221,16.528,15.018,15.5,16.43,15.767,16.648,17.191,46.412,31.422,35.54,45.598,37.992,47.982,45.515,0.158,0.159,0.695,0.759,0.742,0.697,0.732,0.688,0.728,0.462,0.29,0.333,0.451,0.361,0.482,0.417,91.62,59.028,67.671,89.721,72.917,95.243,85.724
8,8.619788758288394,0.89,13.178,2.646,1.523,0.76,0.153,0.153,0.153,0.154,0.51,0.432,0.339,14.028,2.084,0.895,0.825,0.123,0.153,0.153,0.153,0.582,0.262,0.114,13.669,2.193,1.111,0.805,0.129,0.153,0.154,0.153,0.55,0.296,0.181,13.245,2.635,1.484,0.763,0.152,0.153,0.153,0.153,0.516,0.428,0.321,13.504,2.274,1.223,0.794,0.134,0.153,0.153,0.153,0.536,0.319,0.221,13.147,2.73,1.569,0.754,0.156,0.153,0.154,0.153,0.508,0.459,0.358,15.483,2.704,1.131,0.801,0.14,0.153,0.153,0.153,0.707,0.439,0.185,17.347,17.007,16.973,17.364,17.0,17.447,19.318,58.978,43.655,47.598,58.468,49.991,60.808,62.436,0.154,0.153,0.639,0.737,0.708,0.644,0.692,0.63,0.702,0.427,0.319,0.342,0.421,0.359,0.442,0.444,129.449,86.831,97.878,127.631,104.528,134.576,129.113
9,7.341988603342887,1.26,7.299,3.08,0.633,0.663,0.28,0.165,0.165,0.169,0.572,0.464,0.283,6.947,2.539,0.251,0.713,0.261,0.165,0.165,0.165,0.524,0.297,0.041,6.833,2.666,0.389,0.691,0.27,0.165,0.165,0.165,0.504,0.339,0.103,7.328,3.061,0.606,0.666,0.278,0.165,0.165,0.167,0.576,0.457,0.258,6.846,2.75,0.46,0.681,0.273,0.165,0.165,0.165,0.504,0.365,0.147,7.43,3.145,0.655,0.662,0.28,0.165,0.165,0.165,0.592,0.484,0.303,7.536,3.258,0.396,0.673,0.291,0.165,0.167,0.167,0.618,0.481,0.102,11.011,9.738,9.888,10.995,10.057,11.229,11.19,29.047,20.027,21.911,28.728,23.247,30.287,28.825,0.167,0.165,0.494,0.57,0.537,0.5,0.521,0.492,0.51,0.44,0.287,0.315,0.43,0.339,0.46,0.401,54.286,34.201,38.886,53.32,41.972,56.812,49.736
10,8.698970004336019,5.3,13.314,2.754,1.415,0.762,0.158,0.155,0.155,0.155,0.513,0.452,0.379,15.102,2.041,0.998,0.833,0.112,0.155,0.156,0.156,0.658,0.229,0.177,14.032,2.236,1.112,0.807,0.129,0.155,0.155,0.155,0.569,0.285,0.227,13.559,2.717,1.393,0.767,0.154,0.155,0.156,0.155,0.532,0.436,0.365,13.591,2.355,1.182,0.793,0.138,0.155,0.156,0.155,0.534,0.322,0.26,13.429,2.824,1.456,0.758,0.159,0.155,0.156,0.155,0.522,0.476,0.401,16.866,2.565,1.261,0.815,0.124,0.155,0.155,0.155,0.819,0.348,0.272,17.483,18.14,17.38,17.669,17.129,17.708,20.692,59.407,47.921,49.456,59.505,50.861,61.58,67.769,0.155,0.156,0.642,0.749,0.711,0.651,0.69,0.638,0.723,0.448,0.354,0.36,0.444,0.372,0.466,0.479,128.78,96.809,101.714,128.477,105.829,134.487,143.027
12,7.7447274948966935,7.05,15.801,2.81,1.125,0.801,0.142,0.154,0.154,0.155,0.518,0.405,0.291,16.341,2.044,0.828,0.851,0.106,0.154,0.154,0.154,0.559,0.207,0.151,16.144,2.25,0.861,0.838,0.117,0.154,0.154,0.155,0.542,0.253,0.169,15.829,2.762,1.138,0.802,0.14,0.154,0.154,0.155,0.52,0.391,0.297,16.055,2.383,0.884,0.831,0.123,0.154,0.154,0.154,0.535,0.286,0.179,15.786,2.897,1.165,0.795,0.146,0.155,0.154,0.154,0.517,0.431,0.311,18.382,2.728,0.792,0.839,0.125,0.154,0.154,0.154,0.702,0.364,0.139,19.736,19.213,19.255,19.729,19.322,19.848,21.902,65.342,48.615,52.162,64.889,54.549,67.5,66.859,0.154,0.154,0.701,0.776,0.758,0.703,0.746,0.693,0.759,0.404,0.306,0.321,0.403,0.333,0.42,0.402,135.046,95.475,102.69,134.394,107.679,140.628,128.471
