mol_id,PKI,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,9.154901959985743,8.849,2.773,1.733,0.663,0.208,0.156,0.157,0.16,0.477,0.538,0.532,10.406,2.011,1.232,0.762,0.147,0.156,0.156,0.157,0.652,0.275,0.264,9.399,2.311,1.364,0.719,0.177,0.156,0.156,0.156,0.534,0.371,0.329,9.075,2.71,1.712,0.672,0.201,0.156,0.156,0.156,0.5,0.513,0.517,8.994,2.463,1.444,0.697,0.191,0.156,0.156,0.156,0.492,0.424,0.37,8.962,2.813,1.775,0.661,0.208,0.156,0.157,0.156,0.489,0.553,0.558,9.675,2.363,1.484,0.715,0.175,0.156,0.156,0.156,0.583,0.391,0.301,13.355,13.649,13.074,13.497,12.9,13.55,13.522,44.677,36.222,37.693,44.77,38.69,46.113,40.731,0.158,0.156,0.494,0.644,0.578,0.509,0.546,0.492,0.573,0.516,0.397,0.411,0.51,0.429,0.533,0.425,100.554,75.649,80.393,100.371,83.566,104.418,88.186
2,9.301029995663981,220.215,2.661,2.494,0.977,0.012,0.156,0.156,0.156,0.847,0.422,0.362,226.728,1.988,1.925,0.983,0.009,0.156,0.156,0.156,0.898,0.215,0.188,226.264,2.184,2.067,0.982,0.009,0.156,0.156,0.158,0.894,0.257,0.217,219.991,2.615,2.458,0.977,0.012,0.156,0.158,0.156,0.845,0.416,0.359,225.735,2.305,2.167,0.981,0.01,0.156,0.156,0.156,0.89,0.285,0.239,219.518,2.732,2.558,0.976,0.012,0.156,0.156,0.156,0.842,0.469,0.404,246.687,2.703,1.802,0.982,0.011,0.156,0.156,0.156,1.063,0.351,0.173,225.37,230.642,230.516,225.064,230.206,224.809,251.191,1141.882,891.146,966.542,1122.408,1014.445,1168.341,1115.987,0.156,0.156,0.966,0.975,0.972,0.966,0.971,0.965,0.973,0.544,0.434,0.456,0.54,0.472,0.571,0.529,2828.824,1989.705,2218.866,2761.404,2372.108,2927.502,2568.263
3,6.214670164989233,13.702,2.678,1.9,0.75,0.146,0.151,0.151,0.151,0.484,0.466,0.408,14.693,1.779,1.276,0.828,0.1,0.151,0.151,0.151,0.558,0.205,0.177,14.233,2.128,1.477,0.798,0.119,0.151,0.151,0.151,0.522,0.293,0.245,13.783,2.617,1.872,0.754,0.143,0.151,0.151,0.151,0.49,0.445,0.395,14.036,2.297,1.581,0.784,0.128,0.151,0.151,0.151,0.507,0.341,0.282,13.682,2.724,1.955,0.745,0.148,0.151,0.151,0.151,0.483,0.483,0.432,16.15,2.186,1.759,0.804,0.109,0.151,0.153,0.151,0.672,0.313,0.313,18.28,17.747,17.838,18.272,17.914,18.362,20.094,67.807,47.149,54.447,66.77,58.059,69.348,67.55,0.151,0.151,0.624,0.742,0.697,0.632,0.675,0.618,0.706,0.452,0.313,0.353,0.443,0.377,0.466,0.433,155.786,98.238,117.009,152.562,126.937,160.579,149.731
4,7.920818753952375,334.451,56.813,3.814,0.847,0.144,0.151,0.151,0.151,0.69,0.101,0.459,304.164,41.736,2.916,0.872,0.12,0.151,0.151,0.151,0.58,0.045,0.269,322.65,49.077,3.156,0.861,0.131,0.151,0.152,0.151,0.649,0.065,0.315,330.48,55.406,3.779,0.848,0.142,0.151,0.151,0.152,0.674,0.096,0.45,329.81,52.245,3.301,0.856,0.136,0.151,0.151,0.152,0.677,0.076,0.345,332.725,56.825,3.913,0.846,0.144,0.151,0.151,0.151,0.682,0.104,0.482,281.327,35.802,3.458,0.878,0.112,0.151,0.151,0.151,0.493,0.035,0.372,395.078,348.816,374.883,389.664,385.357,393.463,320.588,20493.486,13703.393,17007.993,19768.518,18492.343,20431.433,11168.882,0.151,0.151,0.77,0.808,0.791,0.772,0.784,0.768,0.816,0.417,0.298,0.343,0.407,0.366,0.423,0.3,93355.986,51073.422,67364.325,89344.495,75763.949,94801.358,46321.835
6,7.823908740944319,13.082,2.677,1.526,0.757,0.155,0.156,0.157,0.156,0.538,0.478,0.433,13.151,2.125,0.871,0.814,0.132,0.156,0.157,0.156,0.557,0.306,0.123,13.056,2.256,1.102,0.795,0.137,0.156,0.157,0.157,0.542,0.344,0.213,13.099,2.658,1.483,0.76,0.154,0.156,0.156,0.157,0.54,0.474,0.402,13.033,2.34,1.22,0.785,0.141,0.156,0.156,0.157,0.538,0.367,0.27,13.108,2.748,1.57,0.752,0.158,0.156,0.157,0.156,0.54,0.505,0.454,14.403,2.685,1.166,0.789,0.147,0.157,0.156,0.156,0.662,0.489,0.218,17.285,16.147,16.415,17.24,16.592,17.426,18.254,59.066,41.254,46.333,58.189,49.244,60.911,58.597,0.156,0.156,0.635,0.722,0.693,0.64,0.678,0.628,0.684,0.483,0.329,0.367,0.472,0.392,0.5,0.457,129.785,81.746,95.209,127.075,103.032,134.886,121.949
7,7.2076083105017466,9.903,2.828,2.339,0.657,0.188,0.158,0.158,0.159,0.548,0.46,0.439,9.739,2.118,1.631,0.722,0.157,0.158,0.158,0.158,0.536,0.258,0.207,9.795,2.279,1.855,0.703,0.164,0.158,0.159,0.158,0.537,0.294,0.276,9.885,2.799,2.302,0.66,0.187,0.158,0.158,0.158,0.547,0.452,0.424,9.831,2.389,1.972,0.693,0.168,0.158,0.159,0.158,0.539,0.322,0.313,9.908,2.917,2.405,0.651,0.192,0.158,0.163,0.158,0.55,0.493,0.463,10.836,2.669,1.984,0.7,0.172,0.158,0.158,0.158,0.66,0.388,0.287,15.07,13.489,13.929,14.985,14.192,15.23,15.489,57.791,39.974,44.714,56.858,47.582,59.747,55.711,0.159,0.158,0.486,0.583,0.555,0.489,0.539,0.476,0.549,0.482,0.334,0.369,0.474,0.391,0.502,0.445,138.383,87.117,100.04,135.518,108.084,144.486,128.571
8,8.619788758288394,117.316,6.732,2.624,0.926,0.053,0.153,0.153,0.153,0.115,0.466,0.438,125.105,7.264,1.893,0.932,0.054,0.153,0.153,0.154,0.131,0.554,0.21,99.636,7.239,2.106,0.914,0.066,0.153,0.153,0.157,0.083,0.549,0.275,123.648,6.714,2.595,0.93,0.05,0.153,0.153,0.154,0.127,0.463,0.426,93.169,7.191,2.22,0.908,0.07,0.153,0.153,0.153,0.073,0.543,0.312,128.062,6.579,2.703,0.932,0.048,0.153,0.153,0.153,0.137,0.44,0.464,80.141,7.732,2.556,0.886,0.086,0.153,0.153,0.153,0.054,0.622,0.378,126.672,134.262,108.981,132.958,102.58,137.344,90.429,1115.282,1159.342,946.279,1168.526,892.844,1206.489,844.259,0.153,0.154,0.889,0.898,0.871,0.895,0.862,0.899,0.829,0.34,0.298,0.303,0.339,0.309,0.347,0.351,3314.177,3013.727,2574.011,3456.145,2483.065,3621.463,2518.7
9,7.341988603342887,7.646,2.73,0.919,0.677,0.242,0.165,0.165,0.167,0.586,0.413,0.286,7.282,2.285,0.392,0.731,0.229,0.165,0.165,0.167,0.533,0.274,0.051,7.129,2.385,0.592,0.705,0.236,0.165,0.165,0.165,0.51,0.306,0.118,7.687,2.715,0.878,0.681,0.241,0.165,0.172,0.165,0.592,0.406,0.261,7.133,2.455,0.694,0.694,0.239,0.165,0.165,0.167,0.51,0.327,0.162,7.8,2.784,0.943,0.677,0.242,0.165,0.165,0.167,0.61,0.43,0.301,7.9,2.98,0.564,0.69,0.26,0.165,0.165,0.165,0.627,0.458,0.107,11.295,9.958,10.107,11.279,10.282,11.527,11.444,30.407,20.388,22.639,29.999,24.166,31.696,29.679,0.166,0.166,0.515,0.597,0.558,0.522,0.541,0.515,0.535,0.428,0.286,0.311,0.42,0.333,0.447,0.397,60.881,36.87,42.813,59.599,46.601,63.695,54.396
10,8.698970004336019,272.62,181.705,97.128,0.494,0.33,0.155,0.155,0.155,0.262,0.527,0.176,268.714,172.164,87.783,0.508,0.326,0.155,0.155,0.155,0.454,0.43,0.101,254.464,177.03,93.064,0.485,0.337,0.155,0.155,0.155,0.341,0.466,0.132,272.374,182.608,97.838,0.493,0.33,0.155,0.155,0.155,0.264,0.541,0.177,251.095,180.206,94.639,0.477,0.343,0.156,0.155,0.156,0.288,0.522,0.148,280.026,181.031,97.679,0.501,0.324,0.155,0.155,0.155,0.274,0.516,0.18,273.629,175.926,71.442,0.525,0.338,0.156,0.155,0.155,0.51,0.292,0.091,551.452,528.661,524.558,552.819,525.94,558.736,520.997,93663.854,84964.346,85204.34,94251.861,86066.8,95729.038,80255.552,0.155,0.155,0.242,0.262,0.234,0.239,0.23,0.252,0.294,0.322,0.328,0.313,0.327,0.319,0.323,0.297,4905569.259,4146577.208,4278053.939,4961008.819,4368901.065,5047972.391,3519880.81
12,7.7447274948966935,12.443,3.173,1.626,0.722,0.184,0.154,0.155,0.155,0.491,0.462,0.448,12.876,2.343,1.203,0.784,0.143,0.154,0.154,0.154,0.53,0.239,0.196,12.675,2.571,1.285,0.767,0.156,0.154,0.154,0.154,0.51,0.293,0.265,12.473,3.117,1.632,0.724,0.181,0.154,0.154,0.154,0.494,0.445,0.445,12.598,2.717,1.329,0.757,0.163,0.154,0.154,0.154,0.503,0.33,0.294,12.45,3.264,1.677,0.716,0.188,0.154,0.154,0.155,0.492,0.491,0.474,14.568,2.92,1.315,0.775,0.155,0.154,0.154,0.154,0.674,0.363,0.252,17.243,16.422,16.531,17.223,16.644,17.391,18.802,64.881,48.487,52.184,64.336,54.582,66.989,65.531,0.155,0.154,0.582,0.676,0.65,0.586,0.635,0.574,0.662,0.467,0.322,0.356,0.461,0.376,0.486,0.429,146.34,101.217,110.601,145.036,116.716,152.532,140.267
13,7.552841968657781,88.098,9.88,1.341,0.887,0.099,0.153,0.153,0.153,0.175,0.428,0.401,110.977,9.744,0.758,0.914,0.08,0.153,0.154,0.153,0.279,0.426,0.113,104.166,9.705,0.951,0.907,0.085,0.153,0.153,0.153,0.245,0.419,0.192,89.107,9.885,1.313,0.888,0.099,0.153,0.153,0.153,0.179,0.429,0.38,100.378,9.723,1.049,0.903,0.087,0.153,0.153,0.153,0.228,0.419,0.24,86.437,9.954,1.379,0.884,0.102,0.153,0.153,0.153,0.168,0.434,0.425,93.996,10.77,1.07,0.888,0.102,0.153,0.153,0.153,0.2,0.518,0.234,99.319,121.478,114.821,100.305,111.15,97.77,105.836,1001.811,1172.783,1119.169,1010.836,1091.501,993.353,1124.431,0.153,0.153,0.831,0.87,0.861,0.833,0.855,0.826,0.832,0.335,0.273,0.285,0.33,0.296,0.342,0.318,2268.212,2113.378,2195.084,2268.037,2226.848,2277.822,2313.729
14,8.017728766960431,272.851,135.823,9.252,0.653,0.325,0.153,0.153,0.153,0.977,0.264,0.439,279.842,115.096,9.743,0.692,0.284,0.153,0.153,0.153,1.056,0.181,0.439,277.138,133.936,8.989,0.66,0.319,0.153,0.153,0.157,1.034,0.247,0.387,273.136,131.856,9.47,0.659,0.318,0.153,0.153,0.153,0.983,0.247,0.459,276.209,137.8,8.847,0.653,0.326,0.153,0.153,0.153,1.02,0.265,0.382,272.442,133.196,9.382,0.656,0.321,0.153,0.153,0.153,0.971,0.254,0.454,275.798,99.523,9.181,0.717,0.259,0.153,0.153,0.153,1.013,0.139,0.378,417.926,404.681,420.063,414.462,422.856,415.019,384.502,40840.396,36056.35,40814.044,39849.839,41724.447,40093.583,30894.048,0.153,0.153,0.479,0.537,0.49,0.489,0.48,0.485,0.576,0.56,0.559,0.556,0.563,0.555,0.56,0.51,384123.954,350256.585,374902.275,381326.035,378894.166,380946.537,283278.962
