mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101
1,9.154901959985745,239.066,10.449,1.665,0.952,0.156,0.572,0.451,0.428,0.599,0.146,0.502,0.239,0.447,0.227,0.484,0.516
2,9.30102999566398,29.507,6.253,2.634,0.769,0.156,0.034,0.43,0.461,0.003,0.322,0.109,0.364,0.361,0.188,0.308,0.114
3,6.214670164989233,316.914,161.584,2.013,0.66,0.151,0.528,0.778,0.322,0.722,0.181,0.8,0.21,0.756,0.376,0.543,0.498
4,7.920818753952375,319.547,131.081,4.194,0.703,0.151,0.522,0.474,0.377,0.634,0.243,0.511,0.285,0.701,0.388,0.458,0.473
6,7.823908740944319,26.604,12.459,0.944,0.665,0.157,0.031,0.548,0.334,0.002,0.07,0.014,0.142,0.693,0.155,0.304,0.228
7,7.207608310501746,9.257,3.013,2.414,0.63,0.158,0.574,0.452,0.475,0.244,0.229,0.283,0.302,0.366,0.321,0.5,0.349
8,8.619788758288394,212.463,140.172,5.711,0.593,0.153,0.379,0.332,0.39,0.256,0.364,0.658,0.38,0.51,0.501,0.367,0.297
9,7.341988603342887,7.409,3.035,0.637,0.669,0.165,0.566,0.455,0.321,0.298,0.041,0.335,0.11,0.48,0.115,0.447,0.279
10,8.698970004336019,45.049,6.32,0.794,0.864,0.155,0.076,0.398,0.336,0.312,0.081,0.292,0.152,0.502,0.161,0.27,0.158
12,7.744727494896693,11.507,3.697,1.623,0.684,0.154,0.511,0.477,0.424,0.247,0.207,0.306,0.268,0.379,0.261,0.47,0.335
13,7.552841968657781,15.148,2.224,1.129,0.819,0.153,0.539,0.438,0.338,0.244,0.169,0.303,0.193,0.497,0.163,0.438,0.308
14,8.017728766960431,10.698,3.746,1.322,0.679,0.154,0.536,0.455,0.359,0.308,0.102,0.338,0.168,0.384,0.173,0.45,0.369
15,8.920818753952375,11.029,2.664,0.919,0.755,0.159,0.505,0.367,0.288,0.231,0.084,0.272,0.136,0.427,0.12,0.387,0.306
16,7.301029995663981,9.747,2.556,1.205,0.722,0.159,0.536,0.404,0.345,0.284,0.076,0.308,0.156,0.477,0.166,0.429,0.292
17,8.537602002101044,213.09,5.634,1.076,0.969,0.159,0.322,0.422,0.341,0.768,0.104,0.484,0.165,1.026,0.189,0.362,0.404
19,7.494850021680094,14.818,2.511,1.441,0.789,0.153,0.534,0.437,0.427,0.274,0.126,0.304,0.213,0.417,0.183,0.466,0.309
20,7.657577319177793,14.325,3.49,1.465,0.743,0.147,0.549,0.525,0.34,0.277,0.148,0.366,0.195,0.506,0.183,0.471,0.34
21,7.958607314841775,155.064,2.886,2.007,0.969,0.149,0.578,0.402,0.453,0.567,0.225,0.427,0.296,0.552,0.429,0.478,0.389
22,7.017728766960431,280.561,4.906,2.976,0.973,0.162,0.665,0.466,0.463,0.448,0.261,0.415,0.3,0.509,0.389,0.531,0.397
23,8.080921907623926,7.352,4.735,1.77,0.531,0.154,0.49,0.511,0.44,0.366,0.244,0.392,0.299,0.523,0.404,0.48,0.358
24,8.769551078621726,10.442,2.374,1.27,0.741,0.156,0.493,0.424,0.343,0.215,0.136,0.316,0.183,0.551,0.162,0.42,0.337
25,7.481486060122112,188.954,5.406,1.823,0.963,0.156,0.526,0.348,0.535,0.298,0.359,0.298,0.383,0.416,0.405,0.47,0.436
27,7.958607314841775,17.313,2.388,0.898,0.84,0.153,0.544,0.423,0.327,0.245,0.141,0.298,0.169,0.483,0.15,0.431,0.308
28,8.031517051446064,16.258,2.332,0.923,0.833,0.153,0.531,0.381,0.342,0.248,0.069,0.27,0.146,0.432,0.162,0.418,0.292
30,8.229147988357855,19.96,3.212,0.689,0.837,0.151,0.5,0.413,0.238,0.246,0.047,0.277,0.095,0.372,0.094,0.384,0.337
31,8.568636235841012,312.891,110.285,3.278,0.734,0.156,0.403,0.328,0.376,0.629,0.187,0.304,0.267,0.146,0.388,0.369,0.394
32,8.022276394711152,297.188,125.32,3.317,0.698,0.156,0.661,0.381,0.425,0.182,0.197,0.257,0.275,0.202,0.341,0.489,0.384
33,7.886056647693163,211.154,3.626,1.2,0.978,0.154,0.718,0.453,0.345,0.278,0.09,0.316,0.162,0.42,0.163,0.506,0.434
34,8.494850021680094,9.489,3.451,1.953,0.637,0.159,0.52,0.497,0.387,0.257,0.216,0.324,0.287,0.423,0.345,0.468,0.322
35,7.045757490560675,7.084,3.751,1.086,0.594,0.16,0.528,0.449,0.285,0.236,0.116,0.294,0.137,0.38,0.262,0.421,0.275
36,8.585026652029182,14.232,3.701,0.82,0.759,0.154,0.42,0.334,0.341,0.172,0.1,0.226,0.157,0.298,0.154,0.365,0.245
37,8.214670164989233,12.641,3.423,0.759,0.751,0.159,0.455,0.366,0.284,0.203,0.05,0.251,0.116,0.343,0.128,0.368,0.253
38,8.346787486224656,164.993,5.445,1.304,0.961,0.154,0.186,0.33,0.413,0.406,0.135,0.317,0.234,0.386,0.251,0.31,0.29
39,8.823908740944319,238.732,4.988,2.379,0.97,0.153,0.945,0.482,0.46,0.266,0.296,0.33,0.351,0.347,0.236,0.629,0.514
40,8.698970004336019,6.357,4.009,0.952,0.562,0.162,0.525,0.431,0.302,0.203,0.224,0.276,0.174,0.287,0.432,0.419,0.277
41,6.823908740944319,120.013,3.757,0.994,0.962,0.162,0.151,0.443,0.353,0.241,0.153,0.303,0.211,0.403,0.24,0.316,0.178
42,8.55284196865778,7.047,3.734,0.706,0.614,0.163,0.539,0.453,0.281,0.251,0.057,0.308,0.113,0.395,0.121,0.424,0.253
43,7.744727494896693,5.98,4.162,0.927,0.54,0.163,0.526,0.427,0.302,0.226,0.053,0.281,0.123,0.346,0.114,0.419,0.252
44,8.886056647693163,215.24,5.037,1.994,0.968,0.161,0.414,0.446,0.425,0.276,0.231,0.319,0.299,0.403,0.318,0.428,0.252
45,9.045757490560677,294.232,7.753,1.842,0.968,0.156,0.983,0.442,0.433,0.391,0.145,0.388,0.236,0.465,0.256,0.619,0.507
46,8.886056647693163,235.71,9.492,1.588,0.955,0.151,0.323,0.399,0.348,0.36,0.128,0.371,0.195,0.44,0.232,0.357,0.326
47,8.0,7.091,3.572,0.888,0.614,0.162,0.548,0.465,0.306,0.255,0.057,0.315,0.128,0.417,0.123,0.44,0.279
49,9.221848749616356,272.066,8.637,0.983,0.966,0.151,0.581,0.463,0.355,0.351,0.128,0.339,0.18,0.328,0.192,0.466,0.388
50,8.522878745280337,154.299,6.206,1.476,0.953,0.154,0.409,0.486,0.406,0.399,0.161,0.432,0.24,0.544,0.335,0.434,0.311
51,8.481486060122112,8.629,5.529,1.086,0.566,0.153,0.423,0.526,0.36,0.294,0.098,0.396,0.17,0.451,0.182,0.436,0.301
52,8.275724130399212,158.923,7.304,2.057,0.944,0.156,0.247,0.409,0.461,0.425,0.254,0.347,0.347,0.325,0.498,0.372,0.265
53,8.67778070526608,313.746,7.725,1.666,0.971,0.152,0.603,0.44,0.496,0.564,0.197,0.428,0.3,0.395,0.318,0.513,0.38
54,8.585026652029182,196.217,5.475,1.22,0.967,0.154,0.712,0.436,0.409,0.331,0.217,0.4,0.26,0.578,0.208,0.519,0.481
55,8.585026652029182,94.452,9.825,1.992,0.889,0.153,0.109,0.378,0.378,0.349,0.234,0.34,0.29,0.354,0.309,0.288,0.233
56,8.0,8.417,4.196,1.084,0.614,0.155,0.453,0.523,0.353,0.376,0.07,0.424,0.149,0.526,0.163,0.443,0.308
57,7.552841968657781,6.672,5.37,1.376,0.497,0.155,0.421,0.532,0.379,0.322,0.084,0.413,0.174,0.383,0.198,0.444,0.297
58,7.997833938243493,244.268,5.069,1.721,0.973,0.156,0.642,0.5,0.393,0.176,0.351,0.294,0.345,0.398,0.345,0.512,0.371
59,8.3767507096021,223.864,5.647,1.679,0.968,0.153,0.946,0.399,0.435,0.425,0.264,0.373,0.284,0.434,0.334,0.593,0.535
60,8.301029995663981,192.092,7.476,1.116,0.957,0.151,0.272,0.45,0.424,0.466,0.262,0.364,0.289,0.472,0.368,0.382,0.336
61,7.920818753952375,100.417,22.218,7.125,0.774,0.152,0.107,0.026,0.392,0.04,0.001,0.008,0.14,0.009,0.202,0.175,0.092
