mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0ns,0.6137007143890351,0.104387450267482,"[1, 2]",0.6839467016556674,0.4630463877592521,0.5467039510023262,0.6700389953876453,0.7047675361402848
1ns,0.4773881790155995,0.08280458641559703,"[1, 2]",0.47181036383345765,0.5147351783490812,0.3545765019786957,0.46471401338670126,0.5811048375300618
2ns,0.5406516825265484,0.06764196031533456,"[1, 2]",0.5495374358952381,0.5207055688836919,0.43608408914210683,0.6086057209673443,0.588325597744361
3ns,0.5751320931225941,0.10577644017793827,"[1, 2]",0.4517907040543203,0.6967670139826232,0.566235491623547,0.49496109760797113,0.665906158344509
4ns,0.5429407920011711,0.04821706772670665,"[1, 2]",0.5504762747118428,0.5848750881522454,0.5189024716508774,0.4728532342884172,0.5875968912024725
5ns,0.4679165811337186,0.10646573544861272,"[1, 2]",0.6148828601109679,0.45662154357851636,0.47634105153261874,0.47698711858926657,0.31475033185722356
6ns,0.5737947446499737,0.05376420329531833,"[1, 2]",0.5362720599952397,0.5117887043694826,0.5622492133320833,0.6312828769350372,0.6273808686180258
7ns,0.5808014978197267,0.1163135871916185,"[1, 2]",0.39496592092428473,0.6298553311427906,0.549087439514724,0.6336403002481417,0.6964584972686927
8ns,0.4917946633151772,0.12417074771767962,"[1, 2]",0.3670147026948647,0.35177084073945264,0.5349642849181628,0.6086251404928447,0.5965983477305611
9ns,0.5696327330519535,0.09844723530423097,"[1, 2]",0.5836958571857983,0.6316309254222288,0.398921185172305,0.6404538006188698,0.5934618968605654
10ns,0.5603388305873849,0.11088243422685666,"[1, 2]",0.5216247687292483,0.6289814270536616,0.42296309298003265,0.5183427156076676,0.709782148566314
clustering_target10.0%_cluster1,0.5734259562419182,0.10915478567875496,"[1, 2]",0.38689292646330276,0.664684709212766,0.5961487107404121,0.6360470441872812,0.583356390605829
clustering_target10.0%_cluster2,0.5147169550564917,0.11028242082649747,"[1, 2]",0.4086778929990549,0.4668164880182618,0.43621985487239867,0.5998312193481494,0.6620393200445938
clustering_target10.0%_cluster3,0.55845301549767,0.08587656244295909,"[1, 2]",0.5069842376094985,0.654287166786172,0.5701887072805377,0.44108696063076536,0.6197180051813763
