mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.7003773503244966,0.09064338569022129,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5069058328642833,0.7022460582134463,0.766427523926021,0.7049389324067582,0.7201532733640575,0.7968600544683687,0.7609311680247439,0.7227774705372513,0.5530625094691874,0.7694706799708471
1ns,0.5584758548243964,0.10481472729129049,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.48606933835794275,0.4645028515960964,0.6710564395872183,0.6374188373877252,0.44309296220707495,0.6510005857657011,0.5801537296411818,0.7199120416591883,0.3906457328105367,0.5409060292312995
2ns,0.5607259910991325,0.09991842781466213,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4616858609394894,0.4645704878694562,0.5199325500432239,0.6774794154681839,0.6587902845534414,0.6945988421483343,0.45250332871264065,0.6187703856961694,0.4272092854386179,0.631719470121767
3ns,0.5869341021664786,0.09887494823454719,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.507474459182188,0.5691631571576727,0.5906339459388985,0.6354662074681976,0.6112514083124121,0.6673313787437429,0.5594527461210796,0.6215632415431122,0.3566278830332317,0.7503765941642508
4ns,0.5806552276178838,0.11198062478576269,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4946168296563699,0.48888559828241873,0.5137402772975429,0.650838130754535,0.6162221643626076,0.7661285120087211,0.6062186808863226,0.695807967187313,0.3584680678675596,0.6156260478754478
5ns,0.5622623717328389,0.09096974596051223,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5504589346354105,0.5662914871840794,0.4635174096171213,0.7254413389743153,0.6010065018705093,0.6226166658387449,0.5302661956773451,0.626120138976415,0.37259962679953507,0.5643054177549125
6ns,0.59669452104821,0.13196110230374014,"{'C': 10, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4938436369719612,0.5539609017181585,0.7213396259773419,0.8141350108467592,0.609065826472216,0.6150845252223318,0.5681143906347015,0.7179020124553219,0.31074956334216863,0.5627497168411386
7ns,0.5848878003421233,0.08463196465289818,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.5265818944804883,0.5439843595443971,0.5734016850587078,0.715056114441419,0.6066202467598074,0.7230210466806474,0.5601807947844002,0.5606516602412566,0.419129413098968,0.6202507883311411
8ns,0.5751345736388478,0.09960923378389744,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4899511404063247,0.5471903916404672,0.6335853374732374,0.6299908204845117,0.6610348199181783,0.5681030456335163,0.453250151838819,0.6822667170139616,0.38657562697077796,0.699397685008684
9ns,0.5983350487484042,0.10748805548672852,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4415505785959556,0.49783956292237197,0.660503964726461,0.7563618722232852,0.4876579017326321,0.6422923043185289,0.5845995664038215,0.7189858634697107,0.489339073311595,0.7042197997796793
10ns,0.5776866025081884,0.12618380115605018,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.3524266892176662,0.5970402305493662,0.6797160233387967,0.6729815621749439,0.6454622249378756,0.6816911465076756,0.4119761398267586,0.6461268081520664,0.40528077902602067,0.6841644213507125
conformations_10,0.6427144788776823,0.10190157209380785,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.47877257274595675,0.5427705471048807,0.6856926002683066,0.7979349271646897,0.6469342433309464,0.7455789513816766,0.6500400964798934,0.7076972918535356,0.48663158297283293,0.6850919754741053
conformations_11,0.7052680783622558,0.09376770964151802,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5050582505132271,0.709656599093913,0.7431419637714904,0.8271657974522477,0.6535890327072365,0.7351888544789589,0.7334849900372293,0.7732012098279406,0.5816581227896853,0.7905359629506307
