mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.6787013365018756,0.04627008085567099,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6423756300677055,0.6920615136163606,0.744121629551946,0.7011975260408565,0.7342613208865909,0.665731504236196,0.7204358975885286,0.6452158656492981,0.6117930424700859,0.6298194349111873
1ns,0.6109096487193196,0.05574686369297994,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.6136450130010074,0.6103907969655715,0.6671312262654774,0.597482365420629,0.6344517769286904,0.597337452238385,0.7001776695894031,0.6329105473292926,0.4994142684158258,0.5561553710389127
2ns,0.6169693174490307,0.056609136678162204,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.626150885471974,0.6124919997815605,0.660167666730969,0.5833249496975856,0.6589275836402798,0.5974012817526471,0.7253760037938908,0.6244190724686413,0.5317956738961829,0.5496380572565753
3ns,0.6093113202206067,0.05260426709644989,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.6007423458962783,0.6020535156825992,0.6526498437656543,0.6008426057360099,0.6441651048597307,0.5688778259077442,0.7193841075501857,0.6041936820624203,0.5297858237131647,0.5704183470322806
4ns,0.6095262144690439,0.05908171480009791,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6246613304997448,0.6100475358123173,0.6561949454907061,0.593326382784118,0.6666824992669302,0.5647076138952223,0.7093890453875585,0.6105690120018792,0.5098707954161704,0.5498129841357915
5ns,0.6121756874085895,0.05070690852275817,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.607947778787414,0.6122721894584497,0.6524383815817982,0.6089656948895277,0.660863597205195,0.5847377001390807,0.6966452741816864,0.6175763220470323,0.5197853790232816,0.5605245567724286
6ns,0.6070700326336507,0.05447779230645616,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6140676966809266,0.6100479774145009,0.6554047724848411,0.5751380502558958,0.6531504912485432,0.5635131123981353,0.7093467517564476,0.5998386269321756,0.5218386963523379,0.5683541508127024
7ns,0.6130883560024072,0.05002581091043905,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.599515526437254,0.6227181680079192,0.6534399500029647,0.5895582070267552,0.6302575167722596,0.5834032244803268,0.71347338842289,0.631636470067628,0.5274456805947558,0.5794354282113188
8ns,0.6113861378458176,0.05483833632902985,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6233997649458025,0.6160800610222674,0.6597995344473124,0.5876847345258056,0.6681825776855228,0.5559507323299226,0.6999328993268596,0.6109725795930818,0.5205877227050746,0.5712707718765271
9ns,0.608913296945106,0.05515468538841354,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6186633412162326,0.6045202074655985,0.6453375385634434,0.5836272639112655,0.6475828682830496,0.5712033969167667,0.7163824357266637,0.6162974195080531,0.5109500290521265,0.5745684688078615
10ns,0.6141217828423777,0.053813849032048396,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6153393232605371,0.6051622355219912,0.6718693873190046,0.5931535908558693,0.6446319827533562,0.5788027232751716,0.7132728686329772,0.6264174789913328,0.5257556165633737,0.5668126212501641
conformations_10,0.6126438313687206,0.052904475426827864,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6139260045737707,0.6100509862903924,0.6562672447578655,0.5937462951390969,0.6512938902445555,0.5746437892860329,0.7144624378759805,0.6168714241303452,0.5237738036455019,0.5714024377436648
conformations_20,0.6135963014620736,0.052222133032124106,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6155159467572902,0.6090997574522448,0.6582775627411952,0.5975296642374401,0.6529956819974022,0.5708758943073453,0.7124633052137372,0.6199948233194263,0.5285907899537261,0.5706195886409278
minimized_conformations_10,0.6761690632788684,0.04804624226390753,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.651532845903326,0.6702670111935486,0.7213287653182638,0.6663651492203195,0.7266579349955642,0.648922393589437,0.7565635934713502,0.6528856802299883,0.5884464065596066,0.6787208523072799
