mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized_conformation,0.7355614511381271,0.08574325224203391,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7617904026410055,0.761139256295922,0.8093162615319291,0.7478203082417549,0.5310588239001457,0.6711385746420446,0.7817123943517392,0.6943580843068271,0.7714575085068993,0.8258228969630028
1ns,0.6523166013675175,0.0754121539078034,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6982885754902508,0.6016873828725757,0.7606618732600139,0.6845602926831853,0.5158105133549329,0.5471274479122306,0.6706806002795602,0.6619623037071316,0.7081650824540073,0.6742219416612867
2ns,0.6497875861969147,0.048320007158822544,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6985435321598457,0.5869579765209589,0.5910688336600365,0.6788402857912991,0.6121503633917349,0.6248650551613969,0.7154353403106923,0.6176234583123292,0.6727079394269093,0.6996830772339441
3ns,0.6328308836394199,0.08599403709404553,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6793266573068507,0.5873288268209549,0.747689373394377,0.6533562242015697,0.45956547710238027,0.5837108323271144,0.627687923808621,0.5728505529587559,0.6835910141855128,0.7332019542880612
4ns,0.6744210134630918,0.06763699971008687,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7466638356789481,0.6664846262654827,0.6912756718445319,0.7193301265862846,0.5725559105383529,0.5627556691646404,0.7164042396722093,0.6278259123168985,0.6845964122664354,0.756317730297134
5ns,0.6588294634261815,0.0706588980571269,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7614901528027336,0.596791298150146,0.7371034338710558,0.6903603077811693,0.5347023394182913,0.6069754645360388,0.6548857687036501,0.6189316960439921,0.6678995192257128,0.7191546537290261
6ns,0.6494534736928324,0.08851952095195909,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7237290126172424,0.6574375020548495,0.6933105130419077,0.6571889020540652,0.4208671644432108,0.6370302065241673,0.6382524299471048,0.6360580534700904,0.6873396280023277,0.7433213247733577
7ns,0.655642086517306,0.059531650229809906,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7500000555254784,0.6227674877697406,0.6927161745143691,0.6686403029439312,0.5846578583543998,0.6283036067348732,0.6359339147417764,0.5736955201078104,0.657606436974453,0.7420995075062278
8ns,0.6365007914322243,0.07105615525192088,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7313723788879012,0.5728752416556027,0.7293722602332704,0.6459709515620696,0.5583207797520655,0.593209841695464,0.7083561497254103,0.5352446316013315,0.6372188417502085,0.6530668374589195
9ns,0.6671162241647137,0.06677292251296352,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7084581541378416,0.635765967167863,0.7162761865586521,0.645639247150894,0.522461374705663,0.6437679578230516,0.6979127749201663,0.6623952720649267,0.6614393613809275,0.7770459457371506
10ns,0.6477100241174495,0.09238570187476407,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7085973271772366,0.6291946563531983,0.7337962678221308,0.7122659619998287,0.46760429366160805,0.5605900153709464,0.6780990990470657,0.5536600034270773,0.6859349636648022,0.7473576526506004
conformations_10,0.7030686337603852,0.06455125926437946,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7659963827664196,0.6590605197938351,0.7756544192231234,0.7058833414019838,0.5894085297858849,0.6455329423644934,0.7274423536488406,0.6662876842808009,0.7020650286828696,0.793355135655601
conformations_20,0.7062871805724494,0.061646469312798734,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7697184941434023,0.6615853728329708,0.7623308544234562,0.7040732424307201,0.5910025022826959,0.6605052734550207,0.738276413091155,0.6794313826163672,0.7009192883629357,0.7950289820857708
minimized_conformations_10,0.7501189237840359,0.06149982525339975,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7931157133093046,0.7730281341968768,0.815526947455789,0.7365877269718737,0.6311171210606427,0.6967113520668172,0.7538652890563512,0.7195091245710272,0.7364575891221533,0.8452702400295228
stable_conformations,0.6767035645614671,0.07618321297719209,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7541167518315072,0.6183462184703442,0.7006588795150801,0.6802059017109363,0.5678212329423973,0.5946941934680472,0.6912297201712354,0.6199997908754067,0.6766808145107631,0.7632821421189531
10.0%_cluster1,0.663555863432262,0.08418535625623258,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7670709336295828,0.6770497852287449,0.6258437664570304,0.641675253099293,0.591468209517034,0.5416744937850202,0.702850584031409,0.5800798534848821,0.6987425507758631,0.8091032043137605
10.0%_cluster2,0.6659123214843039,0.07161483930365307,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6895506607786632,0.5871185369778456,0.7306338025299535,0.7118144660160675,0.5559095196852932,0.5837084721769792,0.7181520711576912,0.6754662363314248,0.6377785573369896,0.7689908918521309
10.0%_cluster3,0.6737980699804343,0.07643347248527464,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7523837184941472,0.6755487308885382,0.7077408176707434,0.6595240959272424,0.5789977065663635,0.5200317362312088,0.7260837521151595,0.6891513118369716,0.6587206616932488,0.7697981683807199
10.0%_cluster4,0.6698769817453007,0.08833998285650912,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7784668962445209,0.6636326135086537,0.5805450901742761,0.7031467664122598,0.5100880138771584,0.6138650433816335,0.70577099083652,0.6575953029798085,0.6773905685107972,0.8082685315273797
10.0%_cluster5,0.6507564841017853,0.10472868730854798,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7535172635817029,0.7003387619670481,0.7495627099428233,0.6324234902369519,0.49814234458221573,0.5075392892595333,0.6496946559797296,0.5397966933759807,0.6926591798424981,0.783890452249369
10.0%_cluster6,0.672104040091857,0.09387267225080205,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7489179953597007,0.6311445413700536,0.7902973207339442,0.6153661110808369,0.4991640521683496,0.6615131247188335,0.7252778488236038,0.6356291670080331,0.6121369392766356,0.8015933003785782
10.0%_cluster7,0.6532081351345451,0.08793513607821239,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7646988085554502,0.6182171800589136,0.7297188384476074,0.6203509243568537,0.4991843241627819,0.551194816990771,0.7265083513773124,0.6141560721929393,0.6665272103383101,0.7415248248645121
10.0%_cluster8,0.6654835017321226,0.09265543469898417,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7194579697147544,0.5940838203520041,0.7482960858675017,0.7174135750081797,0.5505481042125299,0.5024516987071082,0.731320917399561,0.6329480580306668,0.6725531185551985,0.785761669473722
