mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,bin_4_10
0ns,0.723991671671383,0.045608300143706385,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6892381351048555,0.7914427057819443,0.6786808070206815,0.7449679648182028,0.715628745631231,0.7265177261025966
1ns,0.6393022422174883,0.02400696143696337,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6219302200795063,0.6810193507497986,0.6370231285407937,0.6255688339337384,0.6309696777836045,0.6412890197002865
2ns,0.6445536933353011,0.025872525976048128,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6418785317891966,0.6833361779374107,0.6276975607394848,0.6535946380518534,0.6162615581585595,0.6471862509174408
3ns,0.6307069742454237,0.02121412548464186,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6328162428745757,0.6585355514119524,0.6269760541568503,0.6358237819281833,0.5993832408555564,0.6330928142423948
4ns,0.6451637643121954,0.05091006441919528,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6091482447462071,0.7186697249990328,0.6100372582330362,0.6788417251245644,0.6091218684581368,0.6484044659914391
5ns,0.6422168109627142,0.032446221589361245,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.5982674095116542,0.6791702268580053,0.6377058868097025,0.6683095311090185,0.6276310005251908,0.6436565757403432
6ns,0.6386703990896228,0.03504181977670369,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6562210064740637,0.6766343525657812,0.6198228271499812,0.5876645467125163,0.6530092625457714,0.6410314924099014
7ns,0.6412214975859405,0.023875009701267345,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6222362439252325,0.6764986458221645,0.6316510122258661,0.6211131894518586,0.6546083965045814,0.6427084154929359
8ns,0.6372290283178682,0.03813868780296679,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6380471224666369,0.7018088536422031,0.6267943983657334,0.6060290631939739,0.6134657039207937,0.6405464448388398
9ns,0.6552099723750915,0.02188505960990689,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6370245192449691,0.6622278025542953,0.6434118396970934,0.6428920750965679,0.6904936252825327,0.6555476554591322
10ns,0.638181602880866,0.021923388062462437,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6659138399398306,0.6460863677158707,0.6341375902992739,0.6054209552462366,0.6393492612031184,0.639974519863467
conformations_10,0.703252389156952,0.04003285092044057,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6678866439851403,0.772288440548488,0.6915211194057701,0.6894971091398341,0.6950686327055272,0.7055593796064188
conformations_20,0.7087542322825134,0.03815007668048123,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.676194783264917,0.7747438311660094,0.6938261890161468,0.7020485740109773,0.6969577839545166,0.7111026173288153
conformations_120,0.7105119356325261,0.0396683228940407,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.6807145793834868,0.7801144378314253,0.7005700723007776,0.6985098115406752,0.6926507771062655,0.7130634163976999
minimized_conformations_10,0.7460461831412165,0.03849962231884998,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.7292119776307353,0.8101373767453912,0.7232862455770841,0.7527679583715825,0.7148273573812896,0.7489308207907435
