mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.7267436148495884,0.04084594179582038,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.715838482411507,0.7490956844306516,0.6959773701740385,0.7264785739753437,0.740213461983751,0.6770023093022177,0.8085087170796059,0.670597019200958,0.7260572642304197,0.7576672657073908
1ns,0.6138311371111178,0.06294783743124965,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6233817504663091,0.6259744650126244,0.6621790988999807,0.5833913670303131,0.6738037255121321,0.6040774289777433,0.7019708705800212,0.6277058363621151,0.4854657080778061,0.5503611201921332
2ns,0.6191722145566425,0.05514811552140502,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6235676115796035,0.6042693526106458,0.6340862868409787,0.5879615106077534,0.6690085269993313,0.6051409694068854,0.7371892207642463,0.6273457249792802,0.5593274830364816,0.5438254587412192
3ns,0.6028858873918639,0.07378795915539309,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.627031231894785,0.5836054278210374,0.6630635828209982,0.6030307585504464,0.6832509103018682,0.5460235928221842,0.7218219001487691,0.5814570563150283,0.5471656786642924,0.47240873457923005
4ns,0.602382418615825,0.05385876535578753,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.5903096313496718,0.6233058513663117,0.6811389494754551,0.5618815504642636,0.6821066067887307,0.6157960167618441,0.5935521837594304,0.5975774772018585,0.5001639173472963,0.5779920016433879
5ns,0.6054985994186488,0.0515958945745372,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.584462725211766,0.5670344968112946,0.6490580247855695,0.6021572695670059,0.6590556210726086,0.5768993657499764,0.6890645209893579,0.6327276560395536,0.5161588582688859,0.5783674556904701
6ns,0.6042023938211423,0.060971012346235726,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.613745821653653,0.6092287571759365,0.6423802768834326,0.5481393137613138,0.6676918425770715,0.5963845109444306,0.7201562822326353,0.5452904512798953,0.5199373580743335,0.5790693236287208
7ns,0.6009266992467717,0.07485218326067056,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.5056940935603557,0.5941566861191574,0.6460849136729221,0.583892180176705,0.6438124659963899,0.6129933267914678,0.7393629827942848,0.6287488282809246,0.47156375257283845,0.582957762502671
8ns,0.609547129614569,0.05311165597986171,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6246257182012577,0.5861310518411642,0.6298736941740631,0.6060083385768119,0.6889115552373721,0.5597181931179542,0.6808285047124341,0.6232251117354146,0.5121666679916288,0.583982460557589
9ns,0.6180239078930907,0.08400759105855826,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6445843149655712,0.6219027984472981,0.6439422886936348,0.5695087483584074,0.6895798001489502,0.5792152182362962,0.7234457376392125,0.6888517394977611,0.42743630602813454,0.5917721269156406
10ns,0.6189479800991892,0.05282595971963759,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6182181119891075,0.6057874427113301,0.6601676056196999,0.5707662606466882,0.6764538295632878,0.5981180182007455,0.7089581845397416,0.6424134916291807,0.5634789449717726,0.5451179111203375
conformations_10,0.674222158742855,0.05480168385539455,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7056127317528177,0.672141339348221,0.6283016689017011,0.6282505068202231,0.7194609569067287,0.6790185424878412,0.7751482855297278,0.672358751517727,0.5770400921846639,0.684888711978898
conformations_20,0.6861842983492564,0.050685343362400756,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7104028207139297,0.683795959281088,0.6393149035986162,0.6534276701451941,0.7258967806205205,0.6805564079234134,0.7797446876857443,0.693133565226652,0.593473642717784,0.7020965455796206
minimized_conformations_10,0.7333434322364925,0.04670092394963221,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7143242788170526,0.7240998168858299,0.6940345661564409,0.772540462958504,0.7352669156480316,0.7513800588446542,0.8106008452241646,0.6503124342037907,0.7029708539410774,0.7779040896853784
