mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
minimized,0.7019403172218035,0.08932572629124182,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5566712484334342,0.6081948104730828,0.8102223826310574,0.7568634197092119,0.7159374347496466,0.8059478806737246,0.700490986708556,0.7235581720916695,0.5665220712527475,0.7749947654949043
1ns,0.6342339880325252,0.10704493856032588,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.4097196841191537,0.6669819605814238,0.697589894144182,0.6907089238392294,0.507514740775873,0.7236791699098143,0.6800945139481811,0.7743900770389602,0.5360437137053511,0.6556172022630833
2ns,0.6116512007457384,0.10478749250408179,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.41971997792641746,0.507255285376218,0.653532731182616,0.7830063062631456,0.677407754198988,0.7251841135715795,0.6190303851477104,0.6591900650292869,0.5377099869867847,0.5344754017746369
3ns,0.6097495079973455,0.0883892027210727,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.4823561724382409,0.6354125743647094,0.6584033689808135,0.7415235688539792,0.5992886122540058,0.6822479774272994,0.639094964127769,0.6695948936603893,0.44347286676811726,0.54610008109813
4ns,0.6410863419329169,0.13470374405967545,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5486645477630563,0.5279498515141372,0.6750951405258817,0.75075535997848,0.7122685553585614,0.7785880168529984,0.6632187714818693,0.7800717259181243,0.32018666637388016,0.6540647835621811
5ns,0.6166127894618417,0.0923355898997599,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.4386018178178984,0.5613058133573481,0.6222070026224097,0.7604656368846803,0.5851074098869419,0.6477333509552159,0.6767412501720126,0.7175504973832334,0.6526120349768576,0.5038030805618195
6ns,0.6096412574581894,0.1311566857051211,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5075430840414491,0.5244055589876777,0.7856766463028245,0.758339580686906,0.6723209243988473,0.6941258607203897,0.6387202571696057,0.6355130513754674,0.31535381010671726,0.5644138007920083
7ns,0.6554110266628774,0.09495575954624184,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5271972684452719,0.6235316283739096,0.6933666975174115,0.7757271830234184,0.6324450600333809,0.8150673878423106,0.6773878487355964,0.7211996336411244,0.5197779552978493,0.5684096037185018
8ns,0.5852610930579629,0.0911972354293667,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.4355790269846105,0.6326743171380562,0.5609710863243009,0.7152645855181661,0.6267238055163487,0.6190553273294376,0.5334847168482992,0.6959729864673758,0.4335130501229473,0.5993720283300868
9ns,0.6106001981770941,0.1023775767811715,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.47175136391802774,0.4998902291473081,0.7227707994976194,0.7605835097900144,0.5667088751737162,0.7569481796242101,0.5882208999895481,0.654364356593983,0.5028157528964459,0.5819480151400682
10ns,0.6186478489279971,0.13107223928977885,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.2931950121311646,0.5445698488203626,0.7110170040544185,0.7866210942234713,0.6481061899688216,0.7122886520791707,0.6069714734658258,0.6630423938352219,0.5336415558920897,0.6870252648094235
conformations_10,0.6510088056696441,0.09997955298311467,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5180100583313857,0.5521054039882505,0.7312542178890397,0.8188496705735502,0.6533895570973778,0.7394007381333485,0.6667443959642507,0.7299691259212344,0.5098982946435024,0.5904665941545008
conformations_20,0.6651577774735145,0.0977405099497312,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5211789805357105,0.6240348636899408,0.7138744480629584,0.8249391534320251,0.6579176213744242,0.7685552860363937,0.6748318418272397,0.7553847133756382,0.5226466684158575,0.5882141979849576
conformations_50,0.662181187904421,0.1092097435228978,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.5012867710935585,0.5861485746976323,0.7381982116312317,0.8398923680115801,0.6450103538167282,0.7704501542142711,0.669216309045502,0.7683085759264959,0.516463829480877,0.5868367311263343
