mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.7010751481547656,0.058719841824053765,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.6693620268261065,0.7857321707072553,0.6671991543398658,0.7440488045828166,0.7437455272983622,0.6178494261678016,0.7134528249456245,0.668356645899975,0.6301686694433919,0.7708362313364567
1ns,0.6579066077468619,0.07757653982935445,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7305773246930236,0.6635013931325675,0.6643984861353553,0.6315897692689338,0.683829430578351,0.6862474113697923,0.7457126209448128,0.6483227811507262,0.46092337189155874,0.6639634883034978
2ns,0.6437924222346764,0.058872949703626644,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.7187019201856149,0.6340157655982552,0.6460392963133471,0.6202136312041734,0.6902403271998494,0.6167036422130228,0.726615423782676,0.6665197102482723,0.5448219213234176,0.5740525842781363
3ns,0.622438007020526,0.05967537177083167,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.6427574272166967,0.6499885436231587,0.576750734656462,0.646365653147218,0.6869982934510251,0.531295959713141,0.7309067564055169,0.5807823804179113,0.5938718150949832,0.5846625064791464
4ns,0.6533553070017925,0.07936634514792726,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.5773284401238185,0.6321275761033749,0.6492186996781986,0.6854303985849299,0.7550750007596914,0.7310297688777612,0.7267144552525582,0.6364199176851906,0.48793229573685837,0.6522765172155431
5ns,0.6407708895619126,0.049577788059105454,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.6449974892352185,0.5996583058671625,0.6071123512240981,0.688651506028994,0.7187493357589155,0.636695086077658,0.6886218613801729,0.6077590919793596,0.556117185140483,0.6593466829270644
6ns,0.6452510176582271,0.09957272413700201,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7238959817072812,0.728412500211779,0.6841076965553388,0.6142658119862627,0.6023250747414574,0.6675664818090086,0.8029628306456051,0.46887397435391787,0.5215824112588374,0.6385174133127833
7ns,0.6481846724120224,0.0798480290576383,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.6193218563529113,0.5928865200511944,0.6137430956464054,0.7104303491172299,0.6753246156429948,0.617370407561582,0.7742604811501382,0.6767623619200247,0.48783570278004085,0.7139113338977021
8ns,0.6326958092722786,0.058876598552123294,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.6907152088488366,0.6392920814614912,0.6578465320373734,0.5838912696762104,0.716475135847539,0.5648104419350357,0.6759191989443698,0.6110318652948512,0.5313012908272121,0.6556750678498663
9ns,0.6465413328624086,0.07506279056272833,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7037194514769063,0.677451341855613,0.5822517555657958,0.6821550113419557,0.7222163726206721,0.6148060448043587,0.713690915901896,0.6428846261676155,0.4739318209838198,0.6523059879054529
10ns,0.6687104036247901,0.05723936526552957,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.700073171997653,0.667394395180178,0.667100158077943,0.6573055839359783,0.7362991045815577,0.6649468568345868,0.7118572959784024,0.5892399722549864,0.560951415430704,0.7319360819759106
conformations_10,0.6953035268886719,0.044578359792358115,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7141670231839441,0.7068912841710341,0.6713587931855332,0.6872170117997815,0.71948818059887,0.6901241022959932,0.7865212215948818,0.6752389330444685,0.6091922273058276,0.6928364917063856
conformations_20,0.6970936298398789,0.04421890909101681,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7256476386717129,0.7023347463209797,0.6731979696690451,0.6803821981475162,0.7338565291717434,0.6772300148714381,0.7828934690501039,0.6760106497875258,0.617532786778316,0.7018502959304085
minimized_conformations_10,0.7320375092363733,0.046516110668217606,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7184553774539476,0.7056645797489611,0.6851052454321154,0.7522652869817461,0.7766933969341621,0.7261593663014354,0.804473662320819,0.6694130067641972,0.6930041952689827,0.7891409751573676
