mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,13,20,21,31,32,75,76,100,101,107,108
1,9.154901959985745,6.57,258.062,9.535,1.947,0.957,0.156,0.641,0.417,0.371,1.264,0.588,0.148,0.478,0.214,0.342,0.309,0.476,0.4,8042.005,6144.093
2,9.30102999566398,8.3,7.471,3.003,2.172,0.591,0.156,0.512,0.505,0.522,1.429,0.382,0.199,0.399,0.313,0.436,0.204,0.513,0.398,106.546,78.455
3,6.214670164989233,3.59,357.526,6.253,1.978,0.977,0.151,0.797,0.466,0.41,1.291,0.32,0.182,0.391,0.247,0.379,0.352,0.558,0.472,7742.085,5405.197
4,7.920818753952375,5.27,155.494,6.148,2.083,0.95,0.151,0.277,0.433,0.377,1.49,0.447,0.209,0.41,0.27,0.501,0.235,0.362,0.318,3447.643,2899.472
6,7.823908740944319,7.45,88.611,8.724,2.14,0.891,0.156,0.121,0.509,0.454,1.416,0.655,0.194,0.612,0.275,0.779,0.333,0.361,0.322,2735.076,2266.015
7,7.207608310501746,2.41,29.786,5.156,1.988,0.807,0.158,0.059,0.342,0.472,1.086,0.006,0.012,0.028,0.2,0.049,0.243,0.291,0.017,565.223,124.524
8,8.619788758288394,1.41,14.967,2.694,0.811,0.81,0.153,0.479,0.424,0.249,0.353,0.255,0.047,0.287,0.101,0.428,0.095,0.384,0.278,105.845,69.501
9,7.341988603342887,9.34,7.458,2.875,0.789,0.671,0.165,0.578,0.445,0.315,0.322,0.289,0.051,0.328,0.121,0.478,0.113,0.446,0.29,57.644,35.334
10,8.698970004336019,5.56,14.251,2.494,1.26,0.792,0.156,0.493,0.431,0.316,0.798,0.233,0.122,0.28,0.174,0.382,0.185,0.413,0.331,119.421,88.539
12,7.744727494896693,7.49,262.742,8.143,0.753,0.967,0.154,0.475,0.387,0.403,0.448,0.251,0.136,0.315,0.191,0.317,0.231,0.421,0.346,4227.195,3392.881
13,7.552841968657781,9.3,259.883,13.619,2.091,0.943,0.153,0.292,0.538,0.415,1.508,0.396,0.208,0.464,0.276,0.543,0.462,0.415,0.287,11789.485,8039.369
14,8.017728766960431,4.76,23.484,12.853,3.105,0.595,0.153,0.028,0.557,0.416,2.399,0.002,0.006,0.006,0.324,0.014,0.355,0.333,0.201,1391.261,272.083
15,8.920818753952375,6.75,319.701,5.008,1.003,0.982,0.159,0.804,0.395,0.31,0.567,0.313,0.1,0.346,0.154,0.27,0.158,0.503,0.443,3858.544,3089.975
16,7.301029995663981,5.91,10.325,2.526,1.051,0.743,0.159,0.529,0.41,0.301,0.479,0.28,0.061,0.308,0.13,0.482,0.134,0.413,0.284,80.914,50.541
17,8.537602002101044,7.56,8.498,3.351,0.947,0.664,0.159,0.503,0.433,0.294,0.468,0.245,0.072,0.307,0.125,0.287,0.139,0.41,0.377,79.483,63.798
19,7.494850021680094,6.28,15.659,2.515,0.997,0.817,0.153,0.54,0.466,0.402,0.548,0.29,0.106,0.346,0.18,0.509,0.173,0.469,0.308,115.942,77.049
20,7.657577319177793,6.7,338.8,3.734,2.255,0.983,0.147,0.946,0.495,0.421,1.799,0.244,0.232,0.33,0.315,0.396,0.299,0.621,0.485,5234.616,3488.439
21,7.958607314841775,4.52,17.341,2.638,1.595,0.804,0.149,0.579,0.406,0.34,0.982,0.264,0.112,0.296,0.174,0.45,0.188,0.442,0.328,172.153,115.366
22,7.017728766960431,3.02,31.096,3.488,1.391,0.864,0.162,0.042,0.411,0.386,0.707,0.251,0.009,0.291,0.135,0.429,0.192,0.28,0.089,343.402,78.415
23,8.080921907623926,9.44,7.656,4.558,1.818,0.546,0.153,0.502,0.479,0.411,1.399,0.348,0.236,0.371,0.286,0.521,0.384,0.464,0.356,134.563,97.261
24,8.769551078621726,0.29,27.374,5.796,2.513,0.767,0.156,0.042,0.39,0.393,1.962,0.481,0.202,0.374,0.283,0.094,0.449,0.275,0.27,676.477,1024.156
25,7.481486060122112,9.8,10.711,2.738,0.912,0.746,0.158,0.496,0.429,0.291,0.438,0.214,0.064,0.295,0.12,0.282,0.127,0.405,0.35,82.706,62.986
27,7.958607314841775,0.93,201.078,3.547,2.454,0.971,0.153,0.563,0.419,0.412,1.915,0.187,0.235,0.252,0.294,0.289,0.405,0.464,0.437,3172.528,2474.589
28,8.031517051446064,5.59,352.994,142.18,1.284,0.711,0.153,0.584,0.697,0.386,0.806,0.46,0.14,0.542,0.203,0.422,0.244,0.556,0.446,115776.695,88740.448
30,8.229147988357855,6.58,171.764,5.553,1.353,0.961,0.151,0.468,0.489,0.369,0.953,0.51,0.177,0.488,0.224,0.45,0.208,0.442,0.456,2662.686,2745.459
31,8.568636235841012,5.79,13.103,2.598,0.945,0.787,0.156,0.515,0.409,0.397,0.446,0.213,0.067,0.278,0.162,0.44,0.169,0.44,0.338,97.696,69.247
32,8.022276394711152,4.97,14.711,2.651,0.733,0.813,0.156,0.447,0.373,0.324,0.363,0.217,0.07,0.26,0.133,0.364,0.127,0.381,0.253,98.411,65.839
33,7.886056647693163,9.89,254.283,177.654,4.073,0.583,0.154,0.341,0.302,0.433,3.051,0.204,0.248,0.212,0.31,0.155,0.447,0.359,0.282,231350.502,162914.972
34,8.494850021680094,6.02,14.04,2.43,0.76,0.815,0.159,0.469,0.409,0.294,0.346,0.269,0.056,0.308,0.126,0.462,0.119,0.391,0.258,89.798,57.693
35,7.045757490560675,7.37,7.009,3.606,1.125,0.597,0.161,0.517,0.428,0.255,0.658,0.233,0.087,0.289,0.115,0.357,0.202,0.4,0.259,77.372,45.787
36,8.585026652029182,1.94,192.188,3.61,1.853,0.972,0.154,0.587,0.317,0.415,1.148,0.187,0.132,0.225,0.229,0.294,0.202,0.44,0.289,2539.668,1504.711
37,8.214670164989233,6.5,119.7,97.096,2.595,0.546,0.155,0.137,0.193,0.443,2.915,0.105,0.587,0.147,0.483,0.103,0.346,0.257,0.274,42570.193,39309.361
38,8.346787486224656,9.76,180.232,114.992,11.432,0.588,0.154,0.264,0.179,0.443,11.784,0.16,0.433,0.141,0.411,0.086,0.491,0.296,0.308,261335.611,261721.603
39,8.823908740944319,2.92,310.952,3.716,2.236,0.981,0.153,0.942,0.424,0.395,2.22,0.226,0.24,0.257,0.377,0.302,0.234,0.587,0.488,4759.837,3744.249
40,8.698970004336019,6.69,310.396,6.377,2.192,0.973,0.162,0.992,0.511,0.473,1.679,0.363,0.246,0.415,0.3,0.297,0.445,0.659,0.547,7331.717,5585.466
41,6.823908740944319,2.97,7.275,3.791,0.696,0.619,0.162,0.537,0.459,0.296,0.346,0.25,0.069,0.309,0.128,0.408,0.133,0.43,0.266,66.216,40.304
42,8.55284196865778,0.27,7.291,3.565,0.716,0.63,0.163,0.545,0.455,0.297,0.35,0.248,0.067,0.309,0.123,0.398,0.136,0.432,0.257,63.951,38.195
43,7.744727494896693,6.2,5.966,4.137,0.964,0.539,0.163,0.527,0.431,0.302,0.403,0.223,0.053,0.28,0.123,0.348,0.114,0.42,0.251,69.272,38.724
