mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
1,9.154901959985745,8.849,2.773,1.733,0.663,0.156,0.477,0.538,0.532,0.275,0.264,0.371,0.329,0.391,0.301,0.516,0.397,0.425
2,9.30102999566398,220.215,2.661,2.494,0.977,0.156,0.847,0.422,0.362,0.215,0.188,0.257,0.217,0.351,0.173,0.544,0.434,0.529
3,6.214670164989233,13.702,2.678,1.9,0.75,0.151,0.484,0.466,0.408,0.205,0.177,0.293,0.245,0.313,0.313,0.452,0.313,0.433
4,7.920818753952375,334.451,56.813,3.814,0.847,0.151,0.69,0.101,0.459,0.045,0.269,0.065,0.315,0.035,0.372,0.417,0.298,0.3
6,7.823908740944319,13.082,2.677,1.526,0.757,0.156,0.538,0.478,0.433,0.306,0.123,0.344,0.213,0.489,0.218,0.483,0.329,0.457
7,7.207608310501746,9.903,2.828,2.339,0.657,0.158,0.548,0.46,0.439,0.258,0.207,0.294,0.276,0.388,0.287,0.482,0.334,0.445
8,8.619788758288394,117.316,6.732,2.624,0.926,0.153,0.115,0.466,0.438,0.554,0.21,0.549,0.275,0.622,0.378,0.34,0.298,0.351
9,7.341988603342887,7.646,2.73,0.919,0.677,0.165,0.586,0.413,0.286,0.274,0.051,0.306,0.118,0.458,0.107,0.428,0.286,0.397
10,8.698970004336019,272.62,181.705,97.128,0.494,0.155,0.262,0.527,0.176,0.43,0.101,0.466,0.132,0.292,0.091,0.322,0.328,0.297
12,7.744727494896693,12.443,3.173,1.626,0.722,0.154,0.491,0.462,0.448,0.239,0.196,0.293,0.265,0.363,0.252,0.467,0.322,0.429
13,7.552841968657781,88.098,9.88,1.341,0.887,0.153,0.175,0.428,0.401,0.426,0.113,0.419,0.192,0.518,0.234,0.335,0.273,0.318
14,8.017728766960431,272.851,135.823,9.252,0.653,0.153,0.977,0.264,0.439,0.181,0.439,0.247,0.387,0.139,0.378,0.56,0.559,0.51
15,8.920818753952375,9.998,2.682,0.99,0.731,0.159,0.501,0.36,0.322,0.216,0.081,0.265,0.143,0.408,0.137,0.395,0.313,0.375
16,7.301029995663981,10.323,2.546,0.879,0.751,0.159,0.51,0.404,0.312,0.288,0.057,0.314,0.127,0.493,0.134,0.409,0.271,0.402
17,8.537602002101044,7.98,3.336,0.956,0.65,0.159,0.483,0.43,0.302,0.244,0.078,0.304,0.132,0.287,0.149,0.405,0.374,0.524
19,7.494850021680094,101.182,14.791,1.48,0.861,0.153,0.142,0.491,0.314,0.358,0.096,0.399,0.16,0.596,0.17,0.316,0.165,0.278
20,7.657577319177793,16.223,3.289,1.359,0.777,0.147,0.558,0.48,0.3,0.258,0.123,0.335,0.169,0.484,0.162,0.446,0.327,0.462
21,7.958607314841775,18.865,2.632,0.938,0.841,0.149,0.569,0.438,0.353,0.236,0.115,0.295,0.17,0.469,0.169,0.454,0.317,0.457
22,7.017728766960431,6.421,3.229,0.903,0.608,0.162,0.543,0.489,0.301,0.293,0.053,0.343,0.123,0.474,0.116,0.444,0.291,0.412
23,8.080921907623926,320.898,207.39,5.065,0.602,0.153,0.826,0.484,0.411,0.352,0.336,0.391,0.349,0.263,0.338,0.574,0.484,0.435
24,8.769551078621726,26.615,7.465,1.567,0.747,0.156,0.036,0.469,0.464,0.002,0.18,0.07,0.286,0.548,0.293,0.323,0.099,0.286
25,7.481486060122112,10.823,2.71,0.927,0.748,0.156,0.503,0.416,0.294,0.21,0.056,0.287,0.116,0.282,0.116,0.404,0.349,0.488
27,7.958607314841775,15.771,2.673,1.001,0.811,0.153,0.544,0.37,0.343,0.276,0.064,0.281,0.144,0.397,0.159,0.419,0.307,0.411
28,8.031517051446064,16.383,2.28,1.018,0.832,0.153,0.531,0.363,0.325,0.25,0.073,0.268,0.146,0.444,0.151,0.406,0.293,0.409
30,8.229147988357855,19.96,3.212,0.689,0.837,0.151,0.5,0.413,0.238,0.246,0.047,0.277,0.095,0.372,0.094,0.384,0.337,0.378
31,8.568636235841012,26.422,9.06,2.331,0.699,0.156,0.043,0.378,0.371,0.613,0.187,0.438,0.258,0.056,0.424,0.264,0.308,0.171
32,8.022276394711152,405.631,45.504,9.372,0.881,0.156,0.92,0.065,0.418,0.051,0.342,0.066,0.346,0.029,0.342,0.468,0.463,0.46
33,7.886056647693163,362.753,190.281,141.123,0.523,0.154,0.566,0.43,0.582,0.326,0.216,0.28,0.349,0.233,0.172,0.526,0.497,0.434
34,8.494850021680094,323.145,147.973,3.469,0.681,0.159,0.651,0.3,0.392,0.277,0.212,0.317,0.276,0.164,0.304,0.448,0.36,0.372
35,7.045757490560675,7.123,3.678,1.009,0.603,0.16,0.526,0.452,0.291,0.24,0.122,0.299,0.141,0.381,0.275,0.423,0.278,0.407
36,8.585026652029182,129.157,3.743,0.823,0.966,0.154,0.32,0.309,0.27,0.184,0.049,0.222,0.113,0.291,0.118,0.3,0.205,0.218
37,8.214670164989233,12.273,3.63,0.837,0.733,0.155,0.456,0.344,0.258,0.186,0.047,0.234,0.108,0.324,0.113,0.353,0.25,0.331
38,8.346787486224656,297.743,4.7,2.326,0.977,0.154,0.596,0.455,0.473,0.292,0.224,0.375,0.339,0.459,0.37,0.508,0.396,0.43
39,8.823908740944319,12.678,3.4,1.007,0.742,0.153,0.466,0.339,0.293,0.183,0.107,0.225,0.155,0.34,0.14,0.366,0.314,0.345
40,8.698970004336019,296.706,81.175,3.614,0.778,0.164,0.91,0.151,0.434,0.196,0.27,0.175,0.345,0.039,0.278,0.498,0.479,0.43
41,6.823908740944319,176.373,6.721,0.652,0.96,0.162,0.505,0.514,0.291,0.431,0.075,0.442,0.122,0.443,0.173,0.437,0.378,0.389
42,8.55284196865778,7.082,3.915,0.609,0.61,0.163,0.54,0.48,0.25,0.234,0.073,0.308,0.111,0.39,0.13,0.424,0.266,0.373
43,7.744727494896693,6.037,4.121,0.974,0.542,0.165,0.526,0.423,0.301,0.214,0.051,0.269,0.121,0.337,0.113,0.417,0.249,0.352
