mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,54,74,75,76,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,8.849,2.773,1.733,0.663,0.156,0.477,0.538,0.532,0.652,0.275,0.264,0.534,0.371,0.329,0.37,0.583,0.391,0.301,0.516,0.397,0.411,0.425,8,0.0005014,5.072,3.852,1.0,0.367495,10.8888686,57.686829,123.380463,123.815727
2,9.30102999566398,7.994,2.988,2.366,0.599,0.158,0.475,0.442,0.363,0.703,0.272,0.224,0.546,0.32,0.246,0.267,0.577,0.402,0.177,0.427,0.4,0.371,0.385,11,0.0004529,5.53,4.091,1.0,0.370228,9.22933074,47.236488,266.503967,102.208527
3,6.214670164989233,14.562,2.293,2.041,0.771,0.151,0.466,0.432,0.45,0.526,0.222,0.151,0.5,0.282,0.263,0.315,0.634,0.384,0.251,0.449,0.3,0.348,0.423,5,0.0004588,5.881,2.905,1.0,0.424852,5.86986701,67.537354,119.195938,170.527649
4,7.920818753952375,14.016,2.422,1.813,0.768,0.152,0.472,0.39,0.361,0.526,0.233,0.139,0.502,0.262,0.211,0.252,0.652,0.396,0.219,0.408,0.299,0.325,0.422,7,0.000498,6.353,3.144,1.0,0.418478,10.381529,54.590027,269.094269,112.492798
6,7.823908740944319,15.914,2.904,0.581,0.82,0.156,0.536,0.452,0.283,0.573,0.243,0.058,0.557,0.286,0.114,0.152,0.702,0.399,0.115,0.423,0.291,0.319,0.405,6,0.0005386,5.507,3.315,1.0,0.430411,7.98394011,40.071072,245.051849,109.998131
7,7.207608310501746,15.074,2.508,0.576,0.83,0.158,0.522,0.447,0.282,0.491,0.253,0.062,0.503,0.3,0.118,0.155,0.611,0.448,0.116,0.417,0.269,0.307,0.392,5,0.0004634,5.722,3.11,1.0,0.405403,9.30579941,32.157593,335.888885,154.449539
8,8.619788758288394,12.857,3.316,1.157,0.742,0.153,0.524,0.409,0.362,0.611,0.266,0.081,0.571,0.283,0.16,0.21,0.751,0.362,0.176,0.432,0.32,0.338,0.43,6,0.0005106,6.12,3.212,1.0,0.408869,11.3915433,61.518631,228.379196,153.823196
9,7.341988603342887,7.11,3.002,0.669,0.659,0.165,0.567,0.459,0.297,0.499,0.298,0.041,0.487,0.338,0.106,0.153,0.602,0.481,0.106,0.441,0.279,0.31,0.396,6,0.0005245,4.286,3.281,1.0,0.299019,9.62466114,36.02858,215.422241,73.98288
10,8.698970004336019,13.386,2.978,1.285,0.758,0.155,0.515,0.437,0.39,0.65,0.264,0.149,0.568,0.302,0.212,0.253,0.82,0.364,0.257,0.447,0.355,0.361,0.48,7,0.0004964,5.627,4.409,1.0,0.425108,9.97972931,58.515953,219.87146,165.270325
12,7.744727494896693,10.388,3.685,1.631,0.661,0.154,0.498,0.463,0.533,0.527,0.234,0.268,0.502,0.312,0.319,0.355,0.602,0.4,0.371,0.498,0.343,0.378,0.458,8,0.0005161,5.474,3.642,1.0,0.378387,13.633001,37.025513,239.531815,158.760132
13,7.552841968657781,17.838,2.428,0.699,0.851,0.154,0.543,0.448,0.291,0.505,0.282,0.063,0.51,0.33,0.119,0.156,0.63,0.517,0.13,0.427,0.283,0.32,0.426,9,0.0004942,5.66,3.779,1.0,0.430164,7.4948032,54.654591,246.612488,91.212395
14,8.017728766960431,13.876,2.694,1.828,0.754,0.153,0.517,0.409,0.405,0.539,0.3,0.139,0.541,0.292,0.219,0.26,0.719,0.327,0.204,0.444,0.326,0.35,0.417,7,0.0004603,5.438,4.115,1.0,0.416331,11.1987894,78.358231,267.928497,108.911331
15,8.920818753952375,10.183,2.713,0.899,0.738,0.159,0.485,0.371,0.301,0.58,0.237,0.078,0.475,0.281,0.134,0.161,0.552,0.428,0.125,0.386,0.298,0.297,0.368,8,0.0004735,4.784,4.145,1.0,0.368183,14.2515981,25.677425,281.538574,103.234848
16,7.301029995663981,10.91,2.965,0.79,0.744,0.159,0.542,0.434,0.289,0.507,0.276,0.049,0.499,0.312,0.115,0.159,0.626,0.444,0.116,0.421,0.277,0.308,0.396,6,0.000459,4.779,3.315,1.0,0.35142,10.1201148,46.448917,242.982529,129.03714
17,8.537602002101044,10.122,2.873,0.975,0.725,0.16,0.515,0.369,0.323,0.792,0.206,0.096,0.541,0.261,0.15,0.183,1.116,0.262,0.169,0.402,0.365,0.317,0.516,7,0.0004256,5.235,3.212,1.0,0.392123,9.55435703,48.856575,242.761414,135.307709
19,7.494850021680094,14.563,3.328,0.866,0.776,0.153,0.562,0.457,0.344,0.588,0.331,0.053,0.556,0.351,0.134,0.19,0.709,0.438,0.157,0.454,0.324,0.347,0.434,8,0.000488,5.714,4.19,1.0,0.415693,12.0157966,46.341137,268.12381,112.336838
20,7.657577319177793,18.409,2.85,1.261,0.817,0.147,0.564,0.448,0.416,0.6,0.239,0.136,0.576,0.306,0.212,0.256,0.751,0.454,0.202,0.476,0.325,0.365,0.469,9,0.0004341,6.434,4.261,1.0,0.45795,8.36099183,42.064922,292.928406,209.87616
21,7.958607314841775,17.516,3.133,1.107,0.805,0.149,0.57,0.457,0.335,0.621,0.248,0.117,0.589,0.309,0.171,0.203,0.752,0.442,0.17,0.454,0.329,0.356,0.455,9,0.0004759,6.178,4.023,1.0,0.453055,7.4063349,43.23687,293.237244,204.198532
22,7.017728766960431,6.334,3.273,0.945,0.6,0.162,0.533,0.471,0.303,0.509,0.295,0.056,0.474,0.337,0.127,0.173,0.629,0.469,0.118,0.435,0.287,0.313,0.405,7,0.0005066,4.172,3.349,1.0,0.297916,9.64122808,50.433479,280.778076,85.511612
23,8.080921907623926,10.399,3.454,1.756,0.666,0.154,0.48,0.47,0.459,0.539,0.331,0.21,0.491,0.355,0.279,0.323,0.672,0.508,0.308,0.47,0.36,0.375,0.496,10,0.0004652,5.573,4.238,1.0,0.384688,15.6192538,37.359436,286.455261,146.141403
24,8.769551078621726,7.6,2.565,2.337,0.608,0.156,0.519,0.452,0.364,0.786,0.252,0.127,0.562,0.328,0.192,0.238,0.596,0.539,0.182,0.445,0.388,0.36,0.439,8,0.0004603,4.744,4.224,1.0,0.352656,9.32729889,34.334702,283.341461,89.652969
