mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,28.974,6.859,1.783,0.77,0.156,0.035,0.438,0.387,0.499,0.238,0.472,0.284,0.36,0.214,0.287,0.281,6,0.0661642,5.272,4.158,1.198,0.381402,12.3411549,29.3764,110.134933,116.879807
2,9.30102999566398,7.64,2.759,2.457,0.594,0.156,0.516,0.455,0.4,0.311,0.246,0.283,0.254,0.441,0.151,0.457,0.412,6,0.0624863,5.311,4.26,1.224,0.356166,7.43524205,56.416622,263.545288,89.968742
3,6.214670164989233,25.729,5.577,2.131,0.769,0.151,0.055,0.277,0.441,0.006,0.086,0.034,0.269,0.054,0.358,0.258,0.045,6,0.1582498,5.999,2.905,1.066,0.413508,5.74140049,28.549473,97.63047,157.189316
4,7.920818753952375,99.044,5.978,1.921,0.926,0.151,0.147,0.43,0.416,0.524,0.193,0.47,0.254,0.661,0.368,0.331,0.278,7,0.1088678,6.156,3.247,1.201,0.411487,10.9578839,47.569019,265.468872,139.281937
6,7.823908740944319,159.843,10.273,2.328,0.927,0.156,0.282,0.389,0.489,0.33,0.281,0.345,0.336,0.432,0.45,0.387,0.282,7,0.1802747,5.518,3.349,1.122,0.406492,7.00677379,43.971283,264.412567,69.819878
7,7.207608310501746,14.044,2.403,0.846,0.812,0.158,0.51,0.454,0.379,0.275,0.121,0.314,0.186,0.476,0.212,0.448,0.29,4,0.1037248,5.333,3.247,1.158,0.394799,9.19986715,66.358963,305.552826,173.445679
8,8.619788758288394,62.195,14.948,0.789,0.798,0.153,0.08,0.473,0.28,0.005,0.061,0.491,0.122,0.649,0.116,0.277,0.054,9,0.1463237,5.966,3.247,1.177,0.427929,10.0660393,41.049072,259.264343,134.156662
9,7.341988603342887,40.852,2.83,0.731,0.92,0.165,0.046,0.413,0.28,0.285,0.059,0.31,0.124,0.478,0.106,0.246,0.116,8,0.0787495,4.509,3.52,1.198,0.302551,9.0209707,28.709538,264.175171,60.309677
10,8.698970004336019,12.792,2.439,1.784,0.752,0.155,0.507,0.418,0.378,0.211,0.17,0.261,0.22,0.327,0.266,0.434,0.339,7,0.1923751,5.907,4.614,1.13,0.416664,8.29937655,93.08889,248.759415,130.471878
12,7.744727494896693,90.439,13.05,1.851,0.859,0.154,0.112,0.411,0.436,0.375,0.127,0.368,0.217,0.505,0.271,0.32,0.179,8,0.1270475,5.615,3.846,1.18,0.420511,11.4592179,57.535027,249.909531,112.831909
13,7.552841968657781,147.576,8.321,2.309,0.933,0.153,0.248,0.466,0.49,0.355,0.266,0.427,0.324,0.433,0.403,0.401,0.362,9,0.1765257,5.58,3.676,1.173,0.395659,10.5333602,39.6791,261.794037,81.768181
14,8.017728766960431,217.273,4.132,1.143,0.976,0.153,0.94,0.491,0.325,0.252,0.145,0.338,0.19,0.389,0.152,0.585,0.426,7,0.1651725,5.844,3.952,1.261,0.420611,12.0303222,48.557564,276.711548,121.283905
15,8.920818753952375,9.885,2.838,0.946,0.723,0.159,0.501,0.367,0.304,0.205,0.075,0.262,0.133,0.409,0.126,0.391,0.327,8,0.0437603,5.077,3.809,1.392,0.375474,12.9904659,47.878029,240.632278,100.449966
16,7.301029995663981,293.719,9.84,2.438,0.96,0.159,0.973,0.489,0.5,0.33,0.224,0.38,0.321,0.445,0.374,0.654,0.533,5,0.0756821,4.676,3.247,1.174,0.339717,9.24931818,35.453903,215.381271,107.062943
17,8.537602002101044,24.854,7.265,1.266,0.744,0.16,0.035,0.445,0.459,0.002,0.112,0.405,0.235,0.926,0.27,0.313,0.295,7,0.139581,4.603,3.281,1.146,0.360231,7.40441349,31.783909,250.744156,128.836151
19,7.494850021680094,216.741,12.678,1.002,0.941,0.153,0.643,0.496,0.469,0.585,0.131,0.505,0.228,0.638,0.262,0.536,0.527,9,0.06024,5.739,4.225,1.187,0.411854,9.98715903,55.413845,297.430145,102.062286
20,7.657577319177793,15.251,3.233,1.614,0.759,0.147,0.558,0.476,0.322,0.253,0.151,0.33,0.195,0.474,0.192,0.452,0.338,10,0.094506,6.415,4.225,1.157,0.433956,8.20799659,38.749794,329.789062,202.369736
21,7.958607314841775,18.484,2.5,1.493,0.822,0.149,0.575,0.416,0.329,0.273,0.092,0.302,0.157,0.454,0.177,0.44,0.325,11,0.0824279,6.131,4.261,1.233,0.459512,13.172321,45.301559,282.986877,138.162613
22,7.017728766960431,277.34,169.73,50.068,0.558,0.162,0.81,0.304,0.077,0.243,0.087,0.249,0.053,0.391,0.26,0.397,0.321,6,0.031667,4.506,3.452,1.211,0.301423,11.6185068,54.19651,267.836243,104.983795
23,8.080921907623926,6.817,4.664,1.935,0.508,0.153,0.507,0.464,0.399,0.353,0.239,0.373,0.285,0.517,0.39,0.457,0.355,8,0.1621441,5.445,4.135,1.422,0.340934,13.4258941,59.393269,299.1427,168.32576
24,8.769551078621726,9.652,2.563,1.586,0.699,0.156,0.505,0.451,0.416,0.22,0.139,0.326,0.216,0.563,0.202,0.457,0.358,8,0.0946974,5.075,4.02,1.104,0.373756,5.35049614,36.544285,284.992065,98.995865
25,7.481486060122112,191.321,91.798,27.4,0.616,0.156,0.461,0.104,0.032,0.05,0.002,0.054,0.007,0.114,0.01,0.199,0.161,8,0.1023906,4.852,3.349,1.215,0.390592,10.1912788,43.770088,285.842194,120.524925
27,7.958607314841775,38.958,8.178,1.522,0.801,0.153,0.076,0.422,0.458,0.006,0.04,0.077,0.251,0.216,0.317,0.319,0.028,7,0.0669993,5.716,3.847,1.317,0.421076,13.0726805,46.813881,252.567978,69.251518
28,8.031517051446064,13.457,2.665,1.22,0.776,0.154,0.538,0.387,0.372,0.25,0.108,0.273,0.186,0.426,0.182,0.432,0.317,8,0.0972984,5.596,3.657,1.182,0.401105,9.80500803,30.303696,1102.470825,74.494774
30,8.229147988357855,366.801,281.167,8.314,0.559,0.151,0.466,0.672,0.422,0.568,0.173,0.583,0.242,0.637,0.277,0.52,0.387,10,0.1002927,6.573,4.819,1.15,0.51452,9.99010386,51.868946,255.64595,71.998001
31,8.568636235841012,11.837,2.817,0.956,0.758,0.156,0.516,0.404,0.396,0.213,0.065,0.28,0.161,0.423,0.173,0.439,0.354,9,0.1085897,4.975,4.286,1.209,0.413019,10.0443031,42.733078,261.930328,71.573837
32,8.022276394711152,329.328,136.321,3.076,0.703,0.156,0.699,0.324,0.426,0.217,0.241,0.291,0.301,0.231,0.382,0.483,0.426,8,0.0463041,5.383,4.145,1.282,0.420149,11.6228554,45.46254,214.190842,71.003853
33,7.886056647693163,214.312,4.012,2.062,0.972,0.154,0.834,0.444,0.42,0.215,0.169,0.294,0.251,0.34,0.258,0.566,0.465,6,0.1611939,5.858,4.282,1.136,0.39448,7.59055199,27.661308,265.288513,98.191879
34,8.494850021680094,49.28,5.893,0.801,0.88,0.159,0.076,0.355,0.4,0.018,0.112,0.322,0.217,0.495,0.208,0.277,0.047,10,0.1359957,5.187,3.941,1.217,0.375492,9.8859379,33.685589,228.960922,102.001823
35,7.045757490560675,25.829,7.138,1.267,0.754,0.16,0.036,0.536,0.324,0.01,0.048,0.435,0.155,0.534,0.263,0.299,0.023,7,0.0402759,4.885,2.957,1.244,0.311833,10.9307187,23.002312,230.692047,69.147209
