mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,10.541,2.157,1.789,0.728,0.156,0.464,0.459,0.493,0.315,0.161,0.256,0.445,0.249,0.472,0.36,5,0.0852105,5.498,3.989,1.2,0.384474,12.5896814,43.135887,115.785545,148.402573
2,9.30102999566398,290.669,100.683,2.556,0.738,0.156,0.854,0.172,0.495,0.306,0.236,0.315,0.277,0.235,0.507,0.471,7,0.0706322,5.75,4.089,1.206,0.362896,9.86562761,44.084393,309.124847,78.573624
3,6.214670164989233,68.657,9.504,2.225,0.854,0.151,0.103,0.476,0.412,0.536,0.207,0.267,0.616,0.36,0.33,0.282,3,0.156995,6.024,3.11,1.066,0.412813,6.06921299,64.884125,106.320564,172.005112
4,7.920818753952375,236.73,4.39,2.587,0.971,0.151,0.926,0.41,0.437,0.246,0.23,0.273,0.356,0.375,0.591,0.472,4,0.1008832,5.648,3.452,1.188,0.3949,10.1241102,52.346142,255.872864,100.04393
6,7.823908740944319,11.739,2.733,1.896,0.717,0.156,0.542,0.492,0.512,0.29,0.177,0.284,0.477,0.274,0.515,0.343,6,0.1963688,5.27,3.144,1.135,0.384892,7.46179158,37.782768,257.231781,85.194695
7,7.207608310501746,8.635,3.125,2.587,0.602,0.158,0.569,0.475,0.48,0.279,0.243,0.311,0.373,0.37,0.508,0.354,7,0.2283884,4.965,3.144,1.159,0.351739,8.64443141,47.005402,351.523712,143.774261
8,8.619788758288394,14.886,2.634,0.951,0.806,0.153,0.494,0.45,0.309,0.276,0.066,0.131,0.464,0.128,0.418,0.298,6,0.1835087,5.455,3.247,1.171,0.422736,9.44911656,54.014038,252.35936,134.516022
9,7.341988603342887,258.265,3.164,0.834,0.985,0.165,0.661,0.335,0.309,0.192,0.072,0.137,0.354,0.133,0.435,0.431,5,0.0434509,4.206,3.383,1.198,0.303498,9.33566832,20.590235,205.879059,40.601513
10,8.698970004336019,13.667,2.574,1.342,0.777,0.164,0.5,0.434,0.305,0.237,0.132,0.178,0.394,0.195,0.413,0.338,10,0.1368781,5.489,4.306,1.13,0.427674,7.85173321,58.195534,270.414062,75.58065
12,7.744727494896693,14.78,2.383,1.296,0.801,0.154,0.477,0.379,0.355,0.254,0.149,0.183,0.438,0.164,0.404,0.285,5,0.1502434,5.453,3.471,1.187,0.409721,14.9686292,34.129601,248.337967,143.0681
13,7.552841968657781,95.771,8.578,1.867,0.902,0.153,0.083,0.458,0.449,0.066,0.183,0.275,0.644,0.313,0.33,0.085,8,0.1461061,5.66,3.812,1.177,0.408673,9.39750335,45.111343,297.841919,74.516991
14,8.017728766960431,177.487,124.697,1.761,0.584,0.153,0.227,0.217,0.323,0.122,0.133,0.198,0.208,0.226,0.256,0.192,9,0.1019707,5.654,4.087,1.261,0.413133,10.9093301,49.114563,248.062759,114.974289
15,8.920818753952375,10.275,2.653,0.98,0.739,0.159,0.482,0.361,0.315,0.237,0.081,0.141,0.417,0.132,0.386,0.281,6,0.0314481,5.002,4.013,1.388,0.362823,15.0857651,19.362593,251.529297,88.136459
16,7.301029995663981,10.499,2.483,0.799,0.762,0.159,0.523,0.421,0.324,0.298,0.056,0.13,0.513,0.136,0.423,0.279,7,0.111788,4.994,3.486,1.175,0.341567,9.35817735,24.603273,239.783737,109.397263
17,8.537602002101044,8.119,3.351,0.939,0.654,0.16,0.48,0.428,0.297,0.245,0.076,0.128,0.291,0.15,0.402,0.376,6,0.1038832,4.921,3.315,1.161,0.370431,7.46365478,28.079754,237.989365,90.036484
