mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.6907824325925713,0.050021219340608575,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6811499739346869,0.7188328528571447,0.7516240392817656,0.7293184800451524,0.7524185795390815,0.6559510868747849,0.7173443386654661,0.6561761529998869,0.6121695217614045,0.632839299966339
1ns,0.6560174541051824,0.05157987095361354,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6909652901888441,0.6545419553123879,0.6929359666084092,0.6490578043451517,0.6931298543848557,0.6380829879612562,0.7253271763189975,0.6613824512748222,0.5426717469738361,0.6120793076832645
2ns,0.6476209236343029,0.05519545400928524,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6744568970453427,0.6483962668456171,0.6826388947226723,0.6276876104807789,0.695598162496881,0.6228564852257179,0.732155217445684,0.663483094477464,0.5428695437857579,0.5860670638171133
3ns,0.6544884390571482,0.05093465135282405,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6722296682128905,0.654720327299978,0.6872195545746712,0.6555201192180939,0.6965554632465971,0.6037058810782588,0.7427000669062396,0.6571076599068922,0.5667406834426387,0.6083849666852208
4ns,0.6475915797046912,0.06211582855977582,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6800786935791191,0.6435346101259699,0.697328557247324,0.6363552429168189,0.6958923995982568,0.6146905837905335,0.7335687361973415,0.6648468493628148,0.5178546083039357,0.591765515924797
5ns,0.6483064883218874,0.054721811135360066,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6669740257096042,0.6435216310009981,0.6763177334325269,0.6506605203600935,0.693581604318377,0.6131474372681747,0.7359736146696482,0.6719728203873456,0.54918962667373,0.5817258693983755
6ns,0.6468525138248713,0.05234714427948758,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6669334207991992,0.6399479109620981,0.6911024346354095,0.6387561814392576,0.6945161500246062,0.6155047797523423,0.7297853331324183,0.6481868699606149,0.5516920168243642,0.5921000407184034
7ns,0.6581196358260437,0.05640676614972241,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6729024790954576,0.6779034261033824,0.7021384987325556,0.6552371062380634,0.6830665469304402,0.6045921710041176,0.7498346695788249,0.6770765360540196,0.553035328143537,0.6054095963800388
8ns,0.646856117814292,0.06023619607769903,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6833839563453443,0.6568370885476322,0.6879061325073415,0.6350937317519143,0.7024651045926962,0.6173282859696272,0.7068776749482888,0.6718299587108377,0.5101359996489536,0.596703245120284
9ns,0.652476282425774,0.05361840472550043,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6671213747416547,0.630859315605149,0.6689145925001468,0.6468940462249818,0.6984466911185614,0.6102717275508889,0.7420628157979081,0.68468996022533,0.545593160805719,0.6299091396874013
10ns,0.6544365791208717,0.054613380595048944,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.6867840617081276,0.6466210456050566,0.7001824696922514,0.6414998160795828,0.6995715170034662,0.6169328862625111,0.7366492336954412,0.6679010096591687,0.5644142852307843,0.5838094662723277
conformations_10,0.652052662610881,0.05273440000404296,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.676186213217542,0.6498313728744469,0.6856998224609022,0.6437312604284424,0.6964378962564387,0.6153790869505502,0.7349079038084765,0.6655729908717111,0.5496780799625982,0.6031019992777017
conformations_20,0.6530453845516954,0.05201511464414835,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.675778609889033,0.6512320369033902,0.6880019944751269,0.6460076109599661,0.6977626751336259,0.6107972890660737,0.7354238147988972,0.6655880121919076,0.5560661735029859,0.6037956285959485
