mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.7203435061323058,0.03804515868650719,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7124087136132037,0.7503888778884651,0.6895569150718932,0.7283250894672684,0.7654614459373493,0.6710759930911544,0.7865528418335491,0.682904214117553,0.6923308599012978,0.7244301104013233
1ns,0.6710923733567864,0.05661508819655781,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.7315687817399483,0.6784406110512993,0.7018029709965674,0.6861920263820911,0.7172737967863573,0.6910433489574438,0.6983648397340644,0.6513353211157882,0.5402853053181497,0.6146167314861547
2ns,0.6626585154257649,0.05717432791718186,"{'C': 1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6965861986604055,0.6829480034136368,0.6772411075868023,0.6773345530408128,0.7495097576340015,0.6554222978576227,0.7204069698472759,0.6005432520317278,0.5879867673534418,0.5786062468319209
3ns,0.6780811258307307,0.05089869411450102,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.6946232802542567,0.6593683708010758,0.7034309673515919,0.6932627943195842,0.7442539740785745,0.6298661010434454,0.7647817109513668,0.6167464634238013,0.6214190674134956,0.6530585286701147
4ns,0.671665766245878,0.06934395243884307,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.6969469554653333,0.6656763118236713,0.7319154055473444,0.6495076460433538,0.7546310348788353,0.6775676335908642,0.7660117462429303,0.6131723773090099,0.5441465909189009,0.6170819606385365
5ns,0.6565279724718697,0.06589493674183877,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.6914252068044394,0.6559589858315709,0.7034425425466856,0.6941552549598655,0.721322968906407,0.5940056184525058,0.7418009859854908,0.6326740690475472,0.5366812683811939,0.5938128238029912
6ns,0.6690357232237323,0.050571650839690965,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.659237269372842,0.6775245673022756,0.6941655874633716,0.6195012564992504,0.7342460751982388,0.6856938398415464,0.7582267607934308,0.6174875052063618,0.6326987816529215,0.6115755889070844
7ns,0.6785107345359399,0.05670435122488771,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.6700470690770626,0.7182990323842797,0.7008009827831336,0.6836032241022088,0.7124171905891916,0.6977287703755803,0.7697916145154933,0.6378540329016058,0.5651829440996763,0.629382484531168
8ns,0.6457271388546442,0.07161332653145082,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.7059441889280254,0.6346846541041229,0.5850568256735665,0.6841791131838897,0.7523510976092316,0.6686469308918953,0.7033848913869327,0.6289303145966828,0.5133380275930097,0.5807553445790856
9ns,0.6861486651788216,0.08629915031090958,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6693807470264217,0.645943846341442,0.7086194772632427,0.6760282429893434,0.7740332240772565,0.5953285369579553,0.7649193547993538,0.784303781230173,0.511138671716134,0.731790769386893
10ns,0.6791690928934088,0.05076366400097012,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7180137231145236,0.6973841922741402,0.6923514922744467,0.6494054701066534,0.7178362593029228,0.6906588869224386,0.7635633966546422,0.6455349720982124,0.622876469080005,0.5940660671061031
conformations_10,0.7203220660239193,0.04875889881380789,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7630019694359733,0.7531215711315902,0.7226172422745283,0.692584159236094,0.782595256092133,0.6484171114610712,0.7802941653658866,0.7206899960103774,0.668368707394932,0.6715304818366072
conformations_20,0.7276745272595531,0.046040562234432106,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.760552866320467,0.7609504605658612,0.7318634701428676,0.7043843925422429,0.7860346376125393,0.6505023875563907,0.784849419286058,0.7276259012519408,0.6902419690521309,0.679739768265032
