mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.6957763304838888,0.0708466016439522,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7296695346438212,0.7804328183892668,0.6836206050722704,0.7773495741285336,0.7687727833343061,0.6068310484631135,0.7344351341163688,0.6068745671699901,0.6361817039463573,0.6335955355748597
1ns,0.7235592673880353,0.061221977804465984,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 150, 'subsample': 0.7}",0.7945087430697212,0.7579436233416716,0.6897099946663338,0.7181652070029946,0.8141625317927836,0.7552321645157469,0.7547123820365325,0.646396148485475,0.6463519353822414,0.6584099435868527
2ns,0.722771990430177,0.07006264575536521,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7243960162858237,0.8049965196681051,0.6501826520098278,0.7881877654032714,0.8320200781203831,0.6789446803255884,0.7526515131305855,0.6202874411196657,0.698043966121894,0.678009272116626
3ns,0.7286218305790785,0.05446876773786672,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7576136807006879,0.7390211828444986,0.7058156404942554,0.7690347721979076,0.8348307028682634,0.646324625196623,0.7553497503103467,0.6703134329818006,0.7143382563901863,0.6935762618062151
4ns,0.7233640976196274,0.0648363868492336,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7253597196030541,0.6943409155691392,0.7788880385448587,0.7679403685045987,0.8170840793991705,0.713891846863993,0.7956294320334295,0.6345757760400939,0.6566244681166367,0.6493063315213002
5ns,0.7449727958040743,0.05853485362083524,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7675142684851151,0.7395207169815176,0.6536092830953628,0.786762387327836,0.8305372421291306,0.6895929947062125,0.8276969274196213,0.7322442548242423,0.6949909990744003,0.7272588839973042
6ns,0.7170221232058045,0.054237479509361856,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7416663064390212,0.7980115308887735,0.7306877995954559,0.746268991049969,0.7467111223042555,0.6204632761792911,0.7570218432489524,0.7051097336643425,0.6742982667875694,0.6499823619004146
7ns,0.7221130129886579,0.06507290663922073,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.6934478532580354,0.7736348214629319,0.6999580491179657,0.7690124118075505,0.7820085945203612,0.6168363286408612,0.8263508647023309,0.7167485341427771,0.6967542601951795,0.6463784120385858
8ns,0.7163299669766963,0.05685740494427484,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.738550687162747,0.7559483220708912,0.7507877535982705,0.6968328083427926,0.8228756150807404,0.6352421771716723,0.726780095082664,0.7248015160454776,0.658352501499437,0.6531281937122698
9ns,0.7174001827763945,0.05687771783395247,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.6437265032059063,0.7919721727358797,0.6916638911017419,0.751883768068904,0.7748948824252277,0.6750714259179249,0.7334938644144221,0.649445751220129,0.6764481803412814,0.7854013883325277
10ns,0.7177110145030625,0.0707788333363566,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.7703949419673888,0.7929884852344524,0.7298513957813293,0.7465538357496455,0.8091185530383763,0.6324592327693825,0.7643167212874851,0.6694757644420553,0.6152085390480919,0.6467426757124173
conformations_10,0.7532744334496676,0.05555576557908414,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7919713178427981,0.8136607917117327,0.7279033707463974,0.7780792400551823,0.827291819345336,0.7046989086625539,0.8040357002246865,0.6728176393866927,0.7108392453072241,0.7014463012140721
conformations_20,0.751875176300566,0.05529946185321479,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.7835760020192447,0.8126965634133312,0.7331058851994514,0.7876429718656953,0.8154321524359726,0.6945246233630002,0.8067107395879033,0.6939439853996237,0.7195594562873129,0.6715593834341245
