mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,8.82,164.243,5.134,2.029,0.958,0.156,0.198,0.323,0.423,0.478,0.209,0.267,0.326,0.268,0.315,0.263,6,0.0624347,5.444,3.581,1.201,0.371593,12.2457243,61.174988,113.410599,111.216331
2,9.30102999566398,4.37,7.632,2.825,2.405,0.593,0.156,0.513,0.368,0.422,0.337,0.259,0.323,0.419,0.157,0.434,0.411,8,0.0848633,5.598,4.122,1.196,0.352864,7.31041824,39.712856,241.672607,81.700462
3,6.214670164989233,1.52,131.858,35.185,1.808,0.781,0.151,0.233,0.101,0.453,0.004,0.226,0.304,0.03,0.346,0.262,0.204,7,0.1625285,5.978,2.973,1.065,0.416048,6.41315751,61.277229,117.942368,160.790955
4,7.920818753952375,6.91,59.529,12.668,2.12,0.801,0.151,0.074,0.462,0.38,0.53,0.175,0.246,0.691,0.296,0.305,0.25,7,0.0509196,5.795,3.247,1.196,0.415025,10.5759075,30.164642,305.2323,105.827499
6,7.823908740944319,0.76,349.01,106.439,2.161,0.763,0.156,0.495,0.213,0.432,0.104,0.17,0.264,0.103,0.264,0.38,0.246,6,0.1603614,5.599,3.11,1.092,0.406787,7.36366727,46.939667,210.523132,89.456703
7,7.207608310501746,7.14,13.208,2.603,0.894,0.791,0.158,0.505,0.455,0.411,0.27,0.127,0.201,0.453,0.214,0.457,0.289,4,0.1278614,5.542,3.076,1.158,0.386109,9.50464991,48.056107,357.823059,140.596252
8,8.619788758288394,5.48,14.646,2.697,0.878,0.804,0.153,0.483,0.438,0.301,0.264,0.07,0.134,0.439,0.129,0.407,0.292,7,0.1632972,5.645,3.315,1.173,0.420593,9.63807035,57.981922,255.321167,128.568161
9,7.341988603342887,3.1,190.646,38.154,2.903,0.823,0.165,0.575,0.035,0.484,0.001,0.125,0.383,0.014,0.534,0.365,0.306,9,0.0962339,4.406,3.349,1.189,0.304124,9.6629406,24.941978,217.125153,64.448326
10,8.698970004336019,7.53,250.055,5.333,2.562,0.969,0.155,0.958,0.454,0.428,0.317,0.24,0.284,0.346,0.37,0.613,0.519,7,0.160789,5.525,4.716,1.13,0.435127,8.12911333,57.034035,224.337082,88.457199
12,7.744727494896693,0.06,9.831,3.847,1.806,0.635,0.154,0.503,0.477,0.525,0.22,0.3,0.331,0.383,0.395,0.502,0.345,9,0.0313549,5.483,3.335,1.028,0.371324,15.2985531,37.538071,218.491684,181.33432
13,7.552841968657781,2.26,14.105,2.723,1.445,0.772,0.153,0.558,0.476,0.444,0.328,0.126,0.228,0.469,0.222,0.493,0.334,9,0.1641303,5.697,3.335,1.169,0.403679,10.4001456,34.546188,253.72641,90.658752
14,8.017728766960431,8.91,409.654,136.899,2.728,0.746,0.153,0.578,0.247,0.386,0.11,0.178,0.269,0.102,0.396,0.404,0.331,10,0.131261,5.965,4.014,1.262,0.420642,12.1533064,56.98885,248.342224,106.356125
15,8.920818753952375,4.55,10.066,2.899,0.866,0.728,0.159,0.503,0.374,0.3,0.207,0.08,0.135,0.409,0.124,0.392,0.321,8,0.0605051,5.138,4.121,1.386,0.375511,13.6759619,35.633659,242.228134,81.181046
16,7.301029995663981,9.36,126.258,2.901,1.142,0.969,0.159,0.231,0.389,0.398,0.377,0.1,0.194,0.532,0.248,0.339,0.287,7,0.1034367,5.228,3.212,1.173,0.344505,9.12735113,46.404705,244.918427,89.118362
17,8.537602002101044,3.32,70.71,26.176,1.093,0.722,0.159,0.064,0.045,0.348,0.01,0.057,0.167,0.023,0.214,0.152,0.024,7,0.1157007,5.213,3.247,1.185,0.368699,7.51562917,41.673843,235.308212,98.149689
19,7.494850021680094,6.14,14.145,2.755,1.503,0.769,0.153,0.549,0.458,0.459,0.264,0.156,0.245,0.439,0.2,0.489,0.327,8,0.1391064,5.822,4.123,1.18,0.409666,10.618593,37.770859,243.010986,109.94442
20,7.657577319177793,0.13,17.513,3.211,1.255,0.797,0.147,0.568,0.456,0.316,0.246,0.113,0.167,0.451,0.168,0.447,0.322,9,0.0696982,6.46,4.364,1.032,0.451941,8.64541477,40.594841,285.315186,188.602798
21,7.958607314841775,1.94,61.471,8.544,1.704,0.857,0.149,0.121,0.448,0.404,0.031,0.159,0.254,0.519,0.272,0.324,0.072,9,0.0844027,6.418,4.397,1.207,0.448033,12.5256105,42.525581,255.447205,147.014038
22,7.017728766960431,0.92,6.485,3.276,0.91,0.608,0.164,0.537,0.481,0.302,0.289,0.052,0.122,0.464,0.116,0.44,0.286,6,0.0343467,4.536,3.349,1.194,0.299229,9.91835958,46.310715,242.990112,74.818169
23,8.080921907623926,9.91,8.228,4.254,2.207,0.56,0.154,0.54,0.482,0.374,0.345,0.229,0.272,0.489,0.376,0.465,0.387,8,0.1523598,5.747,4.272,1.421,0.36767,13.7139845,68.21241,279.106445,146.943741
24,8.769551078621726,0.83,251.049,6.795,1.967,0.966,0.156,0.953,0.555,0.509,0.483,0.166,0.312,0.462,0.336,0.672,0.542,9,0.1294537,5.218,4.155,1.123,0.380653,8.43732112,42.459526,277.757172,118.411362
25,7.481486060122112,4.19,200.501,7.304,2.629,0.953,0.156,0.527,0.46,0.406,0.52,0.203,0.282,0.283,0.297,0.464,0.41,6,0.0340654,5.339,3.281,1.207,0.39199,10.657451,35.050293,274.747467,104.059273
27,7.958607314841775,3.82,16.182,2.569,0.921,0.823,0.154,0.547,0.414,0.333,0.244,0.118,0.167,0.445,0.155,0.431,0.312,7,0.1585955,5.625,3.983,1.303,0.428202,12.7374743,58.289268,254.59697,81.457413
28,8.031517051446064,5.47,391.365,118.897,0.825,0.766,0.153,0.781,0.609,0.365,0.822,0.06,0.135,0.654,0.171,0.585,0.545,6,0.1117087,5.628,3.554,1.18,0.422347,10.3152852,35.707275,1116.909546,90.539513
30,8.229147988357855,0.83,116.618,26.051,10.791,0.76,0.151,0.099,0.051,0.184,0.313,0.001,0.007,0.087,0.023,0.111,0.137,7,0.067887,6.293,4.784,1.087,0.520006,8.99570112,65.900627,265.977478,91.224594
31,8.568636235841012,5.55,12.932,2.631,0.926,0.784,0.156,0.52,0.406,0.382,0.215,0.056,0.151,0.437,0.168,0.436,0.345,9,0.1188722,5.627,4.199,1.229,0.423772,10.4028166,57.243176,245.608307,57.688766
32,8.022276394711152,6.89,132.77,35.568,2.661,0.776,0.156,0.299,0.037,0.334,0.001,0.243,0.265,0.013,0.374,0.223,0.187,8,0.0883653,5.711,4.043,1.276,0.416658,11.9324235,51.736404,214.727325,95.817711
33,7.886056647693163,2.73,11.037,3.606,1.131,0.7,0.154,0.524,0.46,0.374,0.254,0.075,0.16,0.423,0.173,0.453,0.326,7,0.0883548,5.359,4.352,1.138,0.390217,7.62560566,28.34034,244.816803,103.075066
34,8.494850021680094,3.8,28.427,2.968,1.627,0.861,0.159,0.082,0.302,0.501,0.077,0.004,0.061,0.262,0.093,0.295,0.038,7,0.0359908,5.364,4.112,1.212,0.405156,9.72522327,35.479141,227.862686,102.662247
35,7.045757490560675,7.37,7.009,3.606,1.125,0.597,0.161,0.517,0.428,0.255,0.233,0.087,0.115,0.357,0.202,0.4,0.259,8,0.0557625,4.87,3.094,1.243,0.306932,10.9813727,31.029337,262.565277,62.089024
