mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,8.54,10.265,2.317,1.912,0.708,0.156,0.475,0.381,0.364,0.615,0.298,0.161,0.307,0.221,0.415,0.198,0.407,0.358,0.39,7,0.0710979,5.691,3.886,1.2,0.383346,11.9545981,54.753311,109.881577,106.566208
2,9.30102999566398,4.46,8.115,3.067,2.315,0.601,0.158,0.493,0.385,0.342,0.72,0.271,0.197,0.308,0.233,0.417,0.151,0.407,0.396,0.394,10,0.0475148,5.605,4.33,1.198,0.373115,10.16868,52.518166,291.521362,72.706169
3,6.214670164989233,8.81,365.326,7.107,1.733,0.976,0.151,0.887,0.471,0.45,0.804,0.304,0.184,0.351,0.264,0.252,0.364,0.603,0.431,0.466,6,0.1452279,6.004,3.144,1.066,0.420189,6.1352253,60.613976,89.56575,144.218658
4,7.920818753952375,7.93,352.656,21.378,4.092,0.933,0.151,0.761,0.029,0.535,0.869,0.002,0.084,0.006,0.335,0.012,0.439,0.442,0.318,0.394,8,0.0357552,5.57,3.212,1.198,0.418423,10.5208403,30.36507,273.707489,112.811798
6,7.823908740944319,3.19,70.187,2.563,2.355,0.935,0.156,0.106,0.444,0.428,0.176,0.298,0.192,0.325,0.271,0.45,0.28,0.326,0.222,0.26,5,0.1903229,5.484,3.315,1.157,0.387035,7.11191901,31.909622,261.048889,83.806152
7,7.207608310501746,6.01,9.903,2.828,2.339,0.657,0.158,0.548,0.46,0.439,0.536,0.258,0.207,0.294,0.276,0.388,0.287,0.482,0.334,0.445,7,0.2038187,5.458,3.178,1.159,0.36453,9.11237243,34.065296,327.140778,136.318405
8,8.619788758288394,5.93,14.928,2.689,0.915,0.806,0.153,0.484,0.417,0.294,0.538,0.251,0.062,0.281,0.125,0.421,0.125,0.398,0.284,0.404,7,0.1748705,5.795,3.281,1.172,0.423258,9.85829376,48.86956,257.912903,102.994522
9,7.341988603342887,3.55,328.824,157.085,3.588,0.672,0.165,0.951,0.353,0.447,1.015,0.176,0.18,0.22,0.272,0.193,0.273,0.584,0.457,0.485,6,0.0412379,4.259,3.315,1.193,0.305933,9.36583749,19.688496,225.380508,41.527916
10,8.698970004336019,4.29,231.515,67.507,2.795,0.767,0.155,0.738,0.096,0.471,0.885,0.005,0.11,0.019,0.308,0.026,0.377,0.435,0.333,0.396,8,0.1266445,5.4,4.614,1.134,0.436508,7.75336231,47.416168,250.200333,94.961693
12,7.744727494896693,4.29,12.166,3.496,1.436,0.712,0.155,0.492,0.466,0.41,0.541,0.238,0.201,0.294,0.25,0.368,0.23,0.456,0.326,0.427,7,0.2048274,6.019,3.846,1.214,0.401774,6.14310416,49.336937,239.366348,143.48111
13,7.552841968657781,1.47,14.724,2.427,1.133,0.805,0.153,0.541,0.417,0.315,0.518,0.234,0.166,0.287,0.186,0.459,0.155,0.424,0.306,0.422,7,0.1265508,5.516,3.676,1.182,0.402313,8.79801672,38.677326,258.097656,74.746124
14,8.017728766960431,0.09,13.097,3.359,1.278,0.739,0.153,0.543,0.419,0.373,0.628,0.332,0.101,0.321,0.172,0.359,0.181,0.445,0.353,0.44,7,0.1201589,5.915,4.115,1.141,0.416388,11.8590288,48.614117,266.919678,103.27137
15,8.920818753952375,2.12,10.02,2.827,0.92,0.728,0.159,0.507,0.382,0.303,0.67,0.214,0.082,0.273,0.139,0.419,0.126,0.397,0.322,0.377,8,0.03597,4.957,4.013,1.35,0.373464,12.844825,33.316998,229.343353,88.284119
16,7.301029995663981,2.52,9.775,2.571,1.099,0.727,0.159,0.533,0.411,0.302,0.513,0.271,0.065,0.302,0.135,0.465,0.135,0.415,0.283,0.408,7,0.087005,4.861,3.281,1.158,0.338389,9.11719622,17.91626,219.8302,79.70562
17,8.537602002101044,7.25,364.785,44.273,2.079,0.887,0.159,0.969,0.085,0.373,0.991,0.068,0.13,0.091,0.207,0.035,0.21,0.476,0.397,0.396,7,0.0891601,4.953,3.349,1.154,0.369679,8.18732764,47.300163,232.378708,75.22155
19,7.494850021680094,9.6,26.797,6.948,1.49,0.761,0.153,0.072,0.203,0.397,0.075,0.004,0.047,0.022,0.188,0.045,0.182,0.224,0.042,0.104,10,0.1304411,5.818,4.294,1.187,0.419543,8.36363524,50.363243,250.531586,102.070702
20,7.657577319177793,3.59,16.223,3.289,1.359,0.777,0.147,0.558,0.48,0.3,0.598,0.258,0.123,0.335,0.169,0.484,0.162,0.446,0.327,0.462,10,0.0816473,6.279,4.261,1.155,0.440066,9.65506367,52.330933,281.26236,193.033524
21,7.958607314841775,9.87,18.696,2.584,1.047,0.837,0.149,0.575,0.431,0.364,0.595,0.237,0.113,0.293,0.174,0.464,0.175,0.457,0.315,0.457,9,0.1157408,6.286,4.158,1.233,0.455253,10.2131132,51.89957,285.050262,122.421471
22,7.017728766960431,0.46,6.421,3.229,0.903,0.608,0.162,0.543,0.489,0.301,0.527,0.293,0.053,0.343,0.123,0.474,0.116,0.444,0.291,0.412,8,0.0271244,4.528,3.349,1.188,0.297894,9.36574266,27.793365,278.500641,84.363525
23,8.080921907623926,6.82,237.972,8.022,2.328,0.958,0.153,0.624,0.371,0.431,0.475,0.385,0.211,0.351,0.27,0.405,0.288,0.475,0.357,0.359,7,0.1068251,5.514,4.067,1.422,0.367334,16.5346851,46.556332,285.744019,153.940201
24,8.769551078621726,8.22,137.17,2.52,2.25,0.966,0.156,0.3,0.418,0.359,0.334,0.592,0.147,0.417,0.216,0.579,0.231,0.359,0.358,0.398,7,0.1019933,5.29,4.277,1.104,0.375011,5.98792594,37.414742,271.546143,85.907845
25,7.481486060122112,7.96,10.823,2.71,0.927,0.748,0.156,0.503,0.416,0.294,0.782,0.21,0.056,0.287,0.116,0.282,0.116,0.404,0.349,0.488,7,0.0261817,5.185,3.247,1.214,0.399671,10.6097106,44.513187,277.87854,103.413521
27,7.958607314841775,7.57,15.878,2.808,0.937,0.809,0.153,0.542,0.394,0.369,0.575,0.253,0.094,0.285,0.163,0.411,0.165,0.435,0.308,0.418,7,0.0622145,5.564,3.745,1.307,0.427454,13.5520392,22.570862,251.296906,57.638557
28,8.031517051446064,4.35,225.271,5.043,2.508,0.968,0.153,0.922,0.48,0.365,1.03,0.255,0.241,0.348,0.256,0.258,0.415,0.589,0.509,0.578,7,0.1287926,5.464,3.623,1.181,0.410996,10.3873467,27.253662,1144.195801,76.050125
30,8.229147988357855,3.19,136.197,4.745,1.04,0.959,0.151,0.286,0.35,0.357,0.324,0.307,0.133,0.318,0.189,0.356,0.248,0.331,0.255,0.266,8,0.1251266,6.313,4.784,1.155,0.508532,11.1046673,52.141777,270.609497,77.662384
31,8.568636235841012,9.7,13.231,2.585,0.84,0.794,0.156,0.512,0.399,0.313,0.688,0.201,0.08,0.28,0.139,0.447,0.129,0.408,0.323,0.39,10,0.051153,5.389,4.389,1.21,0.419758,7.72198443,30.387768,257.79071,72.80912
32,8.022276394711152,3.81,141.013,2.936,1.002,0.973,0.156,0.352,0.346,0.367,0.397,0.204,0.182,0.245,0.24,0.329,0.286,0.355,0.261,0.291,10,0.0313701,5.507,4.384,1.271,0.422267,12.4439674,30.430141,236.092972,74.24646
33,7.886056647693163,9.17,362.753,190.281,141.123,0.523,0.154,0.566,0.43,0.582,0.949,0.326,0.216,0.28,0.349,0.233,0.172,0.526,0.497,0.434,6,0.1486396,5.613,4.314,1.137,0.392813,7.73322329,34.47477,253.163223,92.603905
34,8.494850021680094,7.65,47.328,10.217,2.568,0.787,0.159,0.062,0.525,0.463,0.028,0.005,0.085,0.466,0.318,0.574,0.297,0.35,0.039,0.298,9,0.1457622,5.091,3.94,1.216,0.371486,10.5830863,33.918743,254.902908,100.452713
35,7.045757490560675,3.59,7.042,3.82,0.995,0.594,0.16,0.525,0.464,0.289,0.47,0.248,0.118,0.308,0.136,0.395,0.272,0.426,0.279,0.411,7,0.0439114,4.888,2.991,1.229,0.310532,10.5938447,26.197599,217.431732,75.592407
36,8.585026652029182,0.99,13.905,3.602,0.794,0.76,0.154,0.426,0.34,0.285,0.471,0.183,0.058,0.234,0.12,0.309,0.117,0.35,0.237,0.319,13,0.0549222,5.493,4.351,1.134,0.416664,9.8637,25.105206,248.054474,72.74836
37,8.214670164989233,4.94,136.178,3.488,0.769,0.97,0.155,0.24,0.424,0.325,0.287,0.228,0.082,0.289,0.155,0.412,0.174,0.33,0.199,0.245,7,0.0649341,5.578,3.983,1.184,0.390103,10.0586472,34.443279,248.818375,47.975346
38,8.346787486224656,3.67,203.358,32.725,2.666,0.852,0.154,0.918,0.03,0.379,0.809,0.001,0.117,0.007,0.221,0.014,0.234,0.442,0.309,0.34,7,0.1274267,5.771,4.485,1.116,0.419826,8.69695669,33.9823,267.281769,65.382896
39,8.823908740944319,1.72,239.868,5.673,1.471,0.971,0.153,0.58,0.518,0.412,0.481,0.354,0.162,0.422,0.231,0.507,0.234,0.504,0.332,0.383,11,0.1477497,5.703,4.34,1.11,0.424562,6.42576471,38.375656,274.421509,62.855968
40,8.698970004336019,8.12,330.51,221.069,2.946,0.596,0.162,0.594,0.399,0.312,0.755,0.168,0.369,0.27,0.233,0.207,0.622,0.435,0.431,0.512,7,0.0413648,4.771,3.349,1.231,0.301643,8.77164677,19.180813,255.55661,49.245869
41,6.823908740944319,7.62,176.373,6.721,0.652,0.96,0.162,0.505,0.514,0.291,0.629,0.431,0.075,0.442,0.122,0.443,0.173,0.437,0.378,0.389,7,0.0280856,4.361,3.212,1.166,0.309232,9.03466011,28.267347,215.311142,65.762756
42,8.55284196865778,7.96,7.051,3.843,0.605,0.613,0.165,0.534,0.461,0.251,0.491,0.228,0.078,0.299,0.113,0.377,0.135,0.415,0.265,0.37,6,0.0213194,4.302,3.33,1.137,0.309287,8.09789312,22.811283,219.073792,84.077515
43,7.744727494896693,3.34,6.037,4.121,0.974,0.542,0.165,0.526,0.423,0.301,0.484,0.214,0.051,0.269,0.121,0.337,0.113,0.417,0.249,0.352,4,0.0434174,4.552,3.398,1.141,0.301798,8.19214162,21.594896,231.338898,55.242165
44,8.886056647693163,8.37,7.648,3.181,0.866,0.654,0.161,0.53,0.462,0.292,0.471,0.267,0.06,0.32,0.125,0.458,0.124,0.428,0.266,0.389,6,0.0794701,4.634,2.461,1.175,0.30728,9.41296648,26.065546,236.426834,48.94408
45,9.045757490560677,7.02,273.081,90.069,3.482,0.745,0.156,0.325,0.19,0.381,0.439,0.471,0.246,0.338,0.289,0.177,0.306,0.299,0.385,0.319,7,0.0875545,5.298,4.272,1.087,0.394031,6.47791574,38.876541,258.256317,96.107452
46,8.886056647693163,5.99,15.335,3.289,1.081,0.778,0.151,0.489,0.402,0.353,0.569,0.198,0.105,0.251,0.177,0.333,0.19,0.415,0.291,0.406,7,0.1483496,6.295,3.212,1.172,0.437088,10.2448319,69.936951,251.601608,117.138229
47,8.0,1.11,242.827,3.425,1.059,0.982,0.162,0.661,0.482,0.346,0.96,0.28,0.155,0.34,0.205,0.294,0.275,0.496,0.465,0.444,7,0.081618,4.435,3.281,1.138,0.305515,8.24553428,20.7911,211.848862,68.562569
49,9.221848749616356,9.41,143.741,4.995,2.414,0.951,0.151,0.204,0.46,0.371,0.403,0.307,0.164,0.386,0.221,0.552,0.221,0.345,0.291,0.302,8,0.1401524,6.212,4.013,1.123,0.401639,3.90090237,58.648911,309.185974,71.189888
50,8.522878745280337,1.35,8.815,6.131,0.907,0.556,0.154,0.367,0.499,0.337,0.373,0.315,0.083,0.412,0.16,0.447,0.179,0.401,0.257,0.355,8,0.0336459,5.41,3.436,1.068,0.364895,5.11258802,50.056725,270.015167,96.02388
51,8.481486060122112,6.2,7.305,5.923,1.501,0.496,0.152,0.403,0.44,0.446,0.366,0.318,0.219,0.393,0.283,0.395,0.238,0.43,0.301,0.398,8,0.1123164,5.665,3.783,1.134,0.351708,8.53604785,50.215054,263.679504,75.363861
52,8.275724130399212,5.48,27.016,8.724,0.915,0.737,0.156,0.038,0.509,0.391,0.164,0.002,0.085,0.277,0.197,0.538,0.237,0.313,0.084,0.264,6,0.0645055,5.178,3.781,1.14,0.371173,3.89026797,33.519836,256.711273,82.112823
53,8.67778070526608,5.29,11.601,5.721,0.961,0.635,0.152,0.431,0.431,0.313,0.492,0.256,0.09,0.356,0.15,0.443,0.153,0.392,0.279,0.329,9,0.1409019,5.601,3.873,1.162,0.411639,6.29296491,41.817635,265.173218,46.537628
54,8.585026652029182,2.41,7.621,5.634,1.247,0.526,0.154,0.422,0.446,0.447,0.408,0.278,0.221,0.369,0.279,0.42,0.224,0.438,0.302,0.38,10,0.1442781,5.555,3.654,1.108,0.349214,7.9443071,50.055126,261.670044,63.377014
55,8.585026652029182,1.57,11.562,5.654,0.793,0.642,0.153,0.381,0.434,0.297,0.336,0.36,0.066,0.377,0.13,0.43,0.142,0.371,0.254,0.321,7,0.1040448,5.919,3.709,1.276,0.398219,12.7941699,41.633774,258.135712,71.063042
56,8.0,7.56,31.608,6.085,1.385,0.809,0.155,0.036,0.448,0.328,0.007,0.014,0.05,0.283,0.16,0.378,0.175,0.271,0.024,0.19,6,0.0936992,5.109,3.607,1.139,0.348822,8.81532245,45.060379,244.776871,62.382805
57,7.552841968657781,6.2,7.404,5.905,1.425,0.502,0.155,0.422,0.485,0.487,0.4,0.293,0.212,0.355,0.313,0.324,0.278,0.465,0.302,0.384,9,0.1796842,5.216,4.134,1.173,0.349792,6.17832642,35.180008,269.069397,122.095718
58,7.997833938243493,5.89,7.557,5.495,1.291,0.527,0.156,0.427,0.449,0.468,0.364,0.332,0.288,0.365,0.317,0.398,0.234,0.448,0.328,0.396,7,0.1643464,5.573,4.455,1.106,0.349407,8.24820161,54.528976,230.291183,49.25309
59,8.3767507096021,4.16,155.675,7.417,1.491,0.946,0.153,0.354,0.404,0.403,0.228,0.332,0.2,0.321,0.253,0.329,0.194,0.387,0.253,0.291,9,0.1167791,5.736,4.334,1.142,0.357439,6.86268926,32.310925,254.712372,77.94725
60,8.301029995663981,6.79,8.471,6.976,1.14,0.511,0.151,0.456,0.45,0.387,0.659,0.342,0.124,0.337,0.193,0.248,0.178,0.431,0.375,0.532,10,0.1234965,6.212,4.629,1.077,0.41686,4.5100061,62.45163,265.332764,129.306244
61,7.920818753952375,9.52,8.421,8.009,0.894,0.486,0.151,0.363,0.438,0.304,0.717,0.222,0.078,0.276,0.14,0.227,0.17,0.368,0.339,0.515,7,0.1115511,6.079,3.916,1.098,0.418425,5.79236389,53.068695,233.270889,168.746857
62,8.769551078621726,4.99,53.341,10.378,1.546,0.817,0.148,0.053,0.373,0.451,0.122,0.415,0.137,0.324,0.246,0.338,0.299,0.292,0.225,0.221,10,0.1035123,6.739,5.648,1.125,0.464294,6.87416739,29.236507,235.745804,153.97908
63,8.431798275933005,4.46,50.247,23.111,2.213,0.665,0.149,0.057,0.053,0.555,0.127,0.007,0.021,0.062,0.256,0.028,0.293,0.221,0.052,0.118,11,0.2199181,6.856,5.556,1.16,0.45379,10.5556512,31.197842,259.71698,109.108185
64,8.267606240177031,2.88,200.949,5.872,1.398,0.965,0.145,0.359,0.393,0.474,0.211,0.512,0.169,0.428,0.268,0.513,0.314,0.409,0.297,0.369,9,0.1964473,7.198,5.118,1.095,0.442015,8.73166074,54.923363,314.330841,117.773521
65,8.136677139879543,1.92,10.065,5.827,1.279,0.586,0.15,0.433,0.4,0.414,0.389,0.408,0.19,0.383,0.235,0.505,0.212,0.416,0.329,0.359,8,0.1604494,6.142,5.174,1.082,0.40072,8.32045256,49.791008,272.236877,112.492416
66,8.075720713938118,7.26,228.317,8.982,2.333,0.953,0.148,0.71,0.429,0.472,0.896,0.486,0.209,0.451,0.309,0.423,0.308,0.537,0.53,0.512,10,0.1262148,6.58,5.035,1.054,0.458086,4.74765674,48.28817,266.637878,165.973618
67,7.795880017344075,9.36,10.388,4.173,1.111,0.663,0.151,0.45,0.579,0.387,0.572,0.396,0.073,0.431,0.161,0.522,0.191,0.472,0.347,0.424,12,0.2210056,5.861,4.908,1.11,0.394235,8.7390859,41.788528,275.909485,88.057487
68,7.886056647693163,3.35,245.163,114.177,1.128,0.68,0.147,0.488,0.273,0.404,0.378,0.202,0.147,0.212,0.219,0.454,0.216,0.388,0.242,0.343,11,0.1041356,7.317,5.468,1.083,0.462488,6.55337584,62.138676,306.734344,104.985565
70,8.031517051446064,5.04,334.035,116.782,3.555,0.735,0.147,0.449,0.252,0.381,0.443,0.378,0.351,0.291,0.371,0.358,0.315,0.36,0.391,0.363,11,0.0959516,6.764,5.263,1.043,0.448974,2.4328787,43.452507,276.064606,125.243095
76,8.040958607678906,2.59,309.287,9.083,4.214,0.959,0.151,0.704,0.377,0.373,0.631,0.583,0.159,0.45,0.234,0.318,0.246,0.485,0.457,0.367,9,0.1229884,5.829,4.306,1.147,0.394109,9.39122988,34.522545,244.946533,129.872208
78,8.337242168318426,7.43,87.011,7.826,0.982,0.908,0.151,0.139,0.368,0.327,0.11,0.609,0.099,0.485,0.165,0.559,0.191,0.278,0.272,0.276,8,0.1591234,5.849,4.033,1.094,0.398535,7.86172953,47.313499,259.491699,88.29982
79,7.0762380391713,2.09,218.135,7.497,1.292,0.961,0.162,0.582,0.449,0.502,0.388,0.35,0.5,0.411,0.406,0.57,0.344,0.511,0.413,0.422,4,0.2531767,6.497,2.844,1.122,0.435621,11.7879767,42.060734,954.552856,88.421661
80,9.522878745280336,8.41,10.571,5.166,0.927,0.634,0.152,0.405,0.365,0.325,0.56,0.242,0.065,0.264,0.128,0.389,0.187,0.365,0.289,0.334,9,0.0952038,5.672,3.949,1.096,0.409735,4.28224,56.36631,312.446014,102.823837
81,10.0,9.44,281.697,7.727,0.958,0.97,0.154,0.927,0.481,0.355,0.957,0.536,0.096,0.491,0.161,0.39,0.192,0.588,0.53,0.483,9,0.1174602,5.25,3.915,1.165,0.365045,11.6444088,33.070137,240.872986,76.109123
