mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,2.93,9.138,3.142,1.877,0.645,0.156,0.484,0.349,0.427,0.349,0.199,0.258,0.283,0.338,0.42,0.362,0.402,5,0.112672,5.259,4.056,1.182,0.367224,10.8186874,28.769478,87.880997,119.038185
2,9.30102999566398,2.96,7.667,3.243,2.183,0.586,0.156,0.492,0.484,0.448,0.333,0.282,0.32,0.414,0.226,0.475,0.442,0.412,6,0.0504614,5.39,4.159,1.181,0.366087,9.37020413,40.54673,243.585114,106.716644
3,6.214670164989233,8.47,110.964,5.197,2.404,0.936,0.151,0.173,0.315,0.365,0.22,0.261,0.307,0.224,0.369,0.284,0.256,0.264,6,0.2048448,5.876,3.042,1.066,0.413997,4.4913764,65.061081,127.767769,167.469208
4,7.920818753952375,9.98,13.776,2.565,1.723,0.763,0.151,0.473,0.399,0.348,0.239,0.14,0.207,0.407,0.213,0.407,0.303,0.426,5,0.1014365,6.13,3.417,1.201,0.41651,10.6500498,62.498718,257.073547,123.928444
6,7.823908740944319,9.53,14.185,2.877,0.988,0.786,0.156,0.554,0.482,0.332,0.281,0.095,0.158,0.479,0.175,0.456,0.32,0.45,5,0.1531993,5.485,3.383,1.124,0.410354,8.17108993,57.494652,240.496613,86.058617
7,7.207608310501746,3.12,193.2,105.76,2.894,0.64,0.158,0.502,0.114,0.405,0.272,0.213,0.263,0.045,0.389,0.34,0.324,0.328,7,0.1591316,4.966,3.247,1.154,0.354324,8.78262827,58.70211,347.055389,136.773972
8,8.619788758288394,5.96,13.252,2.657,1.398,0.766,0.153,0.488,0.413,0.346,0.249,0.117,0.184,0.412,0.191,0.416,0.305,0.428,7,0.1601694,5.685,3.383,1.172,0.407836,9.70914179,44.249634,276.507111,131.19426
9,7.341988603342887,1.26,7.299,3.08,0.633,0.663,0.165,0.572,0.464,0.283,0.297,0.041,0.103,0.481,0.102,0.44,0.287,0.401,7,0.0120179,4.441,3.349,1.176,0.304776,9.45669871,33.131351,213.704315,72.168594
10,8.698970004336019,0.68,11.15,4.13,0.831,0.692,0.156,0.502,0.469,0.3,0.296,0.063,0.128,0.383,0.12,0.424,0.324,0.425,9,0.0922005,5.748,4.409,1.162,0.399123,8.65280284,53.275024,242.377762,152.0383
12,7.744727494896693,1.65,209.672,3.513,2.466,0.972,0.154,0.716,0.526,0.523,0.257,0.2,0.327,0.397,0.338,0.588,0.453,0.548,8,0.2040255,5.589,3.608,1.154,0.400592,6.28007132,44.177452,234.867264,146.067245
13,7.552841968657781,4.58,250.91,123.231,1.807,0.667,0.153,0.267,0.22,0.417,0.11,0.237,0.271,0.093,0.356,0.301,0.194,0.194,7,0.1757401,5.373,3.777,1.173,0.397923,9.32191672,47.032803,282.219452,72.407578
14,8.017728766960431,2.26,138.529,9.193,1.394,0.929,0.153,0.262,0.46,0.395,0.544,0.12,0.198,0.488,0.238,0.372,0.314,0.336,6,0.1416045,5.674,4.122,1.256,0.417594,10.7093026,40.60704,247.804642,127.381485
15,8.920818753952375,6.76,346.31,7.93,1.061,0.975,0.159,0.875,0.5,0.38,0.409,0.121,0.19,0.287,0.2,0.585,0.463,0.417,8,0.0388263,5.202,4.059,1.391,0.361447,14.7466995,28.444305,246.832245,85.574646
16,7.301029995663981,2.19,309.096,6.431,1.454,0.975,0.159,0.665,0.469,0.432,0.227,0.284,0.337,0.295,0.47,0.522,0.342,0.424,6,0.1090005,4.982,3.247,1.154,0.341706,8.55745883,33.39986,270.229095,83.23214
17,8.537602002101044,0.5,7.644,3.387,0.936,0.639,0.159,0.507,0.443,0.301,0.296,0.075,0.129,0.326,0.145,0.417,0.312,0.403,7,0.1481619,4.778,3.383,1.165,0.338009,10.785787,58.956902,267.216187,92.430626
19,7.494850021680094,0.45,30.847,3.643,1.759,0.851,0.153,0.062,0.446,0.381,0.096,0.018,0.135,0.371,0.127,0.297,0.046,0.183,10,0.1406399,5.69,4.157,1.085,0.405518,6.95430567,66.910309,258.342834,120.882866
20,7.657577319177793,9.57,364.003,8.019,2.998,0.971,0.147,0.682,0.397,0.517,0.245,0.233,0.327,0.282,0.481,0.532,0.391,0.46,6,0.0863338,6.362,4.227,1.157,0.435978,9.16791128,43.193085,329.922058,202.540817
21,7.958607314841775,1.29,224.426,190.995,2.923,0.536,0.149,0.737,0.625,0.379,0.395,0.308,0.304,0.365,0.353,0.58,0.45,0.477,9,0.121473,5.912,4.296,1.176,0.437895,13.2602867,41.445679,313.335632,148.695374
22,7.017728766960431,5.0,5.986,3.312,0.967,0.583,0.162,0.538,0.491,0.302,0.287,0.057,0.127,0.467,0.118,0.444,0.291,0.412,5,0.0151871,4.332,3.281,1.209,0.293669,9.88295613,34.562969,262.687408,97.224121
23,8.080921907623926,8.36,226.931,9.659,1.838,0.952,0.153,0.624,0.457,0.422,0.48,0.16,0.233,0.678,0.25,0.501,0.349,0.424,11,0.0343725,5.748,4.101,1.419,0.374213,16.2377741,40.569756,269.972626,151.815002
24,8.769551078621726,1.99,150.208,67.526,3.852,0.678,0.156,0.199,0.095,0.329,0.005,0.308,0.391,0.042,0.288,0.208,0.214,0.14,6,0.114789,5.064,3.91,1.108,0.380373,6.11520716,60.027023,266.732147,100.615631
25,7.481486060122112,2.82,152.353,7.328,1.09,0.948,0.156,0.341,0.352,0.416,0.523,0.114,0.196,0.692,0.23,0.369,0.348,0.402,7,0.0508964,5.196,3.383,1.202,0.390675,10.7707399,39.168083,319.941498,113.625946
27,7.958607314841775,4.14,16.08,2.023,1.447,0.822,0.154,0.531,0.379,0.348,0.287,0.104,0.178,0.458,0.178,0.419,0.296,0.416,6,0.1320539,5.47,3.916,1.309,0.41701,14.7146124,14.575814,283.383759,91.292198
28,8.031517051446064,9.04,241.802,5.067,1.404,0.974,0.153,0.814,0.427,0.387,0.289,0.2,0.236,0.298,0.268,0.543,0.506,0.503,8,0.0880127,5.698,3.588,1.182,0.426026,9.39940122,55.037773,1138.521606,97.38382
30,8.229147988357855,6.04,64.276,12.187,2.679,0.812,0.151,0.073,0.472,0.365,0.667,0.207,0.261,0.611,0.265,0.303,0.333,0.304,7,0.1517213,6.009,4.648,1.156,0.458131,10.0613127,61.566067,249.396317,78.737587
31,8.568636235841012,1.44,12.563,2.886,0.762,0.775,0.156,0.525,0.445,0.382,0.212,0.081,0.153,0.461,0.162,0.451,0.36,0.411,9,0.1180252,5.153,4.45,1.199,0.420661,12.1338988,37.416588,249.485733,69.998871
32,8.022276394711152,4.27,144.102,2.513,0.9,0.977,0.156,0.357,0.369,0.381,0.222,0.106,0.171,0.396,0.173,0.369,0.241,0.276,7,0.091548,5.203,4.28,1.268,0.416316,12.5278086,49.004814,252.005325,74.702591
33,7.886056647693163,9.87,127.799,83.593,3.73,0.594,0.154,0.229,0.083,0.372,0.04,0.227,0.269,0.036,0.313,0.228,0.207,0.211,7,0.0994898,5.605,4.146,1.136,0.381056,7.40397659,39.640972,255.820877,95.182289
34,8.494850021680094,4.25,13.928,2.486,0.989,0.8,0.159,0.473,0.445,0.439,0.267,0.109,0.202,0.481,0.18,0.452,0.272,0.396,8,0.1085251,5.247,4.009,1.215,0.393118,10.8222051,41.681999,253.743988,94.611465
35,7.045757490560675,6.74,7.108,3.664,1.099,0.599,0.161,0.518,0.422,0.262,0.224,0.09,0.119,0.348,0.208,0.4,0.258,0.365,9,0.0553692,5.04,3.025,1.243,0.308478,10.3227303,32.569561,267.880127,68.297272
36,8.585026652029182,3.8,13.059,3.936,0.882,0.73,0.154,0.436,0.35,0.325,0.188,0.078,0.14,0.316,0.139,0.37,0.249,0.337,5,0.0657287,5.813,4.316,1.191,0.409106,9.7502859,56.297565,289.318298,80.246429
37,8.214670164989233,3.63,11.929,3.745,0.838,0.722,0.155,0.452,0.35,0.312,0.194,0.096,0.143,0.332,0.137,0.371,0.261,0.342,8,0.0953278,5.741,3.916,1.177,0.390535,10.6769808,36.538757,257.893372,54.350792
38,8.346787486224656,3.35,11.905,3.515,0.826,0.733,0.154,0.481,0.385,0.305,0.202,0.098,0.148,0.366,0.135,0.39,0.31,0.357,8,0.1097732,5.439,4.252,1.114,0.407004,8.53017625,39.615524,302.471466,78.195724
39,8.823908740944319,2.63,241.433,3.924,0.929,0.98,0.153,0.52,0.428,0.284,0.274,0.227,0.207,0.344,0.151,0.411,0.443,0.407,8,0.1784365,5.156,4.272,1.116,0.40799,7.97972809,35.607719,241.103577,73.600136
40,8.698970004336019,5.01,6.513,4.033,0.993,0.564,0.162,0.523,0.406,0.32,0.202,0.184,0.17,0.281,0.363,0.417,0.266,0.378,6,0.0456647,4.713,3.247,1.244,0.303629,11.3301324,33.108475,230.818253,99.593491
41,6.823908740944319,4.91,231.238,4.041,0.611,0.98,0.162,0.661,0.5,0.303,0.31,0.064,0.121,0.37,0.165,0.488,0.447,0.447,6,0.028572,4.699,3.452,1.151,0.307422,8.77461325,43.01672,235.795273,60.449516
42,8.55284196865778,6.19,7.46,3.628,0.768,0.629,0.163,0.549,0.463,0.263,0.237,0.068,0.115,0.394,0.125,0.425,0.263,0.37,6,0.0368557,5.039,3.024,1.136,0.312294,7.98402078,24.823153,241.088333,75.72039
43,7.744727494896693,6.43,5.811,4.249,0.928,0.529,0.163,0.518,0.424,0.307,0.22,0.054,0.125,0.337,0.117,0.416,0.246,0.349,6,0.0437584,4.264,3.365,1.142,0.298852,8.47008454,31.799166,228.82901,62.802856
44,8.886056647693163,7.87,7.823,3.026,0.905,0.666,0.161,0.53,0.456,0.29,0.27,0.056,0.122,0.463,0.122,0.425,0.267,0.391,5,0.1291036,4.691,2.461,1.172,0.308817,8.75665526,25.123035,262.708862,65.915771
45,9.045757490560677,9.07,8.233,4.633,0.925,0.597,0.156,0.479,0.407,0.294,0.295,0.053,0.119,0.349,0.133,0.393,0.315,0.366,6,0.1495098,5.333,4.238,1.086,0.3639,7.47491772,47.33429,263.402161,91.317841
46,8.886056647693163,8.12,152.552,12.167,1.596,0.917,0.151,0.204,0.478,0.396,0.538,0.136,0.213,0.667,0.29,0.359,0.241,0.347,5,0.0330731,5.91,3.383,1.171,0.430338,9.90936483,59.328861,256.772247,110.703857
47,8.0,3.1,281.914,5.993,1.606,0.974,0.162,0.889,0.479,0.383,0.316,0.155,0.23,0.34,0.227,0.584,0.421,0.432,5,0.0526973,4.781,3.247,1.144,0.308478,6.9880216,36.435028,226.984558,74.651199
49,9.221848749616356,2.32,256.102,207.889,6.571,0.544,0.151,0.499,0.317,0.488,0.138,0.351,0.397,0.169,0.403,0.434,0.38,0.347,9,0.1407596,5.81,3.874,1.133,0.386129,2.24605705,39.772888,302.849396,75.922638
50,8.522878745280337,2.65,9.057,5.711,0.732,0.584,0.154,0.381,0.462,0.305,0.341,0.061,0.125,0.49,0.142,0.383,0.251,0.342,9,0.0922927,5.555,3.504,1.075,0.3622,6.38089667,39.236012,273.237579,93.820915
51,8.481486060122112,0.65,240.679,8.163,2.55,0.957,0.152,0.541,0.408,0.422,0.478,0.186,0.293,0.469,0.342,0.457,0.316,0.393,7,0.1442863,5.792,3.842,1.079,0.377232,13.1572845,50.180061,269.012604,125.143829
52,8.275724130399212,6.15,7.11,4.445,1.631,0.539,0.156,0.445,0.539,0.471,0.325,0.124,0.234,0.439,0.224,0.485,0.33,0.405,6,0.1585205,5.546,3.612,1.145,0.346807,10.8025228,39.04047,261.786774,92.594467
53,8.67778070526608,3.52,10.306,5.388,1.272,0.607,0.152,0.415,0.447,0.412,0.244,0.089,0.193,0.433,0.222,0.425,0.287,0.376,8,0.1668563,6.031,3.911,1.164,0.397275,5.26304005,31.062971,247.210159,52.733559
54,8.585026652029182,6.06,77.839,32.5,7.392,0.661,0.154,0.12,0.026,0.444,0.009,0.001,0.32,0.01,0.338,0.197,0.016,0.133,9,0.1309458,5.812,3.463,1.132,0.34939,9.52959956,48.037918,273.508362,62.258038
55,8.585026652029182,2.21,136.741,7.849,1.823,0.934,0.153,0.175,0.458,0.398,0.313,0.267,0.318,0.374,0.321,0.343,0.289,0.308,7,0.1144767,5.968,3.709,1.276,0.383105,10.595976,36.351936,247.393066,59.625938
