mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,3.0,0.2540001,6.822,3.458,1.04,0.493328,1.32028098,58.170616,96.259201,63.218681
2,6.045757490560675,7.0,0.2621029,7.066,4.427,1.038,0.546211,3.69950081,91.708221,134.25061,45.100311
3,6.1938200260161125,3.0,0.324202,5.883,2.612,1.043,0.371554,2.98323932,65.342743,81.607231,62.090004
4,5.522878745280337,5.0,0.293517,7.356,3.854,1.066,0.529009,3.48496935,34.889343,71.662338,93.76297
5,5.522878745280337,7.0,0.1863313,6.784,3.626,1.066,0.542099,8.32711768,74.121582,130.363388,68.560112
6,5.522878745280337,6.0,0.2566438,7.985,4.53,1.043,0.553287,6.72040249,55.089775,103.29509,93.465294
7,5.552841968657781,4.0,0.1716653,6.686,3.458,1.032,0.500387,2.98074665,62.196442,85.531357,60.024574
9,5.619788758288394,4.0,0.2347918,6.766,3.325,1.048,0.549472,4.68249996,50.784107,103.247192,76.969162
10,5.180456064458132,7.0,0.2590399,7.014,4.632,1.048,0.495224,3.98355667,79.733551,131.16272,47.995209
11,6.3979400086720375,7.0,0.1913564,6.603,3.013,1.05,0.484171,3.43634413,57.031067,109.500916,88.752037
12,5.6020599913279625,7.0,0.3644994,6.846,4.103,1.04,0.446681,3.45492196,73.610497,115.420547,97.147339
13,5.0,6.0,0.1916198,7.121,3.968,1.033,0.546311,1.5814736,58.357376,104.413002,71.204475
14,5.102372908709558,5.0,0.2851238,7.402,5.04,1.02,0.629557,2.50221761,54.094078,130.205582,127.540382
15,5.795880017344075,6.0,0.2668779,7.182,4.205,1.025,0.542504,3.3453523,81.228928,116.381752,67.557747
16,5.102372908709558,5.0,0.2993934,6.855,3.934,1.034,0.461894,3.1871028,49.309715,91.044632,68.618935
17,6.795880017344075,7.0,0.1723951,6.975,4.001,1.035,0.588873,3.83143344,57.958981,99.147987,67.550667
18,7.0,6.0,0.2555138,7.804,4.273,1.032,0.577186,5.5784058,70.064423,107.611031,110.27626
19,5.6020599913279625,8.0,0.2295934,7.286,4.002,1.018,0.482702,4.23231974,64.755028,98.142258,85.774559
20,6.301029995663981,6.0,0.2343386,7.334,4.069,1.02,0.570389,4.87245975,73.477043,113.123314,75.677994
21,6.301029995663981,4.0,0.2938528,7.107,3.968,1.029,0.540045,1.7779835,85.05072,141.494949,72.458328
22,5.102372908709558,5.0,0.2141319,7.357,4.036,1.022,0.594201,4.2803147,58.604748,123.85733,112.639503
24,5.795880017344075,3.0,0.1587427,7.156,4.238,1.027,0.535976,2.66715359,45.919098,95.740387,82.886612
25,6.301029995663981,6.0,0.2391497,7.615,4.069,1.041,0.605687,6.21876632,49.606316,121.10498,97.987885
26,5.3979400086720375,5.0,0.2059408,7.327,4.441,1.036,0.570718,3.79140155,45.774483,88.298851,87.037117
27,6.102372908709558,3.0,0.2382455,7.457,4.406,1.033,0.58393,3.50796032,53.755493,101.446075,64.095001
28,5.301029995663981,6.0,0.3965165,8.075,4.07,1.015,0.464836,3.19979861,83.12043,170.540344,95.078552
29,5.520856752021387,2.0,0.4722953,6.595,3.729,1.022,0.379424,4.54004762,70.530502,133.65509,68.064331
30,7.031517051446065,5.0,0.254763,8.501,3.899,1.122,0.580916,10.3093538,65.400589,153.50444,143.128983
31,6.366531544420414,5.0,0.2794259,7.574,5.16,1.087,0.463882,7.79334168,107.796745,1045.78064,245.842026
32,6.0,6.0,0.2618152,9.694,5.359,1.073,0.592023,6.02408445,99.580818,1030.495728,213.340439
33,6.0,6.0,0.2605814,8.5,5.195,1.055,0.618801,4.05350575,103.820297,1046.031738,238.16629
34,7.721246399047171,5.0,0.3875224,9.09,3.463,1.153,0.559011,10.702439,68.053131,99.327484,170.274582
35,6.795880017344075,3.0,0.4176279,9.105,5.39,1.049,0.574122,3.12591146,96.044731,175.468307,213.950684
36,6.0,7.0,0.1970573,9.155,5.19,1.022,0.647342,3.95326805,294.062927,419.34671,149.709564
38,5.2441251443275085,2.0,0.2164722,7.301,3.047,1.025,0.524751,1.12807095,63.170975,98.195435,148.510605
39,6.3979400086720375,3.0,0.435081,7.244,2.98,1.02,0.479557,1.1768238,55.302483,98.69265,152.596588
40,5.698970004336019,5.0,0.2554308,8.004,3.08,1.017,0.565653,2.42540508,60.970802,82.692818,115.119408
41,6.154901959985743,8.0,0.2450031,8.082,5.123,1.047,0.534855,1.20772076,64.471298,83.831177,120.860863
42,5.508638306165727,4.0,0.3259756,6.99,3.742,1.064,0.495279,7.55110406,62.996941,112.19545,139.72998
43,5.522878745280337,9.0,0.2608632,9.127,5.229,1.011,0.628685,4.15531453,69.486839,144.426376,111.332024
44,6.102372908709558,4.0,0.2240401,7.39,3.707,1.055,0.475665,5.18977475,63.991657,91.258911,217.269257
45,6.721246399047171,5.0,0.3678454,8.085,3.841,1.054,0.527935,5.15981957,74.160843,139.453293,127.050377
46,8.102372908709558,4.0,0.4231749,6.869,4.548,1.061,0.400197,7.1841232,63.703167,167.17218,99.21711
47,5.040958607678906,4.0,0.172176,6.732,4.424,1.049,0.560258,6.05721147,64.440712,72.448265,77.992805
48,5.42021640338319,5.0,0.22537,7.506,4.248,1.017,0.580807,3.57893666,50.916405,81.247734,69.260834
49,5.580044251510242,8.0,0.2721407,6.474,3.895,1.035,0.590344,4.40859207,50.862534,81.493965,105.422714
50,8.522878745280337,7.0,0.2922673,8.39,4.723,1.076,0.532598,6.99460135,74.999008,123.317039,76.386818
51,5.329754146925876,5.0,0.2085458,6.929,3.817,1.014,0.575541,0.829142431,45.066612,112.110786,107.073784
52,6.8297382846050425,6.0,0.3410537,8.173,4.4,1.04,0.558182,3.30259736,75.394379,118.071365,100.053955
53,6.1938200260161125,6.0,0.2179568,8.418,4.501,1.044,0.60322,4.15141096,83.955368,143.026398,83.052704
55,5.978810700930062,7.0,0.2952655,6.856,3.784,1.024,0.48994,3.63881621,41.607395,126.998619,96.169945
56,5.510041520575165,6.0,0.2185192,7.146,4.875,1.018,0.615788,1.50540193,46.897114,118.463951,91.426666
57,7.886056647693163,6.0,0.2603429,7.917,4.902,1.043,0.595669,7.09350198,81.423233,172.369202,85.511185
58,6.764471553092451,4.0,0.2285591,8.535,5.137,1.051,0.656141,5.78043967,84.100662,196.699524,97.530342
59,5.441291429466834,7.0,0.1969059,7.276,4.89,1.05,0.593241,8.03903427,37.315464,145.4888,98.606827
60,5.429457060118103,3.0,0.2942796,6.693,1.406,1.012,0.483078,2.93680701,22.617413,144.469986,50.447365
61,6.3979400086720375,3.0,0.1957603,8.711,4.701,1.044,0.65561,5.20551316,57.90773,167.506714,112.89489
62,5.5003129173815966,5.0,0.2087319,7.584,4.842,1.035,0.479627,6.78831685,89.643524,190.1604,73.160347
63,6.0655015487564325,6.0,0.1612165,8.684,4.568,1.049,0.673458,3.78964537,57.94249,138.566376,84.995399
64,7.795880017344075,6.0,0.2563576,8.123,4.936,1.057,0.612979,7.832206,69.780853,116.474792,81.013367
65,5.480172006224281,6.0,0.2122874,7.649,3.784,1.012,0.582269,2.92667984,42.007584,139.413788,70.078674
66,7.698970004336019,5.0,0.1952445,8.02,4.266,1.051,0.603857,3.8396283,60.61451,142.204437,120.65213
67,5.896196279044043,5.0,0.1768293,7.259,3.817,1.012,0.620421,4.39885323,60.77042,127.440674,59.366959
68,6.832682665251824,5.0,0.22136,7.402,4.568,1.049,0.560569,8.00880136,87.949097,147.662552,82.210098
69,5.610833915635467,8.0,0.2187385,7.079,4.018,1.018,0.544768,5.69803972,42.341663,134.665771,99.450844
70,5.207608310501746,5.0,0.3143123,8.999,3.794,1.069,0.536927,4.77776833,64.865257,173.688385,146.226517
71,5.3979400086720375,7.0,0.3283558,8.904,4.462,1.026,0.585925,6.21839488,78.476967,154.260941,120.313171
73,5.301029995663981,7.0,0.3879003,8.694,3.902,1.095,0.496745,9.57811982,55.496727,142.818253,144.341614
74,5.958607314841775,5.0,0.3554512,8.442,3.733,1.073,0.504079,2.52513704,64.160568,158.868195,118.446716
75,5.522878745280337,6.0,0.4329143,6.998,3.912,1.031,0.400925,2.5189895,58.482849,141.735718,104.06562
76,5.537602002101044,7.0,0.3361225,7.827,3.875,1.014,0.578726,2.12388796,53.741421,130.56395,79.080566
77,5.522878745280337,5.0,0.3573277,8.205,3.945,1.013,0.498516,3.23801136,67.340195,152.102127,94.894981
78,5.522878745280337,6.0,0.2513317,8.073,3.91,1.03,0.575664,3.79292245,64.07798,157.917374,107.410408
