mol_id,PKI,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,5.823908740944319,22.51,3.042,2.213,0.811,0.11,0.148,0.148,0.148,0.562,0.397,0.388,24.028,2.385,1.803,0.852,0.085,0.148,0.149,0.149,0.639,0.373,0.132,21.776,2.301,1.984,0.836,0.088,0.148,0.148,0.149,0.525,0.234,0.318,23.145,2.912,2.372,0.814,0.102,0.148,0.148,0.148,0.592,0.369,0.451,21.09,2.559,1.808,0.828,0.101,0.148,0.148,0.148,0.494,0.278,0.258,23.305,3.087,2.37,0.81,0.107,0.148,0.148,0.148,0.6,0.41,0.447,28.234,2.544,2.216,0.856,0.077,0.148,0.148,0.149,0.886,0.371,0.238,27.766,28.215,26.061,28.429,25.457,28.761,32.993,125.04,104.911,97.875,129.208,96.735,134.479,140.015,0.148,0.149,0.716,0.777,0.753,0.721,0.743,0.715,0.784,0.449,0.381,0.359,0.471,0.343,0.486,0.498,304.381,236.416,223.346,317.509,219.786,333.713,332.142
2,6.045757490560675,24.935,3.045,1.234,0.854,0.104,0.149,0.149,0.149,0.548,0.503,0.313,27.56,2.429,0.989,0.89,0.078,0.15,0.149,0.149,0.668,0.341,0.162,24.255,2.441,0.996,0.876,0.088,0.149,0.149,0.149,0.52,0.335,0.206,25.966,3.003,1.287,0.858,0.099,0.149,0.149,0.153,0.593,0.49,0.346,23.023,2.545,0.95,0.868,0.096,0.149,0.149,0.149,0.47,0.357,0.182,25.926,3.125,1.314,0.854,0.103,0.149,0.149,0.15,0.591,0.523,0.354,31.94,2.575,1.379,0.89,0.072,0.149,0.15,0.15,0.897,0.331,0.308,29.214,30.978,27.692,30.256,26.519,30.365,35.894,110.459,96.613,85.791,115.269,82.893,119.2,129.839,0.149,0.15,0.78,0.834,0.814,0.787,0.802,0.781,0.835,0.455,0.39,0.354,0.476,0.336,0.489,0.512,233.391,193.815,172.453,245.896,165.082,256.037,279.148
3,6.1938200260161125,332.713,5.75,1.511,0.979,0.017,0.149,0.149,0.149,0.682,0.319,0.378,312.015,4.204,1.137,0.983,0.013,0.149,0.149,0.149,0.601,0.165,0.205,326.846,4.301,1.18,0.984,0.013,0.149,0.149,0.149,0.658,0.175,0.251,328.753,5.735,1.562,0.978,0.017,0.149,0.149,0.149,0.666,0.312,0.432,332.227,4.511,1.162,0.983,0.013,0.149,0.149,0.155,0.68,0.195,0.219,328.946,6.062,1.603,0.977,0.018,0.149,0.149,0.149,0.667,0.353,0.439,287.817,5.848,1.504,0.975,0.02,0.149,0.149,0.149,0.511,0.301,0.376,339.974,317.356,332.327,336.05,337.899,336.611,295.169,2424.613,1671.185,1796.515,2408.006,1889.711,2531.163,2124.932,0.149,0.149,0.968,0.975,0.975,0.967,0.975,0.966,0.963,0.46,0.324,0.362,0.47,0.365,0.486,0.396,5656.076,3479.707,3788.001,5689.566,3968.312,6064.388,4951.723
4,5.522878745280337,19.568,4.831,1.922,0.743,0.184,0.149,0.149,0.149,0.563,0.419,0.359,21.496,3.023,1.812,0.816,0.115,0.149,0.149,0.149,0.677,0.136,0.266,19.08,3.798,1.606,0.779,0.155,0.149,0.149,0.149,0.534,0.231,0.242,20.322,4.627,2.034,0.753,0.171,0.149,0.149,0.15,0.605,0.37,0.389,18.184,4.173,1.468,0.763,0.175,0.149,0.149,0.149,0.487,0.303,0.21,20.421,4.898,2.05,0.746,0.179,0.149,0.149,0.149,0.611,0.426,0.397,26.683,3.587,2.149,0.823,0.111,0.149,0.149,0.15,1.051,0.177,0.334,26.321,26.331,24.485,26.983,23.826,27.369,32.419,141.432,109.418,109.216,144.782,108.724,151.923,160.751,0.149,0.149,0.615,0.725,0.669,0.63,0.645,0.619,0.735,0.447,0.36,0.336,0.455,0.333,0.478,0.521,349.459,253.51,250.097,363.034,243.996,384.333,398.816
5,5.522878745280337,19.636,4.02,1.027,0.796,0.163,0.149,0.149,0.156,0.536,0.464,0.354,23.729,2.505,0.67,0.882,0.093,0.149,0.149,0.15,0.781,0.172,0.137,19.977,3.052,0.758,0.84,0.128,0.149,0.15,0.15,0.555,0.257,0.191,20.795,3.856,1.01,0.81,0.15,0.149,0.15,0.15,0.6,0.425,0.339,18.468,3.374,0.801,0.816,0.149,0.149,0.149,0.149,0.476,0.317,0.213,20.564,4.076,1.072,0.8,0.159,0.149,0.149,0.149,0.588,0.479,0.384,27.543,2.87,0.934,0.879,0.092,0.149,0.149,0.149,1.051,0.235,0.248,24.683,26.904,23.787,25.662,22.642,25.712,31.346,103.226,77.008,78.423,105.09,79.799,110.228,107.431,0.152,0.15,0.693,0.823,0.76,0.716,0.723,0.7,0.818,0.451,0.363,0.334,0.455,0.335,0.484,0.511,208.95,143.727,148.409,211.748,152.345,225.782,212.565
6,5.522878745280337,404.766,197.973,1.494,0.67,0.328,0.145,0.145,0.145,0.544,0.326,0.462,416.44,187.681,0.961,0.688,0.31,0.145,0.145,0.146,0.577,0.282,0.17,407.068,191.899,1.139,0.678,0.32,0.145,0.145,0.148,0.551,0.296,0.26,407.955,196.533,1.46,0.673,0.324,0.145,0.145,0.148,0.552,0.321,0.436,402.651,194.496,1.231,0.673,0.325,0.145,0.145,0.145,0.539,0.305,0.311,404.551,199.421,1.541,0.668,0.329,0.145,0.145,0.145,0.543,0.333,0.493,395.462,184.733,1.194,0.68,0.318,0.145,0.145,0.145,0.52,0.276,0.282,604.232,605.082,600.106,605.949,598.379,605.513,581.39,81032.839,78738.648,78798.16,81059.505,79049.495,81606.892,73747.932,0.145,0.146,0.505,0.532,0.517,0.51,0.509,0.502,0.52,0.444,0.343,0.369,0.437,0.385,0.456,0.359,201322.128,154468.038,168372.728,198750.8,176088.569,206562.242,161564.697
7,5.552841968657781,392.065,7.786,0.796,0.979,0.019,0.152,0.152,0.153,0.949,0.435,0.298,382.094,7.413,0.598,0.979,0.019,0.152,0.152,0.152,0.902,0.381,0.165,394.575,7.079,0.581,0.981,0.018,0.152,0.152,0.152,0.961,0.359,0.158,388.143,7.888,0.813,0.978,0.02,0.152,0.153,0.16,0.93,0.441,0.316,399.296,7.028,0.576,0.981,0.017,0.152,0.152,0.152,0.984,0.357,0.151,388.2,8.023,0.853,0.978,0.02,0.152,0.152,0.152,0.93,0.454,0.346,364.296,8.198,0.838,0.976,0.022,0.152,0.153,0.153,0.822,0.375,0.307,400.647,390.105,402.235,396.843,406.899,397.077,373.332,3370.876,3065.382,3026.329,3383.49,3040.016,3452.711,3298.766,0.152,0.152,0.968,0.969,0.971,0.967,0.972,0.966,0.964,0.561,0.483,0.493,0.562,0.497,0.577,0.501,6201.969,5149.141,5050.076,6269.607,5062.639,6506.983,6175.149
9,5.619788758288394,63.547,8.729,1.058,0.867,0.119,0.148,0.149,0.148,0.154,0.525,0.303,113.297,7.164,0.762,0.935,0.059,0.149,0.148,0.149,0.468,0.288,0.152,70.945,7.961,0.781,0.89,0.1,0.148,0.148,0.148,0.189,0.436,0.163,75.941,8.676,1.061,0.886,0.101,0.148,0.149,0.148,0.215,0.501,0.305,54.666,7.919,0.809,0.862,0.125,0.148,0.148,0.148,0.118,0.381,0.176,73.061,8.936,1.099,0.879,0.108,0.148,0.149,0.148,0.2,0.54,0.327,153.38,7.65,1.044,0.946,0.047,0.148,0.148,0.148,0.854,0.301,0.286,73.334,121.223,79.687,85.677,63.393,83.095,162.075,631.186,903.456,626.425,748.616,483.481,742.969,1341.553,0.148,0.149,0.8,0.902,0.835,0.83,0.793,0.819,0.92,0.327,0.303,0.263,0.34,0.225,0.356,0.48,1291.454,1643.092,1147.317,1533.34,896.903,1543.468,2729.024
10,5.180456064458132,21.23,3.854,1.382,0.802,0.146,0.149,0.149,0.15,0.523,0.443,0.342,17.57,2.71,1.204,0.818,0.126,0.149,0.149,0.149,0.36,0.235,0.273,19.048,3.112,1.135,0.818,0.134,0.15,0.149,0.149,0.422,0.29,0.237,20.888,3.758,1.42,0.801,0.144,0.149,0.149,0.153,0.507,0.425,0.364,19.813,3.338,1.118,0.816,0.138,0.149,0.149,0.149,0.456,0.328,0.227,21.436,3.937,1.436,0.8,0.147,0.149,0.153,0.149,0.533,0.464,0.369,19.848,3.335,1.324,0.81,0.136,0.149,0.149,0.149,0.46,0.342,0.328,26.466,21.485,23.295,26.065,24.269,26.808,24.507,116.482,72.051,84.422,113.483,92.03,120.82,96.878,0.15,0.149,0.703,0.727,0.727,0.702,0.725,0.699,0.715,0.436,0.29,0.316,0.432,0.337,0.455,0.377,256.022,150.897,174.976,250.985,190.269,268.79,209.001
11,6.3979400086720375,223.36,17.401,1.695,0.921,0.072,0.15,0.15,0.15,0.262,0.529,0.441,199.402,19.243,1.49,0.906,0.087,0.15,0.15,0.151,0.211,0.673,0.3,210.004,17.099,1.391,0.919,0.075,0.15,0.15,0.15,0.232,0.524,0.291,220.363,18.122,1.746,0.917,0.075,0.15,0.15,0.15,0.255,0.579,0.462,215.126,16.297,1.353,0.924,0.07,0.15,0.15,0.15,0.243,0.47,0.278,222.594,18.211,1.784,0.918,0.075,0.15,0.15,0.157,0.261,0.581,0.484,201.134,22.069,1.563,0.895,0.098,0.15,0.15,0.15,0.216,0.873,0.286,242.456,220.135,228.494,240.231,232.776,242.589,224.765,4294.783,4162.836,3906.658,4409.857,3819.029,4483.144,4787.637,0.15,0.15,0.882,0.859,0.879,0.876,0.886,0.876,0.842,0.411,0.395,0.349,0.432,0.331,0.442,0.459,11125.711,10100.189,9128.702,11622.245,8796.234,11957.042,11950.955
