mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.10652984756351462,0.04485067315786453,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.08568680258370664,0.11226082095148693,0.1795112381566072,0.1224515676886675,0.14470757060939,0.09833798671386429,0.08031418458656903,0.037473147969323994,0.15247861087024395,0.05207654550528673
1ns,0.006005865083903594,0.030066585566479426,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.0493894456877072,0.01689829386338415,0.046452313344922724,-0.028217316659643554,-0.016012471865998634,0.004884829183157691,0.008097021839021723,0.030862225449966973,-0.017427837059191376,-0.034867852944290956
2ns,-0.02007152759432368,0.03876544389316671,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.03606664380754132,-0.08625319083401473,-0.0396362598701403,-0.022757002786009117,-0.06988153456338075,0.020280749847687574,-0.015843160532924783,-0.03063182038509571,0.014182714123532891,-0.0062424147504331895
3ns,-0.008120552284327454,0.03218180276761102,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.01879096353637222,-0.05523543402102127,-0.0007982340966286028,-0.024955472011586766,0.030254874340112536,0.03166382820907454,-0.009226971644487048,-0.060934370785139524,0.004076871856239506,-0.014841578226210128
4ns,0.01663331889931292,0.04164552661822307,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.0058618740597403685,0.026826813914547776,0.0010484761399229825,0.03365826117914683,-0.03471715997553426,-0.003056610835117324,-0.016937647363860053,0.11808670014485656,0.0034724527877824096,0.03209002894164392
5ns,0.03440434185789889,0.039351725437172365,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.03866745458410581,-0.011345650875659086,0.014778078719379861,0.026562775526967064,0.11894264306499125,0.06261085325680871,-0.017713026277641042,0.05764462593679476,0.032831994570885814,0.021063670072355767
6ns,-0.00764579170598102,0.027943640322253955,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.08238724193992653,0.017584343417173742,0.006999887569463681,-0.005277932515076467,0.0038018921272265915,-0.006318423103283344,-0.0017714079787287673,-0.0019372115733811146,0.009683821441115348,-0.016835644504393343
7ns,0.01565124411759754,0.025367182510146507,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.0122016825093898,-0.02217179613296394,0.049744288968453065,-0.00901338213606051,0.045569439322989735,0.01780712100194437,0.02439925633026463,0.030390812378560894,0.027281828499893357,-0.019696809566496
8ns,0.007455547478808333,0.053859718249303,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.04855620323376453,-0.024521284735486315,0.05157134871766522,-0.05116247498472393,-0.015459044565572455,0.030085680485026578,-0.1018949553364692,0.05951838584834668,0.05171963051591533,0.02614198560961689
9ns,-0.019931555285917425,0.03058562518731631,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.03331028430408556,-0.0050733923843166995,-0.04269080887681631,-0.047330918219440354,-0.013288716500761799,-0.018941854836216354,0.04071994420196112,-0.06257097758933039,-0.030136759896893572,0.013308215546725677
10ns,-0.019776010724851356,0.034708191227227236,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.06465133815842972,-0.026155618622652144,-0.014292116740300731,0.017415400136279846,0.02861504819239835,-0.02033231818377801,-0.06022984377996554,-0.0544418330148011,0.026002171621667625,-0.029689658698932142
conformations_10,0.040470602962228944,0.03308607305190021,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.07869897823783345,0.05054878361057813,0.034455941464000106,0.05673035176564534,0.05237488327704687,0.07655507777209902,0.012062249323508634,0.0640354228659108,-0.00799062992529076,-0.012765028769042175
conformations_20,0.04913991461153756,0.03506342572641101,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.09380799493090353,0.05193044471771968,0.03982513065800597,0.0767957555793175,0.06084249472150827,0.08058956062887235,0.028265679199110827,0.07022831356351633,-0.01651696406839709,0.005630736184818241
