mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.10597451940418727,0.04800402222075527,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.056539052940644985,0.1795667902603003,0.15543525998734664,0.11941848960690582,0.13107882485764644,0.029005118364737514,0.061907548809310375,0.07587013908981766,0.13218780770724092,0.11873616241792218
1ns,-0.013379493899017481,0.03335171632186915,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",-0.034288992803644947,-0.031255537354420326,0.02615919609449502,0.003171132126335574,-0.02058754101443494,-0.004139811641021396,-0.08841436700407201,0.025271846341704873,-0.007117765779561358,-0.00259309795555529
2ns,-0.024257685158898867,0.03623924998483813,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",-0.017112600317979787,-0.05470640545987582,-0.020071386962345894,-0.04315068096366681,-0.012903510394438378,0.016865269667672544,-0.02654056220935974,-0.10220401341124541,-0.005583845911196095,0.022830884373446714
3ns,-0.027577373695380224,0.02805020583993317,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.002166375678287369,-0.04584745385716138,-0.03450329182437506,-0.05773758288570652,0.0031699293457275735,-0.024303407864218807,-0.0152102792971478,-0.08382967459303114,-0.010971476329271868,-0.008706875326904617
4ns,-0.015482362204890576,0.04409589784253197,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",-0.05433678217343507,0.009379132727854622,-0.06522378934299211,-0.0049629656957650425,-0.09002741178177298,0.01719123706184078,-0.03109258869464382,0.053302545755448794,-0.006967141731111903,0.01791414182567097
5ns,-0.0007545566434556727,0.030769913105250526,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.01489303383336571,-0.015749718186506945,0.020891762931640412,-0.011218527219402752,0.034607050933797345,-0.006031765296907299,-0.07006582837829911,-0.013692199170767028,0.005086256787326882,0.03373436733119606
6ns,-0.01623140849263721,0.03831191418948525,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.03142619293521309,-0.00011820386593597298,0.007029244351875796,0.02493442314663752,-0.03765510141791406,0.010030704289644254,-0.027376312153699844,-0.10847696463897383,0.009048068533686004,-0.00830375023647889
7ns,0.014988619905002065,0.028821543758451466,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.013708003283329884,0.006815764488043885,0.09014955916951117,-0.008413929254343033,0.00122163055708302,0.027826068655972258,0.008801240068582517,0.01961377818441168,-0.003451451597621391,-0.006384464504949339
8ns,0.005783573652908614,0.04389519697622885,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.039715850194009805,0.01356891812526495,0.045022054291139924,-0.06291325769180722,0.008596339808662923,0.03155918799762114,-0.07756166016071475,-0.008230128930426295,0.01890147600374592,0.04917695689158974
9ns,-0.010075908237380315,0.030415620246218394,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.003870008547952164,0.026889941555343966,-0.02960963330875832,-0.01427883275239683,-0.04655563769421245,-0.010140504131763928,0.012525102112201925,-0.0488393050583773,-0.02966226294430907,0.04278205839642102
10ns,-0.012631040185543941,0.04030523018103617,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.07772256120492238,0.025779921922878146,0.012180675642044614,0.02977237366833496,-0.00010363308216576606,-0.0152337851884774,-0.07634828377767366,-0.045399106793221344,0.018691087611418356,0.0020729093463450754
conformations_10,0.03293020023759217,0.01551127947509517,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.056813928755681586,0.04396275382133108,0.02662995013387226,0.03513271474517754,0.029838937836990986,0.050195494541282915,0.02291174120927386,0.041071319740212386,0.0078406818798894,0.01490447971220965
conformations_20,0.03676666392978807,0.016972676965282714,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.06986151821262876,0.045907701094566544,0.039761121686892165,0.03548498156762869,0.028433312429457902,0.046080606862234585,0.022178597558435653,0.04850195587777084,0.013354589813078022,0.018102254195187517
