mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,52,53,74,75,76,84,100,101,102,104,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,25.951,4.347,0.848,0.833,0.148,0.538,0.353,0.3,0.72,0.14,0.282,0.532,0.211,0.211,0.473,0.25,1.08,0.194,0.235,138.488,0.397,0.381,0.318,0.301,0.503,5.0,0.0004873,7.383,3.358,1.0,0.568356,6.20312252,45.602287,99.177361,48.516403
2,6.045757490560675,22.792,2.909,1.916,0.825,0.149,0.53,0.321,0.455,0.759,0.179,0.252,0.536,0.19,0.313,0.459,0.206,1.0,0.258,0.294,115.539,0.435,0.397,0.346,0.326,0.517,4.0,0.0005077,7.135,4.631,1.0,0.545321,3.72262452,34.680897,125.546753,70.465073
3,6.1938200260161125,18.331,3.939,1.864,0.76,0.149,0.495,0.321,0.451,0.766,0.156,0.193,0.499,0.206,0.264,0.423,0.232,1.089,0.186,0.294,113.722,0.422,0.372,0.323,0.313,0.523,4.0,0.0004609,6.913,2.478,1.0,0.509899,5.26774184,47.123867,71.933395,64.879524
4,5.522878745280337,14.372,3.584,2.904,0.689,0.149,0.556,0.451,0.446,0.75,0.321,0.19,0.574,0.297,0.232,0.551,0.312,1.041,0.202,0.259,103.649,0.485,0.421,0.368,0.373,0.501,7.0,0.0004494,6.714,3.713,1.0,0.468543,6.63909305,61.576767,93.988388,65.74752
5,5.522878745280337,21.093,3.109,1.614,0.817,0.149,0.534,0.409,0.427,0.648,0.193,0.203,0.505,0.234,0.275,0.463,0.268,0.921,0.275,0.291,104.656,0.457,0.348,0.338,0.332,0.495,2.0,0.0004993,7.08,3.693,1.0,0.506847,4.58416685,42.883137,88.883591,58.299213
6,5.522878745280337,30.251,3.004,1.521,0.87,0.145,0.532,0.371,0.376,0.45,0.207,0.161,0.496,0.226,0.215,0.518,0.24,0.55,0.293,0.242,141.447,0.426,0.273,0.313,0.336,0.362,5.0,0.000496,7.406,4.465,1.0,0.556147,4.60528403,57.618088,134.874405,87.101654
7,5.552841968657781,18.743,2.651,2.089,0.798,0.152,0.534,0.391,0.443,0.733,0.358,0.146,0.528,0.28,0.32,0.46,0.279,0.97,0.444,0.2,94.381,0.456,0.412,0.376,0.344,0.538,4.0,0.0005168,6.526,3.223,1.0,0.501646,4.42066556,62.158493,67.433838,52.070755
9,5.619788758288394,24.306,3.176,1.491,0.839,0.148,0.533,0.385,0.395,0.608,0.139,0.234,0.487,0.215,0.267,0.456,0.261,0.89,0.213,0.285,118.165,0.438,0.327,0.323,0.325,0.463,6.0,0.0005054,7.173,3.391,1.0,0.526324,4.08939557,58.699081,97.075211,60.375999
10,5.180456064458132,19.109,3.607,1.854,0.778,0.149,0.547,0.419,0.459,0.459,0.155,0.428,0.47,0.235,0.346,0.481,0.286,0.568,0.263,0.362,111.046,0.475,0.347,0.35,0.363,0.398,3.0,0.0004949,6.557,4.496,1.0,0.461679,5.43521055,46.056076,106.6586,43.585999
11,6.3979400086720375,13.495,4.532,2.281,0.664,0.15,0.501,0.342,0.375,0.761,0.259,0.208,0.525,0.235,0.268,0.45,0.257,0.989,0.222,0.285,102.286,0.406,0.409,0.343,0.318,0.499,4.0,0.0004945,6.942,3.214,1.0,0.464207,5.23515002,56.536919,94.446571,62.436935
12,5.6020599913279625,33.706,3.207,1.408,0.88,0.148,0.581,0.441,0.383,0.478,0.255,0.414,0.521,0.317,0.288,0.55,0.358,0.553,0.338,0.457,160.048,0.468,0.382,0.375,0.377,0.45,6.0,0.0005087,7.336,4.307,1.0,0.574991,1.42332186,71.941086,137.881927,101.048508
13,5.0,30.685,2.674,1.655,0.876,0.151,0.573,0.527,0.39,0.463,0.292,0.137,0.526,0.362,0.215,0.559,0.414,0.508,0.425,0.18,137.281,0.497,0.297,0.368,0.404,0.371,7.0,0.0004849,6.619,4.103,1.0,0.549737,3.90788693,49.877781,109.90593,72.046318
14,5.102372908709558,23.224,6.48,1.59,0.742,0.148,0.577,0.507,0.448,0.643,0.425,0.177,0.524,0.452,0.257,0.499,0.421,0.841,0.433,0.237,197.731,0.511,0.415,0.411,0.406,0.504,4.0,0.0004907,7.742,5.377,1.0,0.551062,3.96857828,83.307045,183.546356,78.72451
15,5.795880017344075,25.729,3.16,2.361,0.823,0.149,0.592,0.432,0.496,0.429,0.241,0.264,0.494,0.292,0.335,0.533,0.323,0.46,0.329,0.362,149.495,0.507,0.311,0.374,0.405,0.384,5.0,0.0004548,7.275,3.901,1.0,0.505707,2.57270658,51.516006,157.630493,78.624908
16,5.102372908709558,30.776,2.538,2.195,0.867,0.151,0.571,0.486,0.324,0.581,0.381,0.112,0.551,0.357,0.168,0.545,0.382,0.705,0.503,0.191,151.233,0.46,0.358,0.359,0.374,0.466,7.0,0.0004935,6.978,4.035,1.0,0.578022,6.7125815,70.121887,99.6689,84.628868
17,6.795880017344075,31.171,2.886,0.923,0.891,0.151,0.552,0.51,0.463,0.685,0.283,0.138,0.568,0.32,0.207,0.524,0.353,0.786,0.459,0.334,121.42,0.508,0.369,0.365,0.377,0.526,7.0,0.0004949,7.369,4.204,1.0,0.599963,1.17012422,31.665466,92.98159,88.316772
18,7.0,33.472,2.584,1.346,0.895,0.149,0.55,0.407,0.372,0.707,0.248,0.103,0.583,0.262,0.199,0.595,0.28,0.592,0.41,0.175,135.03,0.443,0.353,0.348,0.376,0.392,5.0,0.0004493,7.527,4.307,1.0,0.62707,4.18112992,66.853638,113.032089,69.895691
19,5.6020599913279625,33.004,2.574,1.633,0.887,0.149,0.566,0.415,0.38,0.37,0.242,0.214,0.455,0.267,0.222,0.502,0.288,0.426,0.324,0.378,143.075,0.454,0.276,0.315,0.342,0.376,7.0,0.0004791,7.064,4.002,1.0,0.544594,2.19392682,54.984787,123.724548,69.553154
20,6.301029995663981,36.136,1.709,1.163,0.926,0.151,0.552,0.476,0.406,0.658,0.311,0.094,0.556,0.31,0.192,0.595,0.328,0.539,0.434,0.193,105.764,0.478,0.354,0.353,0.391,0.389,7.0,0.00045,7.126,3.936,1.0,0.624688,3.07035232,47.577454,100.791199,76.098572
21,6.301029995663981,39.689,2.494,1.471,0.909,0.149,0.582,0.551,0.374,0.655,0.543,0.112,0.547,0.466,0.175,0.514,0.417,0.85,0.573,0.233,161.021,0.502,0.437,0.396,0.383,0.552,7.0,0.0004411,7.861,4.002,1.0,0.65385,6.22096656,55.450371,111.131866,95.003662
22,5.102372908709558,49.299,1.896,0.987,0.945,0.145,0.615,0.516,0.399,0.381,0.318,0.114,0.478,0.324,0.195,0.531,0.346,0.409,0.471,0.198,143.997,0.51,0.271,0.333,0.374,0.36,6.0,0.0004955,8.113,3.901,1.0,0.638306,1.80874821,46.326088,102.227951,87.709732
24,5.795880017344075,27.354,2.337,2.052,0.862,0.149,0.593,0.428,0.462,0.436,0.267,0.185,0.511,0.284,0.28,0.55,0.299,0.491,0.345,0.283,124.841,0.494,0.296,0.359,0.386,0.373,7.0,0.0004826,6.906,4.002,1.0,0.512958,2.23068339,37.725746,101.502708,67.510361
25,6.301029995663981,36.415,2.573,1.905,0.89,0.147,0.593,0.474,0.435,0.754,0.402,0.203,0.597,0.331,0.29,0.54,0.311,0.94,0.353,0.278,167.999,0.501,0.453,0.406,0.391,0.524,5.0,0.0004608,8.215,4.273,1.0,0.655327,4.3265801,88.402496,110.080338,84.355927
26,5.3979400086720375,29.171,3.943,0.826,0.86,0.149,0.54,0.48,0.409,0.583,0.194,0.12,0.535,0.281,0.201,0.52,0.336,0.663,0.266,0.19,142.353,0.477,0.299,0.339,0.369,0.373,6.0,0.000474,6.768,4.069,1.0,0.576337,5.73396592,50.951469,93.707191,109.608444
27,6.102372908709558,20.475,3.423,2.467,0.777,0.151,0.544,0.43,0.446,1.136,0.548,0.119,0.587,0.431,0.239,0.626,0.429,0.572,0.448,0.284,129.03,0.473,0.601,0.419,0.442,0.435,5.0,0.0004345,7.453,4.339,1.0,0.565201,4.31084084,49.56245,117.443901,75.468552
28,5.301029995663981,40.364,2.643,1.735,0.902,0.144,0.646,0.417,0.501,0.441,0.276,0.253,0.513,0.291,0.298,0.554,0.29,0.451,0.402,0.413,181.331,0.521,0.324,0.367,0.393,0.422,5.0,0.0004988,7.777,4.238,1.0,0.603118,3.84332542,55.929398,151.409409,62.442894
29,5.520856752021387,37.192,2.789,1.994,0.886,0.144,0.565,0.388,0.467,0.541,0.225,0.218,0.573,0.259,0.292,0.586,0.285,0.622,0.298,0.374,183.439,0.473,0.328,0.374,0.399,0.431,4.0,0.000499,8.069,4.3,1.0,0.62948,4.44424988,71.263611,114.340805,88.756012
30,7.031517051446065,21.542,5.68,1.813,0.742,0.14,0.429,0.552,0.386,0.73,0.531,0.173,0.491,0.515,0.229,0.509,0.512,0.477,0.731,0.283,171.712,0.456,0.478,0.412,0.416,0.497,6.0,0.0004829,8.801,3.864,1.0,0.58681,11.6340922,86.376129,174.009048,134.392929
31,6.366531544420414,14.417,11.007,3.433,0.5,0.138,0.497,0.342,0.478,0.577,0.586,0.218,0.474,0.362,0.307,0.441,0.282,0.807,0.511,0.305,245.978,0.439,0.46,0.381,0.36,0.541,7.0,0.0004744,8.733,5.129,1.0,0.562079,7.76170836,82.159271,1044.990845,226.886871
32,6.0,21.466,3.85,3.006,0.758,0.139,0.558,0.476,0.479,0.731,0.364,0.216,0.575,0.382,0.303,0.583,0.409,0.695,0.421,0.421,158.727,0.504,0.437,0.42,0.445,0.512,5.0,0.000485,8.798,5.023,1.0,0.534847,4.96425667,73.696594,1042.272827,242.933304
33,6.0,22.539,6.597,2.738,0.707,0.138,0.523,0.387,0.42,0.633,0.354,0.227,0.491,0.357,0.289,0.454,0.324,0.818,0.412,0.337,228.475,0.443,0.405,0.379,0.368,0.523,5.0,0.0004996,9.301,5.162,1.0,0.572341,4.20049031,106.677322,1079.366943,245.315826
34,7.721246399047171,22.771,5.36,1.646,0.765,0.139,0.422,0.359,0.344,0.578,0.566,0.188,0.434,0.358,0.236,0.375,0.284,0.691,0.807,0.197,168.337,0.375,0.444,0.343,0.308,0.565,5.0,0.0004997,8.666,3.398,1.0,0.583072,8.53112534,82.026405,119.222397,157.88913
35,6.795880017344075,24.364,10.077,2.344,0.662,0.138,0.503,0.383,0.336,0.523,0.677,0.251,0.504,0.434,0.23,0.494,0.343,0.572,0.477,0.368,326.266,0.407,0.484,0.389,0.354,0.472,5.0,0.0004978,10.111,5.557,1.0,0.628458,6.52006154,85.472694,129.509125,238.572083
36,6.0,33.703,11.573,1.17,0.726,0.14,0.518,0.312,0.39,0.432,0.268,0.158,0.433,0.285,0.186,0.439,0.294,0.442,0.331,0.276,443.003,0.407,0.286,0.301,0.315,0.35,6.0,0.0005048,9.576,5.123,1.0,0.650172,4.37830451,92.451096,266.7677,178.016937
38,5.2441251443275085,25.718,4.055,1.57,0.821,0.147,0.603,0.39,0.462,0.497,0.273,0.188,0.526,0.306,0.268,0.544,0.324,0.512,0.353,0.321,151.038,0.485,0.319,0.367,0.394,0.395,3.0,0.0004758,7.023,2.947,1.0,0.522944,3.80143183,58.707054,124.582794,150.608231
39,6.3979400086720375,25.108,4.807,1.539,0.798,0.147,0.668,0.406,0.409,1.031,1.662,0.104,0.662,0.475,0.197,0.679,0.577,0.648,0.419,0.347,166.737,0.495,0.932,0.445,0.49,0.471,4.0,0.0004767,8.425,3.013,1.0,0.617322,3.83147448,71.20063,85.778458,130.642548
40,5.698970004336019,23.879,3.654,1.948,0.81,0.144,0.476,0.354,0.474,0.422,0.164,0.167,0.406,0.221,0.255,0.406,0.254,0.448,0.229,0.268,140.886,0.435,0.251,0.294,0.323,0.315,3.0,0.0004411,7.831,3.114,1.0,0.511635,4.05647962,50.98056,118.677071,149.788757
41,6.154901959985743,27.958,7.268,1.594,0.759,0.143,0.558,0.322,0.354,0.498,0.213,0.117,0.484,0.228,0.187,0.485,0.24,0.512,0.279,0.196,259.352,0.411,0.276,0.3,0.318,0.329,5.0,0.0004926,8.379,5.156,1.0,0.571781,7.51006956,51.659508,151.286972,140.758118
42,5.508638306165727,23.105,9.171,1.309,0.688,0.142,0.498,0.323,0.332,0.382,0.413,0.163,0.405,0.347,0.192,0.422,0.323,0.424,0.624,0.288,254.135,0.385,0.319,0.315,0.316,0.445,3.0,0.0004437,8.398,3.741,1.0,0.552108,8.37443769,49.471336,145.715805,103.662994
