mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,214.096,3.914,1.627,0.975,0.148,0.751,0.447,0.454,0.711,0.202,0.419,0.272,0.926,0.328,0.55,0.519,3.0,0.2540001,6.822,3.458,1.04,0.493328,1.32028098,58.170616,96.259201,63.218681
2,6.045757490560675,126.836,20.536,4.494,0.835,0.149,0.181,0.43,0.401,0.745,0.121,0.45,0.215,1.046,0.179,0.337,0.324,7.0,0.2621029,7.066,4.427,1.038,0.546211,3.69950081,91.708221,134.25061,45.100311
3,6.1938200260161125,246.733,8.215,3.277,0.955,0.149,0.574,0.521,0.344,0.341,0.203,0.4,0.23,0.328,0.278,0.479,0.294,3.0,0.324202,5.883,2.612,1.043,0.371554,2.98323932,65.342743,81.607231,62.090004
4,5.522878745280337,266.232,23.421,1.648,0.914,0.149,0.428,0.495,0.431,0.489,0.19,0.443,0.257,0.613,0.253,0.451,0.317,5.0,0.293517,7.356,3.854,1.066,0.529009,3.48496935,34.889343,71.662338,93.76297
5,5.522878745280337,26.07,2.423,1.555,0.868,0.149,0.511,0.329,0.422,0.176,0.239,0.208,0.267,0.222,0.332,0.421,0.329,7.0,0.1863313,6.784,3.626,1.066,0.542099,8.32711768,74.121582,130.363388,68.560112
6,5.522878745280337,205.004,134.88,2.441,0.599,0.145,0.878,0.125,0.38,0.066,0.235,0.094,0.278,0.064,0.307,0.461,0.401,6.0,0.2566438,7.985,4.53,1.043,0.553287,6.72040249,55.089775,103.29509,93.465294
7,5.552841968657781,19.704,2.98,1.956,0.8,0.152,0.556,0.373,0.341,0.34,0.129,0.199,0.265,0.352,0.292,0.423,0.388,4.0,0.1716653,6.686,3.458,1.032,0.500387,2.98074665,62.196442,85.531357,60.024574
9,5.619788758288394,401.807,202.712,6.431,0.658,0.148,0.572,0.572,0.418,0.654,0.209,0.563,0.227,0.706,0.322,0.521,0.491,4.0,0.2347918,6.766,3.325,1.048,0.549472,4.68249996,50.784107,103.247192,76.969162
10,5.180456064458132,70.046,8.196,1.878,0.874,0.15,0.137,0.547,0.372,0.208,0.267,0.349,0.241,0.381,0.351,0.352,0.182,7.0,0.2590399,7.014,4.632,1.048,0.495224,3.98355667,79.733551,131.16272,47.995209
11,6.3979400086720375,17.562,3.775,1.646,0.764,0.151,0.554,0.396,0.362,0.291,0.226,0.261,0.272,0.304,0.273,0.438,0.401,7.0,0.1913564,6.603,3.013,1.05,0.484171,3.43634413,57.031067,109.500916,88.752037
12,5.6020599913279625,13.931,6.89,1.417,0.626,0.147,0.541,0.571,0.44,0.357,0.286,0.439,0.27,0.378,0.532,0.517,0.388,7.0,0.3644994,6.846,4.103,1.04,0.446681,3.45492196,73.610497,115.420547,97.147339
13,5.0,30.402,2.498,1.371,0.887,0.151,0.561,0.503,0.378,0.244,0.145,0.296,0.203,0.351,0.198,0.481,0.282,6.0,0.1916198,7.121,3.968,1.033,0.546311,1.5814736,58.357376,104.413002,71.204475
14,5.102372908709558,49.854,11.125,1.335,0.8,0.149,0.135,0.269,0.33,0.205,0.139,0.124,0.181,0.615,0.182,0.245,0.171,5.0,0.2851238,7.402,5.04,1.02,0.629557,2.50221761,54.094078,130.205582,127.540382
15,5.795880017344075,29.907,2.605,1.838,0.871,0.149,0.58,0.453,0.467,0.204,0.209,0.265,0.291,0.312,0.325,0.5,0.291,6.0,0.2668779,7.182,4.205,1.025,0.542504,3.3453523,81.228928,116.381752,67.557747
16,5.102372908709558,24.736,12.999,2.469,0.615,0.151,0.053,0.352,0.495,0.005,0.028,0.019,0.294,0.019,0.385,0.3,0.153,5.0,0.2993934,6.855,3.934,1.034,0.461894,3.1871028,49.309715,91.044632,68.618935
17,6.795880017344075,32.045,2.099,1.578,0.897,0.151,0.551,0.345,0.447,0.265,0.175,0.212,0.254,0.459,0.24,0.448,0.35,7.0,0.1723951,6.975,4.001,1.035,0.588873,3.83143344,57.958981,99.147987,67.550667
18,7.0,37.76,4.173,2.166,0.856,0.149,0.186,0.241,0.398,0.269,0.253,0.286,0.283,0.383,0.237,0.275,0.39,6.0,0.2555138,7.804,4.273,1.032,0.577186,5.5784058,70.064423,107.611031,110.27626
19,5.6020599913279625,20.666,5.155,1.37,0.76,0.149,0.577,0.438,0.347,0.32,0.114,0.355,0.169,0.406,0.252,0.454,0.303,8.0,0.2295934,7.286,4.002,1.018,0.482702,4.23231974,64.755028,98.142258,85.774559
20,6.301029995663981,26.448,2.676,1.79,0.856,0.151,0.554,0.427,0.455,0.365,0.227,0.308,0.29,0.295,0.413,0.479,0.438,6.0,0.2343386,7.334,4.069,1.02,0.570389,4.87245975,73.477043,113.123314,75.677994
21,6.301029995663981,289.845,26.681,8.878,0.891,0.149,0.249,0.06,0.156,0.09,0.35,0.054,0.223,0.047,0.013,0.155,0.243,4.0,0.2938528,7.107,3.968,1.029,0.540045,1.7779835,85.05072,141.494949,72.458328
22,5.102372908709558,240.268,111.01,2.827,0.679,0.145,0.782,0.52,0.334,0.451,0.157,0.54,0.214,0.48,0.28,0.546,0.446,5.0,0.2141319,7.357,4.036,1.022,0.594201,4.2803147,58.604748,123.85733,112.639503
24,5.795880017344075,152.475,7.092,1.532,0.946,0.149,0.449,0.347,0.496,0.292,0.238,0.28,0.298,0.441,0.374,0.43,0.314,3.0,0.1587427,7.156,4.238,1.027,0.535976,2.66715359,45.919098,95.740387,82.886612
25,6.301029995663981,180.298,65.385,3.607,0.723,0.147,0.418,0.049,0.469,0.389,0.333,0.05,0.387,0.275,0.416,0.312,0.399,6.0,0.2391497,7.615,4.069,1.041,0.605687,6.21876632,49.606316,121.10498,97.987885
26,5.3979400086720375,26.858,4.456,1.398,0.821,0.149,0.571,0.571,0.356,0.475,0.093,0.46,0.164,0.588,0.191,0.499,0.396,5.0,0.2059408,7.327,4.441,1.036,0.570718,3.79140155,45.774483,88.298851,87.037117
27,6.102372908709558,154.214,28.619,11.995,0.792,0.151,0.332,0.025,0.4,0.683,0.001,0.014,0.03,0.008,0.329,0.252,0.284,3.0,0.2382455,7.457,4.406,1.033,0.58393,3.50796032,53.755493,101.446075,64.095001
28,5.301029995663981,119.836,12.706,2.581,0.887,0.144,0.242,0.536,0.446,0.373,0.26,0.446,0.287,0.424,0.413,0.408,0.279,6.0,0.3965165,8.075,4.07,1.015,0.464836,3.19979861,83.12043,170.540344,95.078552
29,5.520856752021387,8.139,6.098,3.368,0.462,0.144,0.487,0.395,0.389,0.306,0.226,0.352,0.264,0.376,0.341,0.424,0.288,2.0,0.4722953,6.595,3.729,1.022,0.379424,4.54004762,70.530502,133.65509,68.064331
