mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,291.657,8.839,2.497,0.963,0.148,0.961,0.245,0.484,0.391,0.22,0.201,0.296,0.719,0.24,0.564,0.54,0.664,5.0,0.2324179,6.708,3.056,1.041,0.511117,7.69432641,65.827133,132.744812,80.079483
2,6.045757490560675,358.485,2.813,2.785,0.985,0.149,0.957,0.473,0.49,0.63,0.234,0.358,0.281,0.852,0.241,0.64,0.611,0.666,4.0,0.2139067,6.97,4.296,1.038,0.479674,5.48735302,54.673141,81.169975,98.304123
3,6.1938200260161125,18.642,3.907,1.562,0.773,0.149,0.532,0.377,0.317,0.157,0.211,0.225,0.189,0.209,0.316,0.409,0.388,0.514,2.0,0.230516,7.14,2.612,1.042,0.505916,3.73786334,47.88744,103.866898,53.159096
4,5.522878745280337,25.116,3.358,1.134,0.848,0.149,0.583,0.564,0.351,0.228,0.215,0.336,0.222,0.266,0.433,0.499,0.39,0.544,4.0,0.2789457,7.641,4.223,1.062,0.555974,1.47883764,56.430767,91.426201,63.470238
5,5.522878745280337,264.852,4.837,2.286,0.974,0.149,0.353,0.373,0.396,0.308,0.283,0.257,0.318,0.46,0.308,0.374,0.261,0.309,7.0,0.1744434,7.1,3.76,1.063,0.515549,6.91667023,51.523094,103.79245,93.065292
6,5.522878745280337,330.168,2.823,1.69,0.987,0.145,0.661,0.464,0.426,0.27,0.202,0.324,0.262,0.359,0.297,0.517,0.4,0.481,5.0,0.1498611,7.481,4.362,1.045,0.579118,4.61771746,64.204254,90.975792,67.207977
7,5.552841968657781,218.089,5.307,1.581,0.969,0.152,0.904,0.363,0.386,0.218,0.158,0.246,0.215,0.251,0.307,0.551,0.418,0.442,6.0,0.2341168,6.594,3.092,1.038,0.480019,7.00380445,71.754097,95.931473,76.968506
9,5.619788758288394,184.097,4.965,2.616,0.96,0.149,0.196,0.357,0.485,0.433,0.192,0.307,0.293,0.764,0.246,0.346,0.258,0.387,6.0,0.1580849,6.839,3.628,1.048,0.540448,3.68731757,55.962357,112.990662,47.757252
10,5.180456064458132,23.636,2.892,1.858,0.833,0.149,0.562,0.427,0.468,0.166,0.153,0.232,0.274,0.292,0.263,0.486,0.277,0.377,7.0,0.1910186,6.69,4.529,1.049,0.506044,1.5818224,52.343094,87.497871,62.788258
11,6.3979400086720375,8.084,5.567,2.194,0.51,0.151,0.499,0.434,0.493,0.425,0.187,0.394,0.301,0.333,0.249,0.475,0.385,0.493,4.0,0.2475322,6.063,3.147,1.05,0.383291,3.03456828,42.056087,102.968567,84.387428
12,5.6020599913279625,32.817,2.442,1.77,0.886,0.147,0.584,0.358,0.401,0.261,0.18,0.231,0.269,0.362,0.295,0.448,0.334,0.439,6.0,0.2503155,8.091,4.204,1.042,0.580525,3.57225142,79.289719,138.97908,85.615898
13,5.0,180.558,124.813,4.224,0.583,0.151,0.386,0.731,0.36,0.701,0.192,0.551,0.233,0.422,0.257,0.492,0.436,0.357,3.0,0.3208014,6.63,4.035,1.029,0.436814,4.95971519,45.885521,110.232712,78.225151
14,5.102372908709558,42.711,1.766,1.293,0.933,0.148,0.565,0.439,0.456,0.28,0.155,0.287,0.254,0.379,0.243,0.487,0.372,0.488,7.0,0.3559242,7.665,5.242,1.021,0.677167,3.31117151,41.03186,105.961601,120.781113
15,5.795880017344075,377.913,70.615,6.357,0.831,0.149,0.684,0.126,0.385,0.052,0.221,0.081,0.274,0.073,0.377,0.399,0.31,0.357,8.0,0.2046827,7.051,4.104,1.024,0.562517,3.27931274,37.764675,102.336617,85.532318
16,5.102372908709558,46.146,26.579,1.723,0.62,0.151,0.151,0.182,0.399,0.001,0.231,0.01,0.241,0.014,0.372,0.244,0.253,0.306,5.0,0.2297805,6.946,4.037,1.028,0.620483,4.89476976,89.285194,116.16983,108.705688
17,6.795880017344075,92.877,62.886,7.883,0.568,0.151,0.133,0.109,0.484,0.042,0.218,0.106,0.332,0.302,0.259,0.242,0.124,0.266,7.0,0.399407,7.13,3.969,1.037,0.434933,4.33593684,57.752251,98.652069,57.332024
18,7.0,24.885,3.702,1.396,0.83,0.149,0.559,0.469,0.409,0.33,0.167,0.348,0.229,0.36,0.297,0.479,0.415,0.429,9.0,0.2517795,7.184,4.171,1.039,0.559276,6.33814196,47.180172,113.667427,90.477501
19,5.6020599913279625,22.004,5.496,1.574,0.757,0.149,0.614,0.529,0.366,0.375,0.112,0.398,0.194,0.472,0.192,0.503,0.326,0.402,5.0,0.227007,7.043,3.936,1.022,0.496201,5.76379761,60.523739,134.935638,96.643944
20,6.301029995663981,21.594,13.053,1.972,0.59,0.151,0.04,0.521,0.335,0.412,0.183,0.507,0.193,0.505,0.341,0.299,0.335,0.32,7.0,0.3725279,7.148,4.137,1.025,0.465809,4.27972707,53.842255,119.96862,80.967461
21,6.301029995663981,36.028,11.101,2.296,0.729,0.149,0.079,0.528,0.398,0.583,0.177,0.464,0.225,0.522,0.296,0.335,0.341,0.462,4.0,0.2963555,6.697,4.003,1.03,0.503359,5.49354475,60.515766,93.210999,84.970734
22,5.102372908709558,381.261,139.612,3.797,0.727,0.145,0.374,0.768,0.312,0.883,0.236,0.78,0.288,0.798,0.311,0.485,0.455,0.453,4.0,0.3015759,7.453,3.901,1.021,0.507119,3.77751849,73.691086,139.865234,72.315567
24,5.795880017344075,48.752,7.079,1.381,0.852,0.149,0.136,0.37,0.329,0.044,0.045,0.119,0.137,0.198,0.169,0.278,0.049,0.15,6.0,0.2365369,6.769,4.037,1.025,0.522104,5.1225488,59.780411,124.494049,87.068878
25,6.301029995663981,18.123,6.942,1.984,0.67,0.147,0.576,0.577,0.466,0.378,0.225,0.445,0.291,0.374,0.269,0.54,0.466,0.546,4.0,0.305798,7.661,4.373,1.036,0.530872,3.15683068,54.11203,111.056274,115.742355
26,5.3979400086720375,265.817,126.233,10.417,0.66,0.149,0.56,0.335,0.362,0.157,0.206,0.229,0.283,0.197,0.298,0.419,0.341,0.354,6.0,0.2388932,6.794,4.002,1.034,0.587193,2.68708399,38.018433,91.770378,74.218765
27,6.102372908709558,261.078,13.273,1.593,0.946,0.151,0.512,0.539,0.377,0.393,0.168,0.568,0.214,0.605,0.266,0.476,0.386,0.414,5.0,0.2199246,7.22,4.0,1.035,0.485966,5.80941952,77.122421,104.467484,71.046539
28,5.301029995663981,184.344,5.303,2.311,0.96,0.154,0.877,0.402,0.403,0.249,0.286,0.285,0.347,0.292,0.391,0.561,0.529,0.569,4.0,0.230612,7.881,4.003,1.018,0.576942,5.1603264,81.754532,121.31971,100.421776
29,5.520856752021387,275.296,33.519,2.332,0.885,0.145,0.952,0.143,0.399,0.039,0.148,0.06,0.23,0.084,0.25,0.498,0.395,0.435,4.0,0.1995272,7.889,4.3,1.021,0.618165,4.73203251,64.725815,164.897034,87.631081
30,7.031517051446065,123.005,38.836,6.562,0.73,0.14,0.127,0.041,0.322,0.595,0.204,0.097,0.288,0.112,0.221,0.163,0.372,0.245,4.0,0.3819315,9.764,3.866,1.124,0.600811,12.2439686,102.09758,160.181412,138.826263
